列1	列2	列3	列4	湖州话字表					
trad	simp	IPA	pinyin	detail					
豬	猪	tsɿ⁴⁴	tsy1						
諸	诸	tsɿ⁴⁴	tsy1						
朱	朱	tsɿ⁴⁴	tsy1						
珠	珠	tsɿ⁴⁴	tsy1						
蛛	蛛	tsɿ⁴⁴	tsy1						
株	株	tsɿ⁴⁴	tsy1						
滋	滋	tsɿ⁴⁴	tsy1						
知	知	tsɿ⁴⁴	tsy1						
蜘	蜘	tsɿ⁴⁴	tsy1						
支	支	tsɿ⁴⁴	tsy1						
枝	枝	tsɿ⁴⁴	tsy1						
肢	肢	tsɿ⁴⁴	tsy1						
梔	栀	tsɿ⁴⁴	tsy1						
資	资	tsɿ⁴⁴	tsy1						
姿	姿	tsɿ⁴⁴	tsy1						
咨	咨	tsɿ⁴⁴	tsy1						
脂	脂	tsɿ⁴⁴	tsy1						
之	之	tsɿ⁴⁴	tsy1						
芝	芝	tsɿ⁴⁴	tsy1						
主	主	tsɿ⁴²	tsy3						
紫	紫	tsɿ⁴²	tsy3						
紙	纸	tsɿ⁴²	tsy3						
旨	旨	tsɿ⁴²	tsy3						
指	指	tsɿ⁴²	tsy3						
子	子	tsɿ⁴²	tsy3						
梓	梓	tsɿ⁴²	tsy3						
止	止	tsɿ⁴²	tsy3						
趾	趾	tsɿ⁴²	tsy3						
址	址	tsɿ⁴²	tsy3						
翅	翅	tsɿ⁴²	tsy3						
著	着	tsɿ³⁵	tsy5						
箸	箸	tsɿ³⁵	tsy5						
煮	煮	tsɿ³⁵	tsy5						
注	注	tsɿ³⁵	tsy5						
註	注	tsɿ³⁵	tsy5						
駐	驻	tsɿ³⁵	tsy5						
鑄	铸	tsɿ³⁵	tsy5						
蛀	蛀	tsɿ³⁵	tsy5						
制	制	tsɿ³⁵	tsy5						
製	制	tsɿ³⁵	tsy5						
智	智	tsɿ³⁵	tsy5						
至	至	tsɿ³⁵	tsy5						
致	致	tsɿ³⁵	tsy5						
置	置	tsɿ³⁵	tsy5						
志	志	tsɿ³⁵	tsy5						
誌	志	tsɿ³⁵	tsy5						
痣	痣	tsɿ³⁵	tsy5						
癡	痴	tsʰɿ⁴⁴	tshy1						
眵	眵	tsʰɿ⁴⁴	tshy1						
嗤	嗤	tsʰɿ⁴⁴	tshy1						
雌	雌	tsʰɿ⁴⁴	tshy1						
餈	餈	tsʰɿ⁴⁴	tshy1						
差	差	tsʰɿ⁴⁴	tshy1	參~					
此	此	tsʰɿ⁴²	tshy3						
侈	侈	tsʰɿ⁴²	tshy3						
恥	耻	tsʰɿ⁴²	tshy3						
齒	齿	tsʰɿ⁴²	tshy3						
鼠	鼠	tsʰɿ⁴²	tshy3						
褚	褚	tsʰɿ⁴²	tshy3						
疵	疵	tsʰɿ⁴²	tshy3						
處	处	tsʰɿ³⁵	tshy5						
刺	刺	tsʰɿ³⁵	tshy5						
次	次	tsʰɿ³⁵	tshy5						
廁	厠	tsʰɿ³⁵	tshy5	~所					
除	除	dzɿ¹²	dzy2						
厨	厨	dzɿ¹²	dzy2						
儲	储	dzɿ¹²	dzy2						
殊	殊	dzɿ¹²	dzy2						
池	池	dzɿ¹²	dzy2						
瓷	瓷	dzɿ¹²	dzy2						
遲	迟	dzɿ¹²	dzy2						
慈	慈	dzɿ¹²	dzy2						
磁	磁	dzɿ¹²	dzy2						
辭	辞	dzɿ¹²	dzy2						
