		1	a					2	ɛ					3	œ					4	i					5	y					6	ɔ					7	u					8	ai					9	ɐi					10	ei					11	ɔi					12	ui					13	au					14	ɐu					15	ɛu					16	ou					17	iu					18	øy					19	am				20	ap						21	ɐm				22	ɐp						23	im				24	ip						25	ɛm				26	ɛp						27	an				28	at						29	ɐn				30	ɐt						31	in				32	it						33	øn				34	øt						35	ɔn				36	ɔt						37	un				38	ut						39	yn				40	yt						41	aŋ				42	ak						43	ɐŋ				44	ɐk						45	eŋ				46	ek						47	ɛŋ				48	ɛk						49	œŋ				50	œk						51	ɔŋ				52	ɔk						53	oŋ				54	ok						55	m		
	陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去		上陰入	下陰入	陽入				陰平	陽平	上聲	陰去	陽去
p	巴芭疤爸		把欛(柄)	霸壩	罷	p	啤					p						p						p						p	波菠(~菜)坡玻			簸(~一~)簸(~箕)		p						p			擺	拜	稗(~子)敗	p	□(瘸子)			蔽閉	敝(~國)弊幣斃陛	p	蓖(~麻)碑卑俾悲		比	臂祕泌庇痹(麻~)篦(~一下)	被(~迫)避秕(~穀)轡備鼻篦(~梳)	p						p	杯			貝輩背(~脊)	背(~誦)焙	p	包胞鮑飽(麵~)		飽(~了)	爆(~炸)	鮑(姓)	p						p						p	褒(~獎)		補保堡寶	布佈怖報	部簿步捕暴菢(~小雞)曝(~曬)	p	臕(肥~)標錶鰾彪		表			p						p						p						p						p						p						p						p						p						p	班斑頒(白讀)		扳扳板版		扮辦	p		八				p	彬賓檳奔		稟品	殯鬢	笨	p	筆畢不		拔鈸弼(~馬温)			p	鞭邊辮		貶扁	變	辨辯汴便(方~)	p	必		別(區~)鼈別(離~)			p						p						p						p						p	般搬		本	半	伴(~侶)拌(攪~)絆叛胖	p			鉢撥勃			p						p						p						p	迫(逼~)	百伯	白帛			p	崩				凭(~住=依靠着)	p	北					p	冰兵		丙秉	併(合~)	病(文讀)並	p	逼迫(~切)碧璧壁					p			餅	柄	病(白讀)	p						p						p						p	幫邦浜		榜綁		謗	p		博縳(綁)駁	薄(~荷)泊(梁山~)薄泊雹			p						p	卜		僕瀑			p					
pʰ	趴	爬琶杷鈀耙	扒(豬~)	怕		pʰ			□(拚~自暴自弃)			pʰ						pʰ						pʰ						pʰ	棵(一~樹)	婆	頗跛(~足)	破		pʰ						pʰ		排牌𥱼(筏)	牌(打~)	派		pʰ	批					pʰ	披丕	皮疲脾琵枇	彼被(綿~)婢鄙	譬(~喻)屁		pʰ						pʰ	胚坯	培陪賠裴	倍	沛配佩		pʰ	泡抛	刨鉋(刨具)	跑	豹爆(~竹)炮泡(~在水裏)		pʰ						pʰ						pʰ	鋪(~設)	蒲菩袍浮(~頭)	脯(胸~)譜普浦(水岸)甫脯(杏~)抱	鋪(店~)		pʰ	飄	瓢(酒~)嫖漂(~洗)		票漂(~亮)		pʰ						pʰ						pʰ						pʰ						pʰ						pʰ						pʰ						pʰ						pʰ						pʰ	頒(文讀)攀			盼		pʰ						pʰ		貧頻	□(厚了)	噴(~水)噴(香~~)		pʰ	匹					pʰ	編篇偏蝙	便(~宜)	匾	騙(欺~)遍(一~)遍(~地)片		pʰ		撇(~捺)				pʰ						pʰ						pʰ						pʰ						pʰ	潘番(~禺)	盤盆	伴(有~)	拚(~死)判		pʰ		潑				pʰ						pʰ						pʰ	烹	彭膨棚	棒			pʰ		柏拍魄檗(黃柏)				pʰ		朋憑				pʰ						pʰ		平坪評瓶屏萍		聘姘(~頭)拼拚(~命)		pʰ	僻闢					pʰ		平(便宜,白讀)		□(一~草)		pʰ		擘(用手~開)劈	□(扔了)			pʰ						pʰ						pʰ		滂(~沱)旁螃傍龐	蚌蚌			pʰ		樸朴撲醭(醋生白~)				pʰ		篷蓬(蓮~)	捧	碰		pʰ	仆(~倒)					pʰ					
m	媽孖(雙生)	麻痲	馬碼媽(~閣,澳門地名)	嘛	駡	m	孭(背着)		□(歪的)			m						m						m						m	魔摩饃	磨(~刀)	摸		磨(石~)	m						m		埋	買		賣邁	m	□(~住=釘住,~書=牢記書本,~=被石射中)	迷謎	米			m	□(閑上眼)	糜(粥)眉楣媚微	靡(風~)美尾		寐未味	m						m	妹(~仔)	梅枚媒煤黴(發~)	每		妹昧	m	貓	茅矛	卯牡		貌	m	□(蹲下)	謀	某畝		茂貿謬	m						m	蟆(蝦~白讀)□(發~=發霉)	模(~子)模(~範)摹(~仿)無巫誣毛	武舞侮鵡母拇		暮慕墓募務霧冒帽戊	m	貓	苗描	藐渺秒杳(~無音訊)		廟妙	m						m						m						m						m						m						m						m						m						m	□(手緊抓物件，不讓自己脫離。)	蠻	晚		慢饅(~頭)漫幔萬蔓(瓜~子)	m		抹(~布)				m	蚊炆	民文紋聞	閩(~越)憫敏吻刎	□(~水，邊緣化)	問璺(裂~)	m	乜		襪密蜜物勿			m		綿棉眠	免勉娩(分~)緬		面麵	m	□(~爛=撕爛)		篾(竹~)滅			m						m						m						m						m		瞞門	滿		悶	m		抹抹	末沫沒			m						m						m		盲	猛		孟	m		□(~大口=張開口)				m	□(扯着)	萌盟	□(好~),(火氣大)	□(暗地里扯)		m			墨默陌(~生人)麥脈			m		鳴明名(文讀)銘	皿銘		命(性~)	m			覓			m			名(白讀)		命(白讀)	m						m						m						m	芒(~果)芒(~刺在背)虻(牛~)	忙茫亡忘	莽蟒網(魚~)妄		望	m	剝		莫膜幕寞			m		蒙	懵(~懂)		夢	m	□(~嘴，撅起嘴巴)		木目穆牧			m					
f	花			化		f						f						f						f						f	科		顆火夥	課貨		f	枯呼夫膚敷俘孵麩(麥~子)	乎瓠(~盧)瓠(~瓜)符扶芙	苦虎滸(新讀)府腑俯甫(新讀)斧撫釡婦	庫褲戽(~水)賦富副	父腐輔付傅赴訃附負	f				傀塊蒯塊快筷		f	麾(~下)揮輝徽			廢肺疿(熱~)費	吠	f	非飛妃	肥	匪翡			f						f	魁恢灰			悔晦		f						f		浮	剖否		埠阜復(不~反，文讀)	f						f						f						f						f						f						f						f						f						f						f						f						f	藩(~鬼佬)翻番(幾~)	凡帆煩藩礬(明~)繁	瓣反		范範犯泛販飯	f		法髮發				f	昏婚分芬紛熏勳薰葷	焚墳	粉憤奮	糞訓	忿份	f	彿(彷~)窟(~窿)忽		乏伐筏罰佛			f						f						f						f						f						f						f	寬歡		款			f		闊				f						f						f						f		□(大力抽打)				f						f						f					□(亂~,亂抛東西)	f						f						f						f						f						f	荒慌謊方肪(脂~)芳	妨(~礙)房防	桄(一~線)晃(~眼)倣(~效)紡仿(相似)彷(~彿)訪	放況		f		霍藿(~香)				f	風楓瘋豐封峯蜂鋒	蓬(~萊)馮逢縫(~衣服)縫(一條~)	俸(薪~)	諷	鳯奉(~命)	f	福幅蝠複腹覆(反~)		服伏復(~原)復(興)			f					
t	打(十二)	□(ti55~嗩吶)	打			t	爹		嗲			t	□(tit5kɐm33~=极少的)		朶			t	□(一~~,一點點)					t						t	多		躱		惰	t	都(~是)					t	獃(書~子)		歹	戴帶	大大(~夫)	t	低		底抵	帝	弟第遞隸	t					地	t					待代袋	t						t						t	兜		斗抖陡糾(~纏)糾(~正)	鬥逗(主動同小兒玩)	豆逗	t						t	都(~城)刀		堵賭島倒(打~)倒(~水)	到	杜妬度(温~)渡鍍道稻盜導	t	刁貂雕丟		屌(詈詞，操)	釣弔	掉調(音~)調(~動)	t	堆		□(捅)	對碓(舂米具)兌	隊墜(眼皮下~)	t	耽(~誤)擔(~任)		膽	擔(挑~)	淡(文讀)	t		答搭	踏沓(一~紙)			t						t	□(~頭，頭垂下的樣子)		□(捶打)			t			點	店	□(搞掂)	t			疊碟牒蝶諜			t						t	□(~糖,甜在心裏)					t	丹單(~獨)		蛋	誕旦	但彈(子~)蛋	t		□(倒背重摔)	達			t			墩(橋~)		炖(~冬菇)	t	□(~住=塞住)		突			t	顛		典腆(~肚子)	墊(~錢)	電殿奠佃	t	□(~kɐm33tœ55=极少的)	跌	秩			t	敦				沌(渾~)頓鈍遁	t						t						t						t						t						t	端		短	鍛	斷~絕,文讀斷決~段緞椴~木	t			奪			t						t						t	登燈鐙(鞍~)瞪(~眼)		等	凳	鄧掂(用手估量物重)	t	得德		特			t	丁		頂(文讀)鼎	□(瓜藤)	錠訂(~約)定	t	的(目~)嫡(長子~孫)		滴敵狄			t	釘(鐵~)靪(補~)疔(~瘡)釘(~住)		頂(白讀)	□(丟出)	訂(~約)	t		□(走走~~，走走跑跑)	笛糴(~米)			t	□(~米),(雞啄米)					t		刴(~肉餅)琢(~磨)啄涿(~鹿)				t	當(~時)		黨擋	當(~作)	蕩(放~)宕(跌~)	t			鐸踱(~步)			t	東冬		董懂	凍	動棟洞	t	篤督		獨讀牘毒			t					
tʰ	他					tʰ						tʰ				唾(~液)		tʰ						tʰ						tʰ	拖	駝馱	妥橢(~圓)			tʰ						tʰ			舵	態貸太泰		tʰ	梯	堤題提蹄啼	體	替涕剃屜		tʰ						tʰ	胎	台(天~)臺苔(青~)抬	怠殆			tʰ						tʰ						tʰ	偷	頭投	敨(~氣)	透		tʰ						tʰ	滔	徒屠途塗圖掏(~出)桃逃淘陶萄濤	肚(魚~)土肚(腹~)禱討	吐(~痰)吐(嘔~)兔套		tʰ	挑	條調(~和)跳(眼眉~)		跳糶(~灰=販毒)		tʰ	推	頹	腿	退蛻(蛇~皮)褪(色)		tʰ	貪	潭譚談痰	淡(白讀)	探		tʰ		搨(~本)塔榻塌(~陷)				tʰ			氹(水窪地。~仔,澳門地名,)	□(~，哄人开心)		tʰ	□(~~陷，剛剛好)					tʰ	添	甜	舔(以舌取物)			tʰ		帖(碑~)貼				tʰ						tʰ						tʰ	灘攤	檀壇彈(~琴)	坦	炭歎		tʰ	撻□(偷東西)	遢(邋~)				tʰ	吞飩(餛~)			褪(脂殘粉~，~後=退後)		tʰ						tʰ	天	田填				tʰ		鐵				tʰ		囤(~積)	盾(趙~)盾(矛~)			tʰ						tʰ						tʰ						tʰ						tʰ						tʰ		團糰屯豚臀	斷(~絕,白讀)			tʰ		脫				tʰ						tʰ	□(~着，點火成功,外來語)					tʰ		騰謄(~寫)藤				tʰ						tʰ	□(~日=明日)	亭停廷庭蜓(蜻~)	挺	聽(~見)聽(~任)		tʰ	剔(~除)					tʰ	聽(~話)廳		艇			tʰ		踢				tʰ						tʰ						tʰ	湯	堂棠螳(~蜋)唐糖塘	倘(~若)躺	熨(~斗)燙趟(一~)		tʰ		託托				tʰ	通囱(煙~)	同銅桐筒(竹~)童瞳	筒(竹~)桶捅(~破)統	痛		tʰ	秃					tʰ					
l	啦(~~隊)/□(疤痕)	拿/挪	/哪那乸	罅(~隙)		l	/呢	□(kʰɛ21~)	□(~hɛ33一团糟)			l		螺(~螄)腡(手指文)瘰(~癧)				l	□(~度,這裏)					l						l	籮(單字念)囉(~唆)	羅鑼籮	裸		糯	l						l	拉		乃奶舐(以舌取物)	癩	賴獺(水~)	l		泥犂黎	禮		例厲(~鬼)勵荔麗	l	□(裝魚籮)璃(玻~)□(伏~~:捉迷藏)	彌離(別~)籬離(~開半寸)梨釐(~定)狸(~貓)/尼	履李里理鯉/你		厲(~害)利痢吏/膩餌	l		來			/耐奈內	l						l		錨撓(阻~)	/撓(搞拌)	笊(~籬，白讀)	/鬧	l	摟(蟻多~死象)嬲(怒)	樓摟(~取)摟(~抱)流劉留榴(石~)硫(~黃)琉(~璃)	縷(絲~)紐扭柳/朽		漏陋溜餾	l	□(kɛu21~)					l	撈□(~日=前幾天,~個=第三者以上)	奴盧爐蘆(~葦)鸕(~鷀)廬(~山)驢勞牢	努魯櫓虜滷老/腦		怒路賂露鷺/惱(~火)	l	燎(~起柴)	燎(~原)療聊遼撩(~起來)寥瞭(~望)	燎(~火棍)鳥了(~結)瞭(~解)		尿料廖	l		騾雷壘(~球)	呂旅儡(傀~)裏壘/女屢(~次)		慮濾累(極困)累(連~)累(~積)類淚/屢(長年~月)	l		南藍籃/男	漤(~去澀味)覽攬欖/腩	□(跨，大步~過)	濫纜艦	l		□(快速把東西拿在手上)	臘蠟鑞/納			l	□(~~光=天剛亮)	林淋臨				l	笠粒凹		立/□(~nɔ22，磨蹭)			l	/黏(~米)拈(~起來)	廉鐮簾/鮎(~魚)	/斂(~財)斂殮臉		/念	l	靨(洒~)		獵/聶(姓)鑷(~子)捏(~造)			l			□(~嘴=用舌頭舐唇)			l						l	欄(魚~,魚批發地)□(滾蛋)	難(~易)蘭攔欄(跳~)	懶	□(瘋~,疹的一種)	難(患~)爛	l		□(~着,着火了)/瘌(~痢)	辣/捺(撇~)邋(~遢)			l			□(~化,騙人)			l	甩					l	□(乳房)	連憐蓮/年	/撚(以指~碎)		練鍊楝(~樹)	l			列烈裂			l		鄰鱗燐崙倫淪輪	/卵		吝(~惜)論(~語)論(議~)	l			栗律率(速~)			l						l						l						l						l	攣(卷曲不能伸展)	聯鸞	戀/暖		亂/嫩	l		捋/劣				l	□(~衫=毛衣)		冷			l			肋勒			l	□(liu55~)	/能				l						l	拎	陵凌菱寧(安~)靈(文讀)零鈴伶(~俐)翎(~毛)寧(~可)/楞	領嶺(文讀)/擰(扭轉)	□(lap3lap3~很閃亮)	令翎(~箭)侫(奸~)另/擰(扭轉)	l	匿溺(~死)		力歷曆			l	□(~仔,小孩)	靈(白讀)	嶺(白讀)/領(衫~)	靚		l	叻(利害)					l		娘良涼量(~度)糧梁粱	兩輛(白讀)		亮諒輛(文讀)量(數~)掠	l			掠(搶~)略			l		囊郎廊(走~)狼蜋(=螂)瓤(瓜~)	廊(走~)朗	□(墊著)	浪	l		烙酪洛絡(聯~)	諾落駱絡(~繹)樂胳(~臂)			l	窿(洞)□(焦了)	籠聾農膿儂(我,你)隆濃龍	攏隴壠	□(彎腰)	弄	l	碌□(車輪子)		鹿祿六陸綠錄			l					
ʦ	查(山~)渣揸		□(差勁)	䖳(白~)詐榨炸乍	□(ŋa22~阻地方)	ʦ	姐(家~)遮		姐者	借藉(~故)蔗	謝	ʦ	□(~~雞)					ʦ	知蜘支枝肢梔資姿咨脂茲滋之芝		紫紙只姊旨指子梓止趾址	智致至置志誌痣	自稚祀巳字寺嗣飼痔治	ʦ	豬諸誅蛛株朱硃珠		煑主	著駐註注蛀鑄	住箸(筷子)	ʦ			左阻	佐	坐(文讀)座助	ʦ						ʦ	齋			債	寨𢶀	ʦ	擠劑		仔(兒子)	祭際濟制製	滯	ʦ						ʦ	災栽		宰載(年~)載(滿~)滓	再載(~重)載(滿~)	在	ʦ						ʦ			抓爪找肘帚	罩笊(~籬，文讀)炸(用油~)	櫂(槳)驟	ʦ	鄒周舟州洲		走酒	奏晝皺縐咒	就袖紂宙	ʦ					□(殴打)	ʦ	租遭糟		祖組早棗蚤	竈	做皂造	ʦ	焦蕉(芭~)椒朝(今~)招		剿沼(~澤)	照	噍(咀嚼)趙召詔	ʦ	蛆(生~)追錐(文讀)		嘴	最醉	序敍聚罪綴(點~)贅(入~)墜(下~)	ʦ	簪簪		斬眨	鏨(~刀)	暫站(立)站(車~)	ʦ			雜閘集習襲什(~錦)鍘(~刀)			ʦ	針斟		枕(名詞)	枕(動詞)浸		ʦ	執汁					ʦ	尖沾粘瞻占			佔	漸	ʦ		接摺(~疊)褶(~子)				ʦ						ʦ						ʦ			盞	贊灒撰	賺綻(破~)棧	ʦ		劄(用針~)札紮軋(~棉花)				ʦ	珍真			鎮振震	陣	ʦ	質		疾姪			ʦ	煎氈箋		碾剪展	箭濺(~一身水)餞(~行)戰顫薦	賤	ʦ	□(抓痒痒,~都唔笑)	捷哲折浙折(弄~了)節	截			ʦ	津榛臻蹲遵		準准	進晉俊	盡	ʦ	卒					ʦ						ʦ						ʦ						ʦ						ʦ	鑽(動詞)專磚尊		轉(~眼)	鑽(木工用具)轉(~圈)	傳(~記)	ʦ			絶拙(笨~)			ʦ	争				□(~爆=撐爆)	ʦ		窄責	澤擇(選~)宅摘擲			ʦ	曾(姓)增憎僧爭箏睜(文讀)		□(mɐŋ13~,易怒)		贈	ʦ	則鯽(~魚,白讀)側					ʦ	徵(~求)蒸精晶睛(眼~)貞偵正(~月)征		整	證症正政	靜靖淨(文讀)	ʦ	即鯽(~魚,文讀)織職積跡績		蟄(驚~)直值殖植籍(~貫)藉(狼~)席夕寂			ʦ	精(~乖)		井	正(正點)	淨(白讀)鄭	ʦ		脊隻炙(~手可熱)	褯(~子)			ʦ	將(~來)漿張章樟(~木)		蔣奬槳長(生~)掌	醬將(大~)漲仗帳賬脹障(保~)瘴(~氣)	象像橡(~樹)匠丈杖	ʦ		爵雀(麻~)鵲(喜~)嚼着(~衫)酌	着(睡~)			ʦ	贓髒(~亂)莊装樁			葬壯	藏(西~)臟狀撞	ʦ		作	鑿昨			ʦ	椶(~櫚樹)鬃(豬~)宗綜中(當~)忠終蹤縱(~橫)鐘鍾盅舂(~米)		總糉(=食粽)䝋(公豬)種(~類)腫	糉(=粽仔)中(射~)眾縱(放~)種(~樹)	仲誦頌訟重(~加=更加)	ʦ	捉竹築祝粥足燭囑觸		續濁鐲(~子)犢(牛~子)族逐(~漸)軸俗續			ʦ					
ʦʰ	叉杈差(~別)岔(~路)	茶搽查(調~)	□(亂畫)	詫		ʦʰ	車(馬~)奢	邪斜	且扯□(离开)	笡(長命~)		ʦʰ						ʦʰ	雌疵(瑕~)差(參~)癡嗤(~笑)	臍(肚~)池馳匙(湯~)瓷餈(糯米~)遲慈磁辭詞祠持	此侈豕雉(~雞)矢似恥杮齒始恃	刺賜翅次廁		ʦʰ		廚	儲褚苧(~麻)處(相~)杵署拄柱	處(何~)		ʦʰ	搓(~湯圓)初雛	鋤	坐(白讀)楚礎	銼(~刀)錯(~誤)錯(~雜)		ʦʰ						ʦʰ	搓(~面粉)猜釵差(出~)	豺柴	踩			ʦʰ	妻棲	齊		砌		ʦʰ						ʦʰ		才材財裁纔	彩採睬	菜賽蔡		ʦʰ						ʦʰ	抄(~寫)鈔	巢	炒吵	□(找東西)		ʦʰ	揫(一把~住)秋(~天)秋(~千)鞦(牛~)抽矁(~睬)	囚綢稠籌酬鬮(拈~)仇(姓)	羞(白讀)丑醜	湊臭嗅(用鼻~)嗅(用鼻子聞)		ʦʰ						ʦʰ	粗操(~作)	曹槽	草	醋措澡躁糙(粗~)		ʦʰ	鍬瞧(眼~~)超昭	樵朝(~代)潮		悄俏鞘		ʦʰ	趨催崔(姓)吹炊	徐除随槌(~鼓)錘(~煉)	取娶	趣脆翠		ʦʰ	參攙參(~差)	蠶慚讒饞	慘檻(門~)	杉		ʦʰ		插				ʦʰ	侵□(~水=加水)	尋沉	寢	□(~氣=囉嗦)		ʦʰ	緝(~私)輯(編~)					ʦʰ	繰(~邊)殲(~滅)籤簽	潛	□(~建物:違章建築物)			ʦʰ		妾				ʦʰ						ʦʰ						ʦʰ	餐	殘	鏟產	燦		ʦʰ		獺(水~)擦察刷				ʦʰ	親	陳塵	診疹	親(~家)趁襯		ʦʰ	七漆		□(男陰)			ʦʰ	遷千	錢纏前	淺踐			ʦʰ		徹撤轍設切				ʦʰ	椿(~樹)春	秦循巡	蠢			ʦʰ	出					ʦʰ						ʦʰ						ʦʰ						ʦʰ						ʦʰ	川穿村	全泉傳(~達)存	揣(~度)汆竄喘忖(~度)	串寸		ʦʰ		掇(兩手~起)撮(~合)猝(倉~)焌(火~手了)				ʦʰ	撐(~竿跳)睜(白讀)鐺(沙煲罃~)		橙橙(~子)	牚(椅子~兒)		ʦʰ		拆(~開)㿭(爆~)䜺(綠豆~)策册	賊			ʦʰ		曾(~經)層				ʦʰ	測					ʦʰ	稱(~呼)清青(文讀)蜻(~蜓)	澄(水渾,~一~)澄澄懲情晴呈程	拯(~救)請(文讀)逞(~英雄)	稱(相~)秤(一桿~)		ʦʰ	飭(~~如律令)斥戚					ʦʰ	青(瓜~，白讀)		請(白讀)			ʦʰ		尺赤				ʦʰ	槍昌菖(~蒲)倡窗	牆詳祥長(~短)腸場	搶	暢唱		ʦʰ		綽(~號)焯(菜在開水裏~~)勺(~子)芍(~藥花)桌卓				ʦʰ	倉蒼瘡	藏(隱~)牀	闖廠	創		ʦʰ		戳(~穿)				ʦʰ	聰怱葱充銃(放~)衝	叢蟲從(~容)從(跟~)松重(~復)	冢寵重(輕~)			ʦʰ	速畜(~牲)畜(~牧)蓄(儲~)促束					ʦʰ					
