ID	汉字	注释	拼音	声母	韵母	声调
1	多		=E2&F2&G2	t	o	1
2	他		=E3&F3&G3	th	a	1
3	舵		=E4&F4&G4	t	ua	6
4	舵		=E5&F5&G5	t	ai	6
5	大		=E6&F6&G6	t	ai	6
6	大		=E7&F7&G7	t	ua	7
7	大	大家官，公婆	=E8&F8&G8	t	a	1
8	大	同“太”	=E9&F9&G9	th	ai	3
9	拖		=E10&F10&G10	th	ua	1
10	駝		=E11&F11&G11	th	oh	8
11	陀		=E12&F12&G12	th	o	5
12	馱		=E13&F13&G13	th	o	5
13	挪		=E14&F14&G14	n	o	5
14	羅		=E15&F15&G15	l	o	5
15	鑼		=E16&F16&G16	l	o	5
16	籮	文读	=E17&F17&G17	l	o	5
17	籮	白读	=E18&F18&G18	l	ua	5
18	左		=E19&F19&G19	ts	o	2
19	佐		=E20&F20&G20	ts	o	2
20	做		=E21&F21&G21	ts	o	3
21	搓		=E22&F22&G22	s	o	1
22	搓		=E23&F23&G23	tsh	o	1
23	娑		=E24&F24&G24	s	o	1
24	歌	文读	=E25&F25&G25	k	o	1
25	歌	白读	=E26&F26&G26	k	ua	1
26	哥		=E27&F27&G27	k	o	1
27	個		=E28&F28&G28	k	ai	5
28	個	个人	=E29&F29&G29	k	o	3
29	個	个月	=E30&F30&G30	k	ou	3
30	軻		=E31&F31&G31	kh	o	1
31	可		=E32&F32&G32	kh	o	2
32	蛾		=E33&F33&G33	g	o	5
33	鵝		=E34&F34&G34	g	o	5
34	俄		=E35&F35&G35	ng	o	5
35	我	白读	=E36&F36&G36		ua	2
36	我	文读	=E37&F37&G37	ng	o	2
37	餓		=E38&F38&G38	g	o	7
38	何	文读	=E39&F39&G39	h	o	5
39	何	与“几”字合音成kua2，白读	=E40&F40&G40		ua	5
40	河		=E41&F41&G41	h	o	5
41	荷		=E42&F42&G42	h	o	5
42	荷	薄荷	=E43&F43&G43	h	o	3
43	荷	电荷	=E44&F44&G44	h	o	6
44	苛		=E45&F45&G45	kh	o	1
48	賀		=E46&F46&G46	h	o	7
49	阿		=E47&F47&G47		a	1
50	阿		=E48&F48&G48		o	1
51	茄		=E49&F49&G49	k	io	5
52	茄	雪茄	=E50&F50&G50	k	ia	1
53	波		=E51&F51&G51	p	o	1
54	跛		=E52&F52&G52	ph	o	2
55	簸		pfua3	pf	ua	3
56	播		pfua3	pf	ua	3
58	頗		=E55&F55&G55	ph	o	2
59	頗		pfhua2	pfh	ua	2
60	坡		=E57&F57&G57	p	o	1
61	玻		=E58&F58&G58	p	o	1
64	婆	白读	pfhua5	pfh	ua	5
65	婆	文读	=E60&F60&G60	p	o	5
66	婆	文读，婆娑	=E61&F61&G61	ph	o	5
67	魔		=E62&F62&G62	m	o	5
68	磨		bvua5	bv	ua	5
69	磨	石磨	=E64&F64&G64	m	o	7
70	摩		=E65&F65&G65	m	o	5
73	朵		=E66&F66&G66	t	o	2
74	躲		=E67&F67&G67	t	o	2
75	剁	训读，本字为“斲(斫)”	=E68&F68&G68	t	ok	4
76	剁		=E69&F69&G69	t	o	3
77	妥		=E70&F70&G70	th	o	2
78	唾		=E71&F71&G71	th	o	2
79	惰	白读	=E72&F72&G72	t	uann	6
80	惰	文读	=E73&F73&G73	t	o	6
81	墮		=E74&F74&G74	t	ui	6
82	囉		=E75&F75&G75	l	o	1
83	囉		=E76&F76&G76	l	o	5
84	糯		=E77&F77&G77	n	o	3
85	糯	训读，本字为“秫”	=E78&F78&G78	ts	uk	8
86	騾		=E79&F79&G79	l	o	5
87	螺		=E80&F80&G80	l	o	5
88	螺	白读，am2-lou1-thang5，蜗牛	=E81&F81&G81	l	ou	1
89	腡		=E82&F82&G82	l	o	5
90	裸		=E83&F83&G83	l	ua	2
91	裸	井都音	=E84&F84&G84	n	ua	2
92	摞		=E85&F85&G85	l	o	3
93	銼		=E86&F86&G86	tsh	o	3
94	矬		=E87&F87&G87	tsh	o	5
95	坐		=E88&F88&G88	ts	o	6
97	座		=E89&F89&G89	ts	o	7
98	蓑		=E90&F90&G90	s	ui	1
99	蓑	文读	=E91&F91&G91	s	o	1
100	梭		=E92&F92&G92	s	o	1
101	唆		=E93&F93&G93	s	o	1
102	鎖		=E94&F94&G94	s	o	2
103	瑣		=E95&F95&G95	s	o	2
104	鍋		=E96&F96&G96		ue	1
105	過		=E97&F97&G97	k	ue	3
106	戈		=E98&F98&G98	kh	o	1
107	果		=E99&F99&G99	k	uenn	2
108	果		=E100&F100&G100	k	uann	2
109	裹		=E101&F101&G101	k	o	2
110	裹		=E102&F102&G102	k	ue	2
112	科		=E103&F103&G103	kh	ue	1
113	棵		=E104&F104&G104	kh	o	2
114	窠	文读	=E105&F105&G105	kh	o	1
115	窠	白读	=E106&F106&G106	kh	ue	1
116	顆		=E107&F107&G107	kh	onn	2
117	課		=E108&F108&G108	kh	ue	3
118	訛		=E109&F109&G109	ng	o	5
119	臥		=E110&F110&G110		o	6
120	火		=E111&F111&G111	h	ue	2
121	夥		=E112&F112&G112	h	ue	2
122	貨		=E113&F113&G113	h	ue	3
123	禾	训读	=E114&F114&G114	t	a	5
124	禾	六禾路，陈店镇一路名	=E115&F115&G115	h	ua	5
125	和	白读	=E116&F116&G116	h	ua	5
126	和	和尚	=E117&F117&G117	h	ue	5
127	和	“和尚”文读	=E118&F118&G118	h	o	5
128	和	搅和	=E119&F119&G119	h	ua	6
129	禍		=E120&F120&G120	h	ua	6
134	倭		=E121&F121&G121		o	1
135	窩		=E122&F122&G122		o	1
136	涴		=E123&F123&G123		u	3
137	涴		=E124&F124&G124		ue	3
138	瘸		=E125&F125&G125	kh	ue	5
139	靴		=E126&F126&G126	h	ia	1
140	巴		=E127&F127&G127	p	a	1
141	疤		=E128&F128&G128	p	a	1
142	芭		=E129&F129&G129	ph	a	1
143	把		=E130&F130&G130	p	a	2
144	把		=E131&F131&G131	p	e	2
145	把	一把嘴	=E132&F132&G132	p	e	3
146	爸		=E133&F133&G133	p	a	1
147	爸		=E134&F134&G134	p	e	6
148	欛		=E135&F135&G135	p	a	3
149	壩		=E136&F136&G136	p	a	3
150	垻		=E137&F137&G137	p	a	3
151	霸		=E138&F138&G138	p	a	3
152	怕		=E139&F139&G139	ph	a	3
153	琶		=E140&F140&G140	p	e	5
154	爬		=E141&F141&G141	p	e	5
155	爬		=E142&F142&G142	p	eh	4
156	爬		=E143&F143&G143	p	a	1
157	爬		=E144&F144&G144	p	a	5
158	麻	白读	=E145&F145&G145	m	ua	5
159	麻	文读	=E146&F146&G146	m	a	5
160	蟆		=E147&F147&G147	m	o	5
161	蟆	俗读	=E148&F148&G148	p	o	5
162	媽		=E149&F149&G149	m	a	5
163	媽		=E150&F150&G150	m	a	2
164	馬		=E151&F151&G151	b	e	2
165	馬		=E152&F152&G152	m	a	2
166	碼		=E153&F153&G153	b	e	5
167	罵		=E154&F154&G154	m	e	7
168	拿		=E155&F155&G155	n	a	2
169	拿	用、使用	=E156&F156&G156	l	a	2
170	詫		=E157&F157&G157	th	eh	8
171	茶		=E158&F158&G158	t	e	5
172	查		=E159&F159&G159	tsh	e	5
173	查		=E160&F160&G160	ts	a	1
174	渣		=E161&F161&G161	ts	a	1
175	詐		=E162&F162&G162	ts	a	3
176	詐	替字	=E163&F163&G163	t	enn	3
177	榨		=E164&F164&G164	ts	a	3
178	炸		=E165&F165&G165	ts	a	3
179	叉	白读	=E166&F166&G166	tsh	e	1
180	叉	文读	=E167&F167&G167	tsh	a	1
181	杈		=E168&F168&G168	tsh	e	1
182	差		=E169&F169&G169	tsh	a	1
183	差		=E170&F170&G170	tsh	e	1
184	差	参差	=E171&F171&G171	tsh	i	1
185	岔	文读	=E172&F172&G172	tsh	a	1
186	岔	白读	=E173&F173&G173	tsh	e	1
187	汊		=E174&F174&G174	tsh	e	1
190	乍		=E175&F175&G175	ts	a	3
191	沙	白读	=E176&F176&G176	s	ua	1
192	沙	沙发，老派音	=E177&F177&G177	s	o	1
193	沙	文读	=E178&F178&G178	s	a	1
194	紗	白读	=E179&F179&G179	s	e	1
195	紗	文读	=E180&F180&G180	s	a	1
196	灑		=E181&F181&G181	l	ok	8
197	嘉		=E182&F182&G182	k	ia	1
198	家	白读	=E183&F183&G183	k	e	1
199	家	家己	=E184&F184&G184	k	a	1
200	家	私家，老派文读	=E185&F185&G185	kh	ia	1
201	家	哀家、奴家，老派文读	=E186&F186&G186	k	ia	1
202	傢		=E187&F187&G187	k	e	1
203	加	文读	=E188&F188&G188	k	ia	1
204	加	多，白读	=E189&F189&G189	k	e	1
205	假	白读	=E190&F190&G190	k	e	2
206	假	白读	=E191&F191&G191	k	e	3
207	假	文读	=E192&F192&G192	k	ia	2
208	假	文读	=E193&F193&G193	k	ia	3
209	假		=E194&F194&G194	k	iah	8
210	賈	姓	=E195&F195&G195	k	ia	2
211	賈	商贾	=E196&F196&G196	k	u	2
212	稼	白读	=E197&F197&G197	k	e	3
213	稼	文读	=E198&F198&G198	k	ia	3
219	價	白读	=E199&F199&G199	k	e	3
220	價	价值，老派文读	=E200&F200&G200	k	ia	3
221	架	白读	=E201&F201&G201	k	e	3
222	架	老派文读	=E202&F202&G202	k	ia	3
223	駕	白读	=E203&F203&G203	k	e	3
224	駕	文读	=E204&F204&G204	k	ia	3
225	嫁	嫁妆，白读	=E205&F205&G205	k	e	3
226	嫁	嫁祸，文读	=E206&F206&G206	k	ia	3
227	牙	白读	=E207&F207&G207	g	e	5
228	牙	姜子牙，文读	=E208&F208&G208	g	ia	5
229	芽		=E209&F209&G209	g	e	5
230	衙		=E210&F210&G210	g	e	5
231	雅		=E211&F211&G211	ng	ia	2
232	訝		=E212&F212&G212	g	ia	5
233	迓		=E213&F213&G213	g	ia	5
234	蝦		=E214&F214&G214	h	e	5
235	嚇		=E215&F215&G215	h	eh	4
236	嚇	民间俗写，本字为“下”	he6	h	e	6
237	霞	文读	=E217&F217&G217	h	ia	5
238	霞	云霞，白读	=E218&F218&G218	h	e	5
239	遐		=E219&F219&G219	h	ia	5
240	瑕		=E220&F220&G220	h	ia	5
242	下	文读	=E221&F221&G221	h	ia	6
243	下	种下、伸入，白读	=E222&F222&G222	h	e	6
244	下	下伯公	=E223&F223&G223	h	e	7
245	下	低	=E224&F224&G224	k	e	6
246	下	低	=E225&F225&G225		e	6
247	下	一下	=E226&F226&G226		e	7
248	夏	白读	=E227&F227&G227	h	e	7
249	夏	夏朝，文读	=E228&F228&G228	h	ia	7
250	廈	白读	=E229&F229&G229	h	e	7
251	廈	文读	=E230&F230&G230	h	ia	7
258	暇		=E231&F231&G231	h	ia	3
261	丫		=E232&F232&G232		ia	1
262	鴉		=E233&F233&G233		a	1
263	鴉	鸦片	=E234&F234&G234		ann	1
264	啞		=E235&F235&G235		e	2
265	亞		=E236&F236&G236		a	1
266	亞		=E237&F237&G237		a	3
267	嗟		tsia1	ts	ia	1
268	姐	白读	=E239&F239&G239	ts	e	2
269	姐	俗写作“姊”	=E240&F240&G240	ts	i	2
270	姐	小姐，文读	=E241&F241&G241	ts	ia	2
271	借		=E242&F242&G242	ts	ioh	4
272	借	借口	=E243&F243&G243	ts	ia	6
273	且		=E244&F244&G244	tsh	iann	2
274	藉		=E245&F245&G245	ts	ia	6
275	褯		=E246&F246&G246	ts	ia	6
276	些		=E247&F247&G247	s	e	1
277	寫		=E248&F248&G248	s	ia	2
278	瀉		=E249&F249&G249	s	ia	3
279	卸		=E250&F250&G250	s	ia	3
280	邪		=E251&F251&G251	s	ia	5
281	邪		=E252&F252&G252		ia	5
282	斜		=E253&F253&G253	s	ia	1
283	斜		=E254&F254&G254	s	ia	5
284	謝		=E255&F255&G255	s	ia	7
285	謝	姓	=E256&F256&G256	ts	ia	7
286	爹		=E257&F257&G257	t	ia	1
287	遮		=E258&F258&G258	ts	ia	1
288	者		=E259&F259&G259	ts	ia	2
289	蔗		=E260&F260&G260	ts	ia	3
290	車		=E261&F261&G261	tsh	ia	1
291	車		=E262&F262&G262	k	u	1
292	扯		=E263&F263&G263	tsh	e	2
293	蛇		=E264&F264&G264	ts	ua	5
294	射		=E265&F265&G265	s	ia	7
295	奢		=E266&F266&G266	tsh	ia	1
296	賒		=E267&F267&G267	tsh	ia	1
297	捨		=E268&F268&G268	s	ia	3
298	捨	四舍五入	=E269&F269&G269	s	ia	2
299	赦		=E270&F270&G270	s	ia	3
300	舍		=E271&F271&G271	s	ia	3
301	社		=E272&F272&G272	s	ia	6
302	社	社会，老派音	=E273&F273&G273	s	iau	6
303	惹		=E274&F274&G274	dz	ia	2
304	耶		=E275&F275&G275		ia	7
305	耶		=E276&F276&G276		e	7
306	耶		=E277&F277&G277		ia	5
307	椰		=E278&F278&G278		ia	5
308	爺		=E279&F279&G279		ia	5
309	冶		=E280&F280&G280		ia	2
310	也		=E281&F281&G281		ia	7
311	也		=E282&F282&G282		e	7
312	也		=E283&F283&G283		a	7
313	野		=E284&F284&G284		ia	2
314	夜		=E285&F285&G285	m	e	5
315	傻		=E286&F286&G286	s	a	5
316	傻		=E287&F287&G287	s	o	5
317	瓜	白读	=E288&F288&G288	k	ue	1
318	瓜	文读	=E289&F289&G289	k	ua	1
319	蝸		=E290&F290&G290		o	1
320	寡		=E291&F291&G291	k	ua	2
321	剮		=E292&F292&G292	k	ua	2
322	咵		=E293&F293&G293	kh	ua	1
323	垮		=E294&F294&G294	kh	ua	1
324	跨		=E295&F295&G295	kh	ua	3
325	娃		=E296&F296&G296		ua	1
326	娃		=E297&F297&G297		ua	5
327	瓦	白读	=E298&F298&G298	h	ia	6
328	瓦	瓦刀，白读	=E299&F299&G299	h	ue	7
329	瓦	文读	=E300&F300&G300		ua	6
330	花	白读	=E301&F301&G301	h	ue	1
331	花	花费，文读	=E302&F302&G302	h	ua	1
332	化	白读	=E303&F303&G303	h	ue	3
333	化	文读	=E304&F304&G304	h	ua	3
334	化	马化腾	=E305&F305&G305	h	ua	1
335	華		=E306&F306&G306	h	ua	1
336	華		=E307&F307&G307	h	ua	5
337	華	地名雅化	=E308&F308&G308		e	6
341	蛙		=E309&F309&G309		ua	1
342	洼		=E310&F310&G310		ua	1
343	補		=E311&F311&G311	p	ou	2
344	譜		=E312&F312&G312	ph	ou	2
345	布	白读	=E313&F313&G313	p	ou	3
346	布	公布，文读	=E314&F314&G314	pf	u	3
347	佈	白读	=E315&F315&G315	p	ou	3
348	佈	文读	=E316&F316&G316	pf	u	3
349	鋪	店铺	=E317&F317&G317	ph	ou	3
350	鋪	床	=E318&F318&G318	ph	ou	1
351	普		=E319&F319&G319	ph	ou	2
352	浦		=E320&F320&G320	ph	ou	2
355	怖	白读	=E321&F321&G321	p	ou	3
356	怖	文读	=E322&F322&G322	pf	u	3
357	菩	菩萨，白读	=E323&F323&G323	ph	o	5
358	菩	菩提，文读	=E324&F324&G324	pfh	u	5
359	蒲		=E325&F325&G325	pfh	u	5
360	脯		=E326&F326&G326	p	ou	2
361	部		=E327&F327&G327	p	ou	6
362	簿		=E328&F328&G328	ph	ou	6
363	步		=E329&F329&G329	p	ou	7
364	捕		pfu6	pf	u	6
365	埠		=E331&F331&G331	p	ou	1
366	模		=E332&F332&G332	m	o	5
367	模	模糊	=E333&F333&G333	m	ou	5
368	模	模型	=E334&F334&G334	b	ou	5
369	暮		=E335&F335&G335	m	ou	6
370	墓		=E336&F336&G336	m	ou	6
371	募		=E337&F337&G337	m	ou	6
372	慕		=E338&F338&G338	m	ou	6
373	都		=E339&F339&G339	t	ou	1
374	都		=E340&F340&G340	t	o	1
375	堵		=E341&F341&G341	t	u	2
376	賭	文读	=E342&F342&G342	t	u	2
377	賭	白读	=E343&F343&G343	t	ou	2
378	肚		=E344&F344&G344	t	ou	2
379	肚	猪肚	=E345&F345&G345	t	ou	6
380	妒		=E346&F346&G346	k	ou	3
381	蠹		=E347&F347&G347	t	u	3
382	土		=E348&F348&G348	th	ou	2
383	土	土粪	=E349&F349&G349	t	ou	6
384	吐		=E350&F350&G350	th	ou	3
385	兔		=E351&F351&G351	th	ou	3
386	途		=E352&F352&G352	th	u	5
387	屠	白读	=E353&F353&G353	t	ou	5
388	屠	文读	=E354&F354&G354	th	u	5
389	圖	白读	=E355&F355&G355	t	ou	5
390	圖	文读	=E356&F356&G356	th	u	5
391	徒		=E357&F357&G357	th	u	5
394	杜		=E358&F358&G358	t	ou	6
395	度	温度	=E359&F359&G359	t	ou	7
396	度	揣度	=E360&F360&G360	t	ak	8
397	渡		=E361&F361&G361	t	ou	7
398	渡		=E362&F362&G362	t	ou	6
399	鍍		=E363&F363&G363	t	ou	7
400	奴	白读	=E364&F364&G364	n	ou	5
401	奴	白读	=E365&F365&G365	n	o	5
402	奴	文读	=E366&F366&G366	n	u	5
403	努		=E367&F367&G367	n	o	3
404	怒		=E368&F368&G368	n	o	3
405	盧	姓，白读	=E369&F369&G369	l	ou	5
406	盧	文读	=E370&F370&G370	l	u	5
407	爐		=E371&F371&G371	l	ou	5
408	鹵	卤汤	=E372&F372&G372	l	ou	2
409	鹵	腌制	=E373&F373&G373	l	ou	6
410	魯	文读	=E374&F374&G374	l	u	2
411	魯	粗鲁，老派白读	=E375&F375&G375	l	ou	2
412	櫓	文读	=E376&F376&G376	l	u	2
413	櫓	白读	=E377&F377&G377	l	ou	2
414	虜		=E378&F378&G378	l	u	2
415	露		=E379&F379&G379	l	ou	3
416	露		=E380&F380&G380	l	ou	6
417	露		=E381&F381&G381	l	ou	7
418	路	白读	=E382&F382&G382	l	ou	7
419	路	姓，文读	=E383&F383&G383	l	u	6
420	賂		=E384&F384&G384	l	u	6
421	賂		=E385&F385&G385	l	uk	8
422	租		=E386&F386&G386	ts	ou	1
423	祖		=E387&F387&G387	ts	ou	2
424	組		=E388&F388&G388	ts	u	1
426	粗		=E389&F389&G389	tsh	ou	1
427	醋		=E390&F390&G390	tsh	ou	3
428	錯		=E391&F391&G391	tsh	o	3
429	措		=E392&F392&G392	tsh	o	3
430	措		=E393&F393&G393	tsh	u	3
431	蘇		=E394&F394&G394	s	ou	1
432	蘇	苏打	=E395&F395&G395	s	o	3
433	酥		=E396&F396&G396	s	ou	1
434	素	文读	=E397&F397&G397	s	u	3
435	素	味素，味道，文读	=E398&F398&G398	s	ou	3
436	塑		=E399&F399&G399	s	ok	4
437	訴		=E400&F400&G400	s	u	3
438	嗉		=E401&F401&G401	s	u	3
439	辜	文读	=E402&F402&G402	k	u	1
440	辜	姓，白读	=E403&F403&G403	k	ou	1
441	孤		=E404&F404&G404	k	ou	1
442	箍		=E405&F405&G405	kh	ou	1
443	姑	白读	=E406&F406&G406	k	ou	1
444	姑	姑息、姑且，文读	=E407&F407&G407	k	u	1
445	估		=E408&F408&G408	k	ou	2
446	估	以为	=E409&F409&G409	k	au	1
447	古		=E410&F410&G410	k	ou	2
448	古	古帅，原名古戍，潮阳地名	=E411&F411&G411	kh	ou	2
449	古	古怪，本字可能是“龟”	=E412&F412&G412	k	u	1
452	股		=E413&F413&G413	k	ou	2
453	鼓	白读	=E414&F414&G414	k	ou	2
454	鼓	鼓动，文读	=E415&F415&G415	k	u	2
455	蠱		=E416&F416&G416	k	u	2
456	故	文读	=E417&F417&G417	k	u	3
457	故	故乡，老派白读	=E418&F418&G418	k	ou	3
458	故	训读，本字“旧”	=E419&F419&G419	k	u	7
459	顧	文读	=E420&F420&G420	k	u	3
460	顧	姓，白读	=E421&F421&G421	k	ou	3
461	固		=E422&F422&G422	k	u	3
462	雇		=E423&F423&G423	k	ou	3
463	枯		=E424&F424&G424	k	ou	1
464	苦		=E425&F425&G425	kh	ou	2
465	庫		=E426&F426&G426	kh	ou	3
466	褲		=E427&F427&G427	kh	ou	3
467	梧	魁梧	=E428&F428&G428	ng	u	5
468	梧	梧桐	=E429&F429&G429	ng	o	5
469	吾		=E430&F430&G430	ng	u	5
470	吾	支支吾吾	=E431&F431&G431		u	5
471	吳		=E432&F432&G432	g	ou	5
472	五		=E433&F433&G433	ng	ou	2
473	五		=E434&F434&G434	ng	ou	6
474	五		=E435&F435&G435	ng	om	6
475	午		=E436&F436&G436	ng	ou	2
476	伍		=E437&F437&G437	ng	ou	2
477	伍	五的大写	=E438&F438&G438	ng	ou	6
478	悟	文读	=E439&F439&G439	ng	u	6
479	悟	孙悟空	=E440&F440&G440	m	o	5
480	悟	白读	=E441&F441&G441	g	ou	7
481	誤		=E442&F442&G442	g	ou	7
482	呼	文读	=E443&F443&G443	h	u	1
483	呼	呼猪，白读	=E444&F444&G444	kh	ou	1
484	呼	呼我，白读	=E445&F445&G445	kh	o	1
485	呼	呼我，白读	=E446&F446&G446	h	o	1
486	呼	呼我，白读	=E447&F447&G447	h	ou	1
487	虎	白读	=E448&F448&G448	h	ounn	2
488	虎	马虎，文读	=E449&F449&G449	h	u	1
489	滸	文读	=E450&F450&G450	h	u	2
490	滸	浒苔，白读	=E451&F451&G451	kh	ou	2
491	戽		=E452&F452&G452	h	ou	3
492	乎		=E453&F453&G453	h	u	1
493	壺		=E454&F454&G454	h	u	5
494	瓠	白读	=E455&F455&G455	pf	u	5
495	瓠	文读	=E456&F456&G456	h	u	5
496	胡	文读	=E457&F457&G457	h	u	5
497	胡	白读	=E458&F458&G458	h	ou	5
498	胡	姓，白读	=E459&F459&G459		ou	5
499	狐	文读	=E460&F460&G460	h	u	5
500	狐	白读	=E461&F461&G461	h	ou	5
501	湖		=E462&F462&G462		ou	5
502	鈑	白读	=E463&F463&G463	p	ainn	2
503	鈑	文读	=E464&F464&G464	p	ang	2
504	戶	白读	=E465&F465&G465	h	ou	6
505	戶	文读	=E466&F466&G466	h	u	6
506	滬		=E467&F467&G467	h	u	6
507	互		=E468&F468&G468	h	u	6
508	互		=E469&F469&G469	h	u	5
509	護	文读	=E470&F470&G470	h	u	6
510	護	保护，保佑	=E471&F471&G471	h	o	7
513	烏	白读	=E472&F472&G472		ou	1
514	烏	文读	=E473&F473&G473		u	1
515	污		=E474&F474&G474		u	1
516	塢		=E475&F475&G475		u	3
517	惡	可恶	=E476&F476&G476		u	3
518	惡	恶毒	=E477&F477&G477		ak	8
519	惡	恶心	=E478&F478&G478		eh	4
520	惡	恶心，训读，本字“秽”	=E479&F479&G479		uek	4
521	女	妞、女朋友，文读	=E480&F480&G480	n	i	2
522	廬	白读	=E481&F481&G481	l	ou	5
523	廬	文读	=E482&F482&G482	l	u	5
524	驢		=E483&F483&G483	l	u	5
525	呂		=E484&F484&G484	l	u	6
526	侶		=E485&F485&G485	l	u	6
527	旅		=E486&F486&G486	l	u	2
528	旅		=E487&F487&G487	l	i	2
529	慮		=E488&F488&G488	l	u	6
530	濾		=E489&F489&G489	l	u	6
531	蛆		=E490&F490&G490	tsh	u	1
532	疽		=E491&F491&G491	tsh	u	1
533	胥		=E492&F492&G492	s	u	1
534	絮		=E493&F493&G493	s	u	3
535	徐	文读	=E494&F494&G494	s	u	5
536	徐	白读	=E495&F495&G495	tsh	u	5
537	序		=E496&F496&G496	s	u	6
538	緒		=E497&F497&G497	s	u	2
539	叙		=E498&F498&G498	s	u	6
540	豬		=E499&F499&G499	t	u	1
541	著	名著	=E500&F500&G500	t	u	3
542	著	同“着”	=E501&F501&G501	t	ioh	8
543	著	同“着”	=E502&F502&G502	t	ioh	4
544	褚		=E503&F503&G503	t	u	2
545	除		=E504&F504&G504	t	u	5
546	儲		=E505&F505&G505	th	u	5
547	苧		=E506&F506&G506	t	iu	6
548	箸		=E507&F507&G507	t	u	7
549	阻		=E508&F508&G508	ts	o	2
550	初	当初	=E509&F509&G509	tsh	o	1
551	初	正月初一	=E510&F510&G510	tsh	iu	1
552	楚		=E511&F511&G511	tsh	o	2
553	鋤	锄头	=E512&F512&G512	t	u	5
554	鋤	锄草	=E513&F513&G513	tsh	o	5
555	疏		=E514&F514&G514	s	o	1
556	蔬		=E515&F515&G515	s	o	1
557	梳		=E516&F516&G516	s	iu	1
558	所		=E517&F517&G517	s	o	2
560	諸		=E518&F518&G518	ts	u	1
561	煮		=E519&F519&G519	ts	u	2
562	處		=E520&F520&G520	tsh	u	3
563	處		=E521&F521&G521	tsh	u	2
566	書		=E522&F522&G522	ts	u	1
567	舒		=E523&F523&G523	s	u	1
568	鼠	白读	=E524&F524&G524	tsh	u	2
569	鼠	鼠标、鼠目寸光，文读	=E525&F525&G525	s	u	2
570	暑		=E526&F526&G526	s	u	2
571	黍	文读	=E527&F527&G527	s	u	2
572	黍	白读	=E528&F528&G528	s	iu	2
573	庶		=E529&F529&G529	s	u	3
574	恕		=E530&F530&G530	n	o	6
575	墅		=E531&F531&G531	s	u	2
576	薯		=E532&F532&G532	ts	u	5
577	署		=E533&F533&G533	s	u	2
578	如		=E534&F534&G534	dz	u	5
579	汝	白读	=E535&F535&G535	l	u	2
580	汝	文读	=E536&F536&G536	dz	u	3
581	居		=E537&F537&G537	k	u	1
582	車	车子	=E538&F538&G538	tsh	ia	1
583	車	象棋里的“车”	=E539&F539&G539	k	u	1
584	舉		=E540&F540&G540	k	u	2
585	鋸		=E541&F541&G541	k	u	3
586	據		=E542&F542&G542	k	u	6
587	墟		=E543&F543&G543	h	u	1
588	去	文读	=E544&F544&G544	kh	u	3
589	去	白读	=E545&F545&G545	kh	a	3
590	渠		=E546&F546&G546	kh	u	5
591	巨		=E547&F547&G547	k	u	6
592	距		=E548&F548&G548	k	u	6
593	拒		=E549&F549&G549	k	u	6
594	遽		=E550&F550&G550	k	u	6
595	魚		=E551&F551&G551	h	u	5
596	漁	白读	=E552&F552&G552	h	u	5
597	漁	文读	=E553&F553&G553	ng	u	5
598	語		=E554&F554&G554	ng	u	2
599	語	语文	=E555&F555&G555	ng	ou	2
600	御		=E556&F556&G556	ng	u	7
601	御		=E557&F557&G557	g	u	7
602	禦		=E558&F558&G558	ng	u	6
603	虛		=E559&F559&G559	h	u	1
604	噓		=E560&F560&G560	h	u	1
605	噓	嘘尿，长辈吹口哨帮小孩子尿尿	=E561&F561&G561	s	i	1
606	許	文读	=E562&F562&G562	h	u	2
607	許	姓，白读	=E563&F563&G563	kh	ou	2
608	許		=E564&F564&G564	h	i	2
609	淤	淤泥	=E565&F565&G565		u	1
610	淤	淤塞	=E566&F566&G566		u	3
611	於		=E567&F567&G567		u	1
612	於		=E568&F568&G568		i	1
613	余		=E569&F569&G569		u	5
614	餘		=E570&F570&G570		u	5
615	與		=E571&F571&G571		u	2
617	譽		=E572&F572&G572		u	6
618	預		=E573&F573&G573		u	5
619	豫		=E574&F574&G574		u	6
620	夫	文读	=E575&F575&G575	h	u	1
621	夫	诸夫，也写作丈夫，白读	=E576&F576&G576	p	ou	1
622	膚		=E577&F577&G577	h	u	1
623	甫		=E578&F578&G578	ph	ou	2
624	斧		=E579&F579&G579	p	ou	2
625	府		=E580&F580&G580	h	u	2
626	腑		=E581&F581&G581	h	u	2
627	俯		=E582&F582&G582	h	u	2
628	俯		=E583&F583&G583	h	u	6
629	賦		=E584&F584&G584	h	u	3
630	傅	文读	=E585&F585&G585	h	u	3
631	傅	姓，白读	=E586&F586&G586	p	ou	3
632	付		=E587&F587&G587	h	u	3
633	敷		=E588&F588&G588	h	u	1
634	俘		=E589&F589&G589	h	u	1
635	撫		=E590&F590&G590	bv	u	2
636	赴		=E591&F591&G591	h	u	3
637	訃		=E592&F592&G592	h	u	3
638	符		=E593&F593&G593	h	u	5
639	扶		=E594&F594&G594	h	u	5
640	釜		=E595&F595&G595	h	u	5
641	腐	腐败	=E596&F596&G596	h	u	1
642	腐	豆腐	=E597&F597&G597	h	u	7
643	輔		=E598&F598&G598	h	u	6
644	父	文读	=E599&F599&G599	h	u	6
645	父	训读，本字“爸”	=E600&F600&G600	p	e	6
646	附		=E601&F601&G601	h	u	3
647	毋	文读	=E602&F602&G602	bv	u	5
648	巫		=E603&F603&G603	bv	u	5
