字	IPA	调值	注释
系	ɕi	24	
細	ɕi	24	
戲	ɕi	24	
泣	ɕi	31	
息	ɕi	31	
惜	ɕi	31	
席	ɕi	31	
習	ɕi	31	
媳	ɕi	31	
恤	ɕi	31	
洗	ɕi	42	
徙	ɕi	42	
喜	ɕi	42	
璽	ɕi	42	
兮	ɕi	45	
西	ɕi	45	
希	ɕi	45	
奚	ɕi	45	
些	ɕi	45	
下	ɕia	24	
瞎	ɕia	31	
匣	ɕia	31	
狹	ɕia	31	
霞	ɕia	31	
挾	ɕia	31	
斜	ɕia	31	
蝦	ɕia	45	
孩	ɕiai	31	
偕	ɕiai	31	
諧	ɕiai	31	
象	ɕiaŋ	24	
像	ɕiaŋ	24	
祥	ɕiaŋ	31	
詳	ɕiaŋ	31	
想	ɕiaŋ	42	
仰	ɕiaŋ	42	
香	ɕiaŋ	45	
鄉	ɕiaŋ	45	
孝	ɕiau	24	
校	ɕiau	24	
笑	ɕiau	24	
效	ɕiau	24	
淆	ɕiau	31	
肴	ɕiau	31	
小	ɕiau	42	
曉	ɕiau	42	
消	ɕiau	45	
蕭	ɕiau	45	
囂	ɕiau	45	
謝	ɕie	24	
歇	ɕie	31	
邪	ɕie	31	
協	ɕie	31	
脅	ɕie	31	
穴	ɕie	31	
寫	ɕie	42	
限	ɕien	24	
現	ɕien	24	
縣	ɕien	24	
憲	ɕien	24	
閑	ɕien	31	
嫌	ɕien	31	
賢	ɕien	31	
險	ɕien	42	
仙	ɕien	45	
先	ɕien	45	
袖	ɕiəu	24	
囚	ɕiəu	31	
休	ɕiəu	45	
信	ɕin	24	
釁	ɕin	24	
杏	ɕin	24	
幸	ɕin	24	
性	ɕin	24	
姓	ɕin	24	
行	ɕin	31	
形	ɕin	31	
心	ɕin	45	
欣	ɕin	45	
新	ɕin	45	
星	ɕin	45	
興	ɕin	45	
削	ɕye	31	
薛	ɕye	31	
雪	ɕye	31	
血	ɕye	31	
靴	ɕye	45	
弦	ɕyen	31	
玄	ɕyen	31	
旋	ɕyen	31	
懸	ɕyen	31	
選	ɕyen	42	
癬	ɕyen	42	
掀	ɕyen	45	
鮮	ɕyen	45	
宣	ɕyen	45	
軒	ɕyen	45	
喧	ɕyen	45	
暄	ɕyen	45	
遂	ɕyi	24	
序	ɕyi	24	
