tsɿ[1]资姿恣咨谘兹滋孳辎锱孜栀
tsɿ[3]子紫姊籽秭滓梓仔{～细}
tsɿ[5]字巳自寺
tsʰɿ[1]雌疵
tsʰɿ[2]词祠饲伺嗣辞瓷茨糍磁慈鹚
tsʰɿ[3]此
tsʰɿ[5]次似刺赐祀
sɿ[1]思丝私司斯撕嘶蛳师狮
sɿ[3]死
sɿ[5]四驷肆事士仕
pi[3]比妣彼譬
pi[5]币闭避臂弊敝蔽蓖篦毙毖陛滗被备鐾{～刀布}
pi[7]笔必毕壁碧逼鼻璧弼
pʰi[1]批砒披痹
pʰi[2]皮疲脾啤枇琵
pʰi[3]丕痞鄙匕庇
pʰi[5]屁
pʰi[7]辟劈霹匹
mi[1]眯咪
mi[2]迷弥猕眉楣媚
mi[3]米靡糜
mi[5]谜泌
mi[7]蜜密秘
ti[1]低的{我～}
ti[3]底抵诋柢
ti[5]地第弟递帝缔蒂谛隶
ti[7]敌滴嫡嘀笛狄荻涤的{目～}
tʰi[1]梯锑
tʰi[2]提题堤蹄啼屉
tʰi[3]体
tʰi[5]嚏涕剃
tʰi[7]踢剔惕
ni[2]泥尼妮霓宜疑
ni[3]你拟
ni[5]腻逆
ni[7]溺匿
li[2]离篱漓璃黎梨犁厘狸哩骊
li[3]里理鲤娌李礼
li[5]利例莉俐痢丽厉励吏荔
li[7]栗力历沥立粒笠
tsi[3]挤
tsi[5]际祭济剂
tsi[7]积集即鲫唧疾脊瘠绩迹籍
tsʰi[1]妻凄栖
tsʰi[2]齐脐叱恃
tsʰi[3]侈
tsʰi[5]砌
tsʰi[7]七漆膝戚缉辑
si[1]西牺犀
si[3]洗徙
si[5]细
si[7]席习昔惜析晰息熄婿媳悉夕锡檄袭隙恤
ʧi[1]之芝支枝肢知蜘
ʧi[3]止址趾指旨纸脂只
ʧi[5]志痣峙痔智至制置致治稚滞雉
ʧi[7]直植殖职窒织帜侄质汁执挚蛰掷炙隻
ʧʰi[1]痴
ʧʰi[2]迟持池驰弛
ʧʰi[3]耻齿始
ʧʰi[7]吃尺秩斥赤
ʃi[1]诗施尸
ʃi[2]时饰什匙
ʃi[3]使史驶屎矢
ʃi[5]示势市视世式试是豉氏逝誓侍柿嗜
ʃi[7]室识失适十拾石实食蚀湿释
ki[1]机饥肌讥基箕鸡羁
ki[3]己纪杞几麂
ki[5]计记季既寄继忌技妓
ki[7]及级极吸击激急吉髻戟桔
kʰi[1]欺
kʰi[2]其期棋旗麒奇骑崎畸歧
kʰi[3]起启岂
kʰi[5]气汽器
kʰi[7]企契乞迄讫
xi[1]稀希溪熙
xi[3]喜
xi[5]弃系戏
i[1]衣医依伊裔
i[2]夷胰姨彝移仪遗谊
i[3]以已矣椅蚁
i[5]意义议异翼易肄毅臆懿
i[7]一壹乙艺忆益溢亿译驿亦揖抑邑逸液掖腋翳
pu[3]补
pu[5]部布步簿怖
pu[7]不蔔
pʰu[1]铺潽{沸水溢出}
pʰu[2]蒲讣葡菩匍蹼璞醭脯{胸～}
pʰu[3]普浦谱圃捕哺甫辅脯{果～}
pʰu[5]铺
pʰu[7]仆朴扑卜
mu[3]母姆
mu[5]墓幕慕暮募蓦
mu[7]目木沐牧穆睦
fu[1]夫肤敷孵俘
fu[2]扶芙
fu[3]府俯腑腐{～烂}
fu[5]副妇附负父富付傅赴赋咐驸腐{豆～}
fu[7]复服伏袱茯拂佛幅辐蝠覆腹
tu[1]都
tu[2]毒{又}
tu[3]堵赌睹肚{猪～}
tu[5]度渡镀杜妒蠹肚{～腹}
tu[7]读独毒督犊牍笃
tʰu[2]图途涂徒屠
tʰu[3]土
tʰu[5]吐兔
tʰu[7]突凸秃
nu[2]奴
nu[3]努
nu[5]怒
lu[1]轳
lu[2]炉芦卢颅庐鸬驴
lu[3]鲁橹卤虏掳
lu[5]路露鹭
lu[7]赂录绿碌禄陆鹿麓
tsu[1]租
tsu[3]组祖阻诅
tsu[5]助
tsu[7]足逐
tsʰu[1]粗雏刍
tsʰu[5]醋
tsʰu[7]速束促簇族畜
su[1]苏酥
su[5]素诉
su[7]肃俗宿粟蜀
ʧu[7]祝竹筑烛浊触嘱
ʧʰu[1]初
ʧʰu[2]锄
ʧʰu[3]楚础
ʃu[1]蔬梳疏
ʃu[3]数
ʃu[5]数塑漱
ʃu[7]属叔熟塾赎续
ku[1]孤菰姑菇辜鸪箍
ku[3]古估沽牯鼓股蛊
ku[5]固顾故雇
ku[7]谷骨
kʰu[1]枯
kʰu[3]苦
kʰu[5]库裤
kʰu[7]窟哭酷梏
xu[1]乎呼
xu[2]胡湖糊葫蝴壶弧狐
xu[3]抚釜斧虎浒
u[1]乌污巫诬呜
u[2]无梧芜吴蜈吾悟{孙～空}
u[3]五伍武鹉舞午侮
u[5]务互户护沪误雾晤戊悟恶{厌恶}
u[7]物忽勿屋握幄
ny[3]女
ly[3]吕铝侣旅
ly[5]虑滤
ly[7]捋率律
tsy[5]聚
tsy[7]卒
tsʰy[1]趋蛆黢
tsʰy[3]取娶
tsʰy[5]趣
sy[1]需须抒荽{芫～}
sy[2]蓄黍
sy[5]序
ʧy[1]猪诸珠株朱蛛诛殊
ʧy[3]主煮
ʧy[5]注住柱驻蛀铸
ʧy[7]著箸
