"#符号说明：-白=文/书*俗?待考"	
"#调值"	"［1］陰平³³［3］上⁵¹［5］去²⁴［8］ 入ʔ³¹       #陽平歸入，入声爲喉塞音。"
"#a"	
"p"	"［1］巴芭疤笆峇粑捌叭吧［8］把{～握}八拔跋魃［3］把{刀～}靶［5］爸坝霸罢灞"
"pʰ"	"［1］趴葩啪［8］爬扒耙琶［5］怕帕"
"m"	"［1］妈［8］麻蟆抹{～布}蔴［5］骂［3］马码蚂玛犸"
"f"	"［1］发{～送}［8］法伐罚阀乏筏砝珐"
"v"	"［1］挖蛙洼娲娃［8］袜［5］瓦佤"
"t"	"［8］达答搭鞑妲靼瘩［5］大［3］打"
"tʰ"	"［1］他=它=牠祂［8］踏塔搨榻塌拓蹋遢="
"n"	"［5］呐纳娜捺钠衲［8］拿"
"l"	"［1］拉喇垃［8］辣邋=［3］邋-{~遢：肮脏}哪［5］那="
"ts"	"［1］渣［8］杂眨砸扎札轧铡闸匝［5］楂乍诈榨炸栅"
"tsʰ"	"［1］叉杈差{～别}岔汊［8］茶搽茬查插霎擦察碴［3］诧"
"s"	"［1］莎沙纱鲨刹［8］杀煞［3］洒傻撒"
"z"	"［1］鸦丫桠［8］牙芽衙雅闸鸭押压"
"k"	"［1］家［3］遢-{邋~：肮脏}嘎{～喇：吵闹}"
"kʰ"	"［8］掐［3］卡"
"h"	"［1］哈［8］蛤"
"Ø"	"［1］啊阿［3］哑［5］阿{～哥}"
"#o"	
"p"	"［1］波菠玻钹播［8］拨薄博钵勃剥驳卜柏伯帛搏珀箔舶脖膊渤泊［3］跛"
"pʰ"	"［1］坡婆［8］菩泼婆［5］破"
"m"	"［1］摩摸［8］魔末沫抹{～煞}没{沉～}莫膜寞漠馍模{劳～}默陌磨{～刀}［5］磨{石～}"
"v"	"［1］窝涡［8］倭龌鹅［5］饿"
"t"	"［1］多哆［8］夺铎踱掇［3］朵躲垛［5］舵剁堕惰跺"
"tʰ"	"［1］拖［8］驼驮脱托［3］妥椭［5］拓"
"n"	"［8］挪傩娜［5］懦诺"
"l"	"［1］啰［8］罗萝螺锣乐逻摞［3］裸［5］糯那-"
"ts"	"［1］捉［8］拙着{～凉}酌灼芍作凿昨卓桌琢啄浊镯［3］左［5］佐坐座做"
"tsʰ"	"［1］搓初磋［8］龊锄矗戳绰撮［5］锉措错挫"
"s"	"［1］蓑梭唆梳疏蔬说［8］勺索"
"z"	"［8］若弱疟约{预～}药岳 ［5］跃"
"k"	"［1］歌哥戈［8］鸽割葛郭廓各阁搁胳角疙蛤铬［5］个"
"kʰ"	"［1］柯轲［8］磕瞌壳咳［3］可渴［5］阔扩括廓"
"h"	"［8］荷喝合盒豁活鹤霍［5］获或惑捇"
"ŋ"	"［8］蛾俄峨讹腭鄂娥遏［3］我"
"Ø"	
"#ə"	
"h"	"［1］他-它-"
"z"	"［8］叶{树～}"
"#ɤ"	
"t"	"［8］得德"
"tʰ"	"［8］特忒"
"n"	
"l"	"［8］肋勒"
"ts"	"［8］则贼泽择窄"
"tsʰ"	"［8］拆掣"
"s"	"［8］瑟"
"k"	"［8］格革隔"
"kʰ"	"［8］客［1］科蝌［8］苛刻克［5］去"
"h"	"［8］黑吓{恐～}核{审～}"
"Ø"	"［8］而额厄扼［3］尔耳饵恶洱［5］二贰"
"#i"	
"p"	"［8］笔逼鼻碧毕必［3］蓖比秕彼［5］臂被{棉～}蔽敝弊币毙闭陛庇痹备篦滗毖避"
"pʰ"	"［1］披批纰［8］譬皮疲脾鄙匹璧壁辟劈霹鐾琵枇［5］屁［3］彼痞"
"m"	"［8］糜弥靡迷谜密蜜觅汨［3］米［5］秘泌"
"v"	
"t"	"［1］低的{～确}［8］滴嫡笛敌狄涤荻迪翟［3］底抵［5］蒂弟第递地帝的{目～}缔"
