ʅ
tʂ[1]知蜘支枝肢栀芝[2]质帜执汁质织职[3]纸脂旨指之止趾址[5]制製智翅致至鳍痔志誌痣蛰直值掷蛰{惊~}
tʂʰ[1]痴[2]踟齿侄秩赤斥[3]侈耻嗤[5]置饬殖植
dʐ[2]池驰迟持[6]滞雉稚治
ʂ[1]施师狮蛳尸诗[2]匙矢湿室识释[3]眵屎使史驶始[5]世势誓逝嗜柿试十拾实食式饰石
ʐ[2]豉时鲋莳适[6]是氏示视蚀市柿{ʐʅ piã 柿餅}

ɿ
ʦ[1]资姿咨兹滋辎[3]紫姊子梓滓[5]恃
ʦʰ[1]雌疵差[3]此[5]刺赐次茨
ʣ[2]瓷糍慈磁鹚辞词祠[6]自字祀巳事侍
s[1]斯厮撕私司丝思[3]死寺嗣使[5]四肆饲俟[6]伺似士仕

i
p[3]蓖鄙比畀[5]蔽敝弊毙闭秘泌痹滗
pʰ[1]批披篦[2]譬匹辟僻闢劈劈霹[3]彼臂庇纰痞[5]屁
b[2]皮疲脾琵枇笔毕必逼碧壁[6]币陛被被避鼻
m[2]迷糜弥靡[3]米[5]抿密蜜觅[6]谜
l[2]犁黎离篱璃离梨厘[3]旅礼履狸李里裹理鲤笠[5]励丽隶荔吏立粒楝栗律率力历暦[6]例厉蜊利痢
ʨ[1]鸡稽奇饥肌机讥屐[2]藉忌缉急及吉即戟积迹脊绩击激[3]挤几麂基己几饑几嘴给[5]祭际济剂计继繫髻寄冀纪记既醉季讫[6]骤
ʨʰ[1]蛆趋妻凄凄栖淬欺竣[2]集辑级吸七漆疾膝乞极籍藉戚戚寂[3]取娶启起岂[5]趣砌契器气汽
ʥ[2]徐齐脐畦奇骑岐歧祁杞其棋期旗祈[6]序叙聚企技妓麒
ȵ[2]泥泥倪霓宜仪蚁谊尼疑[3]呢你拟[5]日{~头：太阳}[6]艺义议腻匿逆溺
ɕ[1]须鬚需西犀溪奚兮牺嬉熙希稀髓[2]婿徙习泣悉蟋戌息熄媳惜昔席夕锡析[3]洗喜玺[5]细戏弃[6]系繫係
ʑ[2]携
t[2]的敌[3]低底抵牴[5]帝蒂嫡
tʰ[1]梯[2]踢惕狄涤[3]体[5]替剃屉剔
d[2]堤题蹄啼笛[6]弟第递地
Ǿ[1]医衣依[2]移夷姨沂遗揖[3]倚椅矣已[5]缢肄意异一逸忆亿抑翼益亦译易液[6]易

u
p[3]补普[5]布佈怖部埠不
pʰ[1]铺捕[2]讣朴卜扑仆僕瀑[3]谱圃浦甫脯[5]舖剖勃
b[2]蒲菩脯葡[6]簿步
ɸ[1]呼夫肤敷孵麸[2]復佛複腹覆服伏復复[3]火伙虎浒府腑斧釜腐辅[5]付赋赴富副缚[6]咐附驸
β[2]胡湖狐壶乎葫鬍蝴糊俯傅俘符扶芙忽蔔福幅蝠辐[6]瓠户沪互护父妇负
k[1]锅姑孤箍辜估[2]穀谷酷[3]古牯股鼓[5]过故固锢雇顾
kʰ[1]枯窟[2]哭[3]苦[5]库裤
Ǿ[1]乌污巫诬[2]吴蜈吾梧无[3]五伍午武舞侮鹉褥[5]物屋[6]误悟务雾戊勿

y
ʨ[1]猪诸居车诛蛛株朱硃珠拘驹[3]苎煮举主[5]著据註注俱矩句剧局[6]具惧
ʨʰ[1]区驱[2]出屈麴麯[3]处肘[5]处
ʥ[2]除储杵渠厨橱瞿桔橘鞠[6]巨拒距拄驻柱住蛀铸
ȵ[3]女语
ɕ[1]书舒虚嘘枢输输[2]薯殊恤[3]暑鼠署许水[5]絮庶恕术述[6]绪竖树
Ǿ[1]淤[2]如於余与儒愚虞娱迂于盂[3]汝乳雨宇禹羽[6]鱼渔御誉预豫遇寓芋榆逾愉愈喻裕入域疫役玉

a
p[1]巴芭疤笆爸[2]八[3]把[5]霸灞壩坝[6]罢
pʰ[2]铧拔泊拍[5]怕帕[2]琶杷耙
m[1]妈[2]麻痳蟆[3]码{摞}马[5]抹[6]骂
ɸ[1]花髪[2]法发伐筏阀[5]化罚[6]劃
β[2]华划乏
ʦ[1]渣[2]眨闸砸札紮摘[3]扎[5]诈榨炸
ʦʰ[1]叉杈差差钗[2]插擦察[5]岔汊茬杂煠铡
ʣ[2]茶搽楂查
s[1]莎沙纱杉萨[2]卅霎撒撒杀煞刷[3]傻耍
ʈ[2]只{棵}隻炙[3]者
ʈʰ[1]车[2]尺吃[3]扯{拽}
l[1]拉[2]爬{训读}难捺[3]哪[5]纳腊蜡邋辣[6]那
ʂ[1]赊[2]蛇[3]捨舍[6]社
