繁	IPA	調類	解釋	陰平-1	13
囉	luo	1			
羅	luo	2			
裸	luo	3			
攞	luo	5			
撮	tsuo	1			
昨	tsuo	2			
捉	tsuo	3			
坐	tsuo	5			
初	tsʰuo	1			
鋤	tsʰuo	2			
礎	tsʰuo	3			
楚	tsʰuo	3			
措	tsʰuo	5			
梳	suo	1			
勺	suo	2			
鎖	suo	3			
朔	suo	5			
鍋	kuo	1			
國	kuo	2	新		
國	kuɛ	2	老		
果	kuo	3			
過	kuo	5			
棵	kʰuo	1			
殼	kʰuo	2			
可	kʰuo	3			
闊	kʰuo	5			
豁	xuo	1			
河	xuo	2			
火	xuo	3			
獲	xuo	5			
或	xuɛ	2			
窩	Øuo	1			
鵝	Øuo	2			
我	Øuo	3			
餓	Øuo	5			
濁	tɕyo	1			
腳	tɕyo	2			
雀	tɕʰyo	2			
削	ɕyo	1			
學	ɕyo	2			
約	Øyo	1	約定		
略	Øyo	2			
杯	pei	1			
背	pei	3	背鍋兒：駝背的人		
背	pei	5	背光		
胚	pʰei	1			
陪	pʰei	2			
配	pʰei	5			
煤	mei	1			
美	mei	3			
魅	mei	5			
飛	fei	1			
肥	fei	2			
非	fei	3			
廢	fei	5			
堆	tei	1			
□	tei	3	撞，碰		
推	tʰei	1			
腿	tʰei	3			
蛻	tʰei	5			
雷	lei	2			
壘	lei	3			
內	lei	5			
賊	tsei	2			
嘴	tsei	3			
醉	tsei	5			
催	tsʰei	1			
翠	tsʰei	5			
雖	sei	1			
隨	sei	2			
水	sei	3			
睡	sei	5			
龜	kuei	1			
鬼	kuei	3			
貴	kuei	5			
虧	kʰuei	1			
葵	kʰuei	2			
愧	kʰuei	5			
灰	xuei	1			
回	xuei	2			
悔	xuei	3			
匯	xuei	5			
微	Øuei	1			
圍	Øuei	2			
偉	Øuei	3			
未	Øuei	5			
包	pau	1			
保	pau	3			
抱	pau	5			
拋	pʰau	1			
袍	pʰau	2			
跑	pʰau	3			
炮	pʰau	5			
貓	mau	1			
毛	mau	2			
卯	mau	3			
冒	mau	5			
刀	tau	1			
倒	tau	3			
