繁	IPA	調類	解釋	陰平-1	13
藤	tʰən	2			
滕	tʰən	2			
咚	tən	1			
登	tən	1			
凳	tən	5			
蹲	tən	1			
頓	tən	5			
盾	tən	5			
鈍	tən	5			
西	ɕi	1			
系	ɕi	5			
繫	ɕi	5			
溪	ɕi	1			
浠	ɕi	1			
息	ɕi	2			
昔	ɕi	2			
習	ɕi	2			
匣	ɕia	2			
縣	ɕian	5			
鹹	ɕian	2			
現	ɕian	5			
嚥	Øian	5			
弦	ɕian	2			
玹	ɕian	2			
鏽	ɕiəu	5			
篦	pi	5			
□	ɕiɛ	3	倒酒		
就	təu	5			
衣	Øi	1			
襖	Øau	3			
絨	ʐən	2			
褲	kʰu	5			
做	tsəu	5			
敹	liau	2			
襯	tsʰən	5			
袖	ɕiəu	5			
窿	lən	2			
□	tʰən	5	脫		
相	ɕiaŋ	1			
湘	ɕiaŋ	1			
響	ɕiaŋ	3			
項	ɕiaŋ	5			
象	ɕiaŋ	5			
巷	ɕiaŋ	5			
箱	ɕiaŋ	2			
翔	ɕiaŋ	2			
廂	ɕiaŋ	1			
曉	ɕiau	3			
效	ɕiau	5			
孝	ɕiau	5			
銷	ɕiau	1			
肖	ɕiau	1			
笑	ɕiau	5			
蕭	ɕiau	1			
嘯	ɕiau	5			
休	ɕiəu	1			
羞	ɕiəu	1			
嗅	ɕiəu	5			
朽	ɕiəu	3			
斜	ɕiɛ	2			
些	ɕiɛ	1			
寫	ɕiɛ	3			
邪	ɕiɛ	2			
洩	ɕiɛ	5			
瀉	ɕiɛ	5			
蠍	ɕiɛ	2			
謝	ɕiɛ	5			
血	ɕiɛ	1			
屑	ɕiɛ	5			
卸	ɕiɛ	5			
熊	ɕin	2			
兇	ɕin	1			
雄	ɕin	2			
姓	ɕin	5			
型	ɕin	2			
幸	ɕin	5			
信	ɕin	5			
鑫	ɕin	1			
欣	ɕin	1			
辛	ɕin	1			
薪	ɕin	1			
虛	ɕy	1			
鼠	ɕy	5			
許	ɕy	3			
須	ɕy	1			
需	ɕy	1			
薯	ɕy	3			
靴	ɕyɛ	1			
摔	ɕyɛ	1			
率	ɕyɛ	5			
勛	ɕyn	1			
迅	ɕyn	5			
瞬	ɕyn	5			
而	Øɚ	2			
爾	Øɚ	3			
爾	n̩	3			
耳	Øɚ	3			
貳	Øɚ	5			
乏	fa	2			
伐	fa	2			
翻	fan	1			
凡	fan	2			
返	fan	3			
番	fan	1			
泛	fan	5			
紡	faŋ	3			
防	faŋ	2			
訪	faŋ	3			
坊	faŋ	3			
菲	fei	1			
肺	fei	5			
費	fei	5			
妃	fei	1			
翡	fei	3			
分	fən	1			
份	fən	5			
粉	fən	3			
糞	fən	5			
憤	fən	5			
縫	fən	2			
封	fən	1			
峰	fən	2			
複	fu	5			
父	fu	5			
府	fu	3			
覆	fu	5			
贛	kan	5			
趕	kan	3			
鎬	kau	3			
羔	kau	1			
膏	kau	1			
糕	kau	1			
埂	kən	1			
工	kən	1			
□	kən	2			
蓋	kɛ	5			
丐	kɛ	5			
□	kɛ	1	□錢，欠錢		
康	kʰaŋ	1			
炕	kʰaŋ	5			
孔	kʰən	3			
控	kʰən	5			
恐	kʰən	3			
啃	kʰən	3			
釦	kʰəu	5			
寇	kʰəu	5			
凱	kʰɛ	3			
楷	kʰɛ	3			
咳	kʰiɛ	1			
噦	Øyɛ	3	吐		
滾	kuən	3			
暗	Øan	5			
澳	Øau	5			
傲	Øau	5			
坳	Øau	5			
已	Øi	3			
以	Øi	3			
義	Øi	5			
役	Øi	5			
異	Øi	5			
意	Øi	5			
億	Øi	5			
依	Øi	1			
芽	Øia	2			
亞	Øia	5			
押	Øia	2			
燕	Øian	5			
研	Øian	3			
艷	Øian	5			
咬	Øiau	3			
姚	Øiau	2			
遙	Øiau	2			
要	Øiau	1	要求		
應	Øin	1	應該		
應	Øin	5	答應		
鷹	Øin	1			
因	Øin	1			
音	Øin	1			
殷	Øin	1			
銀	Øin	2			
引	Øin	3			
齦	Øin	2			
隱	Øin	3			
癮	Øin	3			
淫	Øin	2			
穎	Øin	3			
櫻	Øin	1			
武	Øu	3			
吳	Øu	2			
誤	Øu	5			
梧	Øu	5			
蛙	Øua	1			
完	Øuan	2			
壪	Øuan	1			
丸	Øuan	2			
婉	Øuan	3			
腕	Øuan	5			
宛	Øuan	3			
挽	Øuan	3			
為	Øuei	5			
味	Øuei	5			
位	Øuei	5			
喂	Øuei	5			
胃	Øuei	5			
威	Øuei	1			
衛	Øuei	5			
委	Øuei	3			
維	Øuei	2			
偽	Øuei	3			
蝸	Øuo	1			
臥	Øuo	5			
鄂	Øuo	5			
惡	Øuo	5			
語	Øy	3			
與	Øy	3			
遇	Øy	5			
育	Øy	5			
虞	Øy	2			
羽	Øy	3			
域	Øy	5			
鬱	Øy	5			
喻	Øy	5			
渝	Øy	5			
餘	Øy	2			
韻	Øyn	5			
看	kʰan	1	看門		
勘	kʰan	1			
坎	kʰan	3			
檻	kʰan	3			
尻	kʰau	1			
烤	kʰau	3			
拷	kʰau	3			
窟	kʰu	1			
□	kʰu	1	手□子：手鐲		
骷	kʰu	1			
□	kʰa	2	跨		
□	kʰuan	5	摔		
□	pʰu	2	水沸騰		
築	tsəu	2	塞東西		
□	tsan	5			
□	xu	5	推，收拾		
□	xu	5	罩住		
況	kʰuaŋ	5			
曠	kʰuaŋ	5			
匡	kʰuaŋ	1			
誆	kʰuaŋ	1			
恇	kʰuaŋ	5			
瞌	kʰuo	2			
□	tsən	1	□瞌睡，坐著睡覺		
冠	kuan	1			
館	kuan	3			
觀	kuan	1			
慣	kuan	5			
罐	kuan	3			
莞	kuan	3			
棺	kuan	1			
貫	kuan	5			
覌	kuan	1			
閨	kuei	1			
桂	kuei	5			
歸	kuei	1			
櫃	kuei	5			
矽	kuei	1			
軌	kuei	3			
詭	kuei	3			
跪	kuei	5			
擱	kuo	2			
割	kuo	2			
各	kuo	2			
閣	kuo	2			
胳	kiɛ	1			
娜	la	5			
納	la	5			
鈉	la	5			
啦	la	1			
蠟	la	2			
垃	la	2			
楠	lan	2			
難	lan	2			
南	lan	2			
腩	lan	2			
藍	lan	2			
蘭	lan	2			
欄	lan	2			
攔	lan	2			
嵐	lan	2			
籃	lan	2			
亂	lan	5			
纜	lan	3			
暖	lan	3			
卵	lan	3			
巒	lan	2			
榔	laŋ	2			
郎	laŋ	2			
廊	laŋ	2			
螂	laŋ	2			
饢	laŋ	2			
撓	lau	2			
孬	lau	1			
牢	lau	2			
撈	lau	1			
瑙	lau	3			
了	lau	1			
嚇	xiɛ	1			
餒	lei	2			
累	lei	5			
磊	lei	3			
淚	lei	5			
蕾	lei	3			
擂	lei	3			
酹	lei	5			
侖	lən	2			
綸	lən	2			
楞	lən	5			
聾	lən	1			
弄	lən	5			
六	ləu	2			
□	ləu	3	茶□，茶葉泡出來的味道		
簍	ləu	3			
耐	lɛ	5			
賴	lɛ	5			
萊	lɛ	2			
籟	lɛ	5			
例	li	5			
尼	li	2			
膩	li	5			
擬	li	3			
逆	li	5			
溺	li	5			
隸	li	5			
理	li	3			
利	li	5			
念	lian	5			
連	lian	2			
□	lian	2	裸□：啰嗦		
粘	lian	2			
黏	lian	2			
拈	lian	1			
廉	lian	2			
戀	lian	5			
練	lian	5			
梁	liaŋ	2			
輛	liaŋ	5			
粱	liaŋ	2			
廖	liau	5			
遼	liau	5			
瞭	liau	5			
扭	liəu	3			
忸	liəu	3			
聶	liɛ	5			
烈	liɛ	2			
列	liɛ	2			
劣	liɛ	2			
裂	liɛ	2			
鬣	liɛ	2			
蘖	liɛ	2			
零	lin	2			
另	lin	5			
嶺	lin	3			
玲	lin	2			
鈴	lin	2			
淋	lin	2			
鄰	lin	2			
臨	lin	2			
琳	lin	2			
麟	lin	2			
鱗	lin	2			
挪	luo	2			
糯	luo	5			
諾	luo	5			
□	luo	1	□饃饃		
懦	luo	5			
掠	lyo	5			
略	lyo	2			
答	ta	2			
遝	ta	2			
耷	ta	1			
□	pʰɛ	5	批改		
秘	mi	2			
蜜	mi	2			
盲	maŋ	2			
茫	maŋ	2			
蟒	maŋ	3			
帽	mau	5			
貌	mau	5			
鉚	mau	5			
沒	mei	2			
黴	mei	2			
妹	mei	5			
魅	mei	5			
眉	mei	2			
酶	mei	2			
玫	mei	2			
昧	mei	5			
寐	mei	5			
墓	mən	5			
幕	mən	5			
們	mən	2			
盟	mən	2			
萌	mən	2			
懵	mən	1			
墨	miɛ	2			
必	pi	5			
畢	pi	2			
閉	pi	5			
斃	pi	5			
次	tsʰɿ	5			
此	tsʰɿ	3			
詞	tsʰɿ	2			
伺	tsʰɿ	5			
刺	tsʰɿ	5			
糍	tsʰɿ	2			
磁	tsʰɿ	2			
瓷	tsʰɿ	2			
祠	tsʰɿ	2			
慈	tsʰɿ	2			
雌	tsʰɿ	2			
賜	tsʰɿ	5			
才	tsʰɛ	2			
裁	tsʰɛ	2			
彩	tsʰɛ	3			
差	tsʰɛ	1			
豺	tsʰɛ	2			
釵	tsʰɛ	1			
縮	suo	1			
所	suo	3			
索	suo	2			
梭	suo	2			
數	suo	3			
踮	tian	5			
癲	tian	1			
撒	sa	2			
薩	sa	5			
紗	sa	1			
待	tɛ	5			
戴	tɛ	5			
貸	tɛ	5			
德	tɛ	2			
髒	tsaŋ	1			
臟	tsaŋ	5			
藏	tsaŋ	5			
賍	tsaŋ	1			
章	tsaŋ	1			
漲	tsaŋ	3			
仗	tsaŋ	5			
掌	tsaŋ	5			
杖	tsaŋ	5			
華	xua	2			
劃	xua	2			
劃	xua	5			
畫	xua	5			
隊	tei	5			
兌	tei	3			
紫	tsɿ	3			
資	tsɿ	1			
姿	tsɿ	1			
自	tsɿ	5			
產	tsʰan	3			
禪	tsʰan	2			
蟬	tsʰan	2			
摻	tsʰan	1			
彪	piau	1			
鰾	piau	1			
檔	taŋ	3			
襠	taŋ	1			
紮	tsa	2			
榨	tsa	5			
咋	tsa	2			
雜	tsa	2			
砸	tsa	2			
匝	tsa	2			
群	tɕʰyn	2			
羣	tɕʰyn	2			
裙	tɕʰyn	2			
唇	tɕʰyn	2			
肫	tɕʰyn	2			
醇	tɕʰyn	2			
桃	tʰau	2			
陶	tʰau	2			
濤	tʰau	1			
淘	tʰau	2			
滔	tʰau	1			
慢	man	5			
瞞	man	2			
曼	man	5			
蔓	man	5			
幔	man	5			
被	pei	5			
倍	pei	5			
悲	pei	1			
備	pei	5			
賓	pin	1			
斌	pin	1			
彬	pin	1			
濱	pin	1			
餅	pin	3			
炳	pin	3			
牀	tɕʰyaŋ	2			
瘡	tɕʰyaŋ	1			
皮	pʰi	2			
脾	pʰi	2			
辟	pʰi	5			
披	pʰi	1			
啤	pʰi	2			
疲	pʰi	2			
癖	pʰi	5			
濁	tsuo	2			
桌	tsuo	2			
啄	tsuo	2			
鐲	tsuo	2			
酌	tsuo	2			
託	tʰuo	1			
脫	tʰuo	1			
拖	tʰuo	1			
陀	tʰuo	2			
橢	tʰuo	3			
臺	tʰɛ	2			
臺	tʰɛ	2			
檯	tʰɛ	2			
太	tʰɛ	5			
泰	tʰɛ	5			
態	tʰɛ	5			
抬	tʰɛ	2			
脆	tsʰei	5			
崔	tsʰei	1			
摧	tsʰei	1			
誰	sei	2			
募	mən	5			
隨	sei	2			
說	ɕyɛ	2			
話	xua	5			
莊	tɕyaŋ	1			
狀	tɕyaŋ	1			
壯	tɕyaŋ	1			
妝	tɕyaŋ	1			
樁	tɕyaŋ	1			
崗	kaŋ	3			
鋼	kaŋ	1			
缸	kaŋ	1			
綱	kaŋ	1			
柔	ʐəu	2			
糅	ʐəu	2			
踢	tʰi	1			
題	tʰi	2			
替	tʰi	5			
梯	tʰi	1			
啼	tʰi	2			
敗	pɛ	5			
淮	xuɛ	2			
槐	xuɛ	2			
聞	Øuən	2			
問	Øuən	5			
紋	Øuən	2			
魂	xuən	2			
昏	xuən	1			
葷	xuən	1			
錯	tsʰuo	5			
撮	tsʰuo	1			
措	tsʰuo	5			
搓	tsʰuo	1			
挫	tsʰuo	5			
褪	tʰei	5			
頹	tʰei	2			
亭	tʰin	2			
庭	tʰin	2			
婷	tʰin	2			
廳	tʰin	2			
糙	tsʰau	5			
操	tsʰau	1			
槽	tsʰau	2			
超	tsʰau	1			
抄	tsʰau	1			
巢	tsʰau	2			
潮	tsʰau	2			
炒	tsʰau	3			
嘲	tsʰau	2			
謿	tsʰau	2			
還	xuan	2	還錢		
患	xuan	5			
喚	xuan	5			
寰	xuan	2			
卻	tɕʰyo	2			
確	tɕʰyo	2			
基	tɕi	1			
吉	tɕi	2			
記	tɕi	5			
□	sei	3	□尿：小便		
□	tsəu	3	□尿：在床上尿尿		
稗	pɛ	5			
□	pa	3	天□：一种果实为绿色，成熟为黄 色的野果		
饞	tsʰan	2			
□	tsʰan	2			
□	təu	2	底部		
□	tɛ	3	傳染		
□	lau	5	拉		
拍	pʰiɛ	1			
掰	piɛ	1			
挦	ɕyɛn	2			
□	pʰiɛ	3	折		
諞	pʰiɛn	3			
□	piau	1			
搪	tʰaŋ	2			
