#ɿ
ts[1]智资脂至[3]智资脂至
tɕ[1]次[2]迟[3]此
s[1]斯私肆师狮司丝思[2]瓷[3]徙死使史驶[6]自士事
#i
p[1]蓖闭卑秘痹[2]脾[3]比□{肉}[6]弊备
ph[1]批皮被屁[6]币毙鼻□{漏~：笊篱}
m[1]眉微[2]迷[3]美[6]未味
t[1]低[3]底[6]第隶
th[1]替[3]体[6]地
l[1]黎离篱梨[3]礼履鲤李里裏理[6]丽荔痢利泪
ts[6]□{鸡~：鸡窝}
s[1]尸丝-[2]齐脐
tɕ[1]扯计蜘知枝桅只支肢豉致饥肌之芝志痣基记讥饑机既[2]驰池持[3]纸姊趾址止己纪几[6]稚痔治
tɕh[1]器[2]启耻齿起岂
ɕ[1]施牺诗试嬉希稀[2]时[3]四屎喜[6]是使市
ȵ[1]惹儿宜仪尼你耳疑[3]尔蚁拟[6]艺谜义议二毅
k[1]寄妓箕柿-[2]奇[6]技
kh[1]欺[2]骑其棋期旗[3]企气[6]徛
∅[1]伊姨医意怡衣依[2]释[3]倚始已以[6]系易异
#u
p[1]布[3]补[6]部簿步
ph[1]铺普
m[1]模[6]暮墓务雾
ɸ[1]裤呼夫肤傅敷富副[2]瓠胡湖狐糊符扶[3]火虎腑府斧殕[6]护腐辅附芋-
t[1]都[2]徒屠途涂图[3]堵赌肚{猪~}[6]杜肚度渡镀
th[1]吐兔
n[1]奴怒[3]努
l[1]沪芦庐驴□{piʔ2：抽屉}[3]鲁橹虏掳卤[6]路露虑□{ma3：雾}
ts[1]租[3]祖组阻
tsh[1]粗醋[3]楚
s[1]酥苏诉塑素蔬数赐[6]似祀寺饲
k[1]故固雇顾句姑孤[2]瞿[3]古鼓
kh[1]库[2]枯[3]估苦
ŋ[1]吾
∅[1]乌无诬武舞握屋[6]户妇负
#y
l[1]卢炉六陆[3]吕旅
tɕ[1]猪车据锯蛛株驻朱珠铸注蛀驹拘追剧竹[2]储渠厨[3]煮举主矩轨[6]竺居巨拒柱住具
tɕh[1]除趋区锥畜[2]槌锤逵□{山~：一种挖土的农具}[3]处取趣娶[6]着箸聚树
ɕ[1]徐书舒薯如虚须鬚需输虽叔[2]殊儒随垂熟[3]鼠署汝许雨做水[6]序绪睡瑞遂隧
ȵ[1]鱼肉=[2]蜈愚娱寓[3]女[6]御伪魏
k[6]柜忌
h[1]去
∅[1]与余预榆愉裕为遗维威慰违围[3]宇羽苇伟[6]芋=惠慧为胃谓
#e
p[2]勃
m[2]墨
l[1]狸吏
ŋ[1]腻
h[1]戏
#ie
ɕ[6]□{雨~了：雨停了}
∅[2]椅移
#ue
p[1]杯辈背贝碑
ph[1]胚[6]吠
m[2]媒煤梅糜[3]每尾[6]妹
ɸ[1]废肺非飞费挥辉[2]肥[3]匪[6]会绘
t[2]台
th[1]胎
l[1]脶儡[3]累垒[6]累类
ts[1]醉[6]罪
tsh[1]猜翠
s[1]蓑碎[2]谁
k[1]盖闺桂规龟归贵[3]鬼[6]跪
kh[1]亏
ŋ[1]危
∅[1]坯煨卫[3]委[6]誉位
#ye
tɕ[1]嘴
tɕh[1]炊
ɕ[1]税
#ɛ
l[2]劣
#iɛ
tɕ[1]鸡
tɕh[1]□{担负只有一头的挑子}
ȵ[1]艾
k[2]□{青蛙}
#o
p[1]波菠坡玻[3]簸
ph[1]破婆
m[1]磨蟆膜幕摸[2]莫[6]磨
t[1]多[6]惰
th[1]拖[2]驮驼桃[3]妥[6]舵
n[1]糯[2]诺
l[1]罗骡螺□{找}□{八角~：带棱的丝瓜}[2]箩烙骆酪落洛乐□{包~：玉米}
ts[1]做[3]左
tsh[1]坐错初
s[3]锁所[6]座
k[1]歌哥锅过[2]葛割
kh[1]科课夸跨[3]可
