	注释：-白读；文读
#a	
p	[1]巴芭笆疤[2]爸爬=琶-[3]饱-把[5]豹-坝霸[6]耙=罢
pʰ	[1]脬{膦～：阴囊}抛-[5]帕=[6]泡{水～}
b	[2]猫-麻=[6]密
t	[1]焦礁[2]茶=[3]打[5]罩
tʰ	[5]踔诧[6]䖳=
l	[1]拉[2]蟟{～子：淡水蚌壳类生物}[6]曆-{～日}闹-{吵～}
ts	[1]渣=查=[3]早-[5]榨炸[6]昨{～日}
tsʰ	[1]叉=差=岔=[2]柴{训读}[3]炒-吵-
s	[1]纱=沙=[3]洒
k	[1]加=茄=伽嘉家=胶-茭-铰-{～刀}佳{～定}[3]假=绞-贾[5]架=价=驾教-嫁=[6]咬
kʰ	[1]尻{～川：屁股}[3]巧-
ɡ	[2]牙伢惬
h	[2]暇霞睱遐[5]孝-[6]夏=厦=下=
∅	[1]阿-{～兄}亚鸦
#aʔ	
pʰ	[7]拍-
b	[7]肉{训读}□{肉}
t	[7]答-搭贴[8]踏-
tʰ	[7]塔-[8]沓
l	[8]蜡-猎-腊-
ts	[7]札-扎-[8]铡截闸-{水～}
tsʰ	[7]插-
s	[8]煠-{～肉}
k	[7]□{费心}甲-胛-{肩～}
h	[8]合-
∅	[7]鸭-押-[8]匣-盒-
#ã	
pʰ	[5]怕
m	[2]麻={～烦}[3]马=码=妈=[6]骂=
t	[1]担-□{现在}[3]胆-[5]担-
tʰ	[3]挺{～悬：扶高}
n	[2]篮-岩-{龙～}林-{树～}咙-{～喉}蓝-[3]拿那榄-
s	[1]三-衫-
k	[1]监-柑-[3]敢-[5]酵-
kʰ	[1]坩
ŋ	[3]雅=
∅	[6]馅-
#e	
p	[2]爬-[3]把-[6]耙-爸-
pʰ	[1]批[3]䫌{颊}[5]稗-帕-
b	[3]马-玛-码-买-[6]卖-未
t	[2]茶-蹄-题-[3]短-底-贮-{盛；装}[5]戴-{姓}[6]苎{～仔丝}代-袋-埭-弟=地-
tʰ	[1]胎-钗-{玉～}梯=[2]啼=[3]体[5]替=退=[6]䖳-
l	[2]螺-脶-犁=黎[3]礼[6]荔例隶厉
ts	[1]灾-渣-[2]齐-蛴[5]债-诈-[6]坐-□{多}罪{～过}
tsʰ	[1]岔-差-{出～}妻栖叉-初-[2]箠{竹鞭}[5]脆-粞-
s	[1]西=犀蔬-{菜～}纱-砂-{朱～}梳-[3]洗所=[5]细粞=
k	[1]街-圭鸡傢-家-加-[2]椵[3]改-假-{放～，真～}[5]疥-计髻架-嫁-价-界[6]下-
kʰ	[1]溪稽[3]启
h	[2]霞-暇-瑕-畦奚携[6]蟹-{毛～}下-夏-
ɡ	[2]牙-芽-衙-霓
∅	[1]挨-[2]鞋-[3]哑-矮-[6]下-厦-{～门}解{会}
#eʔ	
p	[7]百-八-伯-擘-[8]白-帛-拔-
b	[8]麦-
tʰ	[8]宅-□{拿}
l	[8]笠
ts	[7]节-[8]绝-
tsʰ	[7]册-
s	[7]雪-
k	[7]格隔-
kʰ	[7]瞎客-
h	[7]歇-
∅	[8]狭-
#ẽ	
p	[2]平-棚-[5]柄-[6]病-
pʰ	[2]彭-澎-膨-
m	[2]盲-暝-瞑-[6]骂-
