#i			
p	[1]卑悲碑萆{荳～油：蓖麻油}[2]比毗{～連：相接}彼[3]閉{～結：便秘}鉍{～養：鉍}痹-秘{～結：便秘}[7]俻{守～}被婢-{女～}避		
pʰ	[1]披[5]皮-{甘～膏：橘皮糕}[2]鄙痞疕{結痂}[3]譬		
m	[5]梅{烏～}		
b	[1]微-[5]薇[2]美彌米[7]未寐{潛水}味謎-□-{謟～}		
t	[1]鋤-知蜘豬[5]提-{～防}池遲治{特～：特意的}馳{記～：記性}墀{玉～}㓾-{凌～：折磨}[2]抵砥{越～石：片狀岩石}底[3]戴-致智{計～：良策}置{底～：在先的，在前的}蒂緻{景～：風景}[7]箸-{筷子}痔弟-地{土～公}		
tʰ	[1]□{平底船}[5]苔啼-[2]恥[3]剃-		
l	[5]離璃{琉～}□{光頭}厘狸漓雨-{淋～：雨不停地下}籬{門～：門簾}[2]汝-李理鯉癧{～瘰：淋巴結}[3]□{裂痕}[7]利俐吏痢{小～：痢疾}		
dz	[5]兒{孩～茶：兒茶}而儒{～醫}[2]子-{彈～：彈子遊戲}[7]字-膩{細～：含蓄}二餌{誘餌}		
ts	[1]臍-{～瘤：囊腫，腫瘤}之支芝{邊～：木棉}肢脂[5]鷀{鸕鷀}[2]紫子姐只枳{樓梯～：梯子横木}止旨址趾{凍～：凍瘡針～：針綫活}[3]至志誌[7]舐-{舔}		
tsʰ	[1]癡[5]持{把～：精明的}[2]齒侈□{驚喜}[3]弑{～君的}莿[7]飼-市		
s	[1]施屍-詩思司絲西需{家～：兵器/工具}鷥{白鴒～：白鷺}[2]始死-[3]四施{布～}[5]匙時辭-{給予賞賜}勢世[7]氏視侍是示寺		
k	[1]幾{庶～將近：幾乎}機飢基吱箕{簸～}譏{～刺：嘲弄，譏諷}饑妓技[5]其奇期祈耆{～老會}棋旗麒[2]几{～棹：茶几}己紀[3]既痣記[7]己忌		
kʰ	[1]欺[5]蜞{血吸蟲，原文作“蜈”}[2]豈起[3]缺-{一～一～：鋸齒狀}企氣去-棄器[7]柿		
ɡ	[5]琵-宜疑儀[2]擬[7]義議		
h	[1]墟虚稀熙嘻[5]魚-[2]喜□{啐聲，哼聲}[3]戲肺		
∅	[1]衣-伊依醫[5]夷{外～：蠻夷}姨移[2]以已[3]意薏		
#u			
p	[5]匏{花斗～：葫蘆瓜}[7]㲒-{孵化}孵{孵化}		
pʰ	[1]芙[5]浮葡		
b	[5]無誣[2]憮{督～司道}母撫拇{拳頭～：拳頭}武侮{～慢：侮辱}舞鵡[7]務霧		
t	[1]蛛誅{～風～流：逆風逆流}[5]除櫥躇{躊～：猶豫}[2]抵-[3]著		
tʰ	[5]鋤		
l	[5]驢□-{撻～烏：山雀}[2]女[3]□{擦亮}[7]濾鱸{沙～：琴鮃屬魚}吕慮		
dz	[5]袽{亂作一團}如儒俞{～允：允許}榆踰{～越節：復活節，逾越節}[2]乳愈{行～倦：越走越累}[7]喻字-諭{上～：聖旨}		
ts	[1]孜{～～：總是，常常}姿滋資疽{節～：瘭疽，化膿性指頭炎}諸朱珠硃{銀～：朱砂}痘-{水痘}[5]薯慈螆-{蟑～：蟾蜍}[2]仔紫子主煮[3]注鑄漬{～紙：吸水紙}[7]住聚自		
