#uo
	阴平31	阳平42	上声53	去声44	入声32
p	波菠{~菜}玻{~璃}		簸{~一~}	簸{~箕}薄{~荷}	博泊{梁山~}薄泊{水~}
pʰ	颇坡	婆跛{~足}		破魄=
m		魔磨{~刀}摩馍模{~范}摹{~仿}		磨{~面，石~}莫	膜
f					佛{~祖}福幅蝠复{复杂}覆{反~}服伏复{~原}
t	多		朵躲	舵惰垛剁	掇夺铎踱独读督
tʰ	拖	驼驮{拿,驮起来}驮{~子}	妥椭{~圆}	唾{~液|~沫}	脱突托{~辞}托{托手承物}秃
n		挪那		糯{~米}	诺
l	啰{~唆}	罗锣箩骡螺{~蛳}裸{~体}		摞{~起来}	落烙洛络鹿禄绿录
ʦ		佐	左	坐座	做作{作坊，工作}昨镯族足
ʦʰ	搓			锉措错错{~杂}	撮{一~米}促
s		蓑梭{织布梭}唆	锁琐{~碎}所		索{绳~}速缩肃宿俗
tʂ					拙嚼酌桌啄浊捉竹筑嘱
tʂʰ				绰{宽~}	出戳畜{牲~}触
ʂ				朔	说术述秫勺束
ʐ					若弱
k	锅		果裹	过	聒{~耳朵}郭国谷{稻~}谷{山~}骨{筋~}
kʰ					括{包括}阔扩{~充}哭窟{~窿}
x		和{和面}	火伙	祸货霍藿{~香}	豁{~然，~嘴：~口}活劐{用力~开}惑获忽
Ǿ	倭踒{~了脚}窝		我	卧握{~手}	握{掌~}

#ɔ

	阴平31	阳平42	上声53	去声44	入声32
p	巴芭疤	爸{(老人)}	把{(~握，~守，一~)}	霸欛{(柄)}壩{(堤)}坝{(平川)}耙{(犁~，~地)}罢	拔
pʰ	钯{(~子)}	爬琶{(琵~)}		怕
m		麻妈{(老人)}	马码{(~子)}	骂
f					伐筏罚
v	蛙洼				挖
t			打	大
n		拿	哪{(~个)}
l					拉
ʦ					杂
s			洒
tʂ	楂			诈榨{(~油)}炸{(~弹)}炸栅{(~栏)}	闸炸{(用油~)}铡{(~力)}
tʂʰ	叉杈{枝~}差{(~别，~不多)}	茶查{(调~)}茬		岔{(三岔路)}
ʂ		沙纱		厦{(偏~,前廊后~)}
k				尬{(尴~)}
x					滑猾{(狡~)}

#ɤ

	阴平31	阳平42	上声53	去声44	入声32
tʂ	遮		者
tʂʰ	车{马车}		扯
ʂ	蛇奢赊佘{姓}		捨	社射麝{~香}赦舍射	舌折{弄折了}
k	歌哥戈			个{个人，一个}
kʰ	科窠棵	颗{一~珠}	可	课	磕
x		河何荷{~花}荷{薄~}和和禾		鹤贺	合{十合一升}喝盒{烟~}喝{~彩，吆~}
Ǿ	讹	蛾鹅俄		饿鄂恶{善~}


#a
	阴平31	阳平42	上声53	去声44	入声32
p	班斑颁扳般搬	爸{(年轻人)}	板版伴	扮瓣办拌半	八剥北百擘{用手~开}
pʰ	攀潘	盘		盼绊判叛	拍魄-
m		妈{(年轻人)}瞒	满	慢蔓{瓜~子}	蟆{蛤~}墨默麦脉摸
f	藩翻番{几~}	凡帆烦繁	反	范{模~}范{师~}犯泛贩嬎{鸟下蛋}饭	法{方法，法子}乏发{头~}发{~财}
v	弯湾	完丸{肉丸，弹丸}豌{~豆}剜顽{~皮，~固}	皖{安徽}碗晚挽	万	袜
t	耽担{担任}丹单{单独}		胆{掸毛绑子}	淡担{挑担}诞旦但弹{子~}蛋	答搭达德
tʰ	贪滩摊	潭谭谈痰弹{~琴}坦	毯	探{试~。侦~}炭叹	他踏坍{~下来}塔塌溻{~湿了}獭{水~}
n		南男难{~易}		难{患~}	那=纳捺{撇~}
l		蓝篮兰拦栏	漤{~柿子，~菜}览揽懒	滥缆烂	腊蜡辣
ʦ	簪		攒{积~}	暂赞灒{溅}
ʦʰ	参餐残	蚕惭	惨	灿	擦
s		三	伞	散{鞋带散了}散{分~}	撒{~手，抛~，~种}萨
tʂ	粘{粘贴}瞻		斩盏展	站{立}站{车站}蘸{~酱油}沾占{占卜}绽{破绽}战	札眨
tʂʰ		馋缠	铲产		插察拆
ʂ		珊山	陕{陕西}闪	疝{~气}扇善单{姓}禅{~让}	杀
ʐ			染
k	尴{~尬}干肝竿{竹~}干{干湿}	甘柑	感敢擀{~面}赶	幹	革隔
kʰ	刊	砍		勘{~误，~探}看{~守~见}
x		含撼憾憨寒韩还{还有}	喊罕	旱汉汗焊{~铁壶}翰	郝{姓}黑
Ǿ	阿{~哥}庵鹌安鞍		揞{手覆，按住}	暗岸按案

#yɛ

	阴平31	阳平42	上声53	去声44	入声32
n				虐
l					捋{~袖}律率{速~}略掠
ʦ					爵
ʦʰ					雀{麻~}鹊{喜~}
s					薛削
ʨ				倔{~强}	橘镢{~头，大锄}菊
ʨʰ					瘸{~腿}劫怯{畏~}屈却曲{~折}
ɕ					穴畜{~牧}
Ǿ					育

#yo

	阴平31	阳平42	上声53	去声44	入声32
ʦ					绝
s					雪
ʨ					厥掘橛{~子}决诀掘脚觉{知~}角
ʨʰ					缺确
ɕ	靴				学
Ǿ					悦阅月越粤约药钥{~匙}跃岳乐{音乐}

#io

	阴平31	阳平42	上声53	去声44	入声32
l			俩{两个}
