IPA	调类	字
piɔu	3	表
tiɔu	1	刁
tʰiɔu	2	條
tɕiɔu	1	椒驕
ɕiɔu	1	銷
tɕʰiɔu	1	鍬
miɔu	2	苗貓
ȵiɔu	3	鳥
liɔu	2	療
iɔu	1	腰要
tiɔu	5	釣
tʰiɔu	5	跳
tɕiɔu	5	叫
ɕiɔu	3	小曉
tɕʰiɔu	2	橋
miɔu	6	廟
ȵiɔu	6	尿
liɔu	3	了
ɕiɔu	5	笑
tɕʰiɔu	5	竅
liɔu	6	料
kiɛu	1	勾
kʰiɛu	3	口
ŋiɛu	3	嘔藕
kiɛu	3	狗
kʰiɛu	5	扣舅
kiɛu	5	夠
kʰiɛu	6	舊
kua	1	瓜
kʰua	1	誇
ua	6	話
kua	3	寡
kuo	3	果
uo	1	鍋
kuo	5	過
uo	2	禾
uo	6	和
kui	1	龜
kʰui	2	葵
ui	1	煨
kui	3	鬼
kʰui	3	跪
ui	2	圍余
kui	5	桂貴
ui	3	偉雨
ui	6	會胃芋
kʰuai	5	塊
uai	1	歪
tʰam	1	餐
sam	3	閃
kam	3	減
ham	2	銜鹹
lam	2	蘭
tʰam	2	痰
tʰam	5	炭
tʰom	1	參
kom	1	甘
kʰom	1	看
hom	2	含
ŋom	1	庵
tʰom	2	潭
kom	3	感
hom	6	汗
ŋom	5	暗
tʰom	5	探
tʰom	6	賺
tʰɛm	1	吞
tiam	5	店
tʰiam	1	添
tɕiam	1	尖
ɕiam	2	嫌
ȵiam	2	嚴
iam	5	厭
tʰiam	2	甜
tɕiam	3	檢
ȵiam	6	念
kiɛm	1	根
pan	1	班
pʰan	6	辦
fan	2	凡
tan	1	單
tʰan	1	灘
tsan	3	斬
san	1	三山衫
kan	1	奸監艱
han	2	閑
man	2	蠻
ŋan	3	眼
lan	2	蘭
pan	5	扮
fan	3	反
tan	3	膽
tʰan	3	毯鏟
tsan	5	站
san	3	傘
han	6	莧
man	6	慢
lan	6	難
fan	5	泛
tʰan	6	淡蛋
fan	6	範飯
pən	3	本
pʰən	6	笨
fən	1	分婚
tən	1	侵尊征敦斟春浸珍真貞針
tʰən	1	屯村
sən	1	孫深身
mən	2	蚊門
lən	2	任輪
fən	2	墳魂
tən	3	准寢整枕
tʰən	2	城成沉純陳
sən	2	神
mən	6	問
lən	6	嫩論閏
fən	3	粉
tən	5	正證
tʰən	6	盾
sən	3	嬸損
fən	5	糞
sən	6	甚順
pon	1	搬
pʰon	1	潘
fon	1	歡
ton	1	磚端
tʰon	1	穿貪
son	1	酸
kon	1	肝
hon	2	寒
mon	3	滿
ŋon	1	安
lon	2	南男
pon	5	半
pʰon	2	盤
ton	3	短轉
tʰon	2	團
son	2	船
kon	3	敢趕
hon	5	漢
lon	3	暖
tʰon	5	竄
lon	6	亂
tʰon	6	斷
kun	3	滾
kʰun	5	困
un	1	溫
un	2	文
un	3	穩
pʰin	1	拼
tɕin	1	今君均巾斤津襟軍金
ɕin	1	品心新
tɕʰin	1	欽清親
min	2	民
ȵin	2	人
lin	2	淩鄰臨凜林淋
in	1	因蔭陰音
pʰin	6	並
tɕin	3	菌錦
ɕin	5	信訓
tɕʰin	2	尋琴群芹裙
ȵin	6	認
in	2	勻蠅雲
tɕin	5	俊禁進
tɕʰin	6	近
in	3	引飲
in	5	應
in	6	韻
yn	6	孕
tɛn	1	占
tʰɛn	3	懲
sɛn	1	參森
hɛn	3	很
tɛn	3	展
sɛn	5	扇
tɛn	5	戰
sɛn	6	善
tɕʰian	2	鉗
pien	1	邊
pʰien	5	騙
tien	3	點
tʰien	1	天
tɕien	1	兼堅捐
ɕien	1	仙先
tɕʰien	1	千拳簽謙
mien	2	棉眠
ȵien	2	元年言
lien	2	蓮連
ien	1	冤淵
pien	5	變
tʰien	2	田
tɕien	5	劍建箭見
ɕien	3	選
