音標	調類	調值		
ɕĩ	5	45	獻憲現縣	
ɕĩ	6	22	現縣	
ɕiɑ	5	45	孝校[～對]酵	
ɕiɘ	1	334	休	
ɕiɘ	3	43	朽	
ɕiɘ	7	24	畜[～牧]蓄旭	
ɕiɔ	1	334	蝦	
ɕiɔ	2	12	霞瑕遐	
ɕiɔ	5	45	夏廈下	
ɕiɔ	6	22	下	
ɕy	1	334	書輸抒舒殊姝籲虛噓墟	
ɕy	2	12	薯[～粉]	
ɕy	3	43	暑署黍鼠詡水許	
ɕy	5	45	術[技～]鼠豎恕庶戍曙	
ɕy	6	22	樹澍薯[紅～]	
ɕy	7	24	術[算～]述秫	
ɕyn	1	334	熏薰勛	
ɕyn	2	12	純蒓醇淳鶉	
ɕyn	5	45	順舜訓巽[～卦]	
ɕyn	6	22	順	
ɕyæ	7	24	血穴	
ɕyɜ	2	12	誰	
ɕyɜ	3	43	水	
ɕyɔ	1	334	靴	
ɕø̃	2	12	懸	
ȵi	2	12	妮泥呢伲尼倪儀宜誼疑霓	
ȵi	3	43	擬	
ȵi	5	45	藝蟻義	
ȵie	1	334	歐毆摳[～錢]	
ȵie	3	43	嘔藕偶	
ȵie	5	45	慪漚	
ȵie	7	24	聶[姓氏]業孽捏	
ȵin	2	12	吟銀凝迎寧[安～]	
ȵin	6	22	寧[～可]	
ȵio	7	24	虐瘧弱	
ȵiuŋ	2	12	娘	
ȵiuŋ	3	43	仰	
ȵiuŋ	6	22	釀	
ȵĩ	2	12	嚴鮎言年閻閆鯰	
ȵĩ	3	43	儼碾攆捻	
ȵĩ	5	45	驗念廿	
ȵĩ	6	22	黏念	
ȵiɑ	1	334	蹘[擡起：～嘴巴、～腳]	
ȵiɑ	3	43	杳鳥	
ȵiɑ	6	22	尿	
ȵiɘ	2	12	牛	
ȵiɘ	3	43	扭[～轉]紐	
ȵiɘ	5	45	扭	
ȵy	3	43	女	
tʂo	7	24	酌卓拙濁灼著	
tʂoŋ	3	43	整	
tʂoŋ	5	45	正整	
tʂuŋ	1	334	張章樟蟑獐	
tʂuŋ	2	12	長[～短]腸場	
tʂuŋ	3	43	長[～大]掌漲	
tʂuŋ	5	45	帳賬脹瘴障悵仗杖	
tʂuŋ	6	22	丈	
tʂæ	7	24	折褶浙哲	
tʂɑ	1	334	召昭招朝[～陽]	
tʂɑ	2	12	朝[～向]潮	
tʂɑ	3	43	沼	
tʂɑ	5	45	照詔兆趙	
tʂɑ	6	22	趙	
tʂən	1	334	針斟珍眞診疹徵[～求]蒸貞偵正[～月]征[長～]中[當～]忠終鐘鍾盅	
tʂən	2	12	沉陳塵臣纏[盤～錢]懲承丞呈程成城誠盛[～飯]蟲重[～复]	
tʂən	3	43	枕整塚種[～類]腫	
tʂən	5	45	鎮振震證症征[(又)]正[公～]政鄭中[射～]眾種[～樹]仲重[輕～]	
tʂən	6	22	陣鄭重[輕～]	
tʂɘ	1	334	周舟州洲	
tʂɘ	2	12	綢稠籌仇酬	
tʂɘ	3	43	肘帚	
tʂɘ	5	45	晝宙咒紂[桀～]	
tʂɘ	6	22	紂[桀～]	
tʂɘ	7	24	竹築祝粥燭囑	
tʂø̃	1	334	粘瞻占	
tʂø̃	2	12	纏	
tʂø̃	3	43	展輾	
tʂø̃	5	45	戰占[～地]	
tʂʅ	1	334	之芝支枝肢梔知	
tʂʅ	2	12	池遲持弛	
tʂʅ	3	43	紙止址旨指脂	
tʂʅ	5	45	製治置窒智至致誌痣雉[～雞]	
tʂʅ	7	24	趾[腳～老子]只[～有]織職質執汁蟄指[～甲]蜘[～蛛]	
tʂʰuŋ	1	334	昌菖[～蒲]娼鯧倡	
tʂʰuŋ	3	43	廠敞	
tʂʰuŋ	5	45	暢唱	
tʂʰæ	1	334	車	
tʂʰæ	3	43	扯	
tʂʰæ	7	24	撤	
tʂʰən	1	334	稱[～呼；～重量；相～]充衝沖舂	
tʂʰən	2	12	逞寵㩳[(存疑)推]	
tʂʰən	5	45	趁秤[一桿～]銃[放～]	
tʂʰɘ	1	334	抽	
tʂʰɘ	3	43	醜醜	
tʂʰɘ	5	45	臭	
tʂʰɘ	7	24	觸束畜逐軸蛐[～蟮子]	
tʂʰø̃	5	45	顫	
tʂʰɔ	1	334	車畬[姜～：地名]	
tʂʰɔ	7	24	尺	
tʂʰʅ	3	43	恥齒侈□[搭理：莫～他]	
tʂʰʅ	5	45	直滯翅稚	
tʂʰʅ	7	24	直尺赤	
ʂoŋ	1	334	聲	
ʂuŋ	1	334	傷商裳殤觴[酒～]	
ʂuŋ	2	12	常嘗裳	
ʂuŋ	3	43	賞晌償	
ʂuŋ	5	45	尚	
ʂuŋ	6	22	上尚[和～]	
ʂæ	1	334	畬	
ʂæ	5	45	射舌	
ʂæ	7	24	舌設涉攝赦折[～嘎噠]	
ʂɑ	1	334	燒	
ʂɑ	2	12	韶	
ʂɑ	3	43	少[多～]	
ʂɑ	5	45	紹邵少[～年]	
ʂən	1	334	深身申伸娠升聲	
ʂən	2	12	神辰晨唇乘繩塍[田～]	
ʂən	3	43	沈審嬸	
ʂən	5	45	腎甚愼勝[～敗；～任]聖剩盛[興～]	
ʂən	6	22	葚[桑～]甚愼剩盛[興～]	
ʂɘ	1	334	收	
ʂɘ	3	43	手守首	
ʂɘ	5	45	獸授壽受熟	
ʂɘ	6	22	壽受	
ʂɘ	7	24	蜀屬孰熟贖叔淑	
ʂø̃	1	334	膻搧	
ʂø̃	2	12	蟬禪[～讓]蟾	
ʂø̃	3	43	陜閃□[罵（多指長輩責備）：～人]	
ʂø̃	5	45	扇善膳擅贍鱔蟮	
ʂɔ	1	334	賒	
ʂɔ	2	12	蛇	
ʂɔ	3	43	舍[～不得]	
ʂɔ	5	45	射石	
ʂɔ	6	22	□[口水等流出：～涎（饞）]	
ʂɔ	7	24	石	
ʂʅ	1	334	詩屍施豉	
ʂʅ	2	12	時鰣	
ʂʅ	3	43	使史駛始屎矢	
ʂʅ	5	45	世勢誓逝試氏示視嗜式十-	
ʂʅ	6	22	柿市是	
ʂʅ	7	24	十=什石拾適識實室失蝕食濕飾釋	
ʐʅ	7	24	日	
ka	1	334	該皆階街	
ka	3	43	改解	
ka	5	45	丐蓋介界疥芥戒械屆誡	
kã	1	334	甘柑監幹[～濕]肝竿艱間[中～]奸尷	
kã	3	43	敢橄感減堿桿趕稈搟簡柬揀	
kã	5	45	艦監鑒間[～開]諫澗幹[肯～]	
ki	1	334	饑[又]	
ki	3	43	幾[又]	
kie	1	334	勾[又]鉤[又]溝[又]佝[又]	
kie	3	43	狗[又]茍[又]枸[又]	
kie	5	45	夠[又]構[又]購[又]	
kie	7	24	結[又]	
ko	1	334	哥歌戈鍋	
ko	3	43	果裹	
ko	5	45	過個	
ko	7	24	鴿割葛各閣郭角箇[～壋：這裡]佮[～朋友]	
koŋ	3	43	哽[～住]梗[～子]	
ku	1	334	姑鴣菇軲估=[～計]孤箍	
ku	2	12	跍[蹲：～噠]	
ku	3	43	古估-[～下價]鈷牯蠱[放～]股鼓賈[商～]	
ku	5	45	故固雇顧痼[～疾]	
ku	6	22	咕[冒出：～泡；漱口：～口]	
ku	7	24	谷穀	
kua	1	334	乖	
kua	3	43	拐獪[把事情辦砸：～噠場；形容人壞：几～的]	
kua	5	45	怪	
kua	6	22	擓[（小物件）貼身放或帶：～得書包裏]	
kuã	1	334	關	
kuã	5	45	慣	
kuã	6	22	摜[磕碰絆：～噠腳]	
kuæ	7	24	骨國	
kuən	3	43	滾	
kuən	5	45	棍	
kuɜ	1	334	圭矽閨規龜歸	
kuɜ	2	12	奎葵逵	
kuɜ	3	43	詭軌鬼	
kuɜ	5	45	鱖桂癸貴瑰	
kuɜ	6	22	櫃	
kuŋ	1	334	岡崗剛綱鋼缸肛光胱咣	
kuŋ	2	12	狂	
kuŋ	3	43	講港廣	
kuŋ	5	45	槓虹[彩虹]□[形容很綠：～綠嘅]	
kuɔ	1	334	瓜呱	
kuɔ	3	43	寡剮□[～雞蛋：沒能孵出小雞的蛋]	
kuɔ	5	45	褂子卦掛	
kuɔ	7	24	刮虢括	
kæ	7	24	格革隔	
kɑ	1	334	高膏篙羔糕膠[阿～]	
kən	1	334	根更[～換；五～]粳庚羹耕公蚣工功攻弓躬宮恭供[～給；～養]	
kən	3	43	埂[田～]哽[～咽]梗[～子]耿□[整個]汞拱鞏	
kən	5	45	更[～加]貢供[上～]共	
kən	6	22	共	
kɘ	1	334	勾鉤溝佝	
kɘ	3	43	狗茍枸	
kɘ	5	45	夠構購	
kø̃	1	334	官觀棺冠[雞～]倌	
kø̃	3	43	管館	
kø̃	5	45	罐灌貫冠[～軍]觀	
kɔ	1	334	家-[人～]痂	
kɔ	5	45	架駕嫁	
kɔ	7	24	夾莢挾裌[～衣]胳匣胛甲[指～]	
kʰa	1	334	開揩	
kʰa	3	43	凱愷鎧楷	
kʰa	5	45	概溉慨	
kʰã	1	334	堪龕勘嵌[～花]刊	
kʰã	3	43	砍侃坎檻	
kʰã	5	45	看	
kʰie	1	334	摳[又]瞘[又]	
kʰie	3	43	口[又]	
kʰie	5	45	叩[又]扣[又]寇[又]	
kʰo	1	334	科柯窠苛軻	
kʰo	3	43	可顆敤[敲擊：～腦殼]	
kʰo	5	45	課㔶[（存疑）蓋在上面、壓在上面：～腳]	
kʰo	7	24	磕渴闊廓擴確殼渴	
kʰoŋ	1	334	坑傾	
kʰu	1	334	枯骷	
kʰu	3	43	苦	
kʰu	5	45	褲庫酷[cool]	
kʰu	7	24	哭窟酷	
kʰua	3	43	塊蒯傀	
kʰua	5	45	會[～計]劊[～子手]筷	
kʰuən	1	334	昆坤傾[文]	
kʰuən	3	43	捆	
kʰuən	5	45	困睏	
kʰuɜ	1	334	盔魁虧窺	
kʰuɜ	3	43	跪	
kʰuɜ	5	45	潰愧	
kʰuŋ	1	334	康糠	
kʰuŋ	3	43	慷	
kʰuŋ	5	45	抗炕亢	
kʰæ	7	24	克咳刻客	
kʰɑ	1	334	敲	
kʰɑ	3	43	考烤拷睪[雞～子]	
kʰɑ	5	45	靠犒	
kʰən	1	334	坑空[～虛]	
kʰən	3	43	懇墾啃肯=孔恐	
kʰən	5	45	控空[～缺]	
kʰɘ	1	334	摳[～癢]瞘	
kʰɘ	3	43	口	
kʰɘ	5	45	叩扣寇	
kʰø̃	1	334	寬	
kʰø̃	3	43	款皖	
kʰø̃	5	45	看	
xa	1	334	嗨	
xa	2	12	孩鞋諧還[～要]	
xa	3	43	海蟹	
xa	5	45	亥駭懈	
xa	6	22	害懈[松～]解[姓～]	
xã	1	334	憨酣鼾	
xã	2	12	含函涵鹹銜寒韓閑邯	
xã	3	43	喊罕	
xã	5	45	憾旱漢翰限	
xã	6	22	陷汗焊莧馅限	
xie	2	12	猴[又]侯[又]喉[又]	
xie	3	43	吼[又]	
xie	6	22	後[又]厚[又]	
xo	2	12	何[（姓）]河荷[～花]和[～氣]禾=	
xo	3	43	火夥	
xo	5	45	貨荷[負～]賀[祝～]	
xo	6	22	賀[～喜]禍嗬[水嘩嘩的響：水～～響]	
xo	7	24	合盒活鶴藿豁劐[～開]獲或惑喝	
xuŋ	1	334	荒慌方芳	
xuŋ	2	12	行[銀～]航杭黃=簧皇蝗肪妨房防	
xuŋ	3	43	謊晃紡仿[～效；相似]彷[～彿]訪	
xuŋ	5	45	放項巷	
xuŋ	6	22	項巷𣚺[雞～子：小母雞]	
xæ	7	24	黑核赫嚇	
xɑ	1	334	蒿薅[～草]	
xɑ	2	12	豪壕毫號[～叫]	
xɑ	3	43	郝好[～壞]	
xɑ	5	45	耗好浩皓號	
xɑ	6	22	號[小～]	
xən	1	334	亨轟烘	
xən	2	12	弘紅虹宏洪	
xən	3	43	哄	
xən	5	45	恨	
xən	6	22	蕻[白菜～子]	
xɘ	2	12	侯喉猴瘊䞀	
xɘ	3	43	吼	
xɘ	5	45	厚後候	
xɘ	6	22	厚後候	
xø̃	1	334	歡鼾	
xø̃	2	12	完桓	
xø̃	3	43	浣緩	
xø̃	5	45	幻宦喚	
xø̃	6	22	汗換	
xɔ	1	334	蝦-[～公]哈[～氣]	
xɔ	3	43	□[傻]哈[～巴狗]	
xɔ	6	22	下-[下面：～哩；都：～有份]	
xɔ	7	24	瞎	
ŋa	1	334	唉哀娭[～毑：奶奶或者老年婦人]挨[緊貼：～噠姆媽]	
ŋa	2	12	岩埃巖崖涯捱[～打]呆[傻、慢：～滯；拖延：～時間]	
ŋa	3	43	藹矮靄	
ŋa	5	45	愛隘礙艾	
ŋa	6	22	艾[～葉]外	
ŋã	1	334	庵淹安鞍案氨[～氣池]	
ŋã	2	12	巖顏嚴-[～實]	
ŋã	3	43	垵眼	
ŋã	5	45	晏按案暗黯揞[～噠莫動]雁=[回～峰]	
ŋã	6	22	岸雁-[～鵝]	
ŋie	1	334	歐[又]毆[又]摳[又]	
ŋie	3	43	嘔[又]藕[又]偶[又]	
ŋie	5	45	慪[又]漚[又]	
ŋo	2	12	鵝俄蛾訛	
ŋo	3	43	我	
ŋo	6	22	餓	
ŋo	7	24	握-鱷齶顎沃斡惡	
ŋoŋ	6	22	硬	
ŋuŋ	1	334	骯[～臟]	
ŋuŋ	2	12	昂	
ŋuŋ	5	45	盎	
ŋæ	7	24	額	
ŋɑ	1	334	爊[～菜]	
ŋɑ	2	12	熬□[～實：老年人身體好]鏖	
ŋɑ	3	43	襖咬	
ŋɑ	5	45	奧傲懊坳拗凹	
ŋən	1	334	恩	
ŋən	6	22	硬	
ŋɘ	1	334	歐毆摳[～錢]	
ŋɘ	3	43	嘔藕偶我（「我屋」合音）	
ŋɘ	5	45	慪漚	
ŋø̃	3	43	軟	
ŋɔ	2	12	牙芽衙伢鴉	
ŋɔ	3	43	啞	
ŋɔ	5	45	齾[～人]	
ŋɔ	6	22	砑[碾壓：～胡椒；蹭、摩擦：～在書裏面；做事慢、磨蹭：莫總是～]	
ŋɔ	7	24	鴨壓	
i	1	334	伊衣依醫	
i	2	12	移姨夷怡貽遺頤沂彜懿奚[～解]	
i	3	43	椅已以	
i	5	45	冀肄意異億憶翼	
i	6	22	易[～得：容易]	
i	7	24	一易[姓～]揖逸抑液益縊譯繹邑亦日	
iã	1	334	縈[～毛線]樱-[金～子]	
iã	2	12	螢[～火虫]贏	
iã	3	43	影	
ie	3	43	野	
ie	7	24	葉熱	
in	1	334	音陰蔭因姻殷鷹鶯鸚櫻英嬰纓雍	
in	2	12	壬淫人仁寅仍扔蠅盈贏戎絨融茸[參～]容蓉鎔庸	
in	3	43	飲忍引隱影擁甬[～道]勇湧	
in	5	45	任[責～]妊刃韌印孕應[～當；響～]用映	
in	6	22	任[姓氏；(白)責～]紝認孕用	
io	7	24	約藥鑰躍嶽樂[～器]箬[白～鋪：地名]若	
iuŋ	1	334	央秧殃泱怏鴦	
iuŋ	2	12	羊陽楊洋揚瘍烊飏	
iuŋ	3	43	養氧癢	
iuŋ	5	45	漾恙壤[土～]嚷讓	
iuŋ	6	22	樣壤[土～]嚷讓	
ĩ	1	334	淹閹醃蔫焉[心不在～]煙	
ĩ	2	12	然燃炎鹽簷延筵	
ĩ	3	43	淹[又]掩魘演	
ĩ	5	45	厭艷焰=燕[～子]咽宴	
ĩ	6	22	焰	
iɑ	1	334	夭妖幺吆邀腰要[～求]	
iɑ	2	12	窯遙搖謠瑤徭肴爻姚饒堯	
iɑ	3	43	舀[～水]繞擾	
iɑ	5	45	要耀鷂[～鷹]	
iɘ	1	334	優憂悠幽攸	
iɘ	2	12	由油郵尤猶魷遊	
iɘ	3	43	有友酉牖	
iɘ	5	45	柚釉幼誘莠宥囿佑右又祐	
iɘ	6	22	右又祐	
iɘ	7	24	肉育褥浴欲獄辱	
iɔ	1	334	鴉丫[～頭]椰-	
iɔ	2	12	爺[父親]	
iɔ	3	43	也野雅	
iɔ	5	45	亞	
iɔ	6	22	夜	
iɔ	7	24	壓押	
o	5	45	臥𤌍[～手]	
o	7	24	惡握	
u	1	334	汙烏塢鎢鄔巫誣	
u	2	12	吳蜈吾梧無蕪毋	
u	3	43	五伍捂舞午忤武侮	
u	5	45	誤悟戊務晤惡婺	
u	6	22	霧	
u	7	24	物屋勿兀	
ua	1	334	歪	
ua	6	22	外	
uã	1	334	灣彎	
uã	2	12	玩頑	
uã	3	43	晚挽	
uã	5	45	萬	
uã	6	22	萬	
uən	1	334	溫瘟	
uən	2	12	聞文紋蚊=	
uən	3	43	穩吻刎	
uən	5	45	殟[淹水：～死噠]	
uən	6	22	問	
uɜ	1	334	煨威	
uɜ	2	12	桅危為唯維帷惟違圍微	
uɜ	3	43	偉委尾萎緯葦巍	
uɜ	5	45	衛[～子：whistle]魏畏餵胃謂未渭尉慰偽	
uɜ	6	22	位味	
uŋ	1	334	汪	
uŋ	2	12	黃亡王	
uŋ	3	43	網枉往	
uŋ	5	45	妄望旺忘	
uŋ	6	22	妄望旺忘	
uɔ	1	334	挖蛙媧哇窪	
uɔ	3	43	瓦搲[舀水：～水]	
uɔ	5	45	滑	
uɔ	6	22	話	
uɔ	7	24	襪挖滑-猾-	
y	1	334	淤	
y	2	12	魚漁如茹蠕余於盂迂愚儒虞娛俞渝瑜逾榆愉竽	
y	3	43	與乳雨宇語羽禹隅	
y	5	45	預豫譽裕峪喻愈遇玉禦郁馭寓	
y	6	22	芋嫗[老～]	
y	7	24	擩[折進去、塞進去：～進去]捥[同擩]域役疫入淢	
yn	2	12	勻雲榮營	
yn	3	43	允永隕尹	
yn	5	45	熨韻泳詠孕妊潤=	
yn	6	22	潤-閏-運-	
yæ	7	24	月曰熱越粵閱悅	
æ	2	12	兒	
æ	3	43	耳	
æ	6	22	二	
ø̃	1	334	冤淵箢[～箕]豌	
ø̃	2	12	丸圓員緣沿鉛元完原源阮袁轅園援	
ø̃	3	43	碗宛遠	
ø̃	5	45	怨院願	
ø̃	6	22	院	
