音標	調類	調值		
pʰæ	7	24	泊迫拍珀魄潑	
pʰɑ	1	334	拋鰾泡	
pʰɑ	3	43	跑	
pʰɑ	5	45	炮𣕅[十]	
pʰɜ	1	334	胚坯披丕	
pʰɜ	3	43	呸	
pʰɜ	5	45	配	
pʰø̃	5	45	判	
pʰɔ	5	45	白怕	
ma	2	12	埋霾	
ma	3	43	買賣	
ma	5	45	賣邁	
mã	2	12	蠻饅	
mã	3	43	晚	
mã	5	45	蔓漫謾	
mã	6	22	慢㿸[～痂子：皮膚污垢]	
mi	1	334	瞇咪	
mi	3	43	米尾	
mi	7	24	密蜜覓汨	
miã	2	12	明名	
miã	6	22	命	
mie	7	24	蔑滅篾搣[用手掰開：～桔子]	
min	2	12	民鳴冥瞑	
min	6	22	命	
mĩ	2	12	棉綿	
mĩ	3	43	免娩勉冕[皇帝加～]	
mĩ	5	45	面	
mĩ	6	22	面麵	
miɑ	1	334	貓	
miɑ	2	12	苗瞄描	
miɑ	3	43	秒渺緲邈渺	
miɑ	5	45	妙謬繆	
miɑ	6	22	廟	
mo	1	334	摸	
mo	2	12	魔磨[～刀]蘑摩饃模膜	
mo	3	43	母拇麽	
mo	5	45	慕墓暮募	
mo	6	22	磨	
mo	7	24	目穆牧莫寞沫末木沐睦幕	
muŋ	2	12	忙芒茫牤氓盲	
muŋ	3	43	蟒莽	
mæ	7	24	墨麥	
mɑ	1	334	貓	
mɑ	2	12	毛矛茅錨牟眸[～子]	
mɑ	3	43	卯鉚	
mɑ	5	45	冒貌	
mɑ	6	22	帽冇[～得]	
mən	1	334	蚊	
mən	2	12	門氓（～之嗤嗤）們	
mən	3	43	猛	
mən	5	45	夢孟文（一～錢）	
mən	6	22	夢	
mɘ	2	12	謀	
mɘ	3	43	某畝牡	
mɘ	5	45	貿茂	
mɜ	2	12	迷謎[～語]糜梅莓黴[發～]枚媒煤眉楣彌靡	
mɜ	3	43	每美鎂	
mɜ	5	45	媚寐妹昧	
mɜ	6	22	妹昧	
mø̃	2	12	饅瞒	
mø̃	3	43	滿	
mɔ	1	334	媽	
mɔ	2	12	麻蟆	
mɔ	3	43	馬碼	
mɔ	6	22	罵	
ɸa	2	12	懷槐淮	
ɸa	6	22	壞	
ɸã	1	334	藩翻番	
ɸã	2	12	凡帆礬梵[～文]還[返老～童]環煩繁藩（曾国～）	
ɸã	3	43	反返	
ɸã	5	45	泛販範犯	
ɸã	6	22	犯飯	
ɸu	2	12	胡[～說八道]湖蝴瑚葫狐俘孵芙扶鳧符壺斛[石～]	
ɸu	3	43	虎唬琥府俯腑拊腐斧撫滸[水～]	
ɸu	5	45	父付附咐滬婦負阜副傅賦戶護互瓠[～瓜]	
ɸu	6	22	戶護互	
ɸu	7	24	服弗佛拂沸福幅輻蝠匐伏茯袱復腹馥覆勿忽	
ɸən	1	334	昏婚葷分紛芬風楓瘋峰鋒蜂烽豐封	
ɸən	2	12	魂渾餛焚墳橫馮縫[～扣子]逢	
ɸən	3	43	混淆粉諷	
ɸən	5	45	糞奮憤忿噴[～啾]鳳奉俸	
ɸən	6	22	縫[一條～]混[～日子]份分	
ɸɘ	2	12	浮	
ɸɘ	3	43	否	
ɸɜ	1	334	灰恢飛非扉妃揮輝暉徽	
ɸɜ	2	12	回茴肥	
ɸɜ	3	43	悔誨賄毀匪翡䵋[（小孩）吐：～奶]	
ɸɜ	5	45	晦廢肺慧惠費諱痱卉吠穢繪匯	
ɸɜ	6	22	匯會	
ɸɔ	1	334	花	
ɸɔ	2	12	華劃[～船]樺筏	
ɸɔ	5	45	化罰	
ɸɔ	6	22	畫話劃	
ɸɔ	7	24	法乏發伐罰閥髮筏	
ta	2	12	台臺抬苔	
ta	5	45	戴帶怠殆大（赤脚～夫）	
ta	6	22	大貸待袋	
tã	1	334	耽眈擔[～任]丹單覘[抬頭：～起腦殼]	
tã	2	12	譚潭談痰檀壇曇彈[～琴]	
tã	3	43	膽撣髧[～頭發]	
tã	5	45	擔[～子]誕旦氮	
tã	6	22	但淡蛋彈[～子]鎖憚[嚇我一～]	
ti	1	334	低	
ti	2	12	堤提題蹄啼	
ti	3	43	底抵的	
ti	5	45	帝締諦蒂弟地	
ti	6	22	弟地	
ti	7	24	笛的嫡滴	
tiã	1	334	釘疔叮盯丁	
tiã	3	43	頂	
tiã	5	45	釘打（～你一餐）	
tie	2	12	頭投	
tie	3	43	斗[北～]抖陡	
tie	5	45	鬥[～爭]	
tie	6	22	豆	
tie	7	24	跌	
tin	1	334	丁砧	
tin	2	12	亭停婷廷庭霆蜓	
tin	3	43	鼎頂	
tin	5	45	定錠	
tin	6	22	定訂	
tĩ	1	334	掂癲顛燈登	
tĩ	2	12	甜田塡騰謄藤疼	
tĩ	3	43	點典等	
tĩ	5	45	店電殿奠佃墊凳	
tĩ	6	22	電殿奠佃墊	
tiɑ	2	12	條調[～音]迢	
tiɑ	3	43	鳥	
tiɑ	5	45	釣吊調[聲～]掉=悼[～念]	
tiɘ	1	334	丟	
tiɔ	2	12	提	
tiɔ	7	24	滴扚（～鞋帶）	
to	1	334	多	
to	3	43	朵躲垛	
to	7	24	鐸咄[～～逼人]奪踱	
tuŋ	1	334	當[～家]襠	
tuŋ	2	12	糖唐塘搪溏[～毛雞屎]堂棠膛螳場[屋～]榔[檳～角子]	
tuŋ	3	43	黨擋檔	
tuŋ	5	45	宕壋[箇～：這裡；頂端：～頭]當[典～]	
tuŋ	6	22	盪[晃蕩：水在～]氹[小水坑：水～眼]	
tæ	7	24	得德	
tɑ	1	334	刀叨	
tɑ	2	12	桃逃淘陶萄濤	
tɑ	3	43	島搗禱倒[打～]	
tɑ	5	45	到稻導盜道[黑～]	
tɑ	6	22	道稻盜	
tən	1	334	墩蹲燈東冬	
tən	2	12	藤屯豚飩[餛～]臀囤同銅桐筒童瞳	
tən	3	43	等懂墩董	
tən	5	45	盾頓遁凳鄧凍棟動洞敦[豎]	
tən	6	22	鈍動洞	
tɘ	1	334	都兜蔸	
tɘ	2	12	徒屠途塗圖頭投	
tɘ	3	43	堵賭肚[魚～；腹～]斗[升～]抖陡	
tɘ	5	45	杜度渡鍍鬥[～爭]	
tɘ	6	22	杜度渡鍍豆逗	
tɘ	7	24	篤督毒獨讀牘犢	
tɜ	2	12	抬	
tɜ	5	45	對	
tɜ	6	22	袋	
tø̃	1	334	端	
tø̃	2	12	團糰	
tø̃	3	43	短	
tø̃	5	45	斷[決～]鍛斷[～絕]段緞椴	
tø̃	6	22	斷-[～絕]段緞椴	
tɔ	3	43	打	
tɔ	5	45	大	
tɔ	6	22	大	
tɔ	7	24	答搭褡達	
tʰa	1	334	胎	
tʰa	3	43	奤[慢慢走：～過來]	
tʰa	5	45	態太泰	
tʰã	1	334	貪坍貪攤灘	
tʰã	3	43	毯坦袒	
tʰã	5	45	探炭碳嘆	
tʰi	1	334	梯銻	
tʰi	3	43	體	
tʰi	5	45	替涕剃屜隸棣	
tʰi	7	24	笛迪敵狄滌剔惕踢	
tʰiã	3	43	挺	
tʰiã	5	45	聽	
tʰie	1	334	偷	
tʰie	3	43	跌敨（～開）	
tʰie	5	45	疊碟牒蝶諜透	
tʰie	7	24	碟帖貼鐵	
tʰin	1	334	廳	
tʰin	3	43	艇挺	
tʰin	5	45	聽	
tʰĩ	1	334	添天吞	
tʰĩ	3	43	舔	
tʰiɔ	7	24	踢	
tʰo	1	334	拖	
tʰo	3	43	妥橢	
tʰo	7	24	脫托	
tʰuŋ	1	334	湯	
tʰuŋ	3	43	倘[～使]躺	
tʰuŋ	5	45	燙趟[去一～]	
tʰæ	7	24	特	
tʰɑ	1	334	滔	
tʰɑ	3	43	討	
tʰɑ	5	45	套	
tʰən	1	334	吞通	
tʰən	3	43	褪逞桶捅統	
tʰən	5	45	痛	
tʰɘ	1	334	偷	
tʰɘ	3	43	土敨	
tʰɘ	5	45	兔讀透	
tʰɔ	1	334	他她它	
tʰɔ	5	45	踏	
tʰɔ	7	24	塔拓塔踏榻塌遢沓趿[～雙拖鞋]獺	
la	2	12	來□[遺忘：～塌噠，～記噠]	
la	3	43	乃奶	
la	5	45	籟耐奈	
la	6	22	耐奈賴癩	
lã	2	12	男南藍籃難[～題]欄蘭攔楠嵐婪	
lã	3	43	攬覽欖纜懶	
