ID	汉字	音节	声母	韵母	声调	注释	罗马字
99	恕	ɕiɿ	ɕ	iɿ	5		shï5
100	如	ʑiɿ	ʑ	iɿ	2		jï2
101	随	ʑiɿ	ʑ	iɿ	2		jï2
102	孺	ʑiɿ	ʑ	iɿ	2	新~人：新娘	jï2
103	乳	ʑiɿ	ʑ	iɿ	4	~香	jï4
104	聚	ʑiɿ	ʑ	iɿ	4		jï4
105	序	ʑiɿ	ʑ	iɿ	4		jï4
106	珥	ʑiɿ	ʑ	iɿ	4		jï4
107	耳	ʑiɿ	ʑ	iɿ	4		jï4
108	树	ʑiɿ	ʑ	iɿ	6		jï6
109	比	pi	p	i	3		pi3
110	彼	pi	p	i	3		pi3
111	闭	pi	p	i	5		pi5
112	庇	pi	p	i	5		pi5
113	批	pʰi	pʰ	i	1		pʻi1
114	披	pʰi	pʰ	i	1		pʻi1
115	譬	pʰi	pʰ	i	3	动词，比喻、比方  	pʻi3
116	皮	bi	b	i	2		bi2
117	被	bi	b	i	4		bi4
118	备	bi	b	i	6		bi6
119	避	bi	b	i	6		bi6
120	婢	bi	b	i	6		bi6
121	迷	mi	m	i	2	~惑	mi2
122	米	mi	m	i	4		mi4
123	美	mi	m	i	4		mi4
124	未	mi	m	i	6		mi6
125	味	mi	m	i	6		mi6
126	非	fi	f	i	1		fi1
127	飞	fi	f	i	1		fi1
128	妃	fi	f	i	1		fi1
129	腓	fi	f	i	1		fi1
130	费	fi	f	i	5		fi5
131	废	fi	f	i	5		fi5
132	微	vi	v	i	2		vi2
133	未	vi	v	i	6		vi6
134	低	ti	t	i	1		ti1
135	底	ti	t	i	3	人或事物随动作由外面到里面；里面	ti3
136	抵	ti	t	i	3		ti3
137	渧	ti	t	i	5	水~落	ti5
138	帝	ti	t	i	5		ti5
139	得	ti	t	i	7		ti7
140	体	tʰi	tʰ	i	3		tʻi3
141	剃	tʰi	tʰ	i	5		tʻi5
142	替	tʰi	tʰ	i	5		tʻi5
143	踢	tʰi	tʰ	i	7		tʻi7
144	提	di	d	i	2		di2
145	啼	di	d	i	2		di2
146	弟	di	d	i	4		di4
147	大	di	d	i	6	~家娘：婆婆	di6
148	地	di	d	i	6		di6
149	递	di	d	i	6		di6
150	第	di	d	i	6		di6
151	犁	li	l	i	2		li2
152	狸	li	l	i	2		li2
153	离	li	l	i	2		li2
154	篱	li	l	i	2		li2
155	来	li	l	i	2	走~	li2
156	李	li	l	i	4		li4
157	礼	li	l	i	4		li4
158	理	li	l	i	4		li4
159	里	li	l	i	4	一~路	li4
160	利	li	l	i	6		li6
161	吏	li	l	i	6		li6
162	励	li	l	i	6		li6
163	痢	li	l	i	6		li6
164	丽	li	l	i	6		li6
165	泪	li	l	i	6		li6
166	力	li	l	i	8		li8
167	厉	li	l	i	8		li8
168	历	li	l	i	8		li8
169	里	ʔli	ʔl	i	1	我该~ ：我这里  	l̆i1
170	枝	tsi	ts	i	1		tsi1
171	支	tsi	ts	i	1		tsi1
172	猪	tsi	ts	i	1		tsi1
173	遮	tsi	ts	i	1		tsi1
174	祭	tsi	ts	i	5		tsi5
175	济	tsi	ts	i	5		tsi5
176	𣥼	tsi	ts	i	5	盛物于器	tsi5
177	制	tsi	ts	i	5		tsi5
178	借	tsi	ts	i	5		tsi5
179	只	tsi	ts	i	7	顺~眼：右眼	tsi7
180	左	tsi	ts	i	7		tsi7
181	迹	tsi	ts	i	7		tsi7
182	织	tsi	ts	i	7		tsi7
183	车	tsʰi	tsʰ	i	1		tsʻi1
184	妻	tsʰi	tsʰ	i	1		tsʻi1
185	笡	tsʰi	tsʰ	i	1		tsʻi1
186	缒	tsʰi	tsʰ	i	1	用绳子拴住人或东西从上往下送	tsʻi1
187	且	tsʰi	tsʰ	i	3		tsʻi3
188	刺	tsʰi	tsʰ	i	5		tsʻi5
189	尺	tsʰi	tsʰ	i	7		tsʻi7
190	饬	tsʰi	tsʰ	i	7	绞杀	tsʻi7
191	戚	tsʰi	tsʰ	i	7		tsʻi7
192	池	dzi	dz	i	2		dzi2
193	滞	dzi	dz	i	6	了~：干净	dzi6
194	直	dzi	dz	i	8		dzi8
