#ɿ
ts[1]支资之知[3]紫子纸指止子[5]制志痣智置
tsʰ[1]痔直={～私}[2]池瓷辞祠词迟锄=[3]刺次[6]字治
s[1]施是豉私师狮丝思诗市司[2]匙时[3]屎史使驶[5]赐试世[6]似祀寺饲事={～情}士仕
dz[1]伊衣[2]儿移夷姨而[3]椅倚以[5]意亿忆[6]异

#a
p[3]八钵[5]拜
pʰ[2]排牌[3]泼拨[5]派[6]败
m[2]埋[3]买[6]卖
f[2]怀槐[3]发
t[1]呆[3]笪[5]带戴
tʰ[1]胎=[2]台苔抬[5]□{食～：吃了}代大
l[2]来[3]耐赖奈
ts[1]灾[3]宰札[5]债再
tsʰ[1]差{出～}[2]才材[3]采彩獭擦[5]蔡[6]寨在={自~}
s[1]筛[2]豺[3]徙杀[5]赛帅
k[1]街阶[3]解[5]界介芥疥
kʰ[3]蟹□{好～：很差}
ŋ[1]我[2]呆[6]艾
h[2]鞋[3]瞎
∅[1]挨[3]矮

#aˀ
pʰ [8]拔
m [8]末抹袜
f [8]伐罚
v[8]滑猾
t [8]达
tʰ [8]达
l [8]辣

#ɛ
p[1]杯飞-[5]背贝痱
pʰ[1]胚坏批[2]赔肥-[5]配[6]赔吠
m[2]梅媒[3]每尾[6]妹
f[1]灰[2]回[3]悔[5]税说{游～}[6]汇会彙
v[2]煨
t[3]底
tʰ[1]弟[2]帝题[5]替
l[2]犁
ts[3]崽{儿子}
tsʰ[1]在={~屋下}[2]齐[3]砌
s[3]洗洩[5]岁细婿
k[1]鸡
kʰ[1]溪
ŋ[1]泥

#e
p[3]鳖
f[3]血[6]睡
l[6]荔
tsʰ[1]吹炊
s[3]髓[6]事={做~}
ŋ[3]蚁汝女{～咧}聂

#eˀ
m[8]灭篾
f [8]穴
v[8]悦阅越

#ɔ
p[1]包胞[3]宝保[5]报豹
pʰ[1]抱[2]浮{～起来}[3]跑[5]曝
m[1]毛[2]毛={没有}茅[6]帽
v[3]□{哭}
t[1]刀[3]倒[5]到
tʰ[2]挑逃陶淘[6]道稻
l[2]牢劳[3]老脑[6]闹
ts[1]糟[3]早枣蚤爪[5]灶
tsʰ[1]抄操[2]曹槽巢[3]草吵炒
s[1]臊[3]嫂洒[5]扫
k[1]高羔糕交胶教[3]稿搞绞搅[5]告教喾
kʰ[1]敲[3]考拷[5]靠烤铐
ŋ[2]熬邀鳌[3]咬[6]傲
h[2]豪蠔爻[3]好[5]好酵[6]号
∅[1]㘭抝[3]擙

#o
p[1]波[3]把剥驳百伯擘[5]坝簸
pʰ[1]坡[2]婆爬耙[3]朴扑[5]破怕帕
m[1]麻蔴磨{～刀}[3]马膜[6]磨{石~} 
f[1]花[2]华和[3]火伙法[5]货化[6]祸画
v[1]窝[3]握沃[6]话
t[1]多[3]答朵搭
tʰ[1]拖[2]舵砣驼驮锤[3]托塔塌铎
l[1]拿[2]箩螺骡脶
ts[2]左作捉[5]榨
tsʰ[1]坐渣岔差{～别}[2]茶搽查[3]拆插龊[5]错锉
s[1]蓑梭沙纱[2]畲[3]琐锁嗍
k[1]哥歌锅家伽佳[2]果粿假各阁觉角鸽隔峡甲䘥郭贾[5]假架嫁价过
kʰ[1]柯科[3]可壳确客磕扩[5]课
ŋ[2]牙鹅衙[6]饿卧
h[1]下[2]何河荷霞虾[6]贺夏厦
∅[1]阿[3]哑恶押压鸭龌

#oˀ
pʰ [8]白薄苞
m [8]麦
tʰ [8]踏
l [8]落骆乐纳蜡腊
tsʰ [8]杂镯凿
ŋ [8]岳乐
h [8]学鹤合匣盒

#ɤ
p[3]北□{不}[5]□{~你：给你}
pʰ[1]妇-{新~}[3]拍
m[3]某亩母牡
f[2]浮= 
v[3]物
t[1]兜[3]斗{一~}德得[5]斗{~争}
tʰ[1]偷[2]头投[3]敨[5]透[6]豆
l[2]楼娄[6]漏
ts[1]邹[3]走仄则侧[5]咒奏绉
tsʰ[3]策册厕测□{～起来：扶起来}
s[1]搜[3]色塞涩虱[6]岫
k[1]沟阄鸠佢{他}[3]狗垢韭格革[5]锯夠
kʰ[1]丘舅臼箍[3]口刻[5]扣去
ŋ[2]鱼牛[3]扼
h[1]圩厚[2]喉侯猴[3]黑[5]鲎[6]后
∅[1]瓯沤

#ɤˀ
m [8]墨脉没
f [8]核-{果子～}佛或划
ŋ [8]额逆
h [8]核={审～}

#ã
p[1]搬班斑般[3]板坂版[5]半
pʰ[1]潘攀[2]棚盘[5]□{不结实}[6]办瓣伴
m[2]蛮□{~去：没有去}[3]满瞒[6]慢漫谩
f[1]番翻欢[2]凡帆[3]反返[5]涣换焕贩[6]泛范犯幻饭
v[1]弯[2]还横[3]碗晚挽䘼[6]万
t[1]担单耽[3]胆[5]旦担但诞蛋
tʰ[1]贪滩摊[2]潭谭谈痰弹[5]炭探[6]淡弹
l[1]懒澜僆[2]南难篮蓝栏拦[6]难烂
ts[1]增脏[3]斩崭
tsʰ[1]杉{~树}灿参掺[2]蚕残惭潺[3]惨铲[6]站栈暂
s[1]三杉杉{~木}衫山删牲生{~东西}[3]散{丸~}伞产[5]散{~步}
k[1]监{~狱}干乾间奸更庚羹[3]感减[5]监{~督}幹降舰鉴间{～断}
kʰ[1]坑□{～在喉咙}
ŋ[2]岩癌[3]眼[6]岸雁硬
h[2]含={包含}咸衔={军~}闲行-{～路}[5]喊[6]陷馅限
∅[5]晏={姓}

#ɔ̃
p[1]帮[3]榜绑
pʰ[2]庞旁螃
m[2]忙芒盲[3]莽
f[1]方芳荒慌[2]皇房防[3]纺仿舫[5]放
v[1]汪[2]黄亡王[3]枉往[6]望={希~}
t[1]当噹[3]党挡档[5]当{典～}
tʰ[1]汤[2]堂唐糖塘搪[5]烫盪
l[1]瓤[2]囊郎狼[3]嚷
ts[1]庄装[5]葬壮
tsʰ[1]仓疮
s[1]桑霜双[2]床[3]爽磢[5]丧
k[1]缸扛江光甘柑{橙}[3]讲港广敢[5]钢
kʰ[1]康糠[5]抗矿囥旷
h[1]轰[2]行={银～}[6]巷项
∅[1]庵[5]暗

#ɛ̃
p[1]崩奔轰{～炸机}分-[2]本[5]笨粪-
pʰ[2]朋盆彭[5]喷□{躺}
m[2]门[3]猛[6]问闷
f[1]分昏纷[2]魂宏[3]粉[5]奋粪=
v[1]温[2]文蚊纹闻[3]稳
t[1]登瞪橙灯丁钉疗[3]顶鼎等[5]钉
tʰ[1]吞
l[3]冷
ts[1]曾增争砧
tsʰ[2]曾{～经}层存
s[1]僧生=森参{人~}[5]渗腥
k[1]根巾斤筋[5]更
kʰ[1]近[3]肯恳垦
ŋ[2]银凝[3]□{~头：点头}
h[2]恒衡痕含=衔行-{排～}[6]行{品~}幸
∅[1]恩

#ŋ̍
∅[2]唔{～要：不要}[3]五午

#oŋ
pʰ[1]蜂枫{～树}[2]冯凭棚蓬[6]缝-
f[1]烘风丰封[2]红洪冯=缝[6]奉
v[1]翁[5]瓮甕
t[1]东洞冬[5]冻栋
tʰ[1]通[2]同铜桐童[3]桶统[6]动洞
l[1]聋[2]农笼砻脓[6]弄
ts[1]宗鬃棕
tsʰ[1]葱窗聪
s[5]送宋
k[1]公工功[5]贡
kʰ[1]空{~气}[3]孔[5]空

#ɤŋ
p[1]兵冰斌滨[3]禀[5]併鬓
pʰ[1]贫平评=瓶[3]品[5]聘
m[2]闽民明瞑[6]命-
f[1]薰勋[2]唇纯[5]训舜[6]顺
v[2]云荣[3]允永[6]运闰润
tʰ[1]厅[2]藤亭停庭[5]订凳[6]邓定
l[2]林淋临鳞邻铃灵绫[3]领
ts[1]侵精=津真[5]进浸
tsʰ[1]親清=[2]寻情[5]清倩[6]尽静净侭
s[1]心新星身掀[2]寻旬巡循[3]筍[5]性
k[1]今金经京惊=[3]锦紧茎[5]敬境
kʰ[2]琴禽勤芹[5]庆
ŋ[2]人[3]忍[6]认

#i
P[1]碑卑悲陂{地名用字}[3]比笔必逼毕譬[5]痺币箄毙
pʰ[1]被{棉~}[2]皮疲脾[3]庀否匹痞僻癖[5]屁[6]被{~动}
m[1]眯[2]眉糜[3]美米
f[1]飞=挥辉[2]垂谁肥=[3]毁匪水[5]废费肺[6]穗惠慧
v[1]威[2]为维唯围[3]委熨伟[5]畏[6]位未味
t[1]知
tʰ[3]体踢[6]弟第地
l[1]裹[2]离梨黎[3]李礼理里历粒律[6]利厉锐栗
ts[3]娣嘴积迹[5]醉祭济
tsʰ[1]自{～家}[2]飺齐脐[3]七膝漆[5]觑[6]忌
s[1]西犀些[3]死息熄媳惜[5]四
ʃ[1]希稀[3]喜吸[5]戏嘻嬉
k[1]饥基机肌[3]几激急桔级汲[5]寄记计髻
kʰ[1]欺欹绮{站}[2]其期旗奇骑[3]起乞柿-[5]气[6]枝
ŋ[1]你[2]倪[3]耳[6]义二

#iˀ
pʰ [8]鼻{又读pʰi⁵}
