#ɿ
ts	①资支知	③主子
tsʰ	⑤处
s	①书丝师诗
z	②除

#i
p
pʰ
b
m
f	①飞	⑤费
v	②微
t
tʰ
d	⑥第地
l	③吕
tɕ	③举姐
tɕʰ	⑤趣去
dʑ	②旗
ȵ	③女
ɕ	①虚靴
ʑ	②齐
ɦ
ʔ	③以雨

#u
p	⑤布
pʰ
b	②婆	⑥步
m
f
v	②符	⑥武妇
t	③赌
tʰ
d
n	⑤怒
l	⑤路
ts
tsʰ
s
z
k	①姑	⑤故过
kʰ
g
ŋ	③我
h
ɦ	②胡河
ʔ	③午

#a
p
pʰ	⑤怕=
b 
m	①妈
t
tʰ	⑤太
d	⑥汰
n
l
ts
tsʰ
s	⑤帅-
z
k	⑤架-介-
kʰ
g
ŋ
h
ɦ
ʔ	⑤外

#ia
t	①爹
l
tɕ	⑤架=介=
tɕʰ
dʑ
ȵ
ɕ
ʑ
ɦ
ʔ	③野

#ua
ts
tsʰ
s
z
k	⑤怪
kʰ
g
ŋ
h
ɦ
ʔ

#ɛ
p
pʰ
b	②盘	⑥倍
m	⑤妹
t	③胆
tʰ
d
n	②难男
l	②兰
ts
tsʰ
s	①三	③散	⑤税散帅=
z	②然
k	①间	③减-	⑤盖
kʰ	①开
g
ŋ
h
ɦ	⑥岸
ʔ	⑤案

#uɛ
ts
tsʰ
s
z
k	①关	⑤贵桂
kʰ
g	②葵	⑥跪
ŋ
h	①灰
ɦ	②围危
ʔ

#ɔ
p	③饱保
pʰ
b
m
t	⑤到
tʰ
d	②桃	⑥道
n	③脑
l	③老
ts	①糟招	⑤灶
tsʰ
s	①烧	⑤扫
z	②曹潮
k	⑤教
kʰ	①敲
g
ŋ
h
ɦ	③袄
ʔ

#iɔ
p
pʰ
b
m
t
tʰ
d	②条
l
tɕ	①焦
tɕʰ
dʑ	②桥
ȵ	③绕
ɕ	③小
ʑ	②巢
ɦ
ʔ

#e
p	⑤半
pʰ
b
m
f
v
t	①端	③短
tʰ
d
n
l
ts
tsʰ
s	①酸	⑤扇
z	②船
k	①竿
kʰ
g
ŋ
h
ɦ	②含衔
ʔ

#ie
p
pʰ
b
m
t
tʰ
d
l	②连廉	③脸
tɕ	③减=检
tɕʰ
dʑ	②权
ȵ	②年严	③软
ɕ	③险	⑤线
ʑ	②全旋
ɦ	②玄言延缘元园
ʔ	①烟	③远

#ue
ts
tsʰ
s
z
k	①官
kʰ
g
ŋ
h
ɦ
ʔ

#ø
p
pʰ
b
m
t	③斗
tʰ
d	②头
n
l	②流
ts	⑤帚
tsʰ	③丑
s	①收	③手
z
k
kʰ
g
ŋ
h
ɦ
ʔ

#iø
l
ts
tsʰ	①秋
s	①修
z
tɕ
tɕʰ	①丘
dʑ	⑥舅
ȵ
ɕ	①休	③手
ʑ
ɦ
ʔ

#o
p	①巴
pʰ	⑤怕-
b	②爬
m
f
v
t
tʰ
d
n
l
ts
tsʰ
s
z	②蛇
k
kʰ
g
ŋ
h
ɦ
ʔ

#uo
ts
tsʰ
s
z
k
kʰ
g
ŋ
h	①花	⑤化
ɦ	⑥话
ʔ

#ou
m	③母
t
tʰ 
d	⑥大
ts	③祖
tsʰ	①粗初	⑤醋
s	①苏
z	②锄
k
kʰ
g
ŋ
h
ɦ
ʔ

#ən
p
pʰ
b
m	②门闻-
f
v	②闻=
t
tʰ
d
n
l
ts	①增争=蒸
tsʰ
s	①僧生=声
z	⑥认=顺
k	①根庚=
kʰ
g
ŋ
h
ɦ
ʔ

#uən
ts
tsʰ
s
z
k
kʰ
g
ŋ
h
ɦ	②魂
ʔ	①温

#in
p
pʰ
b
m
f
v
t
tʰ
d
l	②林邻灵
ts	①精
tsʰ
s
z
tɕ	①经	③紧
tɕʰ
dʑ	②群
ȵ	⑤认-
ɕ	①心新星勋
ʑ
ɦ	②云	⑥运
ʔ	⑤闰

#oŋ
p
pʰ
b
m
f
v	②冯
t	①东
tʰ
d	②同
n
l
ts
tsʰ	①囱
s
z	②虫
k	①公
kʰ
g
ŋ
h
ɦ	②红
ʔ	①翁

#ioŋ
tɕ
tɕʰ
dʑ	②穷琼
ȵ
ɕ	①胸
ʑ
ɦ
ʔ

#ã
p
pʰ
b
m
f
v
t	③党
tʰ
d
n
l
ts	①争-	③掌
tsʰ	①仓昌窗
s	①生-桑
z	②床
k	①庚-	③讲-
kʰ
g
ŋ	⑤硬
h
ɦ
ʔ

#iã
l	②良娘
tɕ	③讲=
tɕʰ	①枪
dʑ
ȵ	
ɕ
ʑ
ɦ
ʔ

#uã
ts
tsʰ
s
z
k	①光
kʰ
g
ŋ
h
ɦ	②横
ʔ

#aʔ
p	⑦百
pʰ
b
m
f
v
t
tʰ
d
n
l	⑧辣
ts
tsʰ
s
z	⑧若
k	⑦夹
kʰ
g	⑧夹
ŋ	⑧额
h
ɦ
ʔ

#iaʔ
tɕ
tɕʰ
dʑ
ȵ
ɕ
ʑ
ɦ	⑧药
ʔ	⑦约

#uaʔ
ts
tsʰ
s
z
k	⑦刮
kʰ
g
ŋ
h
ɦ
ʔ

#əʔ
p
pʰ
b
m
f
v
t 
tʰ
d	⑧夺
n
l
ts
tsʰ	⑦出
s	⑦色
z	⑧日=直舌
k	⑦割
kʰ
g
ŋ
h
ɦ	⑧合
ʔ

#iəʔ
p	⑧别
pʰ
b
m
f
v
t
tʰ	⑦铁踢
d
l
ts	⑦节接
tsʰ
s
z
tɕ	⑦结急
tɕʰ	⑦缺
dʑ	⑧杰
ȵ	⑧日-
ɕ
ʑ
ɦ	⑧月
ʔ

#oʔ
p	⑦北八
pʰ
b
m	⑧木
f
v
t
tʰ
d
n
l	⑧落鹿绿
ts
tsʰ
s
z
k	⑦各郭国角
kʰ	⑦确-
g
ŋ
h	⑦霍
ɦ	⑧活
ʔ

#ioʔ
l
tɕ
tɕʰ	⑦确=
dʑ
ȵ
ɕ
ʑ
ɦ	⑧欲
ʔ

#ər
②而	③耳

#n̩

#m̩
①姆
#ŋ̍
③耳-午
