来源：	郭禹含 2016《陕北清涧解家沟镇方言语音研究》；灰原哀 Skanda 整理录入
说明：	代表解家沟镇音系。
#符号说明：	-白=文*俗?待考
#调值	［1］213［2］24［3］512［5］52［7］423［8］54
#ɿ	
p	［3］比彼秕｛～谷：不饱满的稻谷｝滗｛档住渣滓或泡着的东西，把液体倒出｝［5］被｛～子、～迫｝备｛～用｝鄙陛闭弼｛～马温｝蔽币篦｛～子：梳头用具，中间有梁，两侧有密齿｝毙｛枪～｝臂［7］舀｛～谷｝
pʰ	［1］丕披批｛～评｝［2］皮疲琵脾［3］庇避｛～开｝痞［5］屁［7］僻
m	［2］眉迷咪眯谜糜｛～子：小米｝弥［3］米［5］泌秘密蜜
ts	［1］低-资吱｛拟声词｝姿咨兹肌｛～肉｝基机饥｛～荒｝鸡支枝芝｛～麻｝［3］子纸紫只止旨指脂底-己｛天干第六位，甲乙丙丁戊“己”庚辛壬癸，～巳年｝抵-｛～压｝几｛茶～｝挤姊｛～妹｝［5］自字地-弟｛兄～｝递技-｛～术｝忌｛～日｝妓｛～女｝悸季计｛会～｝既□｛用称称量｝纪｛～律｝记祭｛～祖｝寄际冀｛河北简称｝剂济｛接～｝系｛～鞋带｝继至志
tsʰ	［1］嗤｛～笑｝妻=凄悽期欺｛～负｝梯｛～子｝［2］祠瓷｛～盆儿｝词慈磁雌｛～雄｝箕｛簸～｝其奇祈棋齐旗题-骑辞提-脐｛卜～，肚脐眼｝蹄［3］此企杞齿起岂｛～有此理｝启体-［5］翅次｛～品｝刺赐汽砌气屉弃剔器剃｛～头｝伺｛～候｝
s	［1］尸施布｛～师｝狮匙司私思斯丝撕蛳饲｛～料｝夕西希稀熙牺［2］时｛～候｝［3］史使驶始屎驶死徙喜禧｛慈～｝洗=［5］士氏时｛年～：去年｝示仕市咝｛凉～～｝似事侍柿｛～子｝是视试巳｛地支第六位，子丑寅卯辰“～”午未申酉戌亥,己～年｝祀四寺嗣｛子～｝肆系戏婿细=
z	［1］衣依｛～仗｝医［2］移姨遗［3］尾｛～巴｝已以椅□｛生～｝蚁［5］易异逸意义亿懿｛司马～｝毅议忆艺译
#ʮ	
ts	［1］车｛象棋里“～马炮”｝搛｛～菜，用筷子夹菜｝拘居钻-｛～洞｝［3］举左［5］坐座矩｛规～｝拒具｛～体｝距聚剧据｛收～｝锯｛～子｝惧驹驴｛～子｝［7］撮｛一～子毛｝
tsʰ	［1］粗蹿｛逃～｝窜区躯驱［2］觑看渠｛沟～｝［3］取娶［5］醋挫锉｛～刀、木～｝篡｛～位｝错趣去=｛过～、去年｝
s	［1］酥苏酸梭｛织布～｝虚｛～肿｝须需嘘｛吹～｝［2］徐姓氏［S12］许唆｛哕～｝琐锁唢｛～呐：陕北民间管乐器，管身正面七孔，背面一孔｝［5］绪｛光～｝素诉塑｛～料｝序｛秩～｝蒜-算［7］缩｛～水｝
z	［2］驴于余俞娱鱼盂虞渔［3］吕旅｛～长｝屡履女箬｛～叶｝羽雨禹与｛参～｝语［5］慰｛～间｝疫｛瘟～｝愉榆愚｛～蠢｝玉芋｛洋～｝育喻御誉｛荣～｝郁寓裕｛富～｝愈预｛～报｝狱｛监～｝欲豫浴遇
#ʅ	
tʂ	［1］知蜘｛～蛛｝［5］制治致｛～福｝智置｛安~｝稚制志
tʂʰ	［2］池持弛驰迟［3］耻｛羞～｝
ʂ	［5］世逝势｛有钱有～｝誓
#ʯ	
tʂ	［1］朱｛姓氏｝珠株殊蛛｛～～｝猪诸｛～葛亮｝［3］主嘱拄煮［5］助柱｛～子｝住注著驻蛀铸传｛水浒～｝转-
tʂʰ	［1］初川-｛～道｝穿-［2］除厨锄橱处｛～理｝疮传｛～话｝船-［3］杵楚褚储｛～蓄｝础｛基～｝处｛相～｝喘-帚｛条～｝［5］畜串-□｛挑唆｝□｛灰～～｝
ʂ	［1］书梳疏输拴-｛～狗｝闩-｛门～｝［3］殊｛特～｝舒蔬暑黍｛稻～｝鼠薯数｛动词｝所恕［5］庶竖｛横～｝数｛名词：识～树｝［7］蜀
ʐ	［2］如［3］儒乳｛～房｝茹｛拥挤、臃肿｝阮｛姓氏｝软-䓴-｛地～｝
#i	
p	［1］编｛～筐｝鞭子边冰-［3］扁=｛～食｝匾｛牌～｝贬｛～值｝秉｛～性｝柄｛把～｝饼-［5］便｛方～｝遍辨辫｛～子｝辩变别｛～扭｝病［7］蹩-｛～脚｝瘪｛干～｝
