字	类型	读音
凭／憑	假名	ビン／ピン／ヒン
	IPA	biN / piN / çiN
蠅	假名	イン
	IPA	iN
凌／淩	假名	リン
	IPA	riN
綾	假名	リン
	IPA	riN
菱	假名	リン
	IPA	riN
陵	假名	リン／ヲン
	IPA	riN / oN
承	假名	ヂン／チン
	IPA	dʑiN / tɕiN
矛	假名	イユイ／メウ
	IPA	ijɯi / meɯ
氷	假名	ヒン
	IPA	çiN
應	假名	イン／ウン
	IPA	iN / ɯN
膺	假名	イン
	IPA	iN
鷹	假名	イン
	IPA	iN
仍	假名	ヂン
	IPA	dʑiN
艿	假名	ナイ
	IPA	nai
偁/穪	假名	チン
	IPA	tɕiN
稱	假名	チン／チアン
	IPA	tɕiN / tɕiaN
興	假名	ヒン／ヒイン
	IPA	çiN / çiːN
勝	假名	シン
	IPA	ɕiN
升／昇／陞	假名	シン
	IPA	ɕiN
澂	假名	チン
	IPA	tɕiN
澄	假名	チン
	IPA	tɕiN
凝	假名	ニン／ニイン
	IPA	niN / niːN
癥／症	假名	チン
	IPA	tɕiN
烝/蒸	假名	チン／ヂン
	IPA	tɕiN / dʑiN
乘	假名	ヂン／チン
	IPA	dʑiN / tɕiN
繩	假名	ヂン
	IPA	dʑiN
兢	假名	キン
	IPA	kiN
朋	假名	ボン／ポン／ペン
	IPA	boN / poN / peN
棚	假名	ポン
	IPA	poN
鵬	假名	ペン
	IPA	peN
棱／稜	假名	リン
	IPA	riN
楞	假名	レン
	IPA	reN
弘	假名	ホン
	IPA	hoN
恒	假名	ヘン
	IPA	heN
縢	假名	チヱン
	IPA	tɕieN
藤	假名	テヱン／テン／トウ／デン
	IPA	teːN / teN / toɯ / deN
螣	假名	テヱン
	IPA	teːN
騰	假名	テヱン／デン／テン
	IPA	teːN / deN / teN
崩	假名	ペン
	IPA	peN
層	假名	ツヱン／チエン／ツエン／ヅエン
	IPA	tsɯeN / tɕieN / dzɯeN
曾	假名	ツヱン／ヅヱン／チエン／ツエン／ツエウ
	IPA	tsɯeN / dzɯeN / tɕieN / tsɯeɯ
僧	假名	スエン／スヱン
	IPA	sɯeN
能	假名	ネン／ロヲン
	IPA	neN / roːN
燈	假名	テン／トン／テ゚ン
	IPA	teN / toN / diN
登/豋	假名	テン／テヱン
	IPA	teN / teːN
增	假名	ツヱン／ツエン／チエン
	IPA	tsɯeN / tɕieN
憎	假名	ツヱン／ツエン
	IPA	tsɯeN
曾	假名	ツヱン／ヅヱン／チエン／ツエン／ツエウ
	IPA	tsɯeN / dzɯeN / tɕieN / tsɯeɯ
罾	假名	ツヱン
	IPA	tsɯeN
肱/厷	假名	フヲン
	IPA	ɸɯoN
拯	假名	チン
	IPA	tɕiN
肎/肯	假名	ケン／ケ゚ン／ヴン
	IPA	keN / kǝN / vɯN
等	假名	テン／チン
	IPA	teN / tɕiN
孕	假名	イン
	IPA	iN
應	假名	イン／ウン
	IPA	iN / ɯN
譍	假名	イン
	IPA	iN
認	假名	ジン／シン
	IPA	dʑiN / ɕiN
秤/稱	假名	チン／チアン
	IPA	tɕiN / tɕiaN
興	假名	ヒン／ヒイン
	IPA	çiN / çiːN
勝	假名	シン
	IPA	ɕiN
凝	假名	ニン／ニイン
	IPA	niN / niːN
烝	假名	チン
	IPA	tɕiN
證	假名	チン
	IPA	tɕiN
甑	假名	ツヱン
	IPA	tsɯeN
乘	假名	ヂン／チン
	IPA	dʑiN / tɕiN
剩/賸	假名	チン／ヂン
	IPA	tɕiN / dʑiN
蹬	假名	テン
	IPA	teN
贈	假名	ヅエン
	IPA	dzɯeN
凳	假名	テン
	IPA	teN
嶝/磴	假名	テン
	IPA	teN
鐙	假名	テン
	IPA	teN
增	假名	ツヱン／ツエン／チエン
	IPA	tsɯeN / tɕieN
増	假名	ツエン
	IPA	tsɯeN
蜮	假名	フヲツ
	IPA	ɸɯoʔ
翌	假名	イ
	IPA	i
翼	假名	イ／イヽ／イツ／ヨ
	IPA	i / iː / iʔ / jo
力	假名	リツ／リ
	IPA	riʔ / ri
測	假名	ツヱ／チエ／ツエツ
	IPA	tsɯe / tɕie / tsɯeʔ
匿	假名	モツ
	IPA	moʔ
植	假名	ヅウ
	IPA	dzɯː
殖	假名	チ
	IPA	tɕi
逼	假名	ビ
	IPA	bi
億	假名	イ
	IPA	i
憶	假名	イ／イツ
	IPA	i / iʔ
臆	假名	イツ
	IPA	iʔ
薏	假名	イツ／イ
	IPA	iʔ / i
敕	假名	チ
	IPA	tɕi
飭	假名	チ
	IPA	tɕi
鶒	假名	チ
	IPA	tɕi
息	假名	スエツ／スヱ／シ
	IPA	sɯeʔ / sɯe / ɕi
蜥	假名	スエツ／ツヱ
	IPA	sɯeʔ / tsɯe
式	假名	シ
	IPA	ɕi
拭	假名	シ／スイツ
	IPA	ɕi / sɯiʔ
識	假名	チツ／シ
	IPA	tɕiʔ / ɕi
飾	假名	シ
	IPA	ɕi
副	假名	フウ／フ
	IPA	ɸɯː / ɸɯ
直	假名	チツ／ヂ／チ
	IPA	tɕiʔ / dʑi / tɕi
穡	假名	ツアン／スエ
	IPA	tsɯaN / sɯe
色	假名	スヱ／スエ／シエ／スエツ／スヒ
	IPA	sɯe / ɕie / sɯeʔ / sɯçi
陟	假名	チツ／チ
	IPA	tɕiʔ / tɕi
織	假名	チツ／チ
	IPA	tɕiʔ / tɕi
職	假名	チ
	IPA	tɕi
即	假名	ツヱ／チ
	IPA	tsɯe / tɕi
稷	假名	ツヱツ／ツヱ／チ
	IPA	tsɯeʔ / tsɯe / tɕi
鯽	假名	ツヱ
	IPA	tsɯe
極	假名	ギ／キ／ケ／ゲ
	IPA	gi / ki / ke / ge
食	假名	シツ／ジ／シ
	IPA	ɕiʔ / dʑi / ɕi
側	假名	ツヱ／ツエ
	IPA	tsɯe
棘	假名	ラツ／キ
	IPA	raʔ / ki
蕪	假名	ウ／ウヽ
	IPA	ɯ / ɯː
微	假名	ウイ
	IPA	ɯi
勒	假名	レツ／レ／ロ
	IPA	reʔ / re / ro
惑	假名	ホツ／ウヲ／ヘ／ホ
	IPA	hoʔ / ɯo / he / ho
或	假名	ウヲ／ホ／ワク／ワヲツ
	IPA	ɯo / ho / wak / waoʔ
蜮	假名	フヲツ
	IPA	ɸɯoʔ
特	假名	デ／テ
	IPA	de / te
螣	假名	テヱン
	IPA	teːN
味	假名	ウイ
	IPA	ɯi
賊	假名	ツヱツ／ヅヱ／ツヱ
	IPA	tsɯeʔ / dzɯe / tsɯe
塞	假名	スヱ
	IPA	sɯe
寨	假名	サイ／シヤイ
	IPA	sai / ɕijai
万	假名	ワン
	IPA	waN
薇	假名	ウイ
	IPA	ɯi
薇	假名	ウイ
	IPA	ɯi
黑	假名	ヘツ／ペツ／ペ／へヱ
	IPA	heʔ / peʔ / pe / heː
克	假名	ゲ／コエ
	IPA	ge / koe
刻	假名	ケ
	IPA	ke
尾	假名	ウイ
	IPA	ɯi
得	假名	テ／テ゚／デ／テツ
	IPA	te / di / de / teʔ
德	假名	テ／テツ／デ
	IPA	te / teʔ / de
徳	假名	テ
	IPA	te
則	假名	ツヱ／ツエ／ツエツ
	IPA	tsɯe / tsɯeʔ
國	假名	クヲツ／コ／クヲ／クウ／ク／クエ／クヘ
	IPA	kɯoʔ / ko / kɯo / kɯː / kɯ / kɯe / kɯɰe
忒	假名	テ
	IPA	te
坊	假名	ハン
	IPA	haN
䳇	假名	ウヽ
	IPA	ɯː
䳇	假名	ウヽ
	IPA	ɯː
無	假名	ウヽ／ウ／ム／モ
	IPA	ɯː / ɯ / mɯ / mo
鵡	假名	ウヽ／ム
	IPA	ɯː / mɯ
王	假名	ワン
	IPA	waN
佯	假名	ヤン
	IPA	jaN
徉	假名	ヤン
	IPA	jaN
揚	假名	ヤン
	IPA	jaN
暘／旸	假名	ヤン
	IPA	jaN
楊	假名	ヤシ／ヤン
	IPA	jaɕi / jaN
洋	假名	ヤン
	IPA	jaN
羊	假名	ヤ／ヤツ／ヤン
	IPA	ja / jaʔ / jaN
詳	假名	ツヤン／ヅヤン／チヤン
	IPA	tsɯjaN / dzɯjaN / tɕijaN
陽	假名	ヤン／イヤン
	IPA	jaN / ijaN
颺	假名	イヤン
	IPA	ijaN
飏	假名	ヤン
	IPA	jaN
梁／樑	假名	リヤ◦ウ／リヤン
	IPA	rijaɯ / rijaN
椋	假名	リヤン
	IPA	rijaN
涼	假名	リヤン／リアン
	IPA	rijaN / riaN
粮／糧	假名	サヤン／リヤン
	IPA	saːN / rijaN
良	假名	ゲン／リヤン
	IPA	geN / rijaN
蜋	假名	ラン
	IPA	raN
量	假名	リヤン／リヤウ
	IPA	rijaN / rijaɯ
瘡	假名	サ゚ン
	IPA	tsaN
娘	假名	ニヤン
	IPA	nijaN
瓤	假名	ジヤン
