pa
55巴芭疤爸
44扒(扒艇)耙牌(牌坊)
35把摆柏
33霸坝拜
22罢败
pʰa
44爬琶杷排牌(牌九)
33怕派
ma
55妈孖(双)
44麻痳埋
13马码买
22骂卖
fa
33傀
ʈa
35打
ta
35仔(鸡仔，小鸡;街边仔，小贩)
33戴带
22大
tʰa
55他
33态贷太泰
na
55□(伤疤)
44拿
35(雌性)
13哪那乃奶
33□(□细佬，带小孩)
la
55拉
35□(□，食物过涩，舌头不舒服;要价太高，成本太大，受不了)
33癞罅(缝儿)
22赖酹(浇、倒)□(遗漏)
tsa
55楂渣揸斋
44茶搽柴
33诈榨炸债
22寨□(量词，把)
tsʰa
55叉杈钗差猜
44查豺
35□(乱□，乱涂)
33岔
sa
55沙纱嘥(浪费)
33晒
35洒洗玺
ja
13也
ka
55家傢加嘉痂皆稽楷阶佳街
35假(真假)贾
33假(放假)架驾嫁稼介阶界芥尬疥届戒𠝹(锯、割)
kʰa
55卡
35解启□(□水，舀水)
ŋa
44牙芽衙涯捱崖
13雅瓦
22艾
ha
55虾哈揩□(语气词，表示听不清对方的话)
44霞瑕遐孩鞋谐□(粗糙)
13懈蟹骇
22下夏厦暇械懈
kʷa
55瓜乖
35寡剐拐
33怪挂卦
kʷʰa
55夸跨
35垮
wa
55花划(划船)蛙歪
44华铧桦怀愧淮
35画
33化块快筷
22坏话
a
55鸦丫桠挨
35哑
33阿(阿哥)亚嗌(骂)
pɛ
55啤
pʰɛ
13□(lɛ13□，衣冠不整)
mɛ
35乜(歪)
tɛ
55爹
35姐
35借
22谢
tʰɛ
44邪斜
nɛ
55呢
lɛ
44□(kʰɛ44□怪，一种类似青蛙的动物)
13□(见pʰɛ13处)
tsɛ
55遮
44蛇余
35者
33蔗
tsʰɛ
55车奢□(扔)
35扯□(走，回去)
22谢麝
sɛ
55些赊
35且写舍(舍身)
13社
33泻卸赦舍(房舍)
jɛ
13惹嘢(东西)
kɛ
33嘅(的)
kʰɛ
44骑□(见lɛ44处)
35茄
ŋɛ
55□(吭声)
hɛ
44耶爷
13野
22夜
wɛ
35搲(抓)
ɛ
55□(加在动词后，表示完成体)
ʈœ
35朵
tœ
44铊
35雀(单念时)
22惰
tʰœ
13坐
nœ
22糯
lœ
55𦧲(用舌头把东西顶出来)脶□(搓)
44螺
35□(缠住，蘑菇)
tsœ
55(嘴□□，话说个不停)
44锄
tsʰœ
22□(从上往下滑)
sœ
35锁
kœ
锯
hœ
靴
pɔ
55波菠玻(玻璃)坡煲
44婆袍
35保堡宝□(夹背心)
33报
pʰɔ
55樖(棵)
44□(扁pʰi55□，形容很扁)
35颇
33破
13抱
mɔ
55魔摩馍□(慢)
44磨(磨刀)毛
35摸帽(草帽)
22磨(石磨)冒帽(雨帽)
wɔ
44禾和
35火伙
33课
22祸
ʈɔ
55多刀
44枱
35躲倒剁袋
33妬到
22待殆代
tɔ
55灾栽糟(污糟，肮脏)
44裁材(棺材)糟嘈□(气味)
35左宰嘴早枣滓
33佐再载醉灶
22坐在造
tʰɔ
55操拖胎苔(舌苔)滔
44财材(木材)曹随驼驮舵台抬桃萄
35采彩睬
13怠妥椭
33错(错误)菜赛蔡糙套
nɔ
44挪
33□(□味，一种烧焦的气味)
22耐奈内
lɔ
55啰(啰嗦)
44罗骡来牢劳痨
35佬
33啰(语气词)
13老裸
22累(连累)
tsɔ
55追遭糟(糟糕)
44锤
35阻
ts‘ɔ
55初吹
44槌
35楚础
33脆
sɔ
55搓梳疏蔬虽绥衰
44谁
jɔ
22蕊锐
kɔ
55歌哥戈该高膏篙羔糕
35改
33个
kʰɔ
33概溉慨丐
ŋɔ
44蛾鹅俄讹呆
13我
22饿卧碍外
hɔ
55开埃
44河何荷
35可海□(蚌)
22贺亥害号
kʷɔ
35果裹颗棵
33过
wɔ
55科窠倭窝锅蜗
13□(蛋坏了，事情失败了)
ɔ
55阿(阿胶)哀
35凯蔼
33爱奥坞(龙船坞)
pʰi
55□(扁□pʰɔ44，形容很扁)
ti
55啲(些)
tsi
55知蜘支枝肢脂之芝吱(吱吱，蝉)
44匙(锁匙)迟
35纸只旨指止趾址
33智致至置志痣
22稚治痔
tsʰi
55雌痴
44池驰匙(匙羹)雉持
35侈矢耻齿始豕
13恃
33翅刺
si
55施尸诗
44时
35屎
13市试
22是氏示豉视侍嗜
ji
55伊医衣依
44儿宜谊仪而疑沂
35椅倚
13尔议耳拟
33意
22义二
ki
55饥肌几(几乎)讥机基
35己纪杞几(几个)
33寄冀记既
kʰi
44奇岐祁鳍其棋期旗祈
22技妓忌
ŋi
55□(□ŋœt55，象声词，挑担声)
55牺欺嬉熙希稀
44移夷姨饴
35起喜岂
13矣已以
33戏器弃气
22异易(难易)
fu
55枯呼夫肤俘孵敷麸魁灰恢奎
44菩胡湖狐壶乎符扶芙回茴
35苦虎浒府腑俯斧抚釜
13妇会(唔会，不会)
33库裤戽讣富副
22户沪傅赴互护父腐辅付赋附芋汇负会(会计)
ku
55姑孤
35古估牯股鼓
33故固雇顾盖
kʰu
55箍
35绘贿悔
13溃
33桧刽
wu
55乌污煨
33恶(可恶)□(□低，俯下)
py
55杯胚坯
33贝辈背
22焙
44培陪赔
13倍
33沛配佩
my
44梅枚媒煤霉
13每
22妹
ʈy
55堆
35□(□住，用长杆或枪顶着)
22袋(米袋)队
ty
55资姿咨兹滋
44脐
35紫子柿梓
33对碓兑
22罪自巳祀字伺饲嗣寺
tʰy
55崔催推
44瓷慈磁辞词祠
13似
33退蜕次
ly
44雷□(青□，青苔)
tsy
55猪诸朱诛蛛株珠
44薯蜍除(除衫，脱衣)
35主煮
33驻拄注蛀铸著(显著)
22住箸
tsʰy
44除(乘除)厨
35此
13苎柱署储
33处戌
22竖树
sy
55书舒输思腮鳃斯撕厮师狮私司丝
44殊
35暑鼠史使
33絮怒蔗碎粹赐厕
22士仕事
jy
55迁于
44鱼渔如愚娱虞
35淤
13汝语乳
22寓遇御
ky
44佢(他)
35举矩
33句据
22巨具惧
kʰy
55居车(车马炮)拘驹区(区域)驱俱
44渠瞿
13拒距
hy
55虚墟嘘吁
44余于儒盂榆逾愉
35嫪樯许飧杖
13与雨禹羽
33去
22预裕誉愈喻
pɐi
55卑碑悲畀(被)
44皮(猪皮)
35彼此畀(给)
33蔽闭臂秘泌庇痹
22稗敝弊币毙陛避被(被打)备鼻篦
pʰɐi
55批披非飞妃丕蓖
44脾琵枇肥疲皮(皮蛋)
35鄙匪翡
13被(棉被)婢
33废肺譬屁痱费
22吠
mɐi
44迷谜眉楣媚微□(水□，水满)
