#a																																																	
p	[1]巴芭吧疤笆葩叭{喇～}[2]杷爬钯{大齿～}耙琶扒{～手}[3]把靶饱-[5]霸坝灞{～上：地名}[6]罢爸{侬～}																																																
pʰ	[1]脬{～}□{～倒：倾倒}[5]怕帕疱{白疔～}泡-{水～}																																																
m	[1]□{抓，～禃把：抓一把，原文作“𢲫”}[2]猫-{～咪}麻{～笋}蟆[3]马妈{阿～}码蚂[6]爸{阿～}																																																
t	[1]凋{干}□{干}[2]茶[3]打																																																
tʰ	[1]他她它																																																
n	[1]那{姓}□{～生疤}[2]哪{～咤}拉{～屎}□{拃}[3]那{～□，原文注释不清}																																																
l	[1]拉喇拉																																																
k	[1]加茄{雪～}家傢佳嘉葭交{～椅}茭{～笋}铰{～剪}胶-痂[3]假{真～}贾{姓}绞-瘕{□～，原文注释不清}[5]价假{请～}嫁稼架驾教-[6]咬-																																																
kʰ	[1]骹鲛{马～鱼}[3]□{奇～}[5]卡{～住}																																																
ŋ	[1]□{～门：岔门，原文作“岔”}[2]牙衙芽玡蚜[3]雅[6]迓讶																																																
x	[1]哈[2]虾霞瑕遐暇煆{～□，原文注释不清}蛤{～蟆}[3]夏{华～}[5]孝-{戴～}[6]夏{～季}厦{～门}下-{～谷种}																																																
ts	[1]查楂渣{渣；酒～鼻}乍{1.暴～；2.～洋：地名}[2]查{～夜}喳[3]早[5]乍{～晴～雨}炸炸蚱榨仄[6]□{～□：用□拦阻，原文注释不清}																																																
tsʰ	[1]叉扠杈岔{分～路口}差{～别}瘥{病好转}[2]柴茬{胡～}[3]炒																																																
s	[1]沙砂纱莎痧裟鲨[2]洒{雨～禃行：雨下一阵}[3]洒{～扫}[5]□{媾合，原文作“𠚺”}[6]□{边～：旁屋，原文作“厦”}																																																
∅	[1]鸦啊[2]阿{～哥～弟}[3]亚哑拗-{～断}[6]下{上～}																																																
#ɔ																																																	
p	[1]玻波菠褒[2]婆袍鄱皤[3]宝保葆堡鸨煲{电饭～}[5]报暴{龙卷～}播[6]暴{强～}爆抱{怀～}																																																
pʰ	[1]坡陂[3]叵颇[5]破=[6]抱{～小孩}																																																
