#ɿ
tʃʰ　[311]拙枢住趋区{~域}驱吹[55]屈{姓}逵锤槌炊橱厨去={来~，~皮}处{~所}处{相~}杵除储{~蓄}[42]鼠跪诡-2[13]柱拄{~拐杖}署{专~}[212]屈{委~}
ʃ　[311]树输{~赢，运~}虚嘘{吹~}墟{废~}书舒恕睡瑞徽辉-{少}[55]殊庶垂隧{~道}[42]许暑黍水[13]竖
ȵ　[311]玉御遇谓渭[55]鱼渔愚[42]女汝[13]语
∅　[311]威芋裕誉{荣~}淤于{关~}役疫域位-{地~}[55]围虞儒预豫与{及，给~}余{剩~，姓}于{姓}如吁迂盂榆愉逾喻[42]熨寓宇羽愈{~好，病~}禹慰[13]乳雨

#a
p　[311]兵浜{老}冰爸[55]□{捡}屏{~风}扮罢牌簰{~筏}拜排柄[42]□{倒}并{~且}饼{月~，~（儿）干}摆丙[13]并{合~}[212]百柏秉伯{阿~}
pʰ　[311]白拼{~命}败病[55]聘派剖平评坪萍瓶[212]拍魄帕泊{停~，梁山~}
m　[311]麦脉妈卖命[55]铭名萌埋明鸣盟螟冥暝瞑[13]买[212]陌{~生}迈掰{~开}
t　[311]订{~约}钉{~住，铁~}汀丁叮疔瞪{~眼}邓登灯呆{~子}带{名词}□{蛤蟆~：瘊子}[55]带{动词}亭停庭蜓{蜻~}廷澄-{~水}誊腾滞{停~}[42]顶鼎打等[212]□{特~特{儿：特意}
tʰ　[311]遢{~邋：邋~}他{读字}锭定厅绽{破~}大{~夫；~黄，药名}[55]听{~见，~话，~任}藤太泰态□{~年伴儿：童养媳}[42]挺艇贷
l　[311]邋{遢~：~遢}令拿拉[55]□{貂~：松鼠}另-{~外}灵铃伶零宁{安~；~愿}能奈[42]仍-挪哪{~个}那[13]领岭冷奶{牛~}耐乃扔{读字}
ts　[311]正{~月}贞侦睛{眼~}睛晶惩征{~求}争睁筝赠增憎曾{姓}斋□{~尿：尿床}□{打徛~：倒立}[55]债甑寨[42]井者[13]□{（阿）~：姐姐}□{歪}[212]□{压}摘责侧-{~个睏}
tsʰ　[311]青蜻{~蜓}掷逞{~能}净清撑择{~菜，选~}宅称{对~}称-{~呼}差{出~}[55]情晴[42]请踩[13]静靖[212]泽拆{~开}测侧={~面}策册撤辙坼厕{~所}厕{茅~}
s　[311]星盛{~满了}盛{兴~}声生牲笙甥僧筛{~子}□{~瓜：黄瓜}[55]腥圣城成诚姓性承丞胜{~任，~败}□{~骨：肋骨}肾2涎-晒柴射[42]醒省{~长，节~}省{反~}[212]色傻洒撒{~手，~种}□{谷~：稻穗}
tʃ　[311]经{~纬，~线}经{~历}羹庚更{~换，五~}拯{~救}耕鲸京惊[55]政正{~在}证症□{斟}警境竟镜2敬[42]径颈哽{骨~在喉：噎住了}景警
tʃʰ　[311]轻{~重，年~}郑坑卿杰1{人名用字}[55]程呈庆[13]杰2{人名用字}
ʃ　[311]□{莴~梗儿：莴笋（指茎部）}[55]形刑型乘{~法}剩邢
k　[311]更{自力~生}柑甘街佳街谐皆阶蛤{~蟆}[55]械疥戒届芥尬{尴~}界个{~人，一~}[42]懈解{讲~，~开，理~}[212]革隔介格{及~}解{姓}
kʰ　[311]揩[55]□{磨蹭}[42]楷坎砍[212]客
ŋ　[311]外艾挨{~近，~住}[42]矮[212]扼轭轧1{被车~}压
x　[311]赫行{品~}核1{审~}哈{~腰}[55]桁{~头：檩衡{平~}行{~为}鞋孩[42]蟹[13]杏幸郝{姓}核2{对~，~心}[212]吓{~一跳；恐~}
∅　[212]阿{~胶；~哥}

#ia
ȵ　[311]硬
∅　[311]婴缨应{~当，~用}鹦{~鹉，~哥}樱{~桃}莺曰英[55]赢蝇应{~对，响~}荣营□{阿~：指叔叔或父亲}[42]影也{者~，~是}□{~指：无名指}

#ua
k　[311]乖[55]怪[42]杆秆{稻~，麦~}寡[212]□{扔}蒯□{摔}
kʰ　[55]刽快块[42]垮跨挎跨
x　[311]□{歪}怀坏={破~}[55]槐淮宏1{名字}华{~山，姓；中~}桦{~树}铧[13]宏2{名字}[212]划{~拳}
∅　[311]洼哇蛙歪坏-{打~}[55]横{~直；蛮~}

#ya
ʃ　[311]兄

#e
p　[311]悲卑俾婢鐾{~刀布}[212]北逼壁璧迫
pʰ　[311]弊批币[212]劈匹{一~布，一~马}
m　[311]墨默[42]美[13]□{tsʰɔ³¹¹~舅：小舅子}
