繁體	简体	吳拼	備注
爸	爸	pa⁵³	
巴	巴	pa⁵³	
芭	芭	pa⁵³	芭蕉
疤	疤	pa⁵³	
襬	䙓	pa⁵³	下襬：上衣的下邊部分
叭	叭	pa⁵³	
媽	妈	ʔma⁵³	姆媽
拖	拖	tʰa⁵³	拖小雞。拖舌頭
拉	拉	ʔla⁵³	拉手
啦	啦	ʔla⁵³	
渣	渣	tsa⁵³	
齋	斋	tsa⁵³	
抓	抓	tsa⁵³	抓住
叉	叉	tsʰa⁵³	
杈	杈	tsʰa⁵³	
差	差	tsʰa⁵³	差別
釵	钗	tsʰa⁵³	
沙	沙	sa⁵³	
紗	纱	sa⁵³	棉紗
街	街	ka⁵³	
揩	揩	kʰa⁵³	
蛤	蛤	ha⁵³	癩蛤蟆
哈	哈	ha⁵³	
挨	挨	a⁵³	挨攏，靠邊
阿	阿	a⁵³	語氣詞
鴉	鸦	a⁵³	鴉片
爬	爬	ba²²	
琶	琶	ba²²	
杷	杷	ba²²	
排	排	ba²²	
牌	牌	ba²²	
麻	麻	ma²²	
痲	痲	ma²²	
查	查	dza²²	
茶	茶	dza²²	
搽	搽	dza²²	搽粉
柴	柴	za²²	
豺	豺	za²²	豺狼虎豹
茄	茄	ɡa²²	番茄，西紅柿
鞋	鞋	ɦa²²	
擺	摆	pa³⁵	
把	把	pa³⁵	一把，量詞
灑	洒	sa³⁵	
耍	耍	sa³⁵	
解	解	ka³⁵	
楷	楷	kʰa³⁵	正楷
卡	卡	kʰa³⁵	
蟹	蟹	ha³⁵	
矮	矮	a³⁵	
買	买	ma²⁴	
馬	马	ma²⁴	
碼	码	ma²⁴	
奶	奶	na²⁴	奶娘
霸	霸	pa⁴⁴	
欛	欛	pa⁴⁴	欛柄
坝	坝	pa⁴⁴	
拜	拜	pa⁴⁴	
壩	壩	pa⁴⁴	堤壩
怕	怕	pʰa⁴⁴	
派	派	pʰa⁴⁴	
戴	戴	ta⁴⁴	
帶	带	ta⁴⁴	
太	太	tʰa⁴⁴	
泰	泰	tʰa⁴⁴	
他	他	tʰa⁴⁴	
汰	汰	tʰa⁴⁴	汰潢頭：海邊的礁石地
挪	挪	ʔna⁴⁴	
哪	哪	ʔna⁴⁴	
拉	拉	ʔla⁴⁴	極拉：他們
詐	诈	tsa⁴⁴	
榨	榨	tsa⁴⁴	
炸	炸	tsa⁴⁴	
債	债	tsa⁴⁴	
蔡	蔡	tsʰa⁴⁴	
曬	晒	sa⁴⁴	
啥	啥	sa⁴⁴	
傻	傻	sa⁴⁴	
灑	洒	sa⁴⁴	
界	界	ka⁴⁴	
介	介	ka⁴⁴	
芥	芥	ka⁴⁴	
疥	疥	ka⁴⁴	疥瘡
屆	届	ka⁴⁴	
戒	戒	ka⁴⁴	
𠨴	𠨴	ka⁴⁴	放碗、菜等櫃子：𠨴櫥
尬	尬	ka⁴⁴	
阿	阿	a⁴⁴	阿爹，爸爸
耙	耙	ba¹³	
敗	败	ba¹³	
稗	稗	ba¹³	稗草
賣	卖	ma¹³	
罵	骂	ma¹³	
買	买	ma¹³	年輕人買賣同音
大	大	da¹³	
