#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
mɑ [1]妈马={~虎}𧻙{~发~发：走路缓慢摇摆}[2]蟆埋[6]马={~克思，~来西亚}买卖	
tɑ [1]多-{~个，好~个人}[5]戴{动词，本字为“带”：~帽子}带	
thɑ [1]拖-{~舌头，~出去，~鼻涕，绳~下来；涕~：做事不爽气}他她它[5]太-{~阳，老~婆}泰	
dɑ [2]□{拖延}[6]大{~学，~量，~蒜，~家}汏埭{量词，意为“行”、“排”、“座”、“趟”等：一~字，一~房子，去一~；老式房屋的“进”；地名常用字，本地地名中的“埭”大多读此音}	
nɑ [1]挪那拿={推~，加~大}[6]哪={~里}奶-{喂~，牛~}	
lɑ [1]拉[2]垃{~圾}[6]赖-{~账}癞-{~团}攋	
ʦɑ [1]斋遮{奢~：聪明}抓={~紧}[5]诈={~骗}债笊	
ʦhɑ [1]扯差{出~}[5]□{歪斜}蔡	
sɑ [1]傻□{截取}筛酾{~酒}	
zɑ [2]柴豺[6]惹射{排泄}寨	
kɑ [1]家-{一~人~，~生}加嘉街胛{肩~}[5]假-{真~}架嫁价戒解-{锯；~开，鞋带~脱}界-{世~，边~}芥尬疥	
khɑ [1]揩咖{~啡}抲[5]楷快{~活}卡	
ɡɑ [2]茄-{~子}□{硬挤：~一脚}[6]骱	
ŋɑ [1]砑[2]牙-{~齿}芽伢牙{啃}蚜[6]捱外-𧻲{留着不走}	
ɑ [1]阿挨[5]矮	
hɑ [5]蟹	
ɦɑ [2]鞋华{蒲~塘}[6]何-{~上(lɔ̃)/~里上(lɔ̃)：哪里；~里个：哪一个}也-{~是}	
#iɑ	
tiɑ [1]爹	
ʦiɑ [1]□{熟食置于小火上烤暖}□{靠或挤在别人位置上}[5]姐借	
ʦhiɑ [5]笡	
siɑ [5]写泻卸	
ziɑ [2]邪斜[6]谢荠{~菜}	
ʨiɑ [1]家={~教，~伙}阶偕皆佳[5]假={~期}驾稼介届界={外~}解={讲~}	
ʥiɑ [2]茄={~克衫}	
ɕiɑ [1]奢{~遮：聪明}[5]□{急~乎，差一点}□{略开，门~开一眼}	
iɑ [1]牙={张~舞爪，匈~利}雅霞鸦亚椰□{躲藏}哑={~铃，~巴}鸦={~片，涂~}	
ɦiɑ [2]爷[6]野夜	
#uɑ	
kuɑ [1]乖[5]怪拐褂	
khuɑ [5]快-垮	
uɑ [1]娃蛙□{~话，冤枉}	
huɑ [1]歪	
ɦuɑ [2]槐淮[6]坏	
#ɘ	
pɘ [1]巴-{嘴~，~不得}芭疤笆[5]把坝欛□{引小孩大小便}	
phɘ [5]怕-{~陌生}	
bɘ [2]巴-{下~}爬杷钯䶕[6]耙罢-{~工}	
mɘ [2]麻痲蘑{~菇}[6]马码骂	
tɘ [1]单-{~只要/~清：仅仅}端[5]短断{判~}锻掸	
thɘ [1]滩-{许家~，仇家~}摊-{~开，~勒地上}瘫-{风~}[5]𨂞	
dɘ [2]弹-{~棉花，~被絮}抟团[6]蛋-{鸡~，皮~，~糕}断{断裂}段缎	
nɘ [1]拿-{~不出手，~物事}囡{对孩子的昵称、爱称}[6]哪-{~吒}暖囡{~儿：女儿}	
lɘ [2]拦-{~牢定}[6]卵-{男阴}乱	
ʦɘ [1]查渣遮蔗钻{钻洞}抓{~牌：打牌}[5]诈-{敲~}榨炸{爆~}钻{电钻}	
ʦhɘ [1]叉杈差钗车汆蹿餐[5]岔差{~弗多}窜	
sɘ [1]沙纱痧砂酸[5]十{~五，避“入”音}舍晒散-{~养，~装，~放}伞算蒜产-{~母：产妇}	
zɘ [2]茶蛇查[6]喏{唱~：拜祖宗}麝射{~击}	
kɘ [1]干{干燥}肝个{量词}竿杆[5]干{干部}擀赶	
khɘ [1]看{看守}[5]刊看{看见}	
ŋɘ [6]瓦	
ɘ [1]丫桠安鞍挜鸦-{老~：乌鸦；水老~：鸬鹚}[5]晏-{晚}按案哑-{~胡咙}	
hɘ [1]虾□{切割}[5]汉熯许{几~：多少}	
ɦɘ [2]韩寒[6]下-{乡~，上~}旱汗焊捍夏-	
#iɘ	
ʨiɘ [1]捐[5]卷绢眷	
ʨhiɘ [1]圈[5]劝券犬	
ʥiɘ [2]权拳蜷{蜷缩}䠰䟒[6]倦圈	
ɕiɘ [1]喧	
ȵiɘ [2]元原源年{~级}[6]愿	
iɘ [1]渊冤[5]怨援	
ɦiɘ [2]圆员缘袁辕园猿眩援元{人民币单位，本字为“圆”}[6]院远县	
#uɘ	
kuɘ [1]瓜[5]寡挂卦	
