字	音	注
催	tʃʰø[1]	
崔	tʃʰø[1]	
吹	tʃʰø[1]	～hy44hy44ti35：吹口哨
随	tʃʰø[2]	～pʰiɛ̃51：随便
出	tʃʰø[2]	
脆	tʃʰø[5]	
薛	ʃø[1]	
雪	ʃø[2]	
髓	ʃø[2]	
刷	ʃø[2]	
蛳	ʃø[5]	螺蛳，单用
顺	ʃø[6]	
决	kø[2]	
诀	kø[2]	kʰai42～：口～
觉	kø[2]	知觉
葵	kø[2]	
□	kʰø[5]	muʔ54～：睡觉
揉	ŋø[3]	
□	ŋø[5]	草。又音tsʰo42
乐	ŋø[6]	文读，音～
泊	pɛ[2]	梁山～
北	pɛ[2]	
柏	pɛ[2]	文读
□	pɛ[3]	拉：～人
拔	pɛ[3]	
撇	pʰɛ[2]	文读
朋	pʰɛ[2]	
避	pʰɛ[6]	
篦	pʰɛ[6]	又音pʰi51
眉	mɛ[2]	
登	tɛ[1]	
灯	tɛ[1]	
得	tɛ[2]	
德	tɛ[2]	
剔	tʰɛ[1]	
帖	tʰɛ[2]	单用
踢	tʰɛ[2]	
态	tʰɛ[5]	-44～tʰu51：～度
苔	tʰɛ[5]	
戴	tʰɛ[6]	
地	tʰɛ[6]	～方
□	lɛ[1]	a44～：母亲
来	lɛ[2]	
栽	tsɛ[1]	
筛	tsʰɛ[1]	æ？单用
脐	tsʰɛ[2]	
砌	tsʰɛ[2]	æ？
菜	tsʰɛ[5]	又音tʃʰiɛ35，tsiɛ35
蔡	tsʰɛ[5]	
撤	tsʰɛ[5]	
狮	ʃɛ[2]	单用
使	ʃɛ[3]	iɛ？
事	ʃɛ[6]	ŋo51～：说话
鸡	kɛ[1]	
结	kɛ[2]	又音kiɛ22
格	kɛ[2]	kʰi？54～；及格
革	kɛ[2]	文读，又音kɔ22
佢	kɛ[3]	他
溪	kʰɛ[1]	
□	kʰɛ[2]	翅膀，单用
寄	kʰɛ[6]	
黑	hɛ[2]	～人
衡	hɛ[2]	文读
□	ŋɛ[5]	pʰi22pʰo22～：蝙蝠
硬	ŋɛ[6]	
伯	pa[1]	①～～-35：伯母；②～ia35：伯伯，面称
八	pa[2]	
拨	pa[2]	
摆	pa[3]	
拜	pa[5]	
罢	pa[5]	文读
稗	pa[5]	
排	pʰa[2]	
牌	pʰa[2]	
派	pʰa[5]	
败	pʰa[6]	
磨	ma[2]	～刀
埋	ma[2]	
抹	ma[2]	
买	ma[3]	
卖	ma[6]	
达	ta[2]	文读
底	ta[3]	
遮	ta[3]	白读，又音tsa44
代	ta[5]	
带	ta[5]	
拖	tʰa[1]	
台	tʰa[2]	
铁	tʰa[2]	
塔	tʰa[3]	
太	tʰa[5]	
泰	tʰa[5]	
大	tʰa[6]	
待	tʰa[6]	招～所
贷	tʰa[6]	
泥	la[2]	
犁	la[2]	
□	la[2]	母亲，背称
拉	la[2]	文读
赤	la[2]	打～骹：打赤脚
耐	la[6]	～心
赖	la[6]	
在	la[6]	
遮	tsa[1]	文读，又音ta42
灾	tsa[1]	
斋	tsa[1]	
只	tsa[2]	
者	tsa[3]	记～
蔗	tsa[5]	甘蔗，单用
债	tsa[5]	
车	tsʰa[1]	
才	tsʰa[2]	天～
猜	tsʰa[2]	
材	tsʰa[2]	
财	tsʰa[2]	
裁	tsʰa[2]	
豺	tsʰa[2]	
齐	tsʰa[2]	
彩	tsʰa[3]	
睬	tsʰa[3]	
㿭	tsʰa[6]	pʰeʔ54～：皮肤因天冷开裂。又音tsʰɔ22
沙	sa[1]	
纱	sa[1]	
杀	sa[2]	
□	sa[2]	～pɔ42：勤劳
洒	sa[3]	
洗	sa[3]	
舍	sa[3]	
箩	sa[5]	
赛	sa[5]	
细	sa[5]	
婿	sa[5]	～lɔ̃22婿郎：女婿
社	sa[6]	
射	sa[6]	
□	ka[1]	～tsa22：一只，人或东西都用
该	ka[1]	
街	ka[1]	
改	ka[3]	
解	ka[3]	～kʰuɛ44：解开
□	ka[3]	睁
概	ka[3]	tʰa51～：大概
介	ka[3]	-44～sau51：介绍
界	ka[3]	
届	ka[3]	
戒	ka[3]	～ŋiɛ̃44：戒烟
渴	kʰa[2]	
慨	kʰa[3]	文读
砍	kʰa[5]	
蛤	ha[2]	
鞋	ha[2]	
瞎	ha[2]	
辖	ha[2]	文读
海	ha[3]	
蟹	ha[3]	螃～
害	ha[6]	
鹰	ŋa[2]	白读
阿	∅a[1]	～mã44：母亲，面称
矮	∅a[3]	
还	∅a[5]	～iuʔ32：～有
波	pɔ[1]	文读
菠	pɔ[1]	～lɛn22tʃʰiɛ35菠凌菜：菠菜
疤	pɔ[1]	
巴	pɔ[2]	～kiɛ22：巴结
百	pɔ[2]	
把	pɔ[3]	量词
□	pɔ[3]	sa22～：勤劳
霸	pɔ[5]	
坝	pɔ[5]	
耙	pʰɔ[2]	
爬	pʰɔ[2]	
杷	pʰɔ[2]	
琶	pʰɔ[2]	
□	pʰɔ[3]	lau22～：忘记
麻	mɔ[2]	～pi44ti35：～雀
痲	mɔ[2]	
蟆	mɔ[2]	hɔ22～：蛤蟆
母	mɔ[2]	鸡～：母鸡
马	mɔ[3]	
码	mɔ[3]	文读
答	tɔ[2]	
□	tʰɔ[2]	贴墙上
贴	tʰɔ[2]	按：补，便于匹配；贴墙上
叠	tʰɔ[6]	名词
碟	tʰɔ[6]	
渣	tsɔ[1]	
楂	tsɔ[1]	
榨	tsɔ[5]	
岔	tsʰɔ[1]	～tʰio51岔墿：岔路
钗	tsʰɔ[1]	
□	tsʰɔ[1]	haŋ22-44～：疟疾
茶	tsʰɔ[2]	
查	tsʰɔ[2]	
插	tsʰɔ[2]	～销
察	tsʰɔ[2]	
㿭	tsʰɔ[2]	pʰeʔ54～：稻田因无水开裂。又音tsʰa51
炸	tsʰɔ[5]	
倽	sɔ[2]	①老～：老人；②别～：别人
□	sɔ[2]	i44～：谁
家	kɔ[1]	
加	kɔ[1]	
傢	kɔ[1]	～kʰy51：傢具
隔	kɔ[2]	～pia22隔壁：邻居
革	kɔ[2]	白读，又音kɛ22
假	kɔ[2]	真假
贾	kɔ[2]	姓
假	kɔ[5]	假期
架	kɔ[5]	
驾	kɔ[5]	
嫁	kɔ[5]	
价	kɔ[5]	
□	kɔ[6]	～ʃiʔ32：都是
甲	kɔ[6]	
□	kʰɔ[1]	抓，捉
客	kʰɔ[2]	
夹	hɔ[2]	～菜
峡	hɔ[2]	文读
虾	hɔ[5]	
霞	hɔ[5]	
夏	hɔ[6]	
厦	hɔ[6]	
芽	ŋɔ[2]	
衙	ŋɔ[2]	文读
崖	ŋɔ[2]	
压	∅ɔ[2]	
鸦	∅ɔ[2]	
鸭	∅ɔ[2]	
画	∅ɔ[2]	单用
哑	∅ɔ[3]	
玻	po[1]	
保	po[3]	
堡	po[3]	
宝	po[3]	
布	po[5]	
报	po[5]	
博	po[5]	
剖	pʰo[1]	
婆	pʰo[2]	
暴	pʰo[5]	～tʰuŋ51：暴动
泡	pʰo[5]	
模	mo[2]	
摹	mo[2]	
毛	mo[2]	～泽东。又音mo35
毛	mo[5]	猪～
磨	mo[6]	器物
□	mo[6]	无
𢫦	mo[6]	打
冒	mo[6]	
帽	mo[6]	
貌	mo[6]	
茂	mo[6]	
贸	mo[6]	
没	mo[6]	
刀	to[1]	
岛	to[3]	
倒	to[3]	①树～；②躺
导	to[3]	
陡	to[3]	文读
到	to[5]	
倒	to[5]	～水
盗	to[5]	
滔	tʰo[1]	文读
涛	tʰo[1]	文读
萄	tʰo[2]	葡～
讨	tʰo[3]	①求；②男人结婚
桃	tʰo[5]	
套	tʰo[5]	
过	tʰo[6]	
度	tʰo[6]	过
道	tʰo[6]	①遂～；②～理
锣	lo[2]	
箩	lo[2]	文读，又音sa35
流	lo[2]	
油	lo[2]	白读，又音iu22
劳	lo[2]	
牢	lo[2]	tʰuɛʔ32：坐～
糯	lo[6]	
闹	lo[6]	
□	tso[2]	用阴火捂使熟
桌	tso[2]	
炙	tso[2]	～火：烤火
左	tso[3]	文读
枣	tso[3]	
做	tso[5]	
造	tso[5]	
搓	tsʰo[1]	搽
操	tsʰo[1]	
糙	tsʰo[1]	～米
作	tsʰo[1]	
曹	tsʰo[2]	
槽	tsʰo[2]	
朝	tsʰo[2]	朝代
绸	tsʰo[2]	
尺	tsʰo[2]	
草	tsʰo[3]	又音ŋø35
锉	tsʰo[5]	
错	tsʰo[5]	
厝	tsʰo[5]	房屋
□	so[1]	ko22～：蜘蛛
蓑	so[1]	
梭	so[1]	
拾	so[2]	
索	so[2]	绳
嫂	so[3]	tʰa51～：大嫂
锁	so[3]	～匙
琐	so[3]	
露	so[6]	
歌	ko[1]	
哥	ko[1]	
瓜	ko[1]	
膏	ko[1]	
