汉字	ipa	声母	韵母	声调
支	tɕi55	tɕ	i	陰平55
知	tɕi55	tɕ	i	陰平55
蜘	tɕi55	tɕ	i	陰平55
枝	tɕi55	tɕ	i	陰平55
肢	tɕi55	tɕ	i	陰平55
脂	tɕi55	tɕ	i	陰平55
之	tɕi55	tɕ	i	陰平55
芝	tɕi55	tɕ	i	陰平55
豬	tɕi55	tɕ	i	陰平55
諸	tɕi55	tɕ	i	陰平55
蛛	tɕi55	tɕ	i	陰平55
株	tɕi55	tɕ	i	陰平55
珠	tɕi55	tɕ	i	陰平55
朱	tɕi55	tɕ	i	陰平55
紙	tɕi33	tɕ	i	陰上33
只	tɕi33	tɕ	i	陰上33
旨	tɕi33	tɕ	i	陰上33
指	tɕi33	tɕ	i	陰上33
止	tɕi33	tɕ	i	陰上33
址	tɕi33	tɕ	i	陰上33
主	tɕi33	tɕ	i	陰上33
煮	tɕi33	tɕ	i	陰上33
駐	tɕi51	tɕ	i	陰去51
註	tɕi51	tɕ	i	陰去51
注	tɕi51	tɕ	i	陰去51
蛀	tɕi51	tɕ	i	陰去51
鑄	tɕi51	tɕ	i	陰去51
著	tɕi51	tɕ	i	陰去51
至	tɕi51	tɕ	i	陰去51
志	tɕi51	tɕ	i	陰去51
誌	tɕi51	tɕ	i	陰去51
痣	tɕi51	tɕ	i	陰去51
置	tɕi51	tɕ	i	陰去51
致	tɕi51	tɕ	i	陰去51
智	tɕi51	tɕ	i	陰去51
治	tɕi21	tɕ	i	陽去21
住	tɕi21	tɕ	i	陽去21
差	tɕʰi55	tɕʰ	i	陰平55
文	tɕʰi55	tɕʰ	i	陰平55
除	tɕʰi213	tɕʰ	i	陽平213
遲	tɕʰi213	tɕʰ	i	陽平213
池	tɕʰi213	tɕʰ	i	陽平213
馳	tɕʰi213	tɕʰ	i	陽平213
廚	tɕʰi213	tɕʰ	i	陽平213
儲	tɕʰi213	tɕʰ	i	陽平213
齒	tɕʰi33	tɕʰ	i	陰上33
恥	tɕʰi33	tɕʰ	i	陰上33
處	tɕʰi33	tɕʰ	i	陰上33
理	tɕʰi33	tɕʰ	i	陰上33
柱	tɕʰi23	tɕʰ	i	陽上23
處	tɕʰi51	tɕʰ	i	陰去51
翅	tɕʰi51	tɕʰ	i	陰去51
兒	ȵi55	ȵ	i	陰平55
魚	ȵi213	ȵ	i	陽平213
疑	ȵi213	ȵ	i	陽平213
而	ȵi213	ȵ	i	陽平213
耳	ȵi23	ȵ	i	陽上23
議	ȵi23	ȵ	i	陽上23
語	ȵi23	ȵ	i	陽上23
二	ȵi21	ȵ	i	陽去21
義	ȵi21	ȵ	i	陽去21
舒	ɕi55	ɕ	i	陰平55
輸	ɕi55	ɕ	i	陰平55
書	ɕi55	ɕ	i	陰平55
師	ɕi55	ɕ	i	陰平55
施	ɕi55	ɕ	i	陰平55
屍	ɕi55	ɕ	i	陰平55
尸	ɕi55	ɕ	i	陰平55
獅	ɕi55	ɕ	i	陰平55
時	ɕi213	ɕ	i	陽平213
殊	ɕi213	ɕ	i	陽平213
如	ɕi213	ɕ	i	陽平213
匙	ɕi213	ɕ	i	陽平213
薯	ɕi213	ɕ	i	陽平213
史	ɕi33	ɕ	i	陰上33
屎	ɕi33	ɕ	i	陰上33
矢	ɕi33	ɕ	i	陰上33
鼠	ɕi33	ɕ	i	陰上33
駛	ɕi33	ɕ	i	陰上33
黍	ɕi33	ɕ	i	陰上33
市	ɕi23	ɕ	i	陽上23
是	ɕi23	ɕ	i	陽上23
試	ɕi51	ɕ	i	陰去51
世	ɕi51	ɕ	i	陰去51
勢	ɕi51	ɕ	i	陰去51
暑	ɕi51	ɕ	i	陰去51
樹	ɕi21	ɕ	i	陽去21
豎	ɕi21	ɕ	i	陽去21
氏	ɕi21	ɕ	i	陽去21
事	ɕi21	ɕ	i	陽去21
柿	ɕi21	ɕ	i	陽去21
士	ɕi21	ɕ	i	陽去21
視	ɕi21	ɕ	i	陽去21
示	ɕi21	ɕ	i	陽去21
誓	ɕi21	ɕ	i	陽去21
基	ki55	k	i	陰平55
飢	ki55	k	i	陰平55
機	ki55	k	i	陰平55
譏	ki55	k	i	陰平55
幾	ki55	k	i	陰平55
己	ki33	k	i	陰上33
紀	ki33	k	i	陰上33
年	ki33	k	i	陰上33
幾	ki33	k	i	陰上33
寄	ki51	k	i	陰去51
紀	ki51	k	i	陰去51
律	ki51	k	i	陰去51
既	ki51	k	i	陰去51
繼	ki51	k	i	陰去51
記	ki51	k	i	陰去51
旗	kʰi213	kʰ	i	陽平213
棋	kʰi213	kʰ	i	陽平213
麒	kʰi213	kʰ	i	陽平213
期	kʰi213	kʰ	i	陽平213
其	kʰi213	kʰ	i	陽平213
奇	kʰi213	kʰ	i	陽平213
騎	kʰi213	kʰ	i	陽平213
妓	kʰi21	kʰ	i	陽去21
技	kʰi21	kʰ	i	陽去21
忌	kʰi21	kʰ	i	陽去21
欺	hi55	h	i	陰平55
希	hi55	h	i	陰平55
稀	hi55	h	i	陰平55
犧	hi55	h	i	陰平55
喜	hi33	h	i	陰上33
起	hi33	h	i	陰上33
豈	hi33	h	i	陰上33
啟	hi33	h	i	陰上33
器	hi51	h	i	陰去51
棄	hi51	h	i	陰去51
氣	hi51	h	i	陰去51
汽	hi51	h	i	陰去51
戲	hi51	h	i	陰去51
醫	ji55	j	i	陰平55
衣	ji55	j	i	陰平55
依	ji55	j	i	陰平55
遺	ji213	j	i	陽平213
余	ji213	j	i	陽平213
盂	ji213	j	i	陽平213
移	ji213	j	i	陽平213
夷	ji213	j	i	陽平213
姨	ji213	j	i	陽平213
榆	ji213	j	i	陽平213
愉	ji213	j	i	陽平213
椅	ji33	j	i	陰上33
倚	ji33	j	i	陰上33
已	ji33	j	i	陰上33
以	ji23	j	i	陽上23
與	ji23	j	i	陽上23
雨	ji23	j	i	陽上23
意	ji51	j	i	陰去51
易	ji21	j	i	陽去21
異	ji21	j	i	陽去21
裕	ji21	j	i	陽去21
譽	ji21	j	i	陽去21
預	ji21	j	i	陽去21
嗟	tsɛ55	ts	ɛ	陰平55
姐	tsɛ33	ts	ɛ	陰上33
姊	tsɛ33	ts	ɛ	陰上33
借	tsɛ51	ts	ɛ	陰去51
邪	tsʰɛ213	tsʰ	ɛ	陽平213
斜	tsʰɛ213	tsʰ	ɛ	陽平213
斜	tsʰɛ51	tsʰ	ɛ	陰去51
白	tsʰɛ51	tsʰ	ɛ	陰去51
謝	tsʰɛ21	tsʰ	ɛ	陽去21
些	sɛ55	s	ɛ	陰平55
寫	sɛ33	s	ɛ	陰上33
瀉	sɛ51	s	ɛ	陰去51
卸	sɛ51	s	ɛ	陰去51
遮	tɕɛ55	tɕ	ɛ	陰平55
者	tɕɛ33	tɕ	ɛ	陰上33
這	tɕɛ51	tɕ	ɛ	陰去51
車	tɕʰɛ55	tɕʰ	ɛ	陰平55
且	tɕʰɛ33	tɕʰ	ɛ	陰上33
扯	tɕʰɛ33	tɕʰ	ɛ	陰上33
惹	ȵɛ55	ȵ	ɛ	陰平55
賒	ɕɛ55	ɕ	ɛ	陰平55
蛇	ɕɛ213	ɕ	ɛ	陽平213
捨	ɕɛ33	ɕ	ɛ	陰上33
社	ɕɛ23	ɕ	ɛ	陽上23
赦	ɕɛ51	ɕ	ɛ	陰去51
舍	ɕɛ51	ɕ	ɛ	陰去51
射	ɕɛ21	ɕ	ɛ	陽去21
茄	kʰɛ213	kʰ	ɛ	陽平213
靴	hɛ55	h	ɛ	陰平55
爺	jɛ55	j	ɛ	陰平55
椰	jɛ213	j	ɛ	陽平213
耶	jɛ213	j	ɛ	陽平213
也	jɛ33	j	ɛ	陰上33
文	jɛ33	j	ɛ	陰上33
言	jɛ33	j	ɛ	陰上33
野	jɛ23	j	ɛ	陽上23
也	jɛ23	j	ɛ	陽上23
夜	jɛ21	j	ɛ	陽去21
疤	pɑ55	p	ɑ	陰平55
巴	pɑ55	p	ɑ	陰平55
爸	pɑ55	p	ɑ	陰平55
把	pɑ33	p	ɑ	陰上33
霸	pɑ51	p	ɑ	陰去51
壩	pɑ51	p	ɑ	陰去51
垻	pɑ51	p	ɑ	陰去51
爬	pʰɑ213	pʰ	ɑ	陽平213
怕	pʰɑ51	pʰ	ɑ	陰去51
罷	pʰɑ21	pʰ	ɑ	陽去21
媽	mɑ55	m	ɑ	陰平55
麻	mɑ213	m	ɑ	陽平213
馬	mɑ23	m	ɑ	陽上23
罵	mɑ21	m	ɑ	陽去21
花	vɑ55	v	ɑ	陰平55
華	vɑ213	v	ɑ	陽平213
鏵	vɑ213	v	ɑ	陽平213
化	vɑ51	v	ɑ	陰去51
話	vɑ21	v	ɑ	陽去21
畫	vɑ21	v	ɑ	陽去21
打	tɑ33	t	ɑ	陰上33
他	tʰɑ55	tʰ	ɑ	陰平55
它	tʰɑ55	tʰ	ɑ	陰平55
拿	nɑ213	n	ɑ	陽平213
挪	nɑ213	n	ɑ	陽平213
哪	nɑ23	n	ɑ	陽上23
那	nɑ21	n	ɑ	陽去21
渣	tɕɑ55	tɕ	ɑ	陰平55
炸	tɕɑ51	tɕ	ɑ	陰去51
詐	tɕɑ51	tɕ	ɑ	陰去51
榨	tɕɑ51	tɕ	ɑ	陰去51
乍	tɕɑ51	tɕ	ɑ	陰去51
叉	tɕʰɑ55	tɕʰ	ɑ	陰平55
差	tɕʰɑ55	tɕʰ	ɑ	陰平55
岔	tɕʰɑ55	tɕʰ	ɑ	陰平55
杈	tɕʰɑ55	tɕʰ	ɑ	陰平55
茶	tɕʰɑ213	tɕʰ	ɑ	陽平213
搽	tɕʰɑ213	tɕʰ	ɑ	陽平213
查	tɕʰɑ213	tɕʰ	ɑ	陽平213
岔	tɕʰɑ51	tɕʰ	ɑ	陰去51
沙	ɕɑ55	ɕ	ɑ	陰平55
紗	ɕɑ55	ɕ	ɑ	陰平55
耍	ɕɑ33	ɕ	ɑ	陰上33
漱	ɕɑ51	ɕ	ɑ	陰去51
又	ɕɑ51	ɕ	ɑ	陰去51
家	kɑ55	k	ɑ	陰平55
加	kɑ55	k	ɑ	陰平55
嘉	kɑ55	k	ɑ	陰平55
假	kɑ33	k	ɑ	陰上33
賈	kɑ33	k	ɑ	陰上33
架	kɑ51	k	ɑ	陰去51
價	kɑ51	k	ɑ	陰去51
嫁	kɑ51	k	ɑ	陰去51
駕	kɑ51	k	ɑ	陰去51
稼	kɑ51	k	ɑ	陰去51
卡	kʰɑ55	kʰ	ɑ	陰平55
車	kʰɑ55	kʰ	ɑ	陰平55
卡	kʰɑ51	kʰ	ɑ	陰去51
關	kʰɑ51	kʰ	ɑ	陰去51
牙	ŋɑ213	ŋ	ɑ	陽平213
芽	ŋɑ213	ŋ	ɑ	陽平213
雅	ŋɑ23	ŋ	ɑ	陽上23
瓦	ŋɑ23	ŋ	ɑ	陽上23
蝦	hɑ55	h	ɑ	陰平55
霞	hɑ213	h	ɑ	陽平213
夏	hɑ21	h	ɑ	陽去21
下	hɑ21	h	ɑ	陽去21
面	hɑ21	h	ɑ	陽去21
車	hɑ21	h	ɑ	陽去21
廈	hɑ21	h	ɑ	陽去21
瓜	kvɑ55	kv	ɑ	陰平55
寡	kvɑ33	kv	ɑ	陰上33
掛	kvɑ51	kv	ɑ	陰去51
卦	kvɑ51	kv	ɑ	陰去51
垮	kʰvɑ55	kʰv	ɑ	陰平55
跨	kʰvɑ55	kʰv	ɑ	陰平55
誇	kʰvɑ55	kʰv	ɑ	陰平55
鴉	øɑ55	ø	ɑ	陰平55
亞	øɑ33	ø	ɑ	陰上33
啞	øɑ33	ø	ɑ	陰上33
補	pu33	p	u	陰上33
佈	pu51	p	u	陰去51
布	pu51	p	u	陰去51
普	pʰu55	pʰ	u	陰平55
鋪	pʰu55	pʰ	u	陰平55
葡	pʰu213	pʰ	u	陽平213
蒲	pʰu213	pʰ	u	陽平213
補	pʰu33	pʰ	u	陰上33
脯	pʰu33	pʰ	u	陰上33
甫	pʰu33	pʰ	u	陰上33
輔	pʰu33	pʰ	u	陰上33
譜	pʰu33	pʰ	u	陰上33
簿	pʰu23	pʰ	u	陽上23
鋪	pʰu51	pʰ	u	陰去51
部	pʰu21	pʰ	u	陽去21
步	pʰu21	pʰ	u	陽去21
簿	pʰu21	pʰ	u	陽去21
誣	mu55	m	u	陰平55
摸	mu55	m	u	陰平55
模	mu213	m	u	陽平213
母	mu23	m	u	陽上23
暮	mu21	m	u	陽去21
墓	mu21	m	u	陽去21
慕	mu21	m	u	陽去21
夫	fu55	f	u	陰平55
敷	fu55	f	u	陰平55
膚	fu55	f	u	陰平55
祐	fu55	f	u	陰平55
扶	fu213	f	u	陽平213
符	fu213	f	u	陽平213
虎	fu33	f	u	陰上33
府	fu33	f	u	陰上33
腑	fu33	f	u	陰上33
斧	fu33	f	u	陰上33
苦	fu33	f	u	陰上33
婦	fu23	f	u	陽上23
舞	fu23	f	u	陽上23
武	fu23	f	u	陽上23
富	fu51	f	u	陰去51
庫	fu51	f	u	陰去51
褲	fu51	f	u	陰去51
負	fu51	f	u	陰去51
又	fu51	f	u	陰去51
附	fu21	f	u	陽去21
腐	fu21	f	u	陽去21
父	fu21	f	u	陽去21
負	fu21	f	u	陽去21
傅	fu21	f	u	陽去21
付	fu21	f	u	陽去21
烏	vu55	v	u	陰平55
呼	vu55	v	u	陰平55
胡	vu213	v	u	陽平213
湖	vu213	v	u	陽平213
糊	vu213	v	u	陽平213
葫	vu213	v	u	陽平213
壺	vu213	v	u	陽平213
鬍	vu213	v	u	陽平213
乎	vu213	v	u	陽平213
戶	vu23	v	u	陽上23
惡	vu51	v	u	陰去51
護	vu21	v	u	陽去21
互	vu21	v	u	陽去21
都	tu55	t	u	陰平55
賭	tu33	t	u	陰上33
堵	tu33	t	u	陰上33
妒	tu51	t	u	陰去51
堵	tu51	t	u	陰去51
塞	tu51	t	u	陰去51
徒	tʰu213	tʰ	u	陽平213
途	tʰu213	tʰ	u	陽平213
塗	tʰu213	tʰ	u	陽平213
圖	tʰu213	tʰ	u	陽平213
屠	tʰu213	tʰ	u	陽平213
土	tʰu33	tʰ	u	陰上33
肚	tʰu23	tʰ	u	陽上23
吐	tʰu51	tʰ	u	陰去51
兔	tʰu51	tʰ	u	陰去51
杜	tʰu21	tʰ	u	陽去21
度	tʰu21	tʰ	u	陽去21
渡	tʰu21	tʰ	u	陽去21
鍍	tʰu21	tʰ	u	陽去21
奴	nu213	n	u	陽平213
努	nu23	n	u	陽上23
怒	nu21	n	u	陽去21
驢	lu213	l	u	陽平213
盧	lu213	l	u	陽平213
爐	lu213	l	u	陽平213
蘆	lu213	l	u	陽平213
魯	lu23	l	u	陽上23
櫓	lu23	l	u	陽上23
鹵	lu23	l	u	陽上23
路	lu21	l	u	陽去21
露	lu21	l	u	陽去21
租	tsu55	ts	u	陰平55
祖	tsu33	ts	u	陰上33
組	tsu33	ts	u	陰上33
做	tsu51	ts	u	陰去51
粗	tsʰu55	tsʰ	u	陰平55
娶	tsʰu33	tsʰ	u	陰上33
取	tsʰu33	tsʰ	u	陰上33
醋	tsʰu51	tsʰ	u	陰去51
蘇	su55	s	u	陰平55
酥	su55	s	u	陰平55
素	su51	s	u	陰去51
訴	su51	s	u	陰去51
阻	tɕu33	tɕ	u	陰上33
初	tɕʰu55	tɕʰ	u	陰平55
鋤	tɕʰu213	tɕʰ	u	陽平213
楚	tɕʰu33	tɕʰ	u	陰上33
礎	tɕʰu33	tɕʰ	u	陰上33
助	tɕʰu21	tɕʰ	u	陽去21
梳	ɕu55	ɕ	u	陰平55
蔬	ɕu55	ɕ	u	陰平55
疏	ɕu55	ɕ	u	陰平55
所	ɕu33	ɕ	u	陰上33
數	ɕu33	ɕ	u	陰上33
漱	ɕu51	ɕ	u	陰去51
數	ɕu51	ɕ	u	陰去51
姑	ku55	k	u	陰平55
辜	ku55	k	u	陰平55
孤	ku55	k	u	陰平55
估	ku55	k	u	陰平55
古	ku33	k	u	陰上33
股	ku33	k	u	陰上33
鼓	ku33	k	u	陰上33
故	ku51	k	u	陰去51
固	ku51	k	u	陰去51
雇	ku51	k	u	陰去51
顧	ku51	k	u	陰去51
枯	kʰu55	kʰ	u	陰平55
茶	kʰu55	kʰ	u	陰平55
枯	hu55	h	u	陰平55
沽	hu55	h	u	陰平55
虎	hu33	h	u	陰上33
苦	hu33	h	u	陰上33
褲	hu51	h	u	陰去51
庫	hu51	h	u	陰去51
波	pɔ55	p	ɔ	陰平55
玻	pɔ55	p	ɔ	陰平55
播	pɔ51	p	ɔ	陰去51
簸	pɔ51	p	ɔ	陰去51
坡	pʰɔ55	pʰ	ɔ	陰平55
婆	pʰɔ213	pʰ	ɔ	陽平213
頗	pʰɔ33	pʰ	ɔ	陰上33
破	pʰɔ51	pʰ	ɔ	陰去51
摸	mɔ55	m	ɔ	陰平55
魔	mɔ55	m	ɔ	陰平55
摩	mɔ55	m	ɔ	陰平55
磨	mɔ213	m	ɔ	陽平213
臥	mɔ21	m	ɔ	陽去21
磨	mɔ21	m	ɔ	陽去21
窩	vɔ55	v	ɔ	陰平55
科	vɔ55	v	ɔ	陰平55
和	vɔ213	v	ɔ	陽平213
禾	vɔ213	v	ɔ	陽平213
火	vɔ33	v	ɔ	陰上33
伙	vɔ33	v	ɔ	陰上33
禍	vɔ23	v	ɔ	陽上23
課	vɔ51	v	ɔ	陰去51
貨	vɔ51	v	ɔ	陰去51
和	vɔ21	v	ɔ	陽去21
多	tɔ55	t	ɔ	陰平55
朵	tɔ33	t	ɔ	陰上33
躲	tɔ33	t	ɔ	陰上33
剁	tɔ51	t	ɔ	陰去51
拋	tʰɔ55	tʰ	ɔ	陰平55
駝	tʰɔ213	tʰ	ɔ	陽平213
馱	tʰɔ213	tʰ	ɔ	陽平213
舵	tʰɔ213	tʰ	ɔ	陽平213
妥	tʰɔ33	tʰ	ɔ	陰上33
墮	tʰɔ21	tʰ	ɔ	陽去21
惰	tʰɔ21	tʰ	ɔ	陽去21
糯	nɔ21	n	ɔ	陽去21
撈	lɔ55	l	ɔ	陰平55
白	lɔ55	l	ɔ	陰平55
騾	lɔ213	l	ɔ	陽平213
羅	lɔ213	l	ɔ	陽平213
鑼	lɔ213	l	ɔ	陽平213
籮	lɔ213	l	ɔ	陽平213
裸	lɔ33	l	ɔ	陰上33
攞	lɔ23	l	ɔ	陽上23
