字頭	聲母/韻母/聲調	註釋	錔字
爬	ɓa21		
扒	ɓa21		
耙	ɓa21	(~地)	
爸	ɓa55		
罷	ɓa22		
趴	pʰa24		
琶	pʰa21		
杷	pʰa21		
耙	pʰa55	[耙地用的工具]	
鈀	pʰa55		
怕	pʰa33		
孖	ma24		
麻	ma21		
嫲	ma21		
麻	ma21		
媽	ma55		
馬	ma33		
碼	ma33		
罵	ma22		
花	fa24		
化	fa33		
巴	ɓa24		
芭	ɓa24		
疤	ɓa24		
蛙	wa24		
窪	wa24		
華	wa21	(中~、~山)	
嘩	wa55		
把	ɓa55		
霸	ɓa33		
壩	ɓa33		
話	wa22		
他	tʰa24		
拿	na21		
乸	na55	[母的]	
打	ɗa55		
啦	la55	(~~隊)	
啦	la33	[語氣助詞]	
抓	ʦa24	[新]	
渣	ʦa24		
查	ʦa24		
楂	ʦa24	(山~)	
炸	ʦa33		
乍	ʦa33		
榨	ʦa33		
詐	ʦa33		
摣	ʦa22	[量詞,把](一~草)	
差	ʦʰa24	(~錯、參~)	
杈	ʦʰa24		
叉	ʦʰa24		
茶	ʦʰa21		
查	ʦʰa21		
搽	ʦʰa21		
岔	ʦʰa55	(三~路)	
紗	sa24		
莎	sa24		
沙	sa24		
□	sa21	[偷偷地摸、拿]	𢶌
灑	sa55		
耍	sa55		
□	sa33	(~開)[張開]	
加	ka24		
家	ka24		
嘉	ka24		
傢	ka24		
痂	ka24		
假	ka55	(真~)	
賈	ka55		
嫁	ka33		
架	ka33		
駕	ka33		
稼	ka33		
價	ka33		
假	ka33	(放~)	
卡	kʰa55		
瓦	ŋa24	[動詞]	
牙	ŋa21		
芽	ŋa21		
衙	ŋa21		
伢	ŋa21		
瓦	ŋa55	[名詞]	
雅	ŋa35		
掗	ŋa22	(~位)[占位置]	
□	ha24	[欺負]	𢩹
霞	ha21		
遐	ha21		
瑕	ha21		
暇	ha21		
哈	ha55		
蝦	ha35		
下	ha35	(底~)	
下	ha33	(~去)	
夏	ha22		
厦	ha22		
下	ha22	(~降)	
鴉	ʔa24		
丫	ʔa24		
椏	ʔa24		
啞	ʔa55		
亞	ʔa33		
阿	ʔa33		
瓜	kua24		
呱	kua24		
寡	kua55		
剮	kua55		
卦	kua33		
挂	kua33		
掛	kua33		
跨	kʰua24		
垮	kʰua24		
挎	kʰua24		
誇	kʰua24		
胯	kʰua24		
褂	kʰua35		
排	ɓai21		
牌	ɓai21		
敗	ɓai22		
批	pʰai24		
派	pʰai33		
埋	mai21		
迷	mai21		
謎	mai21		
買	mai33		
賣	mai22		
邁	mai22		
快	fai33		
塊	fai33		
筷	fai33		
墤	fai33		
歪	wai24		
懷	wai21		
淮	wai21		
槐	wai21		
擺	ɓai55		
拜	ɓai33		
壞	ɓai22		
□	ɗai21	(~菜)[大頭菜]	
大	ɗai22		
弟	ɗai22		
第	ɗai22		
遞	ɗai22		
隸	ɗai22		
梯	tʰai24		
胎	tʰai24	(爆~)	
題	tʰai21		
提	tʰai21		
堤	tʰai21		
蹄	tʰai21		
啼	tʰai21		
體	tʰai55		
睇	tʰai55		
太	tʰai33		
態	tʰai33		
貸	tʰai33		
泰	tʰai33		
替	tʰai33		
涕	tʰai33		
剃	tʰai33		
屜	tʰai33		
泥	nai21		
尼	nai21		
□	nai55	[弄髒了]	
奶	nai35		
乃	nai35		
□	nai33	[順便捎帶]	
拉	lai24		
低	ɗai24		
黎	lai21		
犂	lai21		
孻	lai55	(~仔)[排行最小的兒子]	
底	ɗai55		
抵	ɗai55		
禮	lai35		
戴	ɗai33		
帶	ɗai33		
帝	ɗai33		
賴	lai22		
例	lai22		
勵	lai22		
麗	lai22		
荔	lai22		
隸	ɗai22		
麗	lai22		
厲	lai22		
癩	lai22		
徙	ɬai55		
璽	ɬai55		
嘥	ɬai55	[浪費](~錢)	
嗮	ɬai33	(做~)[做完]	
齋	ʦai24		
□	ʦai55	[放置]	
制	ʦai33		
債	ʦai33		
製	ʦai33		
寨	ʦai22		
滯	ʦai22		
猜	ʦʰai24		
釵	ʦʰai24		
差	ʦʰai24	(出~)	
搓	ʦʰai24		
柴	ʦʰai21		
豺	ʦʰai21		
篩	sai24		
使	sai55	(~用)	
駛	sai55		
曬	sai33		
世	sai33		
勢	sai33		
誓	sai22		
逝	sai22		
佳	kai24		
楷	kai24		
皆	kai24		
階	kai24		
雞	kai24		
雞	kai35		
稭	kai24		
解	kai55	[曉也]	
街	kai35	*變調	
髻	kai35		
介	kai33		
個	kai33	[量詞](一~)	
戒	kai33		
界	kai33		
芥	kai33		
疥	kai33		
計	kai33		
繼	kai33		
屆	kai33		
尬	kai33		
揩	kʰai24		
契	kʰai33	(~弟)	
挨	ŋai21	(~打)	
涯	ŋai21		
崖	ŋai21		
捱	ŋai21		
我	ŋai35	[我們]	
