#i
p[51]坝[31]皮疲琵枇鼻肥[44]比□{折断}匹[24]被{~子}毙
pʰ[51]飞[44]鄙庇篦[424]屁
m[31]迷[424]谜溺眯[24]尾未味
t[51]椒[44]挤子姊[24]地
tʰ[424]砌
l[51]□{薅}[31]离篱璃梨厘狸立=□{~菜：择菜}[44]李里=理[24]例厉励利痢
s[51]撕尸司丝思诗欺师狮[31]匙迟祠时[44]是氏死屎痔始[424]世逝四肆示试式[24]势豉市柿字寺事
tɕ[51]支枝[31]蜘集极绩[44]纸只指止趾址[424]制契治志痣至[24]既
tɕʰ[44]齿[424]翅
ȵ[31]宜仪[44]你[24]谊义议二耳=
ɕ[51]私[31]池瓷糍习[44]启企[424]弃肺士[24]系
k[51]饥基机[31]骑祁棋旗级脊[44]己纪几{~个}季埂[424]计继寄记[24]徛
x[44]起喜[424]戏器气汽
∅[51]一=[31]移姨日=益乙[44]椅倚以[424]器意亿音[24]易{难~}肄忆

#u
p[51]铺{~设}[31]蒲菩卜葫捧-[44]补簿斧腐[424]部布傅[24]妇步扶父
pʰ[51]朴[44]谱普辅[424]铺{店~}
m[31]梧[44]武[24]墓暮雾
f[51]枯夫[31]复佛[44]苦府最-[424]裤戽付富副[24]互
t[51]租[31]涂途图[44]举-祖冢[424]做[24]肚=杜度
tʰ[51]粗[31]徒屠秃[44]土讨[424]吐兔醋
n[44]努[24]卤
l[51]都{~是}[31]卢炉芦录[44]赌鲁肚-堵处[24]路
ts[31]筑
tsʰ[31]畜
s[51]苏酥舒[31]肃宿粟俗续[24]素漱术
k[51]姑孤箍[44]古估牯股鼓[424]故雇顾
kʰ[424]库
ŋ[24]我
∅[51]幅虎[31]吴胡湖壶瓠浮-敷芋[44]□{~开：揭开}[24]户务

#y
t[51]蛆
l[31]律[24]里-吕
tɕ[51]猪居车据雏珠[44]组阻举=
tɕʰ[31]厨曲[44]楚处取拄
ȵ[31]鱼渔[24]女
ɕ[51]虚书输帐-[31]徐除戌[44]杵暑黍署许数{动词}戍[24]箸住数{名词}竖=蓄畜
k[31]菊局[44]举[424]据句
kʰ[31]曲
∅[51]如[31]于余愚娱虞雨宇羽禹役疫[44]语[24]誉遇

#a
p[51]芭疤钯琶杷[31]爬耙划拔筏罚[44]把[424]八泊[24]霸伯
pʰ[424]怕帕魄
m[31]麻蟆[44]马码[424]□{披}[24]□{大~}：{土匪}抹袜□{个}
f[51]发法
t[24]□{~碓：舂米}
tʰ[424]塔
l[44]打[424]答搭达拉捺辣[24]瘌蜡腊
ts[51]渣钗[31]杂铡[424]诈榨炸闸札[24]择
tsʰ[51]叉杈差[31]察[424]插茬[24]岔
s[51]沙纱杉[31]茶查{调~}[424]撒萨杀[24]炸
k[51]家加痂佳[31]夹柞[44]假贾[424]架价驾嫁阶甲搛
kʰ[51]掐卡
