音标	调类	调值				
ŋɤ	7	45	兀杌			
xɤ	1	22	刊勘堪鼾			
xɤ	2	21	含寒韩晗函			
xɤ	3	42	罕坎砍			
xɤ	5	24	看汉增			
xɤ	6	44	汗旱憾撼捍焊			
xɤ	7	45	合盒渴喝瞌磕			
vɤ	1	22	宽豌			
vɤ	2	21	完			
vɤ	3	42	款皖碗腕			
vɤ	6	44	换			
vɤ	7	45	阔活物廓			
kʷɤ	1	22	官观冠棺			
kʷɤ	3	42	管馆绾			
kʷɤ	5	24	贯灌罐			
kʷɤ	7	45	骨聒			
pɔ	1	22	包苞褒			
pɔ	3	42	饱保宝葆			
pɔ	5	24	报爆豹			
pʱɔ	1	22	抛泡雹			
pʱɔ	2	21	刨咆			
pʱɔ	3	42	跑			
pʱɔ	5	24	炮爆泡			
pʱɔ	6	44	抱刨			
mɔ	2	21	牦毛矛茅			
mɔ	3	42	铆卯			
mɔ	6	44	帽冒貌冇			
tɔ	1	22	叨刀招朝昭			
tɔ	3	42	捣岛倒沼			
tɔ	5	24	到照倒			
tʱɔ	1	22	超滔			
tʱɔ	2	21	潮朝嘲逃桃涛			
tʱɔ	3	42	讨绕扰			
tʱɔ	5	24	套导			
tʱɔ	6	44	道盗稻赵			
nɔ	1	22	偷			
nɔ	2	21	劳牢捞			
nɔ	3	42	姥老脑恼			
nɔ	6	44	闹			
kɔ	1	22	高膏糕羔			
kɔ	3	42	搞稿			
kɔ	5	24	诰告教			
ŋɔ	2	21	熬敖			
ŋɔ	3	42	袄			
ŋɔ	5	24	奥坳			
ŋɔ	6	44	傲			
xɔ	1	22	蒿敲			
xɔ	2	21	豪毫嚎			
xɔ	3	42	好考烤			
xɔ	5	24	耗靠犒铐			
xɔ	6	44	浩号皓			
tsɔ	1	22	遭糟			
tsɔ	3	42	找早爪藻枣澡			
tsɔ	5	24	燥灶罩噪躁			
zɔ	1	22	抄钞操秒			
zɔ	2	21	曹漕槽			
zɔ	3	42	草吵炒			
zɔ	5	24	糙			
zɔ	6	44	皂造			
sɔ	1	22	稍烧搔骚			
sɔ	2	21	韶邵			
sɔ	3	42	少嫂			
sɔ	5	24	少扫哨			
sɔ	6	44	召绍			
iɔ	1	22	腰邀妖吆幺			
iɔ	2	21	摇瑶窑			
iɔ	3	42	舀			
iɔ	5	24	要			
iɔ	6	44	耀			
piɔ	1	22	标镖彪			
piɔ	3	42	裱表婊			
pʱiɔ	1	22	飘漂缥			
pʱiɔ	2	21	嫖飘			
pʱiɔ	3	42	漂莩剖			
pʱiɔ	5	24	票漂			
miɔ	1	22	喵猫			
miɔ	2	21	苗瞄描谋			
miɔ	3	42	秒眇某渺亩杳			
miɔ	6	44	庙茂懋贸妙表			
fiɔ	2	21	浮			
fiɔ	3	42	否			
fiɔ	5	24	阜			
tiɔ	1	22	刁雕碉			
tiɔ	3	42	抖斗年陡			
tiɔ	5	24	调吊掉钓			
tʱiɔ	1	22	偷挑			
tʱiɔ	2	21	头投条调楼辽疗聊			
tʱiɔ	3	42	篓了			
tʱiɔ	5	24	透跳眺			
tʱiɔ	6	44	豆料廖陋漏			
tɕiɔ	1	22	钩勾沟娇邹交骄椒郊			
tɕiɔ	3	42	苟剿搅走狗饺绞狡			
tɕiɔ	5	24	叫教较			
ʑiɔ	1	22	锹敲悄			
ʑiɔ	2	21	愁桥侨喉荞			
ʑiɔ	3	42	口巧			
ʑiɔ	5	24	扣凑窍寇			
ʑiɔ	6	44	后候厚轿			
ȵiɔ	1	22	欧抠			
ȵiɔ	2	21	饶尧桡			
ȵiɔ	3	42	偶呕藕			
ȵiɔ	5	24	怄			
ȵiɔ	6	44	尿			
ɕiɔ	1	22	肖消搜宵馊销			
ɕiɔ	2	21	肴淆			
ɕiɔ	3	42	小晓			
ɕiɔ	5	24	哮啸瘦笑孝			
ɕiɔ	6	44	效校			
po	1	22	波玻菠			
po	3	42	跛			
po	5	24	播簸			
po	7	45	驳博剥搏			
pʱo	1	22	坡			
pʱo	2	21	婆			
pʱo	3	42	颇			
pʱo	5	24	破			
pʱo	7	45	薄礴			
mo	1	22	摸			
mo	2	21	磨模			
mo	3	42	姆母么			
mo	6	44	幕墓磨			
mo	7	45	木目牧沫睦漠			
uo	1	22	科屙棵			
uo	2	21	禾			
uo	7	45	握渥喔沃			
to	1	22	多			
to	3	42	朵躲垛			
to	5	24	剁斫			
to	7	45	酌着斫			
tʱo	1	22	拖			
tʱo	2	21	驮驼砣沱			
tʱo	3	42	妥椭			
tʱo	5	24	唾堕			
tʱo	6	44	舵惰			
tʱo	7	45	托拓			
no	1	22	罗			
no	2	21	罗箩萝锣螺			
no	3	42	裸卵			
no	6	44	糯懦诺			
no	7	45	乐烙骆洛落			
ko	1	22	哥歌锅			
ko	3	42	果裹			
ko	5	24	个过			
ko	7	45	咯各阁搁角郭			
ŋo	1	22	俄			
ŋo	2	21	讹娥峨鹅			
ŋo	3	42	我			
ŋo	6	44	饿卧			
ŋo	7	45	恶鄂愕噩			
xo	1	22	柯呵苛			
xo	2	21	和河何荷			
xo	3	42	伙可火			
xo	5	24	货课			
xo	6	44	和贺祸			
xo	7	45	鹤学-壳涸			
tso	3	42	左			
tso	5	24	佐			
tso	7	45	作桌捉卓啄			
zo	1	22	搓矬			
zo	5	24	错措锉			
zo	6	44	坐座			
zo	7	45	昨戳凿			
so	1	22	唆梭			
so	3	42	所锁			
so	7	45	索塑灼溯			
io	7	45	药约乐岳若跃钥			
tʱio	7	45	略			
tɕio	7	45	脚觉			
ʑio	7	45	却确雀			
ȵio	7	45	弱虐			
ɕio	7	45	削学			
pa	1	22	班颁掰斑扳			
pa	3	42	版板摆坂			
pa	5	24	扮拜			
pa	7	45	八不			
pʱa	1	22	攀			
pʱa	2	21	排牌簰			
pʱa	5	24	派盼瓣			
pʱa	6	44	办			
pʱa	7	45	拔跋			
ma	2	21	埋蛮			
ma	3	42	买			
ma	6	44	卖慢漫曼			
fa	1	22	翻番			
fa	2	21	怀淮槐环繁烦帆			
fa	3	42	返反			
fa	5	24	泛畈			
fa	6	44	范饭犯坏幻			
fa	7	45	发伐罚法			
ta	1	22	担单丹耽			
ta	3	42	胆诞			
ta	5	24	担旦			
ta	6	44	弹			
ta	7	45	答搭跌-			
tʱa	1	22	胎滩瘫摊			
tʱa	2	21	弹台谈拾谭痰			
tʱa	3	42	坦毯			
tʱa	5	24	炭泰太态叹碳			
tʱa	6	44	大但蛋弹代袋			
tʱa	7	45	达踏獭塔塌			
na	2	21	来兰拦栏难蓝			
na	3	42	奶览揽懒乃			
na	6	44	赖耐奈烂滥			
na	7	45	腊蜡辣癞			
ka	1	22	阶皆街该间-			
ka	3	42	解改减碱			
ka	5	24	界介届械诫戒			
ka	7	45	甲-夹-缺-挟-			
ŋa	1	22	哀挨嫉			
ŋa	2	21	挨岩呆埃			
ŋa	3	42	眼-矮			
ŋa	5	24	爱			
ŋa	6	44	艾碍雁-			
ŋa	7	45	鸭-压-押-			
xa	1	22	开			
xa	2	21	孩鞋衔偕谐			
xa	3	42	海凯楷喊			
xa	5	24	概溉慨			
xa	6	44	害限-			
xa	7	45	瞎-辖-			
tsa	1	22	灾栽哉			
tsa	3	42	斩者盏			
tsa	5	24	赞再载栈债			
tsa	7	45	扎轧窄			
za	1	22	猜钗搀			
za	2	21	才财材裁柴豺			
za	3	42	采彩产铲揣			
za	5	24	灿菜蔡			
za	6	44	暂在茬			
za	7	45	插擦察			
sa	1	22	三山衫腮鳃			
sa	3	42	撒散摔伞甩			
sa	5	24	赛帅散			
sa	7	45	杀刹煞萨			
ua	1	22	歪弯湾			
ua	2	21	玩顽还			
ua	3	42	块晚挽			
ua	5	24	快会筷			
ua	6	44	万外坏-			
ua	7	45	袜挖			
kʷa	1	22	乖关			
kʷa	3	42	拐			
kʷa	5	24	惯怪			
kʷa	7	45	刮			
iɛ	1	22	烟淹嫣胭			
iɛ	2	21	沿颜炎延盐爷			
iɛ	3	42	演衍掩也眼			
iɛ	5	24	厌燕堰宴			
iɛ	6	44	艳焰雁夜=			
iɛ	7	45	叶页瘪-			
piɛ	1	22	边编鞭			
piɛ	3	42	编扁贬砭			
piɛ	5	24	遍变			
piɛ	7	45	北憋鳖百=伯=			
pʱiɛ	1	22	偏篇编翩			
pʱiɛ	2	21	骈便			
pʱiɛ	3	42	片			
pʱiɛ	5	24	骗片			
pʱiɛ	6	44	便辩辨辫			
pʱiɛ	7	45	别蔽			
miɛ	1	22	咩			
miɛ	2	21	眠棉绵			
miɛ	3	42	免勉娩缅			
miɛ	6	44	面			
miɛ	7	45	灭蔑篾墨			
fiɛ	1	22	靴			
fiɛ	7	45	获或血			
tiɛ	1	22	灯爹巅登颠			
tiɛ	3	42	点等典碘			
tiɛ	5	24	店掂惦凳踮			
tiɛ	7	45	德得			
liɛ/tʱiɛ	1	22	添天			
liɛ/tʱiɛ	2	21	连莲廉帘填田甜联能			
liɛ/tʱiɛ	3	42	脸舔			
liɛ/tʱiɛ	6	44	恋垫炼练奠电殿			
liɛ/tʱiɛ	7	45	铁帖贴蝶叠迭跌			
kiɛ	1	22	根跟耕肩庚			
kiɛ	3	42	梗哽			
kiɛ	5	24	更锯			
kiɛ	7	45	革			
xiɛ	2	21	恒			
xiɛ	3	42	很肯			
xiɛ	6	44	恨			
viɛ	1	22	渊圈冤鸳			
viɛ	2	21	原源援元员袁权园圆			
viɛ	3	42	犬跪抈			
viɛ	5	24	劝怨			
viɛ	6	44	愿院倦垸			
viɛ	7	45	缺越悦曰			
kʷiɛ	1	22	捐鹃			
kʷiɛ	3	42	卷			
kʷiɛ	5	24	券			
kʷiɛ	7	45	国决			
tɕiɛ	1	22	间尖兼曾增奸			
tɕiɛ	3	42	简检剪俭隽			
tɕiɛ	5	24	建荐舰监见剑箭			
tɕiɛ	7	45	节接洁结则责疖			
ʑiɛ	1	22	千纤迁歼谦笺牵			
ʑiɛ	2	21	钱前全泉痊乾			
ʑiɛ	3	42	浅且遣谴			
ʑiɛ	5	24	欠去-歉			
ʑiɛ	6	44	渐践健			
ʑiɛ	7	45	切绝杰贼测册窃策			
ȵiɛ	1	22	恩研			
ȵiɛ	2	21	年言严			
ȵiɛ	3	42	苒-软染-俨-			
ȵiɛ	6	44	谚彦唁念验			
ȵiɛ	7	45	热-捏聂月-			
ɕiɛ	1	22	先生鲜宜轩			
ɕiɛ	2	21	闲咸贤嫌旋弦			
ɕiɛ	3	42	显险选癣			
ɕiɛ	5	24	献线宪羡			
ɕiɛ	6	44	现县陷			
ɕiɛ	7	45	歇协胁色雪薛塞屑			
tɐu	1	22	州洲舟周朱猪都诸			
tɐu	3	42	帚主肚赌堵睹赭褚			
tɐu	5	24	昼注著蛀妒咒			
tɐu	6	44	嘟			
tɐu	7	45	筑祝竹督嘱烛粥			
tʱɐu	1	22	抽吹			
tʱɐu	2	21	仇酬除途图绸涂			
tʱɐu	3	42	丑处土			
tʱɐu	5	24	臭处兔吐			
tʱɐu	6	44	住柱杜度渡宙			
tʱɐu	7	45	读独毒轴逐畜			
tsɐu	1	22	租			
tsɐu	3	42	祖组阻走			
tsɐu	5	24	做			
sɐu	1	22	抒舒苏收酥			
sɐu	2	21	殊薯			
sɐu	3	42	数手守首鼠署			
sɐu	5	24	曙署数素兽			
sɐu	6	44	树授受寿竖			
sɐu	7	45	叔熟塾属速			
zɐu	1	22	初			
zɐu	2	21	雏			
zɐu	3	42	础楚			
zɐu	5	24	醋			
zɐu	6	44	助祚			
zɐu	7	45	族镞			
nɐu	1	22	楼			
nɐu	2	21	奴农卢颅炉芦			
nɐu	3	42	努鲁格虏掳			
nɐu	6	44	怒路露鹭			
nɐu	7	45	陆碌录鹿麓辘			
iu	1	22	优忧悠攸幽			
iu	2	21	犹由油邮尤游			
iu	3	42	有友诱酉			
iu	5	24	幼			
iu	6	44	又右佑			
iu	7	45	育浴欲煜			
tiu	1	22	丢			
tʱiu	1	22	溜遛			
tʱiu	2	21	硫刘流榴留			
tʱiu	3	42	柳			
tʱiu	5	24	绺			
tʱiu	7	45	六绿			
tɕiu	1	22	纠鸠赳揪			
tɕiu	3	42	九酒久玖韭灸			
tɕiu	5	24	究救			
tɕiu	7	45	足菊鞠			
ʑiu	1	22	秋丘邱址鳅			
ʑiu	2	21	求球囚泅			
ʑiu	6	44	就旧舅			
ʑiu	7	45	局曲蹴			
ȵiu	2	21	牛			
ȵiu	3	42	扭纽钮			
ȵiu	7	45	肉狱			
ɕiu	1	22	休修羞			
ɕiu	3	42	朽			
ɕiu	5	24	秀绣锈嗅			
ɕiu	7	45	俗宿肃旭续粟			
pən	1	22	奔绷			
pən	3	42	本苯			
pən	5	24	嘣蹦			
pən	6	44	笨			
pʱən	1	22	烹			
pʱən	2	21	鹏朋棚盆蓬澎			
pʱən	3	42	捧			
pʱən	5	24	奋溃			
pʱən	6	44	拌			
pʱən	7	45	𣸣			
mən	2	21	门们蒙朦			
mən	3	42	猛蜢			
mən	6	44	闷孟焖梦			
fən	1	22	疯风丰分 纷婚蜂枫			
fən	2	21	洪冯逢红 魂焚坟			
fən	3	42	粉浑混哄			
fən	5	24	喷讽粪			
fən	6	44	愤奉凤			
fən	7	45	混			
tən	1	22	冬中衷终征真东珍			
tən	3	42	种懂整诊枕肿拯董			
tən	5	24	众种冻栋正政振镇顿			
tʱən	1	22	通冲充春椿称			
tʱən	2	21	童同虫重承城尘陈仁桐			
tʱən	3	42	桶统忍刃韧纫蠢			
tʱən	5	24	趁称痛秤			
tʱən	6	44	任动洞郑重			
tʱən	7	45	冲			
nən	1	22	聋			
nən	2	21	龙笼隆垄轮珑沦			
nən	3	42	垄拢宠陇			
nən	6	44	弄论嫩			
kən	1	22	公工功攻供宫龚恭躬			
kən	3	42	巩拱粳鲠凸			
kən	5	24	贡			
kən	7	45	拱			
xən	1	22	空倥			
xən	3	42	孔恐			
xən	5	24	控空			
xən	6	44	共			
tsən	1	22	宗淙棕综			
tsən	3	42	总怎			
tsən	5	24	纵粽皱			
tsən	7	45	皱			
zən	1	22	从匆葱聪 村			
zən	2	21	崇从丛存			
zən	3	42	舂			
zən	5	24	寸衬			
sən	1	22	申身升孙松异深			
sən	2	21	神晨乘绳辰纯			
sən	3	42	沈审婶省损搡			
sən	5	24	胜圣送舜瞬			
sən	6	44	甚慎盛剩肾诵颂顺			
uən	1	22	翁温			
uən	2	21	文			
uən	3	42	稳			
uən	5	24	困			
uən	6	44	问			
kʷən	3	42	滚			
kʷən	5	24	棍			
in	1	22	因荫殷阴英鹰婴缨			
in	2	21	营容蝇莹寅淫荣盈			
in	3	42	隐引影颖涌勇饮踊瘾			
in	5	24	应印拥			
in	6	44	用佣			
pin	1	22	冰兵斌滨宾彬			
pin	3	42	丙炳柄秉饼			
pin	5	24	并鬓			
pin	6	44	乒			
pʱin	2	21	平屏萍频苹抨贫凭			
pʱin	3	42	品			
pʱin	5	24	拼聘			
pʱin	6	44	病			
min	2	21	明铭名民			
min	3	42	敏闽悯血			
min	5	24	抿			
min	6	44	命			
fin	1	22	熏勋			
fin	3	42	炯煦			
fin	5	24	训			
tin	1	22	盯			
tin	3	42	顶鼎			
tin	5	24	订钉			
tin	6	44	叮			
tʱin	1	22	厅			
tʱin	2	21	庭林临邻陵龄亭淋廷灵			
tʱin	3	42	挺艇领凛			
tʱin	5	24	听			
tʱin	6	44	令另定凌			
tɕin	1	22	睛晶斤今精经京巾金惊荆供			
tɕin	3	42	井紧警谨境锦			
tɕin	5	24	径镜竟劲俊敬进晋			
ʑin	1	22	亲钦清轻青氢			
ʑin	2	21	芹琴勤情晴擎禽寻			
ʑin	3	42	请寝			
ʑin	5	24	浸庆沁亲瑾觐			
ʑin	6	44	近尽净静			
ȵin	2	21	银迎人吟			
ȵin	3	42	忍			
ȵin	6	44	认吝			
ȵin	7	45	日-			
ɕin	1	22	星兴心辛新欣胸芯兄凶			
ɕin	2	21	行形刑型熊雄秦寻旬询			
ɕin	3	42	醒哄笋			
ɕin	5	24	姓性兴信			
ɕin	6	44	幸杏			
vin	1	22	顷倾陨			
vin	2	21	匀云群裙 耘郧			
vin	3	42	允永			
vin	5	24	泳咏			
vin	6	44	韵运孕晕			
kʷin	1	22	军均钧			
kʷin	3	42	菌郡			
paŋ	1	22	帮梆邦			
paŋ	3	42	榜膀绑			
paŋ	5	24	捧搒磅谤			
paŋ	6	44	乓			
pʱaŋ	1	22	庞傍滂澎			
pʱaŋ	2	21	膀			
pʱaŋ	5	24	胖碰			
pʱaŋ	6	44	碰蚌			
maŋ	1	22	蒙哞			
maŋ	2	21	忙茫芒盲			
maŋ	3	42	蟒莽			
faŋ	1	22	方芳荒慌			
faŋ	2	21	黄皇凰簧防房			
faŋ	3	42	谎晃访纺仿			
faŋ	5	24	放			
taŋ	1	22	当档章张樟			
taŋ	3	42	党涨挡长掌			
taŋ	5	24	当帐仗档怅			
taŋ	6	44	噹			
tʱaŋ	1	22	汤昌猖			
tʱaŋ	2	21	堂棠唐塘糖肠长膛程螳			
tʱaŋ	3	42	倘淌躺厂场闯			
tʱaŋ	5	24	趟唱烫畅倡			
tʱaŋ	6	44	丈荡仗			
naŋ	2	21	狼郎榔廊			
naŋ	3	42	朗冷			
naŋ	6	44	浪晾			
kaŋ	1	22	刚岗钢肛 冈缸			
kaŋ	3	42	港讲			
kaŋ	5	24	杠			
ŋaŋ	2	21	昂			
ŋaŋ	6	44	硬			
xaŋ	1	22	糠康坑			
xaŋ	2	21	行航杭			
xaŋ	3	42	慷			
xaŋ	5	24	抗旷炕矿			
xaŋ	6	44	项巷			
tsaŋ	1	22	脏装妆庄赃桩争			
tsaŋ	5	24	葬壮			
zaŋ	1	22	窗舱苍撑仓疮			
zaŋ	2	21	藏床			
zaŋ	3	42	撞			
zaŋ	5	24	创			
zaŋ	6	44	状脏			
saŋ	1	22	双桑伤商生声			
saŋ	2	21	常盛			
saŋ	3	42	偿赏爽省			
saŋ	5	24	丧生			
saŋ	6	44	上尚			
uaŋ	1	22	汪			
uaŋ	2	21	黄亡王横			
uaŋ	3	42	网枉往			
uaŋ	6	44	妄望旺			
kʷaŋ	1	22	光（天～：天亮）胱			
kʷaŋ	3	42	广			
kʷaŋ	5	24	逛			
iaŋ	1	22	秧央殃鸯			
iaŋ	2	21	阳杨羊扬洋嬴萦萤			
iaŋ	3	42	养氧痒两影			
iaŋ	5	24	映			
iaŋ	6	44	样漾			
piaŋ	3	42	饼			
pʱiaŋ	2	21	坪			
pʱiaŋ	6	44	病			
miaŋ	2	21	明名			
miaŋ	6	44	命			
fiaŋ	1	22	兄			
tiaŋ	1	22	丁钉			
tiaŋ	5	24	钉			
tʱiaŋ	2	21	良粮凉量梁			
tʱiaŋ	3	42	两俩辆领			
tʱiaŋ	5	24	听			
tʱiaŋ	6	44	亮谅量			
tɕiaŋ	1	22	江将僵姜疆浆			
tɕiaŋ	3	42	讲蒋奖颈井			
tɕiaŋ	5	24	降酱犟			
ʑiaŋ	1	22	枪锵腔轻青清			
ʑiaŋ	2	21	强墙详祥 翔			
ʑiaŋ	3	42	强抢			
ʑiaŋ	5	24	仓			
ʑiaŋ	6	44	象			
ȵiaŋ	2	21	娘			
ȵiaŋ	3	42	仰			
ȵiaŋ	6	44	让宁			
