攝號	聲母字母	小韵	反切上字	反切下字	汉字	半圈字（多全濁上聲）
1		ā				
1	c̹	ā	则	沙	嗟𦊨	
1	ch	ā	者	沙	楂撾檛髽苴奓柤抯樝	
1	c͑h	ā	撦	沙	差叉艖杈扠鎈咤靫	
1	p	ā	百	沙	巴豝羓笆鈀芭	
1	p͑	ā	魄	沙	葩舥芭	
1	t͑	ā	忒	沙	他	
1	x	ā	石	差	沙紗髿鯊㲚裟硰	
1		â				
1	c͑h	â	撦	麻	茶茬秅荼涂楂苴	
1	p͑	â	魄	麻	琶爬杷	
1	m	â	麥	茶	麻蟆	
1	n	â	搦	麻	挐笯那	
1		à				
1	ch	à	者	馬	鮓苴姹	
1	c͑h	à	撦	馬	槎	
1	p	à	百	馬	把䏧	
1	t͑	à	德	馬	打	
1	m	à	麥	打	馬碼瑪	
1	n	à	搦	馬	拿	
1	x	à	石	馬	灑葰	
1		á				
1	ch	á	者	罵	詐蜡萲𧧻乍醡溠汊	
1	c͑h	á	撦	罵	詫䖳差汊㓃哆奓咤奼	
1	p	á	百	罵	霸壩弝把靶灞把嗄沙䆉罷伯	
1	p͑	á	魄	罵	帊怕披	
1	t	á	德	罵	大䭾	
1	m	á	麥	大	禡罵榪䣕鬕	
1	n	á	搦	罵	那	
1	x	á	石	罵	嗄沙	
1		ă				
1	c̹	ă	则	殺	雜拶匝囋啑巀𠯗眨	
1	c̹͑	ă	测	殺	攃礤䌨䶪雑	
1	ch	ă	者	殺	札蚻紥扎茁哳劄霅喋㘊𨰉窡	
1	c͑h	ă	撦	殺	察䕓刹揷臿笈捷	
1	p	ă	百	殺	八拔朳	
1	p͑	ă	魄	殺	汃	
1	t	ă	德	殺	達笪狚妲嬋怛褡薘荅䵣沓誻涾𩣯踏遝濌𦑲䈳	
1	t͑	ă	忒	殺	闥撻澾逹獺羍汏榻闒鞳搭䵬嗒嚃漯塌䌈閤鞈鰈錔沓𦧟鞜	
1	v	ă	物	殺	韈	
1	f	ă	弗	殺	法𤽌垡伐閥疺罰瞂墢髮發廢冹乏泛筏	
1	l	ă	勒	殺	蠟拉臘鑞剌辢糲	
1	m	ă	麥	殺	帓䀣袙帕㑻鞨	
1	n	ă	搦	殺	納軜豽妠衲㨥笝内吶捺	
1	s	ă	色	殺	撒颯趿靸馺鈒卅霅蔡躠薩摋殺牐	
1	x	ă	石	達	殺鎩樧歃箑啑霎翣唼𧜁	
2		ē				
2	ch	ē	主	奢	遮	
2	c͑h	ē	處	奢	車硨	
2	x	ē	書	遮	奢畬賖赦	
2		ê				
2	x	ê	書	蛇	蛇鉈闍余	
2		è				
2	ch	è	主	若	者赭	
2	c͑h	è	處	若	撦侈哆奲赾䰩奓	
2	j	è	儒	者	若惹	
2	x	è	書	者	捨	社
2		é				
2	ch	é	主	射	蔗炙柘鷓䗪蟅	
2	x	é	書	蔗	舍赦射麝貰厙社	
2		ĕ				
2	c̹	ĕ	自	黑	宅澤擇翟凙鸅檡謫摘迮筰笮舴𣅦㳁債謮稄窄柞唶齰賾責簀幘嘖磔側仄昃崱萴則賊蠈𦟜馲	
2	c̹͑	ĕ	此	黑	柵圻策冊側社畟測捒䜺	
2	ch	ĕ	主	黑	哲蜇折浙晣讋摺慴𡓳襵霅輒鮿㡇澈䐑	
2	c͑h	ĕ	處	黑	徹撤轍軼池掣煠硩䚢聅	
2	k	ĕ	古	黑	格觡骼隔鬲膈革𢓜挌茖假㦴徦愅	
2	k͑	ĕ	苦	黑	客克刻尅喀揢裓	
2	p	ĕ	布	黑	白帛舶鮊百伯柏迫㼟捭佰北𦯉匐踣僰𠍷仆擘檗蔔苩	
2	p͑	ĕ	普	黑	拍魄珀霸鈲𢶉迫𤖿	
2	t	ĕ	都	黑	德得特螣貸	
2	t͑	ĕ	土	黑	忒慝	
2	j	ĕ	儒	黑	熱爇呐㕯	
2	g	ĕ	梧	黑	厄軶啞阨搤額詻峉	
2	l	ĕ	路	黑	勒肋扐泐仂玏朸	
2	m	ĕ	毋	黑	陌莫貘百貊驀麥胍𤫽霡貃𩢷狢默墨纆冐嚜𡝭	
2	n	ĕ	怒	黑	搦	
2	s	ĕ	數	黑	塞㥶寨蝨瑟璱澀鈒索愬槭色嗇摵飋䶦	
2	x	ĕ	書	黑	舌揲折設鍛攝韘葉歙涉拾萐箑霎歃蔎	
2	h	ĕ	湖	黑	赫嚇𢅰劾輅核格覈翮黑齕淈𣝗麧紇鶻滑汨	
2		ė̆				
2	ch	ė̆	主	十	質郅鑕櫍䐲礩蛭桎隲窒挃庢銍隻摭跖炙墌膱稙樴䏄職織陟直犆擲執汁慹縶蟄秩帙姪瓆祑紩袠柣翐躑	
2	c͑h	ė̆	處	十	尺咥眣叱抶赤斥滷𪆟敕飭鶒蟄秩姪紩祑柣翐	
2	j	ė̆	儒	十	日衵馹入廿	
2	x	ė̆	書	尺	實失室𩋡釋適𠁗螫𧞲識飾式試拭𥼶赫暘䁑石碩祏鼫射食蝕寔殖湜埴植十什拾褶濕栻𡣪	
3		ī				
3	Ø	ī			漪椅猗伊咿洢黟醫噫衣依鷖䃜繄㙠黳歆旖褘烓	
3	c̹	ī	則	衣	齎躋韲薺懠隮𩐒擠	
3	c̹͑	ī	測	衣	妻萋霋淒悽緀雌郪	
3	ch	ī	者	衣	知䝷蜘袛䧴支枝巵肢氏胑梔祗秪砥底㡳禔榰跂鳷鶅秖之芝菑椔緇輜錙淄胝脂	
3	c͑h	ī	撦	衣	鴟摛縭攡黐胵𥉍妛蚩眵絺瓻癡笞齝媸嗤螭魑差縒嵯𨌅瞝	
3	k	ī	格	衣	機羈畸剞奇飢肌姬其基箕錤居朞踑諆幾鐖刉譏禨璣磯鞿耭饑雞稽笄枅乩鷄䩭欹椅蟣嘰棋旗諆	
3	k͑	ī	克	衣	欺欹觭踦徛䗁䁗魌僛谿鸂𢼮崎娸	
3	p	ī	百	衣	碑陂羆藣悲卑錍裨𥰘詖椑埤箄鞞篦錍𤡝㡙	
3	p͑	ī	魄	衣	披鈹㱟旇翍耚𢱧𠜱錍丕伾駓鉟怌秠紕𧧺被	
