pʰi44□{吐□水、吐痰等}
wi52□{吐食物、药等}
θi44撕
li44蛤
li52□{哪里}
li33□{弄腋窝发痒的动作}
tʃi44知蜘支枝肢脂之芝
tʃi52纸旨指止趾址
tʃi33姐智致至置志{同~}痣嗜
tʃʰi44痴嗤
tʃʰi52侈耻齿始
tʃʰi33翅雉稚
ȵi233而
ȵi213二贰
ʃi44施尸诗驰
ʃi233池匙{钥~}迟持时
ʃi52屎
ʃi31是市
ʃi33试式
ʃi213氏豉示视痔治恃侍
ji44伊医衣依
ji233移夷姨遗
ji52倚椅
ji31矣已
ji33意忆亿
ji213裕易{容~}肄以异
ki44饥{~饿}肌几{茶~}基机讥
ki233奇{~怪}骑祁鳍其棋期旗麒祈沂
ki52已纪杞几{老~}
ki31徛
ki33计继寄记既季
ki213技妓忌企岐歧
kʰi44稽溪奚
kʰi52启岂
kʰi33系{关~}冀契
hi44兮牺欺嬉熙希稀
hi52起喜
hi33戏器弃气汽
pu233蒲菩脯{胸~}葡符扶芙
pu52补捕甫脯{果~}斧
pu31簿傅父妇辅
pu33布{蓝~}怖暮
pu213部步付咐腐附驸负
pʰu44铺{床~}
pʰu52谱圃普浦
pʰu33铺{店~}讣
mu44模{劳~}摹摸魔
mu233磨{~刀}无忙茫亡芒{~种}氓
mu31母拇莽蟒武舞侮鹉
mu33慕募膜幕
mu213务雾磨{石~}墓戊莫
fu44呼夫肤敷俘麸开
fu52苦虎浒府腑俯抚
fu31釜
fu33库裤戽乎赋富副
wu44乌污坞巫诬
wu233葫胡{~须}蝴糊吴蜈湖狐壶
wu52户沪
wu33恶{厌~}
wu213互护芋
tu44堆
tu233台{舞~}苔{青~}抬锤枱
tu33对確兑
tu213待怠殆代袋队坠贷
tʰu44胎推
tʰu52腿
tʰu33退蜕
nu31女乸
nu33□{角落。门~}□{拉，牵}
nu213糯懦耐奈内
θu44鳃腮
θu233才{人~}材财裁随豺
θu52髓
θu31罪
θu33碎岁
θu213瑞遂隧粹
lu44□{钢~，铜钱}□{牛~，犁地时套在牛嘴上防止它吃庄稼的竹制口罩}
lu233来雷擂{~鼓}
lu52屡儡
lu31累{劳~}垒
lu33□{该~，这里}□{捶}
lu213类泪累{连~}
tʃu44灾栽追锥
tʃu233槌
tʃu52宰载{~重}嘴
tʃu33再最缀赘醉
tʃʰu44催崔吹炊
tʃʰu52彩采睬揣
tʃʰu33菜淬脆翠
tʃʰu213蔡
ȵu44□{鸡~，鸡尾椎}
ȵu52乳
ȵu31蕊汝
ȵu33锐
ʃu44衰
ʃu233垂谁
ʃu52水
ʃu33赛税帅
ʃu213睡
ju213穗
ku44姑孤鸪辜
ku52古估牯股鼓枯
ku33故固锢雇顾
kʰu44箍
kʰu52□{枝，量词}
ŋu233蛾鹅俄栀危昂
ŋu33呆{~板}伪
ŋu213饿艾外卧魏碍鄂乐{音~}岳{~飞}
ly33□{啊~，哑巴}
tʃy44诸诛蛛株朱{姓~}珠
tʃy52煮主
tʃy33著驻注{~意}蛀铸
tʃʰy52处{相~}
tʃʰy33处{到~}
ȵy233鱼渔儒
ȵy52语
ȵy33擩
ʃy44书舒输{赌~}
ʃy233除
ʃy52褚暑鼠黍署殊{又读ʃy²³³~途同归}
ʃy31储
ʃy33庶恕□{~尿，把尿}
ʃy213薯竖树{~立}
jy233愚虞娱吁迁于{姓~}盂如御{防~}余{多~}
jy31雨字禹羽与
jy213遇寓愈喻榆逾愉誉预豫
ky44居车{~马炮}驹
ky233渠{佢(他)}
ky52举渠{水~}矩□{~呢，这么，那么}
ky31巨拒距
ky33据锯句
ky213俱具惧
kʰy44枢拘区{专~}驱
hy44圩虚嘘
hy52许
y44淤
pa233牌篺
pa52摆
pa33拜蔽闭
pa213败
pʰa44批捭
pʰa233排
pʰa52派
wa44歪
wa233怀槐淮
wa213坏
ta44低
ta233题提蹄啼
ta52底抵{~押}
ta31弟
ta33戴带滞帝
ta213大{老~}逮第递
tʰa44梯
tʰa233堤
tʰa52体
tʰa33态太泰鐾嚏替涕剃屉
na31乃
θa44西栖犀□{浪费，可惜}
θa52洗□{脚~，脚印}
θa33细婿
la44拉□{剩下的东西。觅~，寻找某处剩下东西}
la233攋犁黎
la31礼
la33癞
la213赖例
tʃa44斋
tʃa52崽□{量词，把，一~：一把}
tʃa33债祭际制{~度}
tʃʰa44猜妻凄{~凉}
ʃa44筛
ʃa233柴齐
ʃa52洒使{好~}
ʃa31柿
ʃa33晒世势
ʃa213寨誓逝
ja33□{~水，泼水}
ja213□{~篾，将竹片表皮二分}
ka44皆阶佳街鸡
ka233□{以物压物}
ka52解{~放}
ka33介界芥尬疥届戒
ka213□{体垢、污垢}
kʰa52揩楷
kʰa33概溉凯慨{感~}
ŋa44□{揉，用力搅拌：~浆}
ŋa33挨{~近：靠近}
ha44□{~兜：外面}
a44阿{~哥}埃□{鸡~：鸡嗉子}
a233孩谐鞋
a52蔼矮
a31懈
a213骇械
tia44爹
nia233□{递，从低处往高处递东西}
nia52纽扭
nia33拗拎□{背，动词}
nia213钮
θia44些修羞
θia233邪斜麝囚泅
θia52写梢捎
θia33泻秀绣锈
θia213袖卸谢
lia233流刘留榴硫琉
lia52柳
lia33溜馏
lia213罅
tʃia44遮
tʃia52酒
tʃia33借藉{借口}蔗
tʃʰia44车{单~}秋{春~}鳅
tʃʰia52且笡扯□{离开}
ȵia52惹□{踩}
ʃia44奢赊余
ʃia233蛇
ʃia52舍{~得}
ʃia31社
ʃia33赦舍{宿~}
ʃia213就射{放~}
jia44优忧悠
jia233尤邮由油游犹椰爷
jia31有友酉莠野
jia33幼
jia213又右佑诱柚鼬釉也夜液腋
kia44□{1.次2.~hia⁴⁴，驼背的样子}
kia233求球
kia52九久韭
