V1	V2	V2	
pa	2	31	爬
fa	5	214	化畫話劃
ta	5	214	大
tʰa	2	31	踏塔
tsa	2	31	茶雜閘紮
sa	2	31	蛇
tsʰa	1	35	車插擦
ka	5	214	嫁
xa	1	35	蝦夏瞎
ma	5	214	罵
ŋa	2	31	牙
la	5	214	辣
pa	1	35	爬八
fa	2	31	華法滑發罰
ta	2	31	搭踏塔達
sa	1	35	沙杉殺
ka	2	31	夾
xa	3	453	下
ma	3	453	馬
ŋa	3	453	啞
la	2	31	蠟
pa	3	453	把
fa	1	35	花
ta	1	35	大
la	1	35	拉蠟
ta	3	453	打
po	5	214	薄
pʰo	5	214	破
to	2	31	奪
tʰo	1	35	拖脫托
tso	5	214	坐
so	5	214	索
zo	2	31	弱
tsʰo	5	214	錯
ko	5	214	個過
kʰo	5	214	課
xo	5	214	貨盒活霍
mo	2	31	磨末
ŋo	2	31	鵝惡握
lo	5	214	落
po	2	31	婆撥縛
pʰo	1	35	潑
to	1	35	多
tso	2	31	作鐲
so	2	31	索縮
ko	2	31	郭角
kʰo	2	31	渴殼
xo	2	31	河盒活
mo	1	35	磨磨摸
ŋo	1	35	餓
lo	2	31	鑼螺落
po	1	35	剝
to	3	453	躲
tso	1	35	桌
so	3	453	鎖所
ko	1	35	歌個鴿割各角
kʰo	1	35	殼
xo	1	35	禍鶴
tso	3	453	左
ko	3	453	果
kʰo	3	453	可
xo	3	453	火
pu	5	214	布簿步
pʰu	1	35	鋪
fu	5	214	戶付父富副婦
tu	5	214	杜
tʰu	2	31	圖
tsu	5	214	住
su	5	214	數豎
zu	2	31	如入
tsʰu	2	31	除鋤畜
ku	5	214	骨
kʰu	5	214	褲
mu	2	31	目
lu	2	31	奴律鹿綠
u	5	214	霧
pʰu	3	453	譜
fu	2	31	壺佛福服
tu	2	31	毒
tsu	2	31	燭
su	2	31	叔贖屬
zu	3	453	褥
ku	2	31	骨穀
kʰu	1	35	箍哭
mu	1	35	木
u	2	31	吳物屋
fu	1	35	婦
su	1	35	輸
ku	1	35	穀
kʰu	3	453	苦
mu	3	453	母
u	1	35	烏屋
fu	3	453	虎府
su	3	453	數
ku	3	453	古
u	3	453	五武
pi	5	214	幣被筆
pʰi	5	214	屁
ti	5	214	弟遞
tʰi	5	214	剃
tɕi	5	214	寄記季
ɕi	5	214	系戲
tɕʰi	5	214	契器氣
mi	5	214	密
li	2	31	犁梨立栗力曆
i	5	214	藝義意
pi	2	31	皮匹壁
pʰi	2	31	劈
ti	2	31	笛
tʰi	2	31	踢
tɕi	2	31	騎棋集急及吸吉極積擊
ɕi	2	31	習息惜席錫
tɕʰi	1	35	溪七
mi	2	31	眉
li	3	453	李
i	2	31	泥蟻移姨一益
pi	1	35	鼻逼壁
pʰi	1	35	劈
ti	1	35	低弟地
tʰi	1	35	梯錫
tɕi	1	35	雞饑
ɕi	1	35	西希
tɕʰi	3	453	吃
mi	3	453	米
i	1	35	意衣
pi	3	453	比
tɕi	3	453	幾
ɕi	3	453	洗喜
tɕy	5	214	鋸住句劇
ɕy	2	31	徐宿畜叔贖屬
tɕʰy	2	31	除鋤渠族曲
y	5	214	玉
tɕy	2	31	渠卒橘菊足局
ɕy	1	35	書輸樹
tɕʰy	1	35	初區吹出
y	2	31	如魚余裕育浴
tɕy	1	35	租豬柱
ɕy	3	453	鼠許水
tɕʰy	3	453	取
y	1	35	遇芋
tɕy	3	453	舉主
y	3	453	女雨
pai	5	214	拜敗
pʰai	5	214	派
fai	2	31	懷或
tai	5	214	帶
tʰai	2	31	台
tsai	2	31	財柴
sai	5	214	曬
tsʰai	5	214	菜
kai	5	214	蓋
kʰai	1	35	開
xai	5	214	害
mai	2	31	埋
ŋai	5	214	愛
lai	2	31	來
pai	2	31	排牌
pʰai	2	31	排牌
fai	1	35	壞
tai	2	31	台
tʰai	1	35	胎
sai	1	35	塞
tsʰai	1	35	菜
kai	1	35	該街
xai	2	31	鞋還
mai	1	35	賣
ŋai	2	31	岩
pai	1	35	敗
tai	1	35	袋
tʰai	3	453	大
kai	3	453	改解
xai	1	35	害
mai	3	453	買
ŋai	3	453	矮
pai	3	453	擺
xai	3	453	海蟹
pei	5	214	貝背被
pʰei	5	214	配
fei	5	214	會肺費
mei	5	214	妹
pei	2	31	賠
fei	2	31	回肥
mei	2	31	煤
pei	1	35	杯碑
fei	1	35	灰飛
mei	1	35	妹
pɑɯ	5	214	抱
pʰɑɯ	5	214	炮
tɑɯ	5	214	道
tʰɑɯ	3	453	討
tsɑɯ	5	214	灶罩照
sɑɯ	2	31	勺
zɑɯ	3	453	繞
tsʰɑɯ	5	214	糙造
kɑɯ	1	35	高
kʰɑɯ	5	214	靠
xɑɯ	5	214	號
mɑɯ	2	31	毛
ŋɑɯ	2	31	熬
lɑɯ	5	214	鬧
pɑɯ	2	31	浮
tɑɯ	2	31	桃
tsɑɯ	2	31	朝著
sɑɯ	1	35	燒
tsʰɑɯ	2	31	朝
kʰɑɯ	1	35	敲
xɑɯ	3	453	好
mɑɯ	1	35	帽貓
lɑɯ	1	35	鬧
pɑɯ	1	35	包
tɑɯ	1	35	刀
tsɑɯ	3	453	早找
sɑɯ	3	453	嫂
tsʰɑɯ	1	35	抄
lɑɯ	3	453	腦老
pɑɯ	3	453	寶飽
tsʰɑɯ	3	453	草
fəɯ	2	31	浮
təɯ	5	214	杜
tʰəɯ	5	214	讀
tsəɯ	5	214	做
səɯ	5	214	數瘦壽熟
zəɯ	1	35	肉
tsʰəɯ	5	214	湊臭
kəɯ	5	214	夠
kʰəɯ	3	453	口
xəɯ	5	214	厚
ŋəɯ	3	453	藕
ləɯ	5	214	六綠
təɯ	2	31	圖頭
tʰəɯ	1	35	偷
tsəɯ	2	31	鋤綢愁
səɯ	3	453	數手
tsʰəɯ	1	35	初抽
kəɯ	1	35	鉤
xəɯ	1	35	後厚
ləɯ	2	31	奴樓鹿
təɯ	1	35	豆
tʰəɯ	3	453	土抖
tsəɯ	1	35	州竹粥燭
kəɯ	3	453	狗
ləɯ	1	35	路
təɯ	3	453	賭
tsəɯ	3	453	走
tsɿ	5	214	制刺治
sɿ	5	214	世四寺柿試市式
zɿ	2	31	日
tsʰɿ	5	214	刺
tsɿ	2	31	池遲祠侄直織
sɿ	2	31	時十實失食石
tsʰɿ	2	31	池祠
tsɿ	1	35	知資字汁
sɿ	1	35	師絲事十實
tsʰɿ	1	35	尺
tsɿ	3	453	紫紙指子
sɿ	3	453	死使
pᴇ	5	214	北白
pʰᴇ	1	35	拍
tᴇ	1	35	得
tʰᴇ	2	31	特
tsᴇ	5	214	窄
sᴇ	5	214	射十失
zᴇ	5	214	熱
tsʰᴇ	5	214	擇
kᴇ	5	214	割
kʰᴇ	2	31	刻
xᴇ	1	35	黑
mᴇ	5	214	墨麥
ŋᴇ	2	31	額
pᴇ	2	31	白
tsᴇ	2	31	折側
sᴇ	2	31	蛇舌設色
tsʰᴇ	2	31	撤測擇策
kᴇ	2	31	格
kʰᴇ	1	35	客
pᴇ	1	35	百
tsᴇ	1	35	折擇摘
sᴇ	1	35	虱
tsʰᴇ	1	35	車撤拆
kᴇ	1	35	隔
pia	1	35	壁
tɕia	5	214	嫁
ɕia	5	214	下
tɕʰia	1	35	吃
ia	2	31	爺
tɕia	2	31	茄甲
ɕia	2	31	斜瞎
ia	1	35	爺夜鴨黏
tɕia	3	453	假
ɕia	1	35	蝦夏
ia	3	453	野
tɕio	2	31	角
ɕio	5	214	學
tɕʰio	5	214	雀
io	5	214	藥
tɕio	1	35	腳
ɕio	2	31	學
tɕʰio	1	35	雀
io	1	35	約
tɕiai	5	214	戒
tɕiai	3	453	解
piɑɯ	3	453	表
pʰiɑɯ	5	214	票
tiɑɯ	5	214	釣
tɕiɑɯ	5	214	轎叫
ɕiɑɯ	5	214	孝校笑
miɑɯ	1	35	廟
liɑɯ	2	31	條
iɑɯ	5	214	要
tiɑɯ	2	31	條
tɕiɑɯ	2	31	橋
ɕiɑɯ	1	35	簫
liɑɯ	1	35	料
iɑɯ	2	31	搖
tɕiɑɯ	1	35	交焦
ɕiɑɯ	3	453	小
iɑɯ	1	35	腰
iɑɯ	3	453	鳥
tiəɯ	1	35	丟
tɕiəɯ	5	214	舅
ɕiəɯ	5	214	袖
liəɯ	2	31	流
iəɯ	5	214	右幼
tɕiəɯ	2	31	球
ɕiəɯ	1	35	修袖休
iəɯ	2	31	牛油
tɕiəɯ	1	35	舊
iəɯ	1	35	優
tɕiəɯ	3	453	酒九
iəɯ	3	453	有
piᴇ	2	31	別
pʰiᴇ	5	214	別
tiᴇ	2	31	跌碟
tʰiᴇ	2	31	特
tɕiᴇ	5	214	借
ɕiᴇ	5	214	謝
tɕʰiᴇ	5	214	去
miᴇ	5	214	篾
