#ɿ
ts[1]资姿咨滋[3]紫姊子梓滓[5]自字
tsʰ[2]滞雌池瓷兹慈磁祠词斥[3]此[5]刺赐次伺
s[1]私师思丝司斯厮撕尸[3]死[5]四肆饲嗣事

#ʅ
tʂ[1]知蜘支枝肢痴之芝只{一~}[2]致至置执汁侄质直值织职植殖[3]纸只{~有}指旨止址趾[5]制智翅稚痔治志痣
tʂʰ[2]驰迟辞持峙侍秩尺赤吃[3]齿耻
ʂ[1]寺施狮蛳诗[2]匙豉示时湿十什拾实失室食蚀识饰适释石[3]屎史使驶始[5]世势誓逝是氏视似祀士仕柿试市恃式
ʐ[2]日

#i
p[2]币毙陛鐾庇鼻笔滗毕必碧璧壁[3]彼比篦[5]蔽敝弊箅闭陛被{棉~，白}被{~迫}避备
pʰ[1]秕[2]皮疲脾鄙痹琵枇痞匹癖僻霹[5]屁
m[2]迷谜糜靡弥秘泌眉楣密蜜[3]米
t[1]爹低递[2]叠牒蝶谍笛涤[3]底抵[5]帝蒂啼弟第隶地
tʰ[1]梯剃剔[2]堤替涕题提蹄踢[3]体
tɕ[1]鸡稽奚羁奇{~数}饥肌几{茶~}基箕姬机讥饥几{~乎}[2]际剂急级及吸揭竭疾脊[3]挤己纪杞几{~个}虮[5]祭济计继寄技妓记既季寂
tɕʰ[1]妻凄悽脐溪欺期祈[2]且砌齐奇骑器弃祁棋旗其捷切窃截七漆膝乞[3]启起岂[5]企气汽
ȵ[2]例励泥犁黎莉倪离篱璃离宜尼呢腻梨厘狸疑笠粒匿逆狄[3]礼你李里理鲤拟栗[5]厉丽荔谊利
ɕ[1]些西栖犀兮玺牺熙希稀[2]泻卸邪斜胥懈婿契习袭泣楔穴悉衅隙昔[3]洗禧喜嬉嘻蟢[5]细系戏
∅[1]医衣依[2]移易遗揖邑乙一壹翼[3]椅以已[5]艺仪蚁义议伊姨夷肄意异毅忆亿益易

#u
p[2]簿不剥驳[3]补[5]布怖部步卜
pʰ[1]铺{~开}[2]浦怖菩脯葡捕赴讣朴扑仆瀑[3]谱普甫
m[2]模{~型}暮木沐[3]牡母拇
f[1]呼乎夫肤敷俘孵麸扶抚芙[2]胡湖糊狐壶葫蝴胡沪互护瓠符沸浮弗佛幅福蝠腹复辐覆伏服袱[3]虎浒府腑斧俯釜腐辅[5]户跗付赋傅咐父附富副负妇
t[1]都{~市}[2]毒独[3]堵赌[5]肚妒杜度渡镀踱督
tʰ[2]途屠徒涂图[3]土吐[5]兔
n[2]奴卢炉芦驴律诺鹿禄六陆录绿[3]努鲁卤[5]怒路赂露鹭
ts[1]租[2]卒[3]祖组阻[5]做住助
tsʰ[1]粗初[2]础锄促[3]楚[5]醋
s[1]苏酥梳疏蔬舒枢输{运~}殊漱[2]硕粟嘱赎[3]数{动词}[5]素诉塑庶恕数{名词}竖
