序号	trad	simp	IPA	pinyin	detail	声母	韵母	调值	吴拼声	吴拼韵	声调	多音	检验声调变小时声母是否变（但会有例外）	检查声母变时声调是否变小（但会有例外）	检查韵母表	检查每韵声母顺序
28		□	tsɿ⁴⁴	tsy1	{盯紧：~牢𠍲}	ts	ɿ	⁴⁴	ts	y	1	160				
29		拄	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
30		主	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
31		紫	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
32		纸	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
33		指	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	2				
34		至	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
35		子	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
36		之	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
37		止	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
38		趾	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
39		址	tsɿ⁵³	tsy3		ts	ɿ	⁵³	ts	y	3	1				
40		渚	tsɿ⁵³	tsy3	{下~湖：湖名}	ts	ɿ	⁵³	ts	y	3	1				
41		□	tsɿ⁵³	tsy3	{~珍：爱护}	ts	ɿ	⁵³	ts	y	3	160				
42		著	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
43		驻	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
44		註	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
45		注	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
46		蛀	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
47		铸	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
48		制	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
49		製	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
50		致	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
51		置	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
52		志	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
53		痣	tsɿ³³⁵	tsy5		ts	ɿ	³³⁵	ts	y	5	1				
54		□	tsɿ³³⁵	tsy5	{~门，囟门}	ts	ɿ	³³⁵	ts	y	5	160				
55		旨	tsɿ	tsy0	{圣~，~意}	ts	ɿ		ts	y	0	1	1	1		
57		□	tsɿ	tsy0	{气~：气味，指不好的气味}	ts	ɿ		ts	y	0	160	#REF!	#REF!		#REF!
58		□	tsɿ	tsy0	{~夜梦：做梦}	ts	ɿ		ts	y	0	160				
59		雌	tsʰɿ⁴⁴	tshy1		tsʰ	ɿ	⁴⁴	tsh	y	1	1				1
60		疵	tsʰɿ⁴⁴	tshy1		tsʰ	ɿ	⁴⁴	tsh	y	1	1				
61		痴	tsʰɿ⁴⁴	tshy1		tsʰ	ɿ	⁴⁴	tsh	y	1	1				
62		吹	tsʰɿ⁴⁴	tshy1	{（白读）~风}	tsʰ	ɿ	⁴⁴	tsh	y	1	2				
63		炊	tsʰɿ⁴⁴	tshy1	{（白读）~米饭：糯米饭团}	tsʰ	ɿ	⁴⁴	tsh	y	1	2				
64		鼠	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
65		此	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
66		翅	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
67		耻	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
68		嗤	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
69		齿	tsʰɿ⁵³	tshy3		tsʰ	ɿ	⁵³	tsh	y	3	1				
70		处	tsʰɿ⁵³	tshy3	{任凭}	tsʰ	ɿ	⁵³	tsh	y	3	2				
71		处	tsʰɿ³³⁵	tshy5	{~长}	tsʰ	ɿ	³³⁵	tsh	y	5	2				
72		刺	tsʰɿ³³⁵	tshy5		tsʰ	ɿ	³³⁵	tsh	y	5	2				
73		次	tsʰɿ³³⁵	tshy5		tsʰ	ɿ	³³⁵	tsh	y	5	1				
74		厕	tsʰɿ³³⁵	tshy5		tsʰ	ɿ	³³⁵	tsh	y	5	1				
75		侈	tsʰɿ	tshy0	{奢~}	tsʰ	ɿ		tsh	y	0	1	1	1		
76		梳	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				1
77		疏	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
78		蔬	sɿ⁴⁴	sy1	{（白读）菜~：菜肴}	s	ɿ	⁴⁴	s	y	1	2				
79		书	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
80		舒	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
81		枢	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
82		输	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
83		斯	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
84		厮	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
85		撕	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
86		施	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
87		私	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
88		师	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
89		狮	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
90		蛳	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
91		尸	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
92		屍	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
93		司	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
94		丝	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
95		思	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
96		诗	sɿ⁴⁴	sy1		s	ɿ	⁴⁴	s	y	1	1				
97		尿	sɿ⁴⁴	sy1	{小便}	s	ɿ	⁴⁴	s	y	1	2				
98		筛	sɿ⁴⁴	sy1	{糠~，绷~，粉~}	s	ɿ	⁴⁴	s	y	1	3				
99		水	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	2				
100		暑	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
101		赐	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
102		使	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
103		史	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
104		驶	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
105		始	sɿ⁵³	sy3		s	ɿ	⁵³	s	y	3	1				
106		世	sɿ³³⁵	sy5		s	ɿ	³³⁵	s	y	5	1				
107		税	sɿ³³⁵	sy5	{（白读）~书：租书}	s	ɿ	³³⁵	s	y	5	2				
108		势	sɿ³³⁵	sy5		s	ɿ	³³⁵	s	y	5	1				
109		四	sɿ³³⁵	sy5		s	ɿ	³³⁵	s	y	5	1				
110		肆	sɿ³³⁵	sy5		s	ɿ	³³⁵	s	y	5	1				
111		试	sɿ³³⁵	sy5		s	ɿ	³³⁵	s	y	5	1				
112		□	sɿ	sy0	{癞~：癞蛤蟆}	s	ɿ		s	y	0	160	1	1		
113		除	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				1
114		储	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
115		锄	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
116		𧄔	zɿ²¹³	zy2	{~粉：番薯粉}	z	ɿ	²¹³	z	y	2	1				
117		如	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
118		厨	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
119		橱	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
120		儒	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
121		乳	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
122		池	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
123		驰	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
124		匙	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
125		瓷	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
126		迟	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
127		慈	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
128		磁	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
129		辞	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
130		词	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
131		祠	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
132		似	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
133		祀	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
134		伺	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
135		寺	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
136		嗣	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
137		饲	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
138		持	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
139		时	zɿ²¹³	zy2		z	ɿ	²¹³	z	y	2	1				
140		鲥	zɿ²¹³	zy2	{~鱼}	z	ɿ	²¹³	z	y	2	1				
141		槌	zɿ²¹³	zy2	{（白读）蒲~：锣锤}	z	ɿ	²¹³	z	y	2	2				
142		苎	zɿ²³¹	zy4	{~麻}	z	ɿ	²³¹	z	y	4	1				
143		墅	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
144		柱	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
145		竖	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
146		是	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	2				
147		氏	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
148		雉	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
149		示	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
150		峙	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
151		士	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
152		仕	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
153		柿	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
154		市	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
155		恃	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
156		侍	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
157		痔	zɿ²³¹	zy4		z	ɿ	²³¹	z	y	4	1				
158		住	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
159		树	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
160		治	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
161		滞	zɿ²²⁴	zy6	{~销}	z	ɿ	²²⁴	z	y	6	1				
162		誓	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
163		逝	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
164		自	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
165		稚	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
166		视	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
167		嗜	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
168		字	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
169		事	zɿ²²⁴	zy6		z	ɿ	²²⁴	z	y	6	1				
170		薯	zɿ²²⁴	zy6	{~片}	z	ɿ	²²⁴	z	y	6	1				
171		穗	zɿ	zy0	{稻~头}	z	ɿ		z	y	0	2	1	1		
172		屄	pi⁴⁴	pi1		p	i	⁴⁴	p	i	1	1			1	1
173		编	pi⁴⁴	pi1		p	i	⁴⁴	p	i	1	1				
174		边	pi⁴⁴	pi1		p	i	⁴⁴	p	i	1	1				
175		蝙	pi⁴⁴	pi1		p	i	⁴⁴	p	i	1	1				
176		鳊	pi⁴⁴	pi1		p	i	⁴⁴	p	i	1	1				
177		敝	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
178		陛	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
179		彼	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
180		俾	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
181		鄙	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
182		比	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
183		贬	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
184		扁	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
185		匾	pi⁵³	pi3		p	i	⁵³	p	i	3	1				
186		蔽	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
187		闭	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
188		臂	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
189		秘	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
190		鞭	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
191		变	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
192		遍	pi³³⁵	pi5		p	i	³³⁵	p	i	5	1				
193		泌	pi³³⁵	pi5	{内分~}	p	i	³³⁵	p	i	5	1				
194		批	pʰi⁴⁴	phi1		pʰ	i	⁴⁴	ph	i	1	1				1
195		披	pʰi⁴⁴	phi1		pʰ	i	⁴⁴	ph	i	1	1				
196		丕	pʰi⁴⁴	phi1		pʰ	i	⁴⁴	ph	i	1	1				
197		篇	pʰi⁴⁴	phi1		pʰ	i	⁴⁴	ph	i	1	1				
198		偏	pʰi⁴⁴	phi1		pʰ	i	⁴⁴	ph	i	1	1				
199		𠜱	pʰi⁵³	phi3		pʰ	i	⁵³	ph	i	3	1				
200		譬	pʰi³³⁵	phi5		pʰ	i	³³⁵	ph	i	5	1				
201		屁	pʰi³³⁵	phi5		pʰ	i	³³⁵	ph	i	5	1				
202		骗	pʰi³³⁵	phi5		pʰ	i	³³⁵	ph	i	5	1				
203		片	pʰi³³⁵	phi5		pʰ	i	³³⁵	ph	i	5	1				
204		痞	pʰi	phi0	{地~}	pʰ	i		ph	i	0	1	1	1		
205		皮	bi²¹³	bi2		b	i	²¹³	b	i	2	1				1
206		疲	bi²¹³	bi2		b	i	²¹³	b	i	2	1				
207		脾	bi²¹³	bi2		b	i	²¹³	b	i	2	1				
208		琵	bi²¹³	bi2		b	i	²¹³	b	i	2	1				
209		肥	bi²¹³	bi2	{（白读）~皂}	b	i	²¹³	b	i	2	2				
210		便	bi²¹³	bi2	{~宜}	b	i	²¹³	b	i	2	2				
211		被	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
212		庇	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
213		婢	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
214		辨	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
215		辩	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
216		辫	bi²³¹	bi4		b	i	²³¹	b	i	4	1				
217		鐾	bi²²⁴	bi6		b	i	²²⁴	b	i	6	1				
218		避	bi²²⁴	bi6		b	i	²²⁴	b	i	6	1				
219		便	bi²²⁴	bi6	{~当：方便}	b	i	²²⁴	b	i	6	2				
220		汴	bi²²⁴	bi6		b	i	²²⁴	b	i	6	1				
221		弊	bi	bi0		b	i		b	i	0	1	1	1		
222		币	bi	bi0		b	i		b	i	0	1				
223		毙	bi	bi0		b	i		b	i	0	1				
224		痹	bi	bi0		b	i		b	i	0	1				
225		微	mi⁴⁴	mi1	{（白读）~~小}	m	i	⁴⁴	m	i	1	2				1
226		渳	mi⁴⁴	mi1	{小口喝酒}	m	i	⁴⁴	m	i	1	1				
227		眯	mi⁴⁴	mi1	{~觑眼：近视眼}	m	i	⁴⁴	m	i	1	1				
228		𡬍	mi⁴⁴	mi1	{小睡，打盹儿}	m	i	⁴⁴	m	i	1	1				
229		迷	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
230		糜	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
231		弥	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
232		靡	mi²¹³	mi2		m	i	²¹³	m	i	2	1				
