#ɿ
ts[44]资姿咨兹[2]紫子梓
tsʰ[11]瓷慈糍磁辞词祠[2]此[31]似祀巳嗣饲[35]刺次1伺[51]自字牸{~牛：母牛}寺
s[44]斯厮撕私司丝思师2[2]死1使史驶[31]是2氏2市恃[35]赐四肆试2[51]士仕事

#i
p[44]蓖碑卑悲[2]彼鄙比秕妣[35]贝蔽闭臂秘庇痹
pʰ[44]批披[11]疲皮脾琵枇[31]被{~子}被{~打}陛[35]屁譬[51]避备鼻辟劈
m[11]迷弥眉楣[31]米美尾[51]谜觅密蜜
f[44]非菲飞妃[11]肥[2]匪榧[35]废肺[51]吠翡痱
v[11]微薇[51]未味
t[44]低[2]底{年~}抵[35]帝
tʰ[44]梯[11]堤题提蹄啼[2]体[31]弟[35]替涕剃屉[51]第地
l[11]泥尼犁黎驴离璃篱厘狸[2]屡[31]女吕旅礼履李里理鲤[51]虑滤丽荔利痢吏类泪累
ts[44]之{动词后缀：走~，看~}[2]挤嘴[35]祭际济醉
tsʰ[44]妻蛆趋[11]齐脐随荠{荸~}[2]取娶[31]荠{~菜}[35]趣砌脆翠次2[51]序叙绪遂隧
s[44]些须{必~}须{胡~}需西栖犀虽尿息[2]洗髓死2[35]絮细婿岁[51]虱
tɕ[44]鸡稽饥肌基机知蜘脂之{~间}芝支枝肢栀纪{年~}[2]己纪{姓}几{~个}癸纸只{~有}旨指止趾址[35]计继系{~鞋带}髻寄冀记既制{~度}制{~造}智至致置志痣
tɕʰ[44]溪欺痴[11]奇骑岐祁其棋期旗祈池驰迟持桕{~子树}[2]启企几{茶~}起杞岂齿耻侈[31]徛{站立}始[35]契器弃气汽翅[51]忌痔稚治持妓及泣讫乞
ȵ[11]倪宜仪疑[31]蚁拟[51]日谊义议毅
ɕ[44]希稀嬉熙牺施尸师1狮诗[11]时莳[2]喜蟢{~子：虫}屎[31]是1氏1[35]戏试1世势[51]系{关~}豉柿视示1侍吸
∅[44]伊医衣依黟{~县}[11]移夷姨饴遗[2]倚椅[31]矣已以尔{~只：这个}[35]癔意忆亿抑翳{白~：眼病}[51]易肄异翼{左~}一2

#u
p[2]补[35]布{~匹}布{~告}[51]不
pʰ[11]菩蒲[2]脯谱普浦甫辅醭[31]部簿[35]破铺怖[51]步捕埠赴讣饽{~粉}卜扑仆
m[11]模摹[31]某亩母拇[51]幕慕墓募莫膜幕寞木目牧
f[44]夫肤敷俘麸[11]符扶芙[2]府腑俯斧抚[31]父釜妇负阜[35]付赋傅富副[51]腐附复{重~，~杂}福幅腹覆服伏袱
v[44]乌污[11]巫诬[31]武舞侮鹉五伍午坞[51]屋戊雾务婺
t[44]都[2]堵赌肚{猪~}[35]剁妒[51]笃督
tʰ[11]徒屠途涂图[2]土[31]杜肚{大~子}[35]吐兔[51]大{~师傅}度渡镀独读毒凸
l[11]奴卢炉芦鸬庐驴[31]努鲁橹虏卤[51]糯怒路赂露鹭鹿禄
ts[44]租[2]祖组阻[35]做[51]竹筑祝粥烛嘱
tsʰ[44]粗蛆初[2]楚[35]锉醋措错[51]座助族畜逐轴促
s[44]苏酥梳疏蔬[11]锄[2]所数{动词}[35]素诉数{名词}[51]塑速叔熟淑赎束蜀属
k[44]姑孤枯[2]古估牯股鼓[35]过故固雇顾[51]谷{山~}谷{稻~}
kʰ[44]箍[2]苦[35]课库裤[51]哭
ŋ[11]吴蜈吾梧[51]误悟
x[44]呼[11]胡{姓}胡{~须}湖狐壶[2]虎浒[31]户沪[35]货戽[51]贺互护获斛

#y
tsʰ[44]趋[11]徐
tɕ[44]猪诸居车{~马炮}诛蛛株朱珠拘驹圭闺龟锥追归规{~矩}[2]煮举主矩轨鬼诡{~计}[35]著据锯驻注蛀铸句鳜桂愧季贵
tɕʰ[44]区驱吹炊亏{吃~}窥{白读}[11]除杵渠{水~}厨殊瞿逵葵槌锤[2]鼠跪{~下}[31]苎巨拒距柱竖[35]处去{~声}[51]住俱具惧柜
ȵ[11]鱼渔愚虞娱危[2]语[51]御遇寓迂卫魏
