#ɿ
tθ[213]资姿咨兹滋[44]紫姊子[31]字自恣{舒服}
tθʰ[213]差{参~}肌疵{~}□{mɔ⁵³：不好}□{斥责}□{倾倒液体，冲刷}[53]雌此瓷慈磁辞词饲[31]刺赐次伺
θ[213]斯厮撕私司1{公~}丝思[44]死[31]四司2{~令}肆似祀巳寺嗣饲
tʃ[213]知蜘[53]侄秩直值植[44]置执汁质织职殖掷[31]滞制智致稚痔治
tʃʰ[213]痴[53]池驰迟耻持赤斥[44]尺吃
ʃ[53]实十拾食蚀石[44]湿失室识式饰适释[31]世势誓逝

#ʅ
tʂ[213]支枝肢桅脂辎之芝隻[44]纸只{~有}旨指止趾址[31]至志痣
tʂʰ[213]眵{眼~：眼屎}嗤□{物体与表面不贴合，有较大空隙}□{水喷溅}[44]侈匙{~子：小勺子}豉齿[31]翅
ʂ[213]师狮尸诗[53]时[44]施矢屎使史驶始虱□{累}□{交配}[31]是氏示视嗜士仕柿事试市恃侍

#i
p[213]屄[53]鼻逼[44]彼比秕{~子，~粒：不饱满的植物种子}笔必滗{挡住固体，把液体倒出}□{（人）躲藏}[31]蔽敝弊毙币闭陛臂避鄙庇痹备蓖毕弼碧壁辟壁
pʰ[213]批披丕匹[53]脾{~气}皮疲[44]劈僻□{一~儿，一~子：旁边}[31]譬屁
m[213]眯{~缝眼}[53]迷谜泥糜弥蔑{竹蔑}眯{沙石进入眼中}[44]米[31]秘泌密蜜□{~溜：舔舐}
t[213]低[53]笛敌狄籴[44]底抵的{目~}滴嫡扚[31]帝弟第递地蒂
tʰ[213]堤梯[53]题提蹄啼踢[44]体剔□{~təŋ⁰：损坏，变质}[31]替涕剃屉
n[53]倪尼腻逆觅[44]你[31]拟匿溺
l[53]犁黎离1{~别}篱梨厘漓剺{割，划开}□{~心：胃酸上涌}[44]礼狸李里理鲤[31]例厉励丽隶荔离2{~开}利痢吏立笠粒栗力历璃{玻~}娌{妯~}
ts[213]嘅{~囔：嘟嚏}[53]集1{赶~}寂[44]集2{聚~}挤济缉疾即鲫积迹脊籍藉{狼~}绩[31]祭际荠剂{面~子}系{~鞋带}
tsʰ[213]妻凄{~凉}[53]齐脐[44]七漆戚砌
