#i
p[21]皮脾[34]比[44]臂[23]被备避
pʰ[44]屁
m[21]眉[34]尾[23]味未
f[41]飞非妃[21]肥[34]匪[44]痱
t[23]地
n[34]你哪
l[21]离篱厘狸梨[34]李里理鲤[23]荔利痢莉
ts[41]知支枝肢芝之资姿[21]饲词祠迟池持瓷慈糍鹚磁[34]姊子紫纸止指脂旨[44]智技致雉翅妓[23]寺字自志痣治巳
tsʰ[41]眵[34]此址齿耻[44]刺次
s[41]斯撕丝司私思师狮[34]死[44]四肆[23]事士
ȵ[21]儿宜疑[34]耳蚁[23]二
ɕ[41]尸诗施稀希牺[21]匙时[34]使史驶始喜什[44]戏试[23]是市视示柿豉
k[41]机基饥[21]期奇其旗棋骑祈[34]几己[44]季寄记既[23]忌
kʰ[41]欺[34]起岂[44]企器气汽
h[44]弃
∅[41]医衣依[21]移姨[34]以已椅[44]意忆亿役[23]异易{容~}

#u
p[34]补晡[44]布[23]部步簿
pʰ[41]铺[34]捕谱普浦辅[44]鋪
m[21]模膜[34]母拇[23]墓幕慕
f[41]夫肤呼[21]符扶浮葫[34]虎府腑斧俯腐{~烂}[44]富付负腐{豆~烂}[23]傅父妇
t[41]都嘟[21]途涂图徒屠[34]赌堵肚{猪~}[23]杜肚{~子}度镀渡
tʰ[34]土[44]吐兔
n[34]努橹[44]怒奴
l[21]芦炉鸬[34]卤鲁虏[23]路露
ts[41]租[21]锄[34]祖组阻[23]助
tsʰ[41]粗初[44]醋
s[41]苏酥[44]素诉
ɕ[41]梳疏[34]数{~一~}[44]数{~字}漱
k[41]姑孤菇鸪[34]估古牯股鼓箍[44]故顾固雇
kʰ[41]枯麸[34]苦[44]裤库
∅[41]乌[21]胡糊湖忽壶狐荷[34]武舞[44]雾务恶可{~误}[23]户护互戊

#y
n[34]女
l[34]吕旅[23]虑滤
tsʰ[41]蛆[34]取娶[44]趣
s[41]需须[44]序
tɕ[41]猪株珠蛛诸朱[21]除厨徐储殊[34]主煮[23]柱住注蛀铸
tɕʰ[34]处{~理}[44]处{~暑}
ȵ[21]鱼
ɕ[41]书输舒墟虚嘘[21]薯[34]署鼠许[23]竖树
k[41]居拘[34]举[44]锯句[23]据距具剧
kʰ[41]区驱[44]去
∅[21]如儒余盂娱愚玉[34]雨语羽与乳[23]遇誉裕预芋

#a
p[41]巴疤吧叭[21]扒爬杷[34]把[44]霸爸坝欛[23]罢
pʰ[44]怕
m[41]蟆孖[21]麻[34]马妈[23]蚂
f[41]花[34]火伙[44]化
t[34]爹
tʰ[41]他
n[21]乸
l[41]拉垃[44]辣喇
tɕ[41]渣遮[21]茶查[34]者[44]诈炸榨借蔗鹧[23]谢
tɕʰ[41]钗叉杈差{~错}车[21]斜[34]扯[44]岔
ȵ[34]惹
ɕ[41]沙纱杉畲赊[21]蛇[34]舍{~得}[23]社射麝舍{宿~}
k[41]家加佳[34]假贾[23]架价嫁稼
kʰ[34]卡
ŋ[41]桠[21]牙芽蚜衙[34]瓦
h[41]虾霞哈[23]夏下
∅[41]阿鸦丫[34]哑[44]亚

#ua
k[41]瓜[34]寡[44]挂卦
kʰ[34]垮[44]胯
∅[21]华划[23]话画

#ia
s[34]写[44]泻卸
k[21]茄
∅[41]爷[34]野也[23]夜

#e
p[34]□{粪便}[23]币毙
pʰ[41]批
m[21]谜[34]眯米
f[44]肺废费
t[41]低[21]蹄啼题提[34]底抵[44]帝[23]弟第递地
tʰ[41]梯锑[34]体[44]替涕剃
n[21]泥尼呢[44]□{小}[23]腻
l[21]犁[23]例厉励丽
ts[41]姐追锥[21]齐脐锤槌[34]挤[44]济祭制际
tsʰ[41]妻凄吹炊[44]砌斜脆
s[41]西犀[34]洗[44]细岁
ȵ[44]义仪议艺
ɕ[34]水[44]势世[23]睡
k[41]鸡[44]继计
kʰ[34]启[44]契
w[41]威[21]韦苇微违为{行~}唯[34]委伟慰伪[44]喂[23]为{~了}位魏畏未胃卫

#ɔu
p[41]波菠玻[21]婆[44]簸
pʰ[41]坡[44]破
m[41]魔[21]磨{~刀}[34]摸[23]磨{石~}蘑
t[34]朵躲
n[23]糯
l[21]螺
ts[23]坐座
tsʰ[41]搓
s[41]蓑梭[34]锁琐
k[41]锅[34]果[44]过
kʰ[41]科蝌[34]颗课[44]货祸
∅[41]窝[21]和或禾[23]涴

#o
p[41]褒[21]袍[34]宝保[44]报[23]抱
pʰ[41]泡{~心，指萝卜等失去水分变得松软不实}
m[21]毛矛茅茉[23]冒帽貌
t[41]多刀[21]桃逃淘绹[34]岛捣导倒[44]到[23]舵盗道稻
tʰ[41]拖[34]讨妥[44]套
n[34]恼脑[44]那
l[41]萝[21]罗锣箩服牢劳[34]卵老佬□{哄骗}[44]攞
ts[41]糟遭[21]槽曹嘈[34]早枣[44]左灶[23]皂糙造
tsʰ[41]操[34]草[44]燥躁
s[41]骚臊梭[34]所嫂[44]扫[23]傻
k[41]哥歌高稿糕膏羔[44]个告
kʰ[34]可考
ŋ[21]鹅腭熬[34]我[23]饿傲
h[41]蒿[21]河何豪毫[34]好[23]贺号
∅[41]蜗屙阿

#ai
p[21]牌排簰[34]摆[44]拜□{女阴}[23]稗败
pʰ[34]挀[44]派
m[21]埋[34]买[23]迈卖
t[23]大
n[23]奶
l[21]□{~尿：遗尿}[23]赖
ts[34]宰[44]债
tsʰ[41]差{出~}
s[41]腮
tɕ[41]斋
ɕ[41]筛[21]柴[44]晒
k[41]阶街[34]解[44]介界芥械戒
kʰ[41]揩[44]概慨
ŋ[41]挨[21]崖捱[23]蟹
h[21]鞋
∅[34]矮

#uai
tɕʰ[41]搋
ɕ[41]衰[44]帅
k[41]乖[34]拐[44]怪
kʰ[44]快筷块
∅[41]歪[21]怀槐淮[23]坏

#ø
k[41]龟归规[21]葵癸[34]鬼轨诡蕨[44]贵桂[23]柜跪
kʰ[41]亏
ŋ[21]危桅

#ɐi
m[21]□{叔叔}
t[21]台苔抬[44]戴怠带[23]贷待代
tʰ[41]胎
n[23]耐奈
l[21]来
ts[41]灾栽载[21]才财材裁豺[34]嘴[44]再[23]在
tsʰ[41]猜[34]彩采睬[44]菜蔡
s[44]赛
k[41]该[34]改[44]盖
kʰ[41]开
ŋ[23]碍艾
h[34]海[23]害亥
∅[41]哀[44]爱

#oi
p[41]碑杯悲卑[21]培陪赔[44]贝背[23]辈倍
pʰ[44]配佩
m[21]梅晦枚媒煤霉[34]美每[23]妹外
f[41]恢灰挥辉徽[23]毁悔
t[41]堆[44]对碓[23]队兑
tʰ[41]推[34]腿[44]退
l[41]镭[21]雷[34]累{~加}[23]泪累{受~}
ts[21]随[44]最醉[23]罪
tsʰ[41]催崔
s[34]髓[44]碎
ɕ[41]衰[44]税瑞
w[23]会汇贿绘惠慧

#au
p[41]包苞[21]刨[34]饱[44]豹爆暴
pʰ[41]抛脬[34]跑[44]炮泡{水~}
m[34]牡卯铆猫
n[21]锚[23]闹
l[21]捞涝痨
ts[34]爪[44]炸{油~}罩
tsʰ[41]抄[34]炒吵
ȵ[41]挠
k[41]交胶郊茭[34]搞狡[44]较珓觉{睡~}臼[23]窖
kʰ[41]敲[34]烤铐
ŋ[34]咬
h[44]效校孝
∅[44]坳拗

#iu
p[41]标彪瀌镖[21]瓢嫖薸[34]表
pʰ[41]飘漂{~流}[44]票漂{~亮}
m[21]苗描[34]秒[23]庙妙
t[41]丢刁雕貂[21]条调{~和}[34]鸟[44]掉吊钓[23]调{~动}
tʰ[41]挑[44]跳
n[41]□{黏稠；黏合}[34]鸟{文读}[44]□{不，否定词}[23]尿
l[21]疗[34]了[23]料
s[41]箫消萧硝霄宵[34]小[44]笑
tɕ[41]蕉焦椒招昭朝{~阳}[21]朝{~代}潮[34]剿[44]照[23]赵兆
ɕ[41]烧嚣[34]少{多~}[44]少{~年}绍
k[41]娇骄[21]乔桥侨[34]缴绕绞饺[44]叫[23]轿
kʰ[34]巧[44]窍撬翘跷
∅[41]妖邀要{~求}腰[21]謡窑摇姚[34]扰舀[44]鹞[23]耀

#iɐu
p[23]□{蚊虫叮附}
ɕ[41]休
ȵ[21]牛
k[41]鸠[21]求球[34]九灸久韭[44]救究[23]旧舅
kʰ[41]纠丘
∅[41]忧悠幽优尤[21]由邮油犹游釉柔[34]有友酉[23]又右佑诱幼

#ɐu
m[41]□{蹲}[21]谋[34]亩某[23]茂贸
f[34]否[23]埠
t[41]蔸[21]头投[34]斗陡蚪[44]鬥[23]豆痘
tʰ[41]偷[34]敨[44]透
n[34]扭纽[44]□{摘}
l[21]流刘留榴硫楼琉[34]搂柳骝[23]漏
ts[41]周舟洲州[21]筹稠绸雠[34]酒走[44]咒掫[23]袖就
tsʰ[41]秋抽[34]丑[44]凑臭
s[41]修馊搜[44]秀绣嗽
ȵ[44]柚皱
