#i
p[31]彼髀比[53]毙臂秘泌庇痹闭
pʰ[45]披丕纰砒被[13]皮疲啤脾琵枇[31]痞篦鄙蔽币[53]婢譬屁备鼻
m[45]微薇[13]迷{～路}糜{～子}糜{～烂}弥猕眉楣靡媚谜{猜～}谜{～语}[31]米美
t[45]知[53]帝蒂谛缔
tʰ[31]第递地吕体隶逮
n[13]倪霓尼呢
ɬ[45]西犀斯厮撕私司丝思蛳[31]死[53]绪絮巳士仕四肆
l[45]里{公～}理鲤礼[13]驴璃离{别～}篱漓厘狸离{距～}[31]闾榈吕旅缕侣铝屡履李荔虑滤厉励丽脷俐莉利吏例[53]蜊{蛤～}
tʃ[45]资姿咨滋孜蜘辎支枝肢栀之芝[31]沮紫姊子滓纸只{不～}旨指止趾址脂[53]至志济置稚剂致智际
tʃʰ[45]妻凄痴[13]徐慈磁辞词瓷糍池踟弛迟持饲兹脐祠雌齐驰[31]娶此侈齿痔岂□{~大细：喂小孩}[53]趣似刺次自赐伺寺治翅耻
ȵ[45]语汝议[13]愚宜疑儿而你谊[31]遇拟尔耳饵仪寓义二贰[53]异誉预豫喻裕
ʃ[45]施尸诗柿虚嘘溪熙希稀[13]匙{钥～}匙{汤～}时[31]史屎豉是氏示视嗜许誓逝[53]试婿势系{关～}
k[45]车{～马炮}饥肌基机居讥几{茶～}[13]佢[31]己矩纪几杞举[53]既暨巨拒妓据技计继寄句季锯
kʰ[45]趋区{专～}驱躯距炬欺徛拘驹祈企[13]渠瞿奇骑岐歧祁鳍其棋期旗麒[31]俱具惧嘻起喜启[53]器忌去祛气汽戏契
h[45]圩牺玺羽与屿榆乳[13]如移夷姨怡颐胰愈娱[31]雨嬉宇禹易{容～}[53]弃
∅[45]淤迂于{姓～}伊医衣依[13]于{终～}余{姓～}余{多～}愉俞瑜渝遗[31]倚椅已以[53]吁意薏懿

#u
p[45]踎[31]补[53]布{蓝～}布{宣～}怖埠
pʰ[45]铺{床～}[13]蒲菩脯{胸～}葡脯{果～}□{溢出}[31]谱圃{花～}普辅簿捕浦哺埔圃{苗～}部步薄{～荷}[53]铺{店～}瀑
m[45]姆母拇武舞侮鹉抚亩[13]蘑[31]墓务雾慕募
f[45]乎呼敷孵夫俘肤[13]葫狐符扶胡{～须}蝴糊壶弧芙[31]虎府甫斧腐妇负户沪护父傅[53]付赋咐{吩～}附驸赴讣富副
t[45]都[31]堵赌肚
