#调值	①51	②35	③44	④231	⑤324	⑥224	⑦5	⑧23
#ɿ								
ts	①資姿咨脂兹滋之支枝肢梔③姊=指旨子籽梓止趾址紫紙⑤至志痔							
tsʰ	①雌差{參～}③齒此⑤次伺廁刺賜眵{眼睛～}翅							
s	①梳私師獅屍司絲思詩斯施撕③死=屎使史駛始⑤四肆							
z	②瓷{～器}磁{～鐵}慈辭詞祠時鰣匙{鑰～、湯～}飼鋤蒔{～秧：插秧}④墅{別～}似祀士仕柿市是⑥視示字寺事侍							
#ʮ								
tʃ	①豬株朱蜘蛛知珠芝{～麻}居龜-③主嘴舉矩⑤著{顯～；～作}注蛀製致置智句據貴-							
tʃʰ	①炊{～飯糕}癡吹區驅③處{～境}恥侈{奢～}⑤處{～女座}去=							
dʒ	②殊除儲{～蓄}廚遲持池馳槌渠④柱乳巨拒距具⑥住滯稚治具							
ʃ	①書舒尿樞輸③水⑤世勢試							
ʒ	②如④豎⑥樹誓逝							
#i								
ts	③姊-{～妹}擠⑤祭際濟{～手：左手}劑左{濟手：左手}							
tsʰ	①蛆趨妻③取娶⑤趣砌							
dz	②薺臍④聚							
s	①須需西③洗死⑤絮細婿圾{垃～}							
z	②齊徐④序							
#iᶽ								
p	①屄③鄙比彼⑤蔽閉祕秘{～書}潷臂							
pʰ	①披批③痞⑤屁							
b	②琵皮疲肥{～皂}脾④被{～頭：被子}⑥弊幣斃避味{～精；～之素}							
f	①飛非妃③匪翡⑤廢費肺吠							
v	②維唯惟肥微④尾=⑥未味							
m	①渳咪瞇②迷謎彌眉-{眼～毛}④米⑥味							
t	①低③底抵⑤帝							
tʰ	①梯③體⑤替涕剃屜							
d	②堤題提啼蹄④弟⑥第遞{快～}地							
n	④你							
l	②黎黎梨釐狸離籬荔璃④禮李裡裏理鯉呂旅縷⑥慮濾瀝例厲勵麗利淚-{眼～}屢							
ȵ	①☐{揉眼睛}②泥虞倪愚尼疑宜兒-娛④語女耳-擬尾{～巴}蟻⑥遇寓藝膩二-毅義議日-							
tɕ	①雞稽飢肌基機③幾紀⑤計繼記既寄季							
tɕʰ	①溪欺③啓起杞企⑤器棄汽氣							
dʑ	②其棋期旗奇祁及{來不～}④技跪⑥忌櫃							
ɕ	①嬉熙希稀犧虛噓撕-③喜許⑤戲							
ɦ	②姨移儀遺於余餘榆漁④以已與雨宇羽⑥系易億異預芋☐{又}							
	①醫衣依③已以椅倚⑤憶意餵-裕喻							
#yᶽ								
ɦ	②於余餘榆渝魚=漁④與雨宇羽⑥預芋☐{又}豫							
	③禹⑤裕喻							
#uᵝ								
p	①波菠玻巴疤③補捕把⑤布怖							
pʰ	①坡鋪{～路}③譜普浦⑤破鋪{店～}☐{洗東西遍數}怕							
b	②婆薄{～荷}蒲菩脯{胸～}琶杷爬耙④部薄{～子：本子}⑥步菢{孵蛋}伏{蹲}							
#uᶹ								
f	①夫膚孵敷麩③府俯脯斧撫輔⑤付赴賦富副							
v	②符扶芙無=④傅父腐武=舞婦負⑥附務={任～}霧=							
k	①姑孤箍瓜③古估{～計}股鼓寡⑤故固雇顧卦掛褂							
kʰ	①枯誇③苦⑤庫褲跨胯							
h	①呼花蝦③虎滸☐{不小心撒出去}⑤化							
	①烏污巫誣蝸丫蛙鴉掗☐{用手抓}③啞⑤惡							
ɦ	②吳=湖胡喉-{～嚨}狐葫壺划{～船}④戶滬下{上～}⑥護滬誤下{～降}夏畫話							
#ᴀ								
p	①爸八{王~}③擺⑤拜							
pʰ	⑤派							
b	②排牌筏{竹～}④罷⑥敗							
m	①媽④買⑥賣							
tʰ	①他=拖{～鼻涕}⑤泰太							
d	⑥大汏箉{一種較大的竹匾}埭大{～學；～蒜}							
n	④奶							
l	①拉②喇{～叭}⑥賴							
ts	①齋抓=⑤債							
tsʰ	①差{～不多}⑤蔡							
dz	②☐{小便，排泄}							
s	①篩沙{～洲縣}							
z	②柴							
t	⑤戴帶							
k	①家加嘉街階③假解{～開}⑤嫁架稼價戒							
kʰ	①揩③楷卡							
ɡ	②茄{～子}							
ŋ	②牙牙{～骨頭：咬骨頭}芽⑥外							
h	③蟹							
ɦ	②鞋也{口語音}							
	①挨☐{身體貼近}③矮							
#iᴀ								
t	①爹							
tsʰ	①七{~八個}笡{傾斜}							
ts	③姐⑤借							
s	③寫⑤卸							
z	②斜☐{奔跑}邪④薺{～菜}⑥謝							
tɕ	①家={國～}加=嘉=階=佳=③賈=解{理～}遮{奢～：顯眼}⑤假=架=稼=介=界=芥=屆=戒=							
tɕʰ	①扯							
dʑ	④惹{～嫌：讓人討厭}☐{將就地做某事}							
ɕ	⑤下={地～室}廈=夏=啥							
	①鴉={烏～}③雅啞=亞⑤亞							
ɦ	②爺衙涯④也野⑥夜械							
#uᴀ								
k	①乖③拐⑤怪							
kʰ	⑤快							
ɡ	②瘸							
ɦ	②槐淮⑥壞							
	①蛙							
#ᴇ/ɛ								
p	①班斑頒掰扳般③板版⑤扮絆							
pʰ	①攀潘⑤盼							
b	⑥辦瓣爿							
f	①翻蕃番③反⑤泛							
v	②煩繁帆凡④范犯⑥飯萬{數詞}							
m	①蠻{～好}②埋蠻④蠻⑥慢萬{麻將用語}							
n	②難{～易}☐{現在}④乃⑥耐難{災～}爛{～泥：泥土}							
l	②來藍籃蘭欄攔④攬覽欖懶⑥濫纜爛癩{～團：蛤蟆}							
t	①呆☐{抬起頭；抬著頭}耽擔☐{贈送、有過程的給予動作}丹單③膽撣⑥擔{挑～}旦							
tʰ	①胎坍攤灘③毯坦⑥態炭嘆							
d	②台苔抬談檀彈{～鋼琴}罈④待怠但淡誕⑥貸代袋彈{子～}蛋							
ts	①災栽載劗{～肉：剁肉}③斬盞㜺{好}⑤載再蘸讚贊							
tsʰ	①猜攙猜③採睬產鏟⑤菜燦							
dz	②才纔材財裁饞慚讒殘④在☐{上坡；上樓梯}暫站{車～}賺⑥站{站立}濺綻{顆粒飽滿}棧							
s	①腮鰓三衫杉珊山刪③散⑤散傘							
z	②饞{～吐：口水}							
k	①該尷監{～牢}間③改減鹼揀⑤概溉蓋丐橄間{間隔}							
kʰ	①開鉛③凱⑤嵌							
ɡ	⑥隑{倚靠}							
ŋ	②呆{～板}岩顏④眼⑥礙							
h	③海喊{喊叫}⑤喊{呼喚}							
ɦ	②孩銜鹹④限⑥害械陷餡							
	①哀⑤愛晏{時候晚}							
#uᴇ/uɛ								
k	①關⑤慣							
kʰ	⑤筷{「筷」字的兒化}							
ɡ	②環④☐{一~一~：形容走路一瘸一拐}摜{用力摔東西}							
h	⑤甩☐{甩}							
ɦ	②懷還還{歸還}頑⑥患幻外=							
	①還{口語音；語法詞：～是，～要}綰灣彎③挽⑤彎{抄道去某處}							
#ɔ								
p	①煲包胞③保堡寶飽⑤報爆{～米花}豹							
pʰ	①拋⑤泡炮							
b	②袍雹跑{走路}刨④抱鮑爆{～炸}⑥暴豹刨							
m	②毛茅貓矛④牡卯⑥帽冒貌							
