cid	character	initial	final	tone	note
233	寺	ʃ	i	22	
234	治	tʃh	i	31	
235	柿	s	ɿ	31	
236	事	s	ɿ	31	
237	使	s	ɿ	31	
238	试	ʃ	i	45	
239	时	ʃ	i	41	
240	市	ʃ	i	45	
241	耳	ɲ	i	31	
242	记	k	i	45	
243	棋	kh	i	41	
244	喜	kh	i	31	
245	意	∅	i	45	
246	几	k	i	31	
247	气	kh	i	45	
248	希	ʃ	i	22	
249	衣	∅	i	22	
250	嘴	tʃ	ɔi	45	白
250	嘴	ts	ui	31	文
251	随	tsh	ui	41	
252	吹	tʃh	ui	22	
253	垂	ʃ	ui	41	
254	规	k	ui	22	
255	亏	kh	ui	22	
256	跪	kh	ui	31	
257	危	ŋ	ui	41	
258	类	l	ui	31	
259	醉	ts	ui	45	
260	追	tʃ	ui	22	
261	锤	tʃh	ui	41	
262	水	ʃ	ui	31	
263	龟	k	ui	22	
264	季	k	ui	45	
265	柜	kh	ui	31	
266	位	v	ui	31	
267	飞	f	ui	22	
268	费	f	ui	45	
269	肥	f	ui	41	
270	尾	m	ui	22	
271	味	m	ui	31	
272	鬼	k	ui	31	
273	贵	k	ui	45	
274	围	v	ui	41	
275	胃	v	ui	31	
276	宝	p	ɔu	31	
278	毛	m	ɔu	22	
279	帽	m	ɔu	31	
280	刀	t	ɔu	22	
281	讨	th	ɔu	45	
282	桃	th	ɔu	41	
283	道	th	ɔu	31	
284	脑	n	ɔu	31	
285	老	l	ɔu	31	
286	早	ts	ɔu	31	
287	灶	ts	ɔu	45	
288	草	tsh	ɔu	31	
289	糙	tsh	ɔu	45	
290	造	tsh	ɔu	31	
291	嫂	s	ɔu	31	
292	高	k	ɔu	22	
293	靠	kh	au	45	
294	熬	ŋ	au	41	
295	好	h	ɔu	31	
296	号	h	ɔu	31	
297	包	p	au	22	
298	饱	p	au	31	
299	炮	ph	au	45	
300	猫	m	iau	45	
301	闹	n	au	31	
302	罩	ts	au	45	
303	抓	ts	a	22	
304	找	ts	au	31	
305	抄	tsh	au	22	
306	交	k	au	22	
307	敲	kh	au	45	
308	孝	h	au	45	
309	校	k	au	31	
310	表	p	iau	22	
311	票	ph	iau	45	
312	庙	m	iau	31	
313	焦	ts	iau	22	
314	小	s	iau	31	
315	笑	s	iau	45	
316	朝	tʃh	au	41	
317	照	tʃ	au	45	
318	烧	ʃ	au	22	
319	绕	ɲ	iau	41	
320	桥	kh	iau	41	
321	轿	kh	iau	31	
322	腰	∅	iau	22	
323	要	∅	iau	45	
324	摇	∅	iau	41	
325	鸟	t	iau	22	白
325	鸟	ɲ	iau	31	文
326	钓	t	iau	45	
327	条	th	iau	41	
328	料	l	iau	31	
329	箫	s	iau	22	
330	叫	k	iau	45	
331	母	∅	m	22	
332	抖	t	ɛu	31	
333	偷	th	ɛu	22	
334	头	th	ɛu	41	
335	豆	th	ɛu	31	
336	楼	l	ɛu	41	
337	走	ts	ɛu	31	
338	凑	tsh	ɛu	45	
339	钩	k	ɛu	22	
340	狗	k	ɛu	31	
341	够	k	ɛu	45	
342	口	h	ɛu	31	白
342	口	kh	ɛu	31	文
343	藕	ŋ	ɛu	31	
344	后	h	ɛu	31	
345	厚	h	ɛu	22	
346	富	f	u	45	
347	副	f	u	45	
348	浮	f	ɛu	41	
349	妇	f	u	31	
350	流	l	iu	41	
351	酒	ts	iu	31	
352	修	s	iu	22	
353	袖	tsh	iu	31	
354	抽	tʃh	iu	22	
355	绸	tʃh	iu	41	
356	愁	s	ɛu	41	
357	瘦	s	ɛu	45	
358	州	tʃ	iu	22	
359	臭	tʃh	iu	45	
360	手	ʃ	iu	31	
361	寿	ʃ	iu	31	
362	九	k	iu	31	
363	球	kh	iu	41	
364	舅	kh	iu	22	
365	旧	kh	iu	31	
366	牛	ŋ	ɛu	41	
367	休	s	iu	22	
368	优	∅	iu	41	
369	有	∅	iu	22	
370	右	∅	iu	31	
371	油	∅	iu	41	
372	丢	t	iu	22	
373	幼	∅	iu	45	
374	贪	th	am	22	
375	潭	th	am	41	
376	南	n	am	41	
377	蚕	tsh	am	41	
378	感	k	am	31	
379	含	h	am	41	
380	暗	∅	am	45	
381	搭	t	ap	31	
382	踏	th	ap	45	
383	拉	l	ai	22	
384	杂	tsh	ap	45	
385	鸽	k	ap	31	
386	盒	h	ap	45	
387	胆	t	am	31	
388	毯	th	an	22	
389	淡	th	am	22	咸～
389	淡	th	am	31	冷～
390	蓝	l	am	41	
391	三	s	am	22	
392	甘	k	am	22	
393	敢	k	am	31	
394	喊	h	am	45	
395	塔	th	ap	31	
396	蜡	l	ap	45	
397	赚	tsh	an	31	
398	杉	s	a	22	
399	减	k	am	31	
400	咸	h	am	41	
401	插	tsh	ap	31	
402	闸	tsh	ap	45	
403	夹	k	iap	31	
404	衫	s	am	22	
405	监	k	am	45	
406	岩	ŋ	am	41	
407	甲	k	ap	31	
408	鸭	∅	ap	31	
409	黏	tʃ	am	22	
410	尖	ts	iam	22	
411	签	tsh	iam	22	
412	占	tʃ	am	45	
413	染	ɲ	iam	31	
414	钳	kh	iam	41	
415	验	ɲ	iam	31	
416	险	ʃ	am	31	
417	厌	∅	iam	45	
418	炎	∅	iam	41	
419	盐	∅	iam	41	
420	接	ts	iap	31	
421	折	tʃ	ap	31	
422	叶	∅	iap	45	
423	剑	k	iam	45	
424	欠	kh	iam	45	
425	严	ɲ	iam	41	
426	业	ɲ	iam	45	
427	点	t	iam	31	
428	店	t	iam	45	
429	添	th	iam	22	
430	甜	th	iam	41	
431	念	ɲ	iam	31	
432	嫌	ʃ	am	41	
433	跌	t	iɛt	31	
434	贴	th	iap	31	请～
434	贴	t	iap	31	～对联
435	碟	th	iap	45	
436	协	ʃ	ap	31	
437	犯	f	aŋ	31	
438	法	f	ak	31	
439	品	ph	in	31	
440	林	l	im	41	
441	浸	ts	im	45	
442	心	s	im	22	
443	寻	tʃh	im	41	
444	沉	tʃh	im	41	
445	参	s	ɛm	22	
446	针	tʃ	im	22	
447	深	tʃh	im	22	
448	任	ɲ	im	31	
449	金	k	im	22	
450	琴	kh	im	41	
451	音	∅	im	22	
452	立	l	it	45	
453	集	tsh	ip	45	
454	习	s	ip	45	
455	汁	tʃ	ip	31	
456	十	ʃ	ip	45	
457	入	ɲ	ip	45	
458	急	k	ip	31	
459	及	kh	ip	45	
460	吸	k	ip	31	
461	单	t	an	22	
462	炭	th	an	45	
463	弹	th	an	41	
464	难	n	an	41	
465	兰	l	an	41	
466	懒	l	an	22	
467	烂	l	an	31	
468	伞	s	an	31	
469	肝	k	ɔn	22	
470	看	kh	ɔn	45	
471	岸	ŋ	an	31	
472	汉	h	ɔn	45	
473	汗	h	ɔn	31	
474	安	∅	ɔn	22	
475	达	th	at	45	
476	辣	l	at	45	
477	擦	tsh	at	31	
478	割	k	ɔt	31	
479	渴	h	ɔt	31	
480	扮	ph	an	31	
481	办	ph	an	31	
482	铲	tsh	an	31	
483	山	s	an	22	
484	产	tsh	an	31	
485	间	k	an	22	
486	眼	ŋ	an	31	
487	限	h	an	31	
488	八	p	at	31	
489	扎	ts	at	31	
490	杀	s	at	31	
491	班	p	an	22	
492	板	p	an	31	
493	慢	m	an	31	
494	奸	k	an	22	
495	颜	ŋ	an	41	
497	变	p	iɛn	45	
498	骗	ph	iɛn	45	
499	便	ph	iɛn	31	
500	棉	m	iɛn	41	
501	面	m	iɛn	45	
502	连	l	iɛn	41	
503	剪	ts	iɛn	31	
504	浅	tsh	iɛn	31	
505	钱	tsh	iɛn	41	
506	鲜	s	iɛn	22	
507	线	s	iɛn	45	
508	缠	tsh	an	41	
509	战	tʃ	an	45	
510	扇	ʃ	an	45	
511	善	ʃ	an	31	
512	件	kh	iɛn	31	
513	延	∅	iɛn	41	
514	别	ph	iɛt	45	
515	灭	m	iɛt	45	
516	列	l	iɛt	45	
517	撤	tʃh	at	31	
518	舌	ʃ	at	45	
519	设	ʃ	at	31	
520	热	ɲ	iɛt	45	
521	杰	kh	iɛt	45	
522	孽	ɲ	iap	31	
523	建	k	iɛn	31	
524	健	kh	iɛn	31	
525	言	ɲ	iɛn	41	
527	扁	p	iɛn	31	
528	片	ph	iɛn	31	
529	面	m	iɛn	31	
530	典	t	iɛn	31	
531	天	th	iɛn	22	
532	田	th	iɛn	41	
533	垫	t	iɛn	45	
534	年	ɲ	iɛn	41	
535	莲	l	iɛn	41	
536	前	tsh	iɛn	41	
537	先	s	iɛn	22	
538	肩	k	iɛn	22	
539	见	k	iɛn	45	
540	牵	kh	iɛn	22	
541	显	ʃ	an	31	
542	现	ʃ	an	31	
543	烟	∅	iɛn	22	
545	篾	m	iɛt	45	
546	铁	th	iɛt	31	
547	捏	ɲ	iap	31	
548	节	ts	iɛt	31	
549	切	tsh	iɛt	31	
550	截	tsh	iɛt	45	
551	结	k	iɛt	31	
552	搬	p	an	22	
553	半	p	an	45	
554	判	ph	an	45	
555	盘	ph	an	41	
556	满	m	an	22	
557	端	t	ɔn	22	
558	短	t	ɔn	31	
559	断	th	ɔn	22	
560	暖	n	ɔn	22	
561	乱	l	ɔn	31	
562	酸	s	ɔn	22	
563	算	s	ɔn	45	
564	官	k	an	22	
