#a
p[1]巴芭疤吧笆[3]把[5]坝爸罢 [7]八
pʰ[1]𤆵{软，糖∽}[2]爬琶杷钯耙[5]怕帕
m[1]妈[2]麻痂[3]马码[5]骂
f[2]法乏发伐筏罚
t[3]打[5]大
tʰ[1]他
n [1]拉垃[2]拿
k[5]尬
kʰ [3]卡
x [1]哈 [3]傻{俗}
ts[1]查渣[2]咱[5]诈榨炸乍栅
tsʰ[1]叉杈差[2]茶搽查[5]岔
s[1]沙纱痧砂杉[3]洒傻撒萨
Ø[1]阿

#i
p[1]逼 [3]彼比[5]蔽敝弊币毙蓖闭箅陛俾被婢被避庇备篦
pʰ[2]皮疲脾痹琵枇[3]痞鄙[5]屁
m[2]迷谜弥靡篾眉[3]米
t[1]爹低[3]底抵[5]帝滞蒂弟第递地
tʰ[1]梯[2]堤题提蹄啼[3]体[5]涕剃屉剔
n [2]犁黎离篱璃梨[3]礼履厘狸李里理鲤[5]丽莉荔利痢吏虑滤
ȵ[2]泥倪宜谊尼呢仪蚁疑[3]蚁你拟[5]仪义议腻疑毅匿艺谊
tɕ[1]鸡稽羁肌基箕姬机讥饥[3]姐挤几己杞[5]借藉祭际济荠剂计继髻寄技妓冀纪记忌既季
tɕʰ[1]妻凄栖欺期溪[2]茄齐脐畦奇骑岐奇祁棋旗其[3]且启起祈[5]契企器弃气汽
ɕ[1]些西犀奚兮携牺熙嘻希稀楔[2]邪斜[3]写泻洗玺徙嬉禧喜岂[5]卸谢胥偕细婿系系戏泄
Ø[1]伊医衣依揖[2]爷移姨夷贻沂遗[3]野椅倚矣以已乙[5]夜刈诣缢易懿肄意怡异忆亿翼液腋易
k[1]给-

#u
p[3]补捕[5]布怖部簿步讣卜
pʰ[1]铺{∽设、床∽}[2]浦蒲菩葡[3]谱普脯甫脯捕[5]铺{店∽}
m[1]模[2]蟆摹膜模[3]牡母拇[5]暮慕墓募幕
t[1]都[3]堵赌笃肚{动物胃}[5]肚妒杜肚渡镀度
tʰ[2]途屠徒涂图[3]土吐[5]兔
n[2]奴卢炉芦庐[3]努鲁橹虏卤[5]怒路赂露=鹭
k[1]姑孤辜[3]古估股鼓蛊[5]故固锢雇顾
kʰ[1]枯箍[3]苦[5]库裤
ts[1]租猪诸诛蛛株朱硃珠[3]祖组阻煮拄主[5]做着箸助驻注柱住蛀铸
tsʰ[1]粗初[2]除储锄厨橱[3]楚杵处{∽理、∽所}[5]醋处{∽所}
s[1]苏酥梳疏蔬书舒枢输殊[3]鼠暑墅署薯数[5]素诉塑庶恕数竖树漱述术
z[2]如[3]乳辱汝

#uᶹ
f[1]呼乎夫肤敷俘孵麸[2]胡湖糊狐壶葫瓠蝴胡扶芙浮[3]虎浒府腑俯斧抚釜腐辅否哺[5]户沪互护付赋傅咐赴符父附富副负妇
v[1]乌污坞巫诬侮[2]吴蜈无[3]五伍午武舞鹉[5]吾梧误悟务雾戊

#y
n[2]驴[3]吕旅缕屡捋[5]虑滤
ȵ[3]女
tɕ[1]居车拘驹区[2]瘸[3]矩[5]据锯拒距苣聚俱句具惧剧娶{旧}
tɕʰ[1]蛆趋区驱躯岖[2]瞿[3]取娶衢[5]去渠趣
ɕ[1]靴墟虚嘘须需吁虽[2]徐[3]许[5]絮序叙绪遂穗
Ø[1]淤迂[2]鱼渔于余予愚虞[3]屿语与雨宇禹羽[5]御誉预豫娱遇寓芋榆逾愉俞愈喻裕玉蔚

#o
p[1]波菠玻[3]簸[5]播
pʰ[1]坡[2]婆[3]剖[5]破剖
m[1]摩摸[2]魔磨模[3]抹[5]磨{石∽}
t[1]多[3]朵躲[5]舵剁惰堕
tʰ[1]拖[2]驼驮[3]妥椭[5]唾
n[1]啰[2]挪罗锣箩萝骡螺[3]裸[5]糯摞
k[1]歌哥锅戈[3]果裹[5]个过
kʰ[1]科棵[3]可颗[5]课
x[1]喝[2]荷何河荷禾和[3]火伙[5]贺货和{∽面}祸
ŋ[3]我
ts[3]左佐[5]坐座
tsʰ[1]搓[5]锉措错
s[1]蓑梭唆[3]锁琐所
Ø[1]倭窝莴蜗[2]蛾鹅俄[5]饿卧

#ɵ
p[7]薄不钵拨脖博薄剥驳缚
pʰ[7]泼勃朴扑瀑仆
m[7]末沫没莫寞木沐
f[7]复弗佛佛幅福蝠腹辐覆伏服袱

#uɵ
t[7]夺拓踱铎独读督毒
tʰ[7]蜕脱突凸托秃
n[7]律落烙酪洛骆乐{快∽}络乐鹿禄六陆绿诺
k[7]骨胳郭谷酷
kʰ[7]窟哭
x[7]豁活
ts[7]拙卒作昨着着酌卓桌啄琢涿浊捉镯竹筑逐轴祝烛触粥
tsʰ[7]础撮猝出绰戳族促凿
s[7]说率索硕缩叔淑熟俗赎嘱
z[7]入诺若弱箬肉
Ø[7]物握屋沃

#ɤ
k [1]歌哥 [5]个 [7]鸽割葛各阁搁嗝
kʰ[1]搁 [3]颗可 [5]课 [7]磕渴壳
x[7]蛤合盒鹤霍藿或赫
ŋ[7]恶

#ɘ
ts[7]置滓执汁侄质直值织职植殖
tsʰ[7]秩尺斥赤吃
s[7]矢湿十什拾实失室食蚀识适释石
z[7]日

#ɿ
ts[1]知蜘支枝肢栀资姿咨兹滋之芝只[3]紫纸只姊脂指旨子梓[5]制智翅自致雉致稚至字峙痔治痣志蛰炙
tsʰ[1]疵痴[2]雌刺池驰侈次瓷糍迟慈磁辞祠词[3]此耻持止址趾齿[5]赐滞
s[1]斯厮撕施施私师狮蛳尸丝司思诗[3]死屎史使[5]世势誓逝匙是氏豉四肆示视嗜伺似巳祀寺饲嗣士仕柿俟事驶始试时市侍式饰

#æ
p[7]泊北百柏伯白陌
pʰ[7]拔迫拍珀魄
m[7]墨默陌脉麦
t[7]搭答沓达得德
tʰ[7]踏塌塔榻遢塌特
n[7]哪那纳腊蜡捺辣勒
k[7]格骼革隔
kʰ[7]咳克刻客
x[7]核黑
ŋ[7]额
ts[7]杂札眨闸折褶札扎哲蜇辙浙宅窄摘责
tsʰ[7]厕插擦察铡撤彻澈则侧恻测拆择泽册策
s[7]摄涉涩杀舌设折瑟虱色啬
z[7]热

#ɚ
Ø[2]儿而[3]尔耳饵[5]二

#ae
p[1]跛[3]摆[5]拜稗败湃
pʰ[2]排牌 [5]派
m[2]埋[3]买[5]卖迈
t[1]呆[3]逮[5]戴贷待怠殆代袋带
tʰ[1]胎[2]台苔抬[3]大-[5]态太泰
n[1]奶-{喂∽} [2]来[3]乃奶[5]耐奈赖癞
k[1]该街阶[3]改解-[5]盖丐
kʰ[1]开揩[3]凯慨楷[5]概溉慨
x[2]孩鞋还-{∽有} [3]海蟹[5]亥害骇
ŋ[2]崖捱[3]蔼矮[5]碍艾
ts[1]灾栽斋[3]者宰[5]载再在债寨贼蔗
tsʰ[1]猜钗差{∽出}[2]纔才材财裁豺柴[3]彩采踩睬[5]菜蔡
s[1]腮鳃筛[5]赛晒塞{边∽}

#ei
p[1]杯碑卑悲背{∽负}[5]贝狈辈背{后∽，∽诵}倍焙臂秘陛佩
pʰ[1]坯披批[2]培陪赔裴[5]沛配佩臂
m[2]梅枚媒煤玫莓眉楣霉媚[3]每美[5]妹昧寐
f[1]飞非妃菲[2]肥[3]匪榧翡[5]废肺柿吠痍沸费
t[1]堆推[3]腿[5]退
tʰ[5]褪
n[2]雷擂[3]儡累垒屡[5]内累类泪
ts [1]遮
tsʰ [1]车 [3]扯
s [1]赊 [2]蛇 [3]捨{∽弃} [5]舍{宿∽}射社
z [3]惹

#aɹ̃
p[1]班斑扳颁扳搬般[3]板版[5]扮办瓣伴拌半绊
pʰ[1]攀潘[2]盘[5]盼畔叛判
m[2]蛮瞒馒[3]满[5]慢鳗漫幔蔓
f[1]藩翻番[2]泛凡帆烦矾繁[3]反[5]范犯梵贩饭
t[1]耽担丹单单端[3]胆掸疸短[5]担淡旦诞但弹蛋断锻断段缎椴
tʰ[1]贪探坍滩摊瘫[2]潭谭堰谈痰檀坛弹团[3]毯坦[5]叹炭
n[2]南男蓝篮滥兰拦栏[3]婪览揽榄缆懒[5]难烂乱
k[1]甘柑泔酣尴干肝竿杆间-[3]感敢橄秆擀赶[5]干
kʰ[1]堪龛勘刊嵌[3]坎砍槛[5]看
x[1]憨[2]含函咸寒韩衔闲-[3]喊罕舰[5]撼憾汉旱捍汗翰
ŋ[1]安鞍庵[5]岸按案暗
ts[1]簪沾粘瞻砧簪毡[3]斩盏展攒[5]暂站蘸占赞潜赞绽栈战颤
tsʰ[1]参餐[2]蚕惭谗残缠[3]惨产[5]忏灿
s[1]三衫山掮[2]禅蝉[3]陕闪伞[5]散扇善膳禅
z[2]然燃[3]染冉

#aɣ̃
p[1]帮邦浜[3]榜绑[5]谤棒
pʰ[2]滂旁螃庞[5]傍胖
m[2]忙茫芒盲[3]莽蟒氓
f[1]方芳[2]房防[3]坊肪妨纺仿彷访[5]放
t[1]当裆[3]党挡档[5]当荡宕
tʰ[1]汤[2]堂棠螳唐糖塘[3]倘躺[5]烫趟
n[2]囊郎廊狼螂[3]朗[5]浪
k[1]刚岗纲钢冈缸钢肛[3]港[5]杠杠
kʰ[1]康糠慷[2]扛[5]抗炕
x[2]行航杭[3]夯[5]项巷
ŋ[1]肮[2]昂
ts[1]赃脏张章樟蟑[3]长涨掌[5]葬藏脏帐胀账丈仗杖障瘴
tsʰ[1]仓苍舱昌菖娼倡窗[2]藏怅长肠场[3]厂[5]畅唱
s[1]桑丧商伤裳[2]常尝偿[3]嗓赏晌偿[5]丧上尚
z[3]瓤壤攘嚷酿[5]让

#aɤ
p[1]包胞雹[3]褒保宝堡饱[5]报抱暴范豹爆鲍刨曝
