#调值	[1]35 [2]21 [3]55 [5B]24 [7A]2 [7B]3 [7C]5
#ɿ	
ɬ[1]思须丝鬚私师狮[2]四事序[3]死	
#i	
p[1]蓖篦[2]蔽弊币毙闭被{～子}臂被{～迫}避秘泌痹泌鼻笔毕必弼逼碧壁璧[3]比[5B]备	
pʰ[1]批胚坯披丕[2]皮疲脾琵枇鄙匹僻辟劈譬庇屁[3]彼俾	
m[1]□{表示否定义}[2]迷谜弥靡眉楣媚寐密蜜觅□{又读，表示否定义}[3]米□{又读，表示否定义}	
t[1]低[2]的{目～}滴嫡笛敌狄弟帝涕第隶地[3]底抵啲	
tʰ[1]梯[2]堤题提蹄啼踢剔替剃递[3]体	
n[2]泥谊尼疑拟凝逆溺腻宜{不～}[3]你	
ɬ[1]需西犀[2]息熄媳习绪絮细婿戍悉膝戌惜昔释锡析蟀术述[3]洗[5B]自	
l[2]璃犁黎离篱梨履厘狸立笠粒栗力历虑滤例厉励丽荔利痢吏律率{效～}[3]吕旅礼李里理鲤	
ʧ[1]知蜘支{一～}枝肢栀脂之芝资姿咨[2]苎祭际滞製制济智致稚至痔寺置治志誌痣侄支{～流}矢缉集辑袭蛰执疾秩质即直值织职殖植积脊籍藉席夕炙绩寂祀[3]纸旨指止趾址雌紫只{～有}	
ʧʰ[1]趋妻[2]池徙迟持漆蚀迹七赤斥尺戚砌似伺饲瓷糍滋慈磁辞词祠吃食[3]耻齿始杵此[5B]次	
ʃ[1]施尸诗斯厮撕司[2]匙时实失室殊识式饰适石是世势誓逝氏豉示视嗜柿试拾士仕肆市湿[3]屎使史	
k[1]鸡饥肌基机讥[2]急级给{～予}吸吉极戟击激及瞿计继技妓寄巳记忌既季据锯菊{又读}[3]己纪杞几{～乎，茶～，几～}举	
kʰ[1]驱[2]奇骑岐其棋期旗掘乞契企器气汽去{专用于“～风湿”}[3]启起岂	
h[1]墟{又读}虚嘘溪牺伊欺熙希稀尹[2]移夷姨遗系{～鞋带，中文～}繫戏弃[3]许喜	
Ø[1]於淤吁迂宇医衣依于[2]弛宜{便～}冀饴驶异沂汁乙逸益亦译液腋疫役一日艺仪义议易毅忆亿驰[3]椅蚁以已[5B]意	
#u	
p[2]部簿布怖步阜不埠卜[3]补辅	
pʰ[1]铺{床～}[2]铺{店～}脯朴扑仆[3]蒲谱普浦捕甫	
m[2]木目穆牧暮慕墓务雾幕募[3]母拇	
