tsei	6	11	袖絕
sei	4	22	小雪
dzei	2a	13	隨
tshei	4	22	取
mei	2a	13	煤
lei	6	11	料力六綠
pei	5	33	杯碑
fei	5	33	飛
vei	2b	12	危
tei	5	33	對釣
dei	2a	13	錘
tsei	4	22	嘴酒塞
sei	5	33	碎歲笑
mei	5	33	妹
lei	2a	13	雷
pei	1	35	貝
fei	1	35	開灰肺費兄
vei	2a	13	回會肥味圍
tei	1	35	豬
tsei	5	33	醉
sei	1	35	簫修
lei	1	35	類
vei	5	33	愛
tsei	1	35	焦
vei	1	35	衛位胃
pɤu	4	22	寶飽撥剝
bɤu	6	11	薄縛
phɤu	5	33	破
fɤu	4	22	火闊
tɤu	1	35	多刀
dɤu	2b	12	圖頭
thɤu	4	22	討
tsɤu	2a	13	卒粥足
sɤu	2a	13	宿叔贖屬
dzɤu	2b	12	綢
zɤu	2a	13	壽肉
tshɤu	4	22	草
kɤu	4	22	各角
khɤu	4	22	殼
hɤu	6	11	號盒學
ŋɤu	4	22	藕
lɤu	6	11	落
pɤu	1	35	包
bɤu	2a	13	婆浮
dɤu	2a	13	杜桃毒
thɤu	1	35	拖
tsɤu	4	22	左早找桌
sɤu	4	22	鎖嫂索
dzɤu	2a	13	族
tshɤu	5	33	初糙
kɤu	5	33	個過
khɤu	5	33	貨
hɤu	2a	13	河
lɤu	2b	12	奴
bɤu	4	22	抱
tsɤu	5	33	灶州
dzɤu	4	22	坐住
kɤu	1	35	歌高交夠
hɤu	4	22	禍好
lɤu	2a	13	鑼螺鹿
hɤu	5	33	孝
lɤu	4	22	老
tsɿ	6	11	字十
sɿ	6	11	事
dzɿ	2a	13	遲
zɿ	2b	12	時
tshɿ	2a	13	吃
tsɿ	2a	13	汁織
sɿ	2a	13	失石
zɿ	2a	13	池祠寺治柿時市
tsɿ	4	22	紫紙指子
sɿ	4	22	使
tsɿ	5	33	做知資
sɿ	5	33	師試
tsɿ	1	35	制刺
sɿ	1	35	世師試式
ŋ零	6	11	入日木
ŋ零	2a	13	人
ŋ零	1	35	五
tɕia	2a	13	甲
ɕia	6	11	射
dʑia	6	11	石
tɕhia	4	22	拆尺
nia	1	35	黏
Ǿia	6	11	夜
tɕia	4	22	假摘
ɕia	1	35	沙杉
dʑia	2a	13	茄茶蛇擇
Ǿia	2a	13	夏爺
Ǿia	4	22	野
pie	6	11	鼻便病
bie	2a	13	平
phie	5	33	騙片
tie	2a	13	跌
die	6	11	碟笛
thie	4	22	貼墊鐵
tɕie	2a	13	接
ɕie	6	11	現
dʑie	2a	13	謝纏
tɕhie	2a	13	傑
mie	6	11	廟面篾命
nie	6	11	藝二業熱
lie	2a	13	犁連列蓮
Ǿie	6	11	葉舌食
pie	2a	13	別
tie	4	22	點
die	2a	13	甜田
thie	5	33	剃聽
tɕie	4	22	姐折節截結
ɕie	2a	13	協
tɕhie	4	22	切
mie	2a	13	棉滅明名
nie	2a	13	泥孽年
lie	4	22	領
Ǿie	2a	13	爺鹽嫌延贏
pie	4	22	扁憋
tie	1	35	釘
die	4	22	弟
thie	1	35	梯添天廳
tɕie	5	33	占見
ɕie	4	22	洗歇
tɕhie	1	35	牽輕
nie	4	22	耳染
Ǿie	1	35	煙
pie	5	33	變
ɕie	5	33	扇
ɕie	1	35	聲
tio	1	35	張
dio	2a	13	長
tɕio	6	11	匠讓撞
ɕio	4	22	想
dʑio	2a	13	床嘗
tɕhio	2a	13	雀
lio	6	11	亮
Ǿio	6	11	樣
tɕio	4	22	壯
ɕio	5	33	像向
dʑio	4	22	上
tɕhio	4	22	搶廠
lio	4	22	兩
Ǿio	2a	13	弱約
tɕio	1	35	漿張裝章薑樁
ɕio	1	35	霜傷雙
tɕhio	5	33	唱
Ǿio	4	22	癢
tɕhio	1	35	瘡窗
Ǿio	1	35	秧
tɕiai	6	11	賺
ɕiai	4	22	虱色
dʑiai	2a	13	傳
tɕhiai	4	22	產
Ǿiai	2a	13	船
tɕiai	5	33	轉
ɕiai	1	35	山閂生
tɕiai	1	35	磚爭
piau	4	22	表
phiau	5	33	票
tɕiau	5	33	交焦
ɕiau	5	33	瘦
dʑiau	2a	13	轎愁
Ǿiau	2a	13	校搖
tɕiau	1	35	叫
ɕiau	1	35	孝
piæ	6	11	敗
biæ	2a	13	排牌
tiæ	6	11	袋
diæ	2a	13	台
thiæ	4	22	脫
tɕiæ	6	11	謝
ɕiæ	4	22	寫殺瞎錫
dʑiæ	6	11	席
tɕhiæ	2a	13	插
kiæ	5	33	怪
khiæ	5	33	塊快
miæ	2a	13	埋
niæ	2a	13	岩顏
liæ	2a	13	來
Ǿiæ	2a	13	鞋
piæ	4	22	八
tiæ	5	33	帶
thiæ	1	35	胎
tɕiæ	4	22	改解
ɕiæ	5	33	曬
dʑiæ	2a	13	斜財柴
tɕhiæ	5	33	菜
miæ	4	22	買賣
Ǿiæ	4	22	矮
piæ	5	33	拜
tɕiæ	5	33	借戒
tɕiæ	1	35	街
tɕiɤu	6	11	錯勺
ɕiɤu	4	22	削
dʑiɤu	2b	12	球
tɕhiɤu	2a	13	曲
liɤu	2b	12	流
