	注释：-白读，=文读
#a	
p	[1]巴疤爸芭[2]爬琶杷钯耙[3]把饱-[5]壩霸[6]罢
pʰ	[5]怕泡-{水～}
m	[1]妈□{抓}[2]蟆麻[3]马码妈{老～，老婆}[5]骂
t	[1]□{乾，焦}[2]茶[3]打
tʰ	[1]他[5]䖳{水母}
n	[6]□{～是，若是}
ts	[1]渣查[2]查{检～}[3]姐者纸早-{清～}[5]诈榨炸乍
tsʰ	[1]叉杈差{～别}[2]柴𢉪{肉～}[3]且炒
s	[1]沙{～漠}纱傻
θ	[3]写捨
k	[1]家傢加痴嘉胶佳铰{剪}[3]假贾{姓}[5]嫁稼架价教-{～书}[6]咬
kʰ	[1]骹{足，名词}[5]卡敲-
ŋ	[2]牙芽伢衙[3]雅[6]讶
x	[1]哈{～～笑}[2]虾霞瑕暇[5]孝-{戴～}[6]厦夏下=
j	[1]也[3]野
∅	[1]岔{训“桠”}鸦丫桠啊[2]阿{～弟}
#ɛ	
p	[2]牌排-{两～}
pʰ	[3]䫌{面～，原文作“髀”}[5]稗
m	[3]买[6]卖𣍐{“不会”合音}
t	[1]低[2]题蹄[3]底[5]帝[6]第弟{～兄}递
tʰ	[3]体[5]替涕
n	[2]尼泥{水～}[3]奶{阿～}[6]泥{抹，涂}
l	[2]犁黎厘釐[3]礼詈{咒骂}[6]励厉{严～}丽隶荔
ts	[1]脐={～带}斋[2]齐[3]挤紫[5]济笊纃{～布}[6]剂{做～}
tsʰ	[1]妻栖差{出～}
s	[5]□{～田}[6]□{多}
θ	[1]西犀[3]所洒洗徙玺{玉～}[5]细婿
k	[1]街[3]解{～起}[5]疥解{起～，押送}
kʰ	[5]快-
ŋ	[2]倪
x	[6]懈蟹
∅	[2]鞋[3]矮[5]睨{看，阅}[6]解-{会、能够}
#e	
p	[2]脾[5]秘祕痹泌[6]币毙弊婢篦被={～动}
pʰ	[2]疲皮={刁～}肥={合～}[5]鼻{～头}譬屁={～话}
m	[2]维惟遗唯迷㳽弥眉楣微薇[6]味未={～来}媚谜寐
t	[2]迟[5]置致智戴{～帽}[6]地治稚痔雉{～鸡}
n	[2]鳀堤提持[5]饵弭[6]贰腻二
l	[2]梨狸来-{正～}[5]利{胜～}[6]利{刀～}吏厉{～害}
ts	[5]志誌[6]字
tsʰ	[5]饲-{～猪}[6]市寺恃视示
s	[2]时[5]试[6]是氏
θ	[2]糍[5]四-{十～}肆-{拾～}
k	[2]奇岐祈鳍蓍其期旗棋沂[5]记冀[6]技妓忌
kʰ	[2]骑[5]气汽器弃[6]柿
ŋ	[2]宜仪疑[6]耳-{～聋}
j	[6]也
∅	[2]夷姨饴怡贻[5]瞖意忆亿[6]易异肄
#œ	
t	[6]苎
l	[2]驴耢{爬～}
tsʰ	[1]初搓[3]础楚
s	[1]梳蔬疏{稀}[3]黍[5]疏{注～}
#ɔ	
p	[1]褒[2]婆[3]保堡宝[5]报暴{起～}[6]抱暴{残～}爆
pʰ	[1]波菠坡玻[2]袍[3]颇
m	[1]□{风～}[2]毛[3]母{雌性}拇[5]□{敲击}[6]冒帽磨{米～}礳
t	[1]刀多[2]驼舵驮逃陶淘掏涛[3]倒岛捣[5]到[6]惰导道稻盗
tʰ	[1]叨滔韬[2]桃[3]讨[5]套
n	[2]挪[3]脑恼[6]糯
l	[1]啰[2]罗锣劳捞牢哰涝[3]老={年～}
ts	[2]曹遭嘈艚槽=[3]左枣主{公～}[5]佐做造[6]皂矬造座坐=
tsʰ	[1]臊[3]草{～字}[5]澡躁燥糙错操{～行}
s	[1]梭唆骚
θ	[3]锁琐嫂
k	[1]哥歌高膏羔糕[3]稿搞犒□{魔芋}[5]个告
kʰ	[1]柯炣{煮}[2]□{猛靠}[3]可考[5]靠烤
ŋ	[2]讹鹅=俄熬[3]我={自～}[6]饿傲鏊
x	[2]何荷{薄～}豪毫壕[3]好{～心}[5]好{爱～}[6]号{～码}贺荷{为～}浩
∅	[2]河阿{～胶}[3]袄[5]奥懊澳
#o	
p	[6]伏{孵}妇-{新～}腐-{柴～}
pʰ	[2]浮-{～起}
t	[2]徒屠途涂{糊～}图厨[5]妬[6]肚杜渡镀墿{畦}
tʰ	[2]塗{乾土}[5]兔吐
n	[2]奴[6]努怒拏
l	[2]炉卢庐芦胪[5]露[6]賂鹭路卤{鱼～}
ts	[2]瓷兹磁慈[6]自
tsʰ	[5]措次醋刺={讽～}
s	[5]数
θ	[2]辞词祠嗣饲{～料}[5]素塑诉赐肆{放～}[6]士仕已祀事俟似侍
k	[2]糊[5]固雇顾[6]舅-{阿～}旧-{新～}
kʰ	[5]库裤[6]臼-{石～}
ŋ	[2]吴蜈吾梧牛-{水～}
x	[2]呼胡湖糊{～涂}壶乎符芙扶[5]戽副付赋赴讣富={～裕}[6]户沪互护埠阜辅驸负妇={～女}腐={～烂}
w	[2]诬巫毋无
∅	[5]坞恶{可～}[6]有-{～毛}
#i	
p	[1]碑卑俾[2]枇琵[3]彼比[5]蔽闭臂庇辔[6]敝避
pʰ	[1]批披非砒悲蓖[2]肥={合～}[3]匪榧痞鄙丕[5]翡
m	[3]美米
t	[1]知蜘[2]池[3]抵
tʰ	[1]撕[2]啼[3]耻[5]剃屉
n	[3]尔你
l	[2]离篱琍[3]李里理鲤浬[6]厉{～害}例
ts	[1]支芝脂芝[3]止紫只姊指旨址趾[5]祭际穄制炙
tsʰ	[1]雌尸屍痴嗤[3]豕矢始齿={生～}侈[5]刺-{～下}
s	[1]世势[6]誓逝
θ	[1]施些司丝[2]匙[3]死-[6]豉
k	[1]鸡圭闺窥枝肢饥讥机基幾{～乎}肌规[3]纪己杞麂几{茶～}[5]继季桂既
kʰ	[1]稽欺㩻{斜}[3]启起岂[5]契企
ŋ	[3]耳{重～，人名}拟[6]义艺议毅
x	[1]牺嬉嘻熙希稀妃畦飞={～机}[2]奚兮携[3]喜蟢[5]戏废费[6]吠=惠慧系係嗜
∅	[1]伊咿衣依医[2]儿移而[3]以已
#u	
p	[2]蒲菩[3]补脯捕甫斧[5]布怖佈[6]步部簿
pʰ	[1]铺[2]抪{～开}[3]谱普殕{生～，发霉}浦
m	[1]摸{～鱼}[2]模[3]母={父～}姆姥[5]墓[6]暮慕募戊
t	[1]都[3]朵堵拄[6]□{路}墿{路}
tʰ	[3]妥土{～气}
l	[3]鲁櫓虏滷
ts	[1]租朱珠硃蛆兹滋资咨姿[3]祖组阻子={种～}梓主[5]铸註注
tsʰ	[1]粗[3]此
s	[6]恃
θ	[1]苏酥斯思廝师={教～}[3]死={生～攸关}使={假～}史驶={驾～}
k	[1]过锅戈姑孤枯菇辜[3]古估牯股鼓贾{商～}果裹[5]过句
kʰ	[1]科箍窠[3]苦[5]课
ŋ	[3]午[6]卧误悟
x	[1]夫肤靴=敷俘麸=[2]禾和[3]虎府腑付釜[5]货[6]祸雨-
j	[1]妖邀么吆要{～求}[2]摇窑谣[3]有={～利}友酉诱莠[5]要{必～}[6]耀鹞
w	[3]武舞侮鹉[6]芋
∅	[1]乌污巫诬窝
#y	
t	[1]猪诛蛛株[3]褚
n	[3]女汝
l	[3]吕旅履
ts	[1]书诸[3]煮
tsʰ	[1]趋雏[3]处{～分}鼠取杵
θ	[1]舒={～服}须需输鬚{胡～}[3]署暑黍={禾～}
k	[1]居车{棋语}拘驹俱[2]茄[3]举矩
kʰ	[1]区枢躯驱
ŋ	[3]语
x	[1]虚嘘墟
x	[3]许浒毁
j	[3]与
∅	[1]盂吁竽[2]於于迂[3]倭淤乳禹羽委馁雨={谷～}
#ai	
p	[3]跛摆{两～}[5]拜[6]败
pʰ	[2]排={～除}[5]派
m	[2]埋[6]迈
t	[1]呆獃[2]台□{埋}埋[3]□{短}[5]带戴碓[6]待怠待代大={伟～}
tʰ	[1]胎苔{舌～}抬筛梯颱{～风}[2]治{杀宰}[3]腿[5]态太泰
n	[3]乃[6]耐奈
l	[2]来={将～}雷-{～公}[3]□{小篓}[6]赖癞
ts	[1]灾栽[2]才材财裁豺脐-{腹～}[3]宰滓载{年～}纸[5]再载{～重}债[6]在寨
tsʰ	[1]猜钗差{出～}[3]采彩睬採[5]菜蔡
s	[1]腮={～腺炎}鳃=狮筛{～选}蓑-{棕～}师-{～傅}[3]使{～用}驶{～船}[5]晒
θ	[3]屎
k	[1]该皆阶稭赅胲{禽类食囊}□{禽类食囊}[3]改[5]盖丐介芥界尬届戒
kʰ	[1]开={～始}[3]楷揩[5]慨概概槩{量米用具}
ŋ	[2]呆{～板}涯捱崖[5]艾{方兴未～}[6]碍
x	[1]嗨[2]孩谐骸[3]海[6]害亥骇械懈
∅	[1]埃挨[3]倚蔼蜲{小蟹}[6]爱={热～}
#ɔi	
t	[1]堆[5]对□{块，量词}兑[6]袋代-{两～人}
tʰ	[1]推□{小山包，小丘}[5]退褪
n	[6]内
l	[2]螺脶瘰雷={～峰塔}
ts	[5]最晬{周岁}[6]罪
tsʰ	[1]催崔摧[5]碎
s	[1]衰□{瘦}
θ	[5]赛帅[6]坐-{～下}
#oi	
