#参考资料 《商南蛮子话同音字汇》
#调值 [1]31 [2]25 [3]44 [5]212 [6]22

#ɿ
ts [1]资撕 [3]紫姊
tsʰ [1]□{增添}瓷{呆板} [2]雌瓷{～器}糍 [3]跐此 [5]庛次 [6]自字士{象棋}
s [1]私师厕{茅～}撕 [3]死使 [5]四 [6]事柿

#ʅ
tʂ [1]支脂之 [3]纸止 [5]制致 [6]志秩
tʂʰ [1]痴 [2]池 [3]始齿 [5]尺吃 [6]侄直秩
ʂ [1]诗 [2]时 [3]屎 [5]逝湿失 [6]石十食世
ʐ [5]日

#i
p [1]逼屄 [3]比 [5]蔽币滗{汤～出去}笔 [6]陛毙
pʰ [1]披批 [2]皮 [3]避僻 [5]庇 [6]鼻屁
m [1]眯 [2]迷 [3]米 [5]秘 [6]谜{～语}
t [1]低 [2]涤 [3]底 [5]滴
tʰ [1]梯 [2]蹄 [3]体 [5]惕 [6]递地
l [1]捋{～猪草} [2]离梨 [3]里理吕 [5]力隶立 [6]利励
tɕ [1]机鸡 [3]挤己 [5]急积 [6]寄计
tɕʰ [1]妻蛆欺 [2]齐脐 [3]企起 [5]七漆缉{～鞋口} [6]砌弃去{来～}
ȵ [2]泥 [3]妮 [6]腻蚁
ɕ [1]西稀 [2]徐 [3]洗喜 [5]吸 [6]戏细
∅ [1]衣医 [2]疫 [3]椅尾 [5]一 [6]艺揖易{交～}

#u
p [3]补 [5]不 [6]布怖
pʰ [1]潽{溢，水～了}扑 [2]葡仆脯菩匍 [3]普 [6]部{～队}步铺{店～}菢
m [2]模摹 [3]亩牡 [5]木 [6]幕
f [1]夫麸 [2]扶 [3]斧腹 [5]袱福 [6]伏父
k [1]孤姑箍 [3]古鼓 [5]骨谷 [6]故顾
kʰ [1]枯 [2]葫{～芦} [3]苦 [5]窟 [6]库
x [1]呼 [2]胡壶 [3]虎 [6]互户核{桃～}
∅ [1]巫 [2]无 [3]舞 [5]屋 [6]误

#ʯ
tʂ [1]朱车{～马炮}猪 [3]主举 [5]句菊 [6]剧巨
tʂʰ [1]区鼠 [2]厨 [3]褚 [5]趣处{～所}麴 [6]住去{～年}
ɳ [2]鱼{又} [3]女
ʂ [1]书虚 [2]徐 [3]暑许 [5]戍蓄{储～}畜{～牧} [6]树
∅ [1]输{～赢} [2]吕如鱼 [3]雨语 [5]入 [6]遇芋狱

#a
p [1]巴爸 [2]□{男性生殖器} [3]把 [5]八 [6]坝{大～}霸
pʰ [1]趴{～在床上} [2]爬坝{河～} [5]帕 [6]怕
m [1]妈蟆{蛤～} [2]麻八{猪～戒} [3]马 [5]抹 [6]骂
f [5]发 [6]乏罚
t [5]搭褡 [3]打 [6]大
tʰ [1]他 [5]蹋沓 [6]达踏{踩住}
n [2]拿 [3]哪 [5]纳哪{～吒}
l [1]拉邋 [5]辣腊瘌{～痢光子:秃头}
ts [1]咂 [3]咋 [5]砸杂
tsʰ [5]擦嚓 [6]□{逞能:能～啦}
s [1]仨 [3]厦{～子}洒 [5]萨
tʂ [1]楂{山～}蚱{蚂～} [3]闸铡{动词} [5]札铡{～刀}扎 [6]炸榨
tʂʰ [1]差{～错} [2]茶茬 [3]衩叉{腿～开} [5]插诧 [6]岔
ʂ [1]沙 [3]傻 [5]啥煞{～费苦心}杀 [6]刹
k [1]家稼 [3]嘎 [5]夹挟{～在中间}呷{鸭子叫声}胳{～膊} [6]嫁{～女}
kʰ [2]蝦{～蟆}蛤跨{白读，迈进} [3]卡咯{～血} [5]掐 [6]咔{吃}
ŋ [1]桠丫 [2]牙{～齿}芽伢 [3]哑 [5]鸭押压 [6]轧
x [1]哈 [2]辖 [3]□{坏} [5]瞎 [6]下吓

#ia
p [1]□{贴}
pʰ [1]谝{又} [3]扁
t [6]嗲{娇态，这伢～得很}
l [3]俩
tɕ [1]家 [3]假{～期} [5]夹 [6]架嫁
tɕʰ [2]跨{又，迈进} [3]卡 [5]掐拤
ɕ [2]霞 [5]瞎虾 [6]吓下{上～}
∅ [1]鸦 [2]牙 [3]哑 [5]压

#ua
k [1]瓜 [3]寡剐 [5]刮 [6]挂褂
kʰ [1]夸 [3]垮胯剐{～洋芋} [5]挎
x [1]花 [2]华猾 [6]化话
∅ [1]蛙洼 [2]娃 [3]瓦搲{动词，舀} [5]袜挖 [6]凹

#ʯa
tʂ [1]抓髽 [3]爪{～子}
tʂʰ [3]欻{～雨(淋雨)}
ʂ [3]耍 [5]刷 [2]挼{～面}

#æ
p [1]掰擘 [5]百北
pʰ [5]拍 [6]白
m [5]墨麦
t [5]得德
tʰ [6]特
n [5]那
l [5]勒
ts [5]窄责摘
tsʰ [5]测册 [6]贼泽
s [5]色啬
tʂ [5]遮浙
tʂʰ [1]车 [3]扯 [5]撤彻
ʂ [1]佘 [2]蛇 [3]舍{宿～} [6]赦社

#iæ
p [1]别{～扭}憋 [5]鳖
pʰ [3]□{折断，～柴} [5]撇 [6]别
m [1]咩 [3]□{折断，～断} [5]灭篾
t [1]爹 [2]咥揲
tʰ [5]铁贴 [6]蝶
l [5]列猎劣 [6]咧
tɕ [2]竭捷 [3]姐 [5]结接 [6]借
tɕʰ [2]茄 [3]且{暂～} [5]窃怯 [6]劫杰截绝
ȵ [5]捏业聂
ɕ [2]邪斜 [3]写 [5]歇血雪 [6]泻薛穴谢
k [3]给 [5]革隔
kʰ [2]佢锯{动词，～木头}蛤{～蟆(青蛙)} [5]客刻
ŋ [5]额扼
x [5]吓{～人}黑赫 [6]核
∅ [2]爷 [3]野 [5]叶页噎 [6]夜

#uæ
k [5]国
x [6]活或
∅ [5]物

#ʯæ
tʂ [1]拙 [5]蕨绝噘{骂}决
tʂʰ [2]瘸 [5]缺
ʂ [1]靴 [5]说{～话}
∅ [3]惹 [5]月热越

#ɚ
∅ [2]儿 [3]耳 [6]二

#o
p [1]波菠 [2]勃 [3]跛簸{～麦子} [5]播拨 [6]簸{～箕}
pʰ [1]坡 [2]婆 [3]剖 [5]泼 [6]破薄
m [2]馍 [3]母{～舅} [5]摸沫 [6]穆{～桂英}
f [2]佛
t [1]多 [2]夺 [3]躲 [5]跺 [6]剁
tʰ [1]拖托 [2]驮 [3]椭 [5]脱 [6]惰舵
n [2]挪 [6]诺糯
l [1]啰 [2]罗脶 [3]裸 [5]乐落 [6]摞
ts [3]撮 [6]作
tsʰ [1]搓 [6]错座
s [1]蓑梭 [3]所锁缲 [5]索缩
tʂ [5]桌捉 [6]酌
tʂʰ [1]绰 [3]戳 [6]镯辍
ʂ [6]芍勺
ʐ [5]若弱
k [1]哥锅 [3]果搁 [5]角{牛～}鸽割 [6]过各
kʰ [1]科柯 [3]可 [5]壳磕 [6]课
ŋ [2]蛾 [3]我 [5]恶 [6]饿
x [1]豁 [2]和禾 [3]火 [5]喝 [6]鹤盒贺祸

#io
l [5]略掠
tɕ [5]脚角 [6]嚼{又}
tɕʰ [5]□{欺骗，～人}雀 [6]角嚼{～牙叉骨}
ȵ [5]疟
ɕ [5]削{～苹果} [6]学
∅ [5]药乐{～器}

#uo
∅ [1]屙踒 [5]握□{沤，～肥} [6]卧

#ai
p [3]摆 [5]拜
pʰ [2]牌 [5]派 [6]败
m [2]埋 [3]买 [6]卖
t [1]呆 [3]歹 [5]戴
tʰ [1]胎态 [2]台 [3]奤 [5]太泰 [6]袋代
n [1]奶 [6]奈耐
l [1]□{脏，～稀} [2]来 [6]赖
ts [1]灾栽 [3]宰 [5]再载
tsʰ [1]猜 [2]才 [3]采 [5]菜蔡 [6]在
s [1]腮 [2]□{理睬，懒～你} [5]赛
tʂ [1]斋 [5]债
tʂʰ [1]差{～使}钗 [2]柴 [6]寨
ʂ [1]筛 [5]晒
k [1]该街 [3]解{～开}改 [5]盖溉介界丐戒械疥
kʰ [1]开 [2]揩 [3]凯楷 [5]慨
ŋ [1]哀埃挨 [2]呆{～板}挨{～打}岩 [3]矮蔼 [5]爱 [6]碍
x [1]亥 [2]孩鞋 [3]海蟹 [6]害

#iai
tɕ [1]阶皆 [3]解{～放军} [5]界芥疥戒
ɕ [2]谐

#uai
k [1]乖 [3]柺 [5]怪
kʰ [5]块会筷
x [2]怀槐 [6]坏
∅ [1]歪 [3]踒 [6]外

#ʯai
tʂ [1]□{蹲} [3]跩{有钱} [5]拽
tʂʰ [1]揣 [3]踹
ʂ [1]衰摔 [3]甩 [5]帅

#ei
p [1]碑 [3]背{动词，～东西} [5]笔贝
pʰ [1]坯披 [2]赔培 [3]呸 [5]沛 [6]被{名词，棉～}背倍
m [2]枚媒 [3]美每 [6]妹
f [1]飞非 [2]肥 [3]匪 [5]肺费
t [1]堆 [3]对{碰，～车} [5]对队
tʰ [1]推 [3]腿 [5]退褪
n [1]内 [3]馁
l [2]雷 [3]垒 [6]泪累
ts [3]嘴 [5]醉
tsʰ [1]摧 [5]脆 [6]罪
s [1]虽 [2]随谁 [5]碎岁

#uei
k [1]归规 [3]诡鬼 [5]贵桂
kʰ [1]亏盔 [2]葵逵 [5]愧跪 [6]柜
x [1]灰挥 [2]回 [3]毁悔 [5]溃{～脓} [6]慧
∅ [1]煨 [2]围 [3]伟伪 [5]喂 [6]卫外

#ʯei
tʂ [1]追 [5]缀
tʂʰ [1]吹炊 [2]垂
ʂ [3]水 [5]税睡瑞{祥～}
ʐ [5]锐瑞{～雪}

#ɑu
p [1]包 [3]饱宝 [5]报豹
pʰ [1]抛 [2]刨袍 [3]跑 [5]炮泡 [6]抱暴{～雨}
m [1]猫 [2]毛矛 [3]卯牡 [5]冒{～出来} [6]冒{没有}帽貌
t [1]刀 [3]导捣 [5]到倒
tʰ [1]滔 [2]桃逃 [3]讨导{领～} [5]套 [6]道盗稻
n [1]孬 [2]挠 [3]脑 [6]闹痨{～老鼠}
l [1]捞 [2]劳牢 [3]老 [5]酪痨
ts [1]遭 [3]早 [5]灶 [6]造
tsʰ [1]操 [2]曹巢 [3]草騲 [5]躁燥 [6]造皂
s [1]骚捎 [3]嫂 [5]潲哨
tʂ [1]召 [3]找 [5]罩照笊
tʂʰ [1]超抄 [2]潮 [3]炒吵 [6]赵
ʂ [1]烧 [2]韶 [3]少 [6]绍
ʐ [2]饶 [3]扰
k [1]高 [3]搞搅 [5]告窖
kʰ [1]□{日弄，～置人}尻{动词，性行为} [3]烤拷 [5]靠犒铐
ŋ [1]熬{～煎} [2]爊{一锅～} [3]咬袄 [5]傲懊
x [1]蒿薅 [2]嚎 [3]好 [5]浩皓 [6]号

#iɑu
p [1]标彪膘 [3]表
pʰ [1]飘 [2]瓢 [5]票
m [1]瞟{斜视} [2]苗矛{～子} [3]秒 [5]妙 [6]庙
t [1]貂 [3]屌 [5]钓掉吊
tʰ [1]挑 [2]条 [3]斢{～换}掉{～头} [5]跳
l [2]疗辽 [3]燎 [6]撂尥{～蹄}
tɕ [1]交胶 [3]绞饺 [5]校{～对}叫假教{～师}觉{睡～}窖{地～}酵{～子}
tɕʰ [1]悄敲□{骟动物，～猪} [2]桥跷{踩高～} [3]巧 [5]壳{地～}俏撬 [6]轿
ȵ [2]尧 [3]鸟袅嬲{男性生殖器} [6]尿
ɕ [1]肖消 [3]小晓 [5]笑孝 [6]校
∅ [1]腰要吆{～喝}邀 [2]摇谣 [3]舀杳 [5]要耀

#ou
m [2]谋 [3]某
t [1]都兜 [3]笃斗 [5]痘{～～}斗{～争}斣{拼凑，～隼} [6]妒
tʰ [1]偷秃突 [2]头投 [3]吐土 [5]透抖{～开}兔唾{～沫} [6]杜
n [2]奴 [3]努
l [1]搂{～钱}辘 [2]楼庐 [3]搂{～抱}瘘 [5]六鹿 [6]路漏
ts [1]邹租 [2]足 [3]走祖 [5]奏揍做{～事}卒{象棋}
tsʰ [1]搊{托住}初粗 [3]瞅楚 [5]凑醋 [6]助
s [1]苏搜 [3]数{动词}擞叟 [5]瘦
tʂ [1]州舟 [3]肘掫 [5]纣咒昼
tʂʰ [1]抽 [2]愁锄 [3]丑 [5]臭触畜{～生} [6]轴妯逐
ʂ [1]收 [3]手首 [5]叔 [6]寿售受
ʐ [2]柔揉蹂 [3]辱 [5]肉褥
k [1]抅沟尻{～子} [3]狗垢{～痂} [5]购够
kʰ [1]抠眍 [3]口 [5]扣寇
ŋ [1]欧 [3]藕偶 [5]怄沤
x [1]瘊 [2]猴 [3]吼 [6]后厚候

#iou
