	注释：-白读，=文读
#a	
p	[1]巴疤芭[3]把[5]霸坝罢
pʰ	[2]爬琶耙杷□{下～：下巴}[5]怕帕
m	[2]麻蟆嫲[3]妈[5]马码[6]骂
f	[1]花[2]华桦铧[5]化[6]画
v	[1]蛙挖洼娃[6]话
t	[3]打
tʰ	[1]他
n	[2]拿□{头～：头}[3]哪[5]乸
l	[1]旯[2]逻{探访}[5]□{缝隙}罅{缝隙}
ts	[1]渣楂抓遮[3]者[5]蔗鹧炸诈榨乍
tsʰ	[1]车差{～错}叉奢赊[2]茶搽查[3]扯[5]岔杈
s	[1]沙纱莎痧[2]蛇佘[3]洒耍捨{～得}[5]社□{阿～：父亲}舍{宿～}[6]射麝
k	[1]家加枷嘉佳瓜[3]寡剐假贾姓[5]嫁稼价架驾
kʰ	[1]夸垮跨旮[2]□{～蟧：蜘蛛}[3]桍{树～：树枝}
ŋ	[2]牙芽伢衙[3]瓦伢[5]雅[6]□{蹭擦}
h	[1]虾[2]霞暇遐瑕瘕{发～：哮喘}□{胳肢}[5]下{底～}[6]下夏厦
∅	[1]阿亚鸦丫□{打～tsʰi55：打喷嚏}[3]哑
#ɔ	
p	[1]波菠玻[5]播
pʰ	[1]坡[2]婆[3]颇[5]破
m	[1]摸=摩么{语气词}[2]磨{～刀}魔[3]摸[6]磨{石～}
f	[3]火伙[5]货和{～平}[6]祸
v	[1]窝蜗倭□{～栏：晒粮食用的大簸箕}喔{语气词}[2]禾
t	[1]多[3]朵=躲
tʰ	[1]拖[2]驮驼鸵舵坨砣佗[3]妥椭[6]惰
n	[2]挪挼[6]懦糯
l	[2]罗萝箩锣逻螺[3]裸[5]攞{～食：乞讨}
ts	[3]左佐阻
tsʰ	[1]初磋[2]锄[3]楚础[5]坐座锉错措[6]助
s	[1]梳疏蔬蓑梭唆[2]傻[3]所锁
k	[1]哥歌□{～毛绝代：断子绝孙（詈语）}戈[3]果裹[5]过个={～人}
kʰ	[1]科棵颗[3]可[5]课
ŋ	[2]鹅俄蛾讹[5]我=[6]饿卧
h	[2]河何荷[6]贺
∅	[1]屙□{倒塌}
#i	
p	[1]悲碑卑蓖□{kəm33～：臭虫}[3]比髀彼[5]痹婢背{～东西}秘泌杮{树～：用刀斧砍削下来的碎木片}
pʰ	[1]披胚丕[2]皮疲脾琵枇啤{～酒}[3]鄙{～视}[5]屁被{棉～}[6]鼻被{～迫}备□{～水：避雨}
m	[1]眯微{水～：小雨}[2]微眉媚□{～身：擦澡}[3]□{蒜～：蒜瓣}[5]尾美[6]未味沕魅
f	[1]飞妃非菲斐[2]肥[3]匪翡
t	[1]知[5]蒂
tʰ	[6]地
n	[2]尼妮[5]你[6]腻
l	[2]离篱璃梨狸厘[3]李裏{～面}[5]理里{公～}鲤娌{妯～}[6]利脷痢厉□{火焰蔓延}
ts	[1]资姿咨滋兹之芝脂蜘支枝肢栀[3]姊梓子籽止趾址旨指纸[5]至智置志痣□{鸡～：鸡舍}
tsʰ	[1]痴嗤稚雉[2]脐荠池驰迟匙{汤～}瓷慈磁词祠饲=辞持[3]此齿耻侈始矢[5]次刺翅似厕[6]自字牸寺痔巳饲-治
s	[1]司丝思私斯撕尸诗施[2]时匙{锁～}[3]死屎[5]四肆市嗜试逝嗣恃氏[6]是豉示祀视莳
k	[1]幾{～乎}几{茶～}机讥饥肌基[3]幾{～个}己杞纪髻[5]记既寄冀
kʰ	[2]其棋旗期蜞□{～tsʰat3：蟑螂}祈祁鳍奇骑岐歧渠{第三人称单数}[3]企[5]徛{站}技妓[6]忌
ŋ	[2]儿宜谊而疑仪[3]耳饵[5]议你-尔[6]二义
h	[1]希稀牺嬉熙欺兮[3]喜起岂[5]气汽戏器弃
∅	[1]衣依医伊[3]椅倚[5]意
j	[2]移夷姨怡颐[5]以已[6]易异肄
#u	
p	[3]补斧[5]布怖妇-{新～：儿媳}
pʰ	[2]扶-脯{胸～}蒲葡菩瓠[3]普谱甫捕浦辅脯{菜～}[5]铺{当～}[6]步部簿孵{原文作“孚”}
m	[2]模{～范}摹无巫诬[3]舞[5]母拇侮武鹉牡[6]务雾墓慕募戊
t	[1]都嘟[2]堵赌睹肚□{～tsit5：蟋蟀}[5]妒□{毛～：毛毛虫}
tʰ	[2]图涂途屠徒[3]土[5]兔吐[6]度渡镀杜
n	[2]奴[3]努[6]怒
l	[1]□{铁锈}芦{～箕：蕨草}[2]卢炉芦庐驴鸬[5]卤鲁橹虏掳露[6]路赂鹭
ts	[1]租[3]祖[5]做
tsʰ	[1]粗[5]醋
s	[1]苏酥鬚{胡～}[5]素数诉漱
k	[1]姑孤[3]古估牯股鼓□{用刀刺入}
kʰ	[1]枯箍𣗺{油茶或花生榨油后剩下的饼状渣滓}[3]苦=[6]□{拄（拐杖）}
ŋ	[2]吴[6]误悟恶{可～}
