#符號說明：-白									
調值	陰平44	陽平22	上聲31	去聲52	陰入2	陽入5			
#a									
p	[44]巴吧爸芭疤	[22]㞎{屙~：很差勁}背	[31]把靶	[52]壩霸					
pʰ	[44]扒{~飯：把飯撥拉進口}	[22]爬耙杷琶扒{~手}	[31]	[52]怕帕{面~：毛巾}罷					
m	[44]馬媽碼	[22]麻痳嫲{狗~：母狗}蟆嗎	[31]馬	[52]罵					
f	[44]花	[22]華嘩樺鏵划{~算}	[31]	[52]化畫話{講~}					
v	[44]哇娃窪蛙挖	[22]哇{~~滾：吱吱哇哇亂叫喚}	[31]	[52]話{~人知：告訴別人知道}					
t	[44]	[22]	[31]打	[52]					
tʰ	[44]他她它	[22]		[52]					
n	[44]拿	[22]挪娜	[31]那	[52]					
l	[44]拉啦	[22]	[31]	[52]					
ts	[44]遮渣喳	[22]	[31]者	[52]乍炸榨詐蔗					
tsʰ	[44]差叉汊扠杈車奢賒	[22]查茶搽	[31]扯	[52]岔					
s	[44]沙砂鯊紗莎痧裟社	[22]蛇佘	[31]灑捨{施~}耍	[52]舍{宿~}射赦麝					
k	[44]家傢加伽枷痂嘉佳	[22]	[31]賈假	[52]嫁稼價架駕					
kʰ	[44]	[22]卡	[31]	[52]					
ŋ	[44]	[22]牙芽伢	[31]瓦雅	[52]					
h	[44]下{~山}	[22]霞蝦暇瑕遐	[31]	[52]夏廈下{量詞}					
∅	[44]阿丫亞鴉	[22]	[31]啞	[52]					
#e									
p	[44]啤	[22]	[31]	[52]					
pʰ	[44]	[22]	[31]	[52]					
m	[44]呣{像牛羊的叫聲}姆拇	[22]	[31]	[52]					
f	[44]	[22]	[31]	[52]					
v	[44]	[22]	[31]	[52]穢					
t	[44]	[22]	[31]	[52]					
tʰ	[44]	[22]	[31]	[52]					
n	[44]	[22]	[31]	[52]					
l	[44]哩	[22]	[31]	[52]					
ts	[44]疥{細小、瘦小}	[22]	[31]這	[52]					
tsʰ	[44]	[22]齊	[31]	[52]滯					
s	[44]	[22]	[31]洗	[52]細婿					
k	[44]街雞	[22]	[31]	[52]					
kʰ	[44]	[22]	[31]	[52]					
ŋ	[44]	[22]	[31]	[52]					
h	[44]	[22]	[31]	[52]係{是}					
∅	[44]	[22]	[31]	[52]					
#ɿ									
ts	[44]之芝租組資咨姿知蜘支枝肢梔脂茲滋輜膣{女陰}	[22]	[31]紫旨指子祖止趾址梓紙	[52]志痣至致智制置					
tsʰ	[44]矢雉稚馳侈癡初粗蛆雛雌疵	[22]池遲瓷磁鋤慈匙詞祠辭持治{殺}	[31]此始恥齒措刺楚	[52]次醋賜翅寺痔治廁牸{雌性未生子的四腳家畜}助					
s	[44]蘇司屍絲思詩師施斯撕廝疏梳蔬酥蘇	[22]時鰣	[31]史使駛屎眵	[52]素嗉訴世勢誓逝豕是市柿侍氏豉似字士仕事俟示試視嗜巳祀					
#i									
p	[44]杯卑碑俾痹悲蓖	[22]	[31]比譬彼髀	[52]貝敝弊蔽斃毖秘泌沸幣閉輩痱箄背					
pʰ	[44]批胚披疲被脾	[22]皮培陪裴枇琵肥脾	[31]丕陛鄙	[52]倍配佩屁備鼻濞沛					
m	[44]美尾每	[22]迷謎眉媚微糜靡	[31]米咪	[52]味昧寐					
f	[44]非啡菲匪翡飛妃揮	[22]回茴	[31]	[52]會肺廢悔晦匯惠慧費					
v	[44]委威	[22]維惟唯帷違圍為{~人}遺	[31]韋偉煒緯諱葦尉慰蔚	[52]衛位胃渭謂蝟猬畏未為{因~}					
t	[44]知-	[22]	[31]氐砥抵胝	[52]帝締					
tʰ	[44]	[22]提題堤	[31]體	[52]弟遞剃第替屜					
n	[44]	[22]尼	[31]	[52]膩					
l	[44]里{公~}裏理鯉禮旅	[22]狸厘梨離璃籬	[31]李旅履侶	[52]吏利莉麗隸慮濾荔厲勵礪					
ts	[44]擠	[22]	[31]姊	[52]濟際					
tsʰ	[44]妻淒棲趨	[22]徐齊{~國}臍薺糍	[31]取娶	[52]趣聚					
s	[44]西篩須需犀	[22]	[31]死	[52]四肆					
k	[44]居車拘駒幾{~何}饑肌譏機基	[22]佢	[31]舉據己杞矩冀幾{~隻}	[52]句鋸記計既廄繼寄髻					
kʰ	[44]巨渠拒距區驅嶇企歧欺技妓徛{站立}	[22]奇騎琦祈鰭其琪棋期旗豈	[31]忌啟懼瞿	[52]去具俱					
ŋ	[44]語	[22]儀禺愚隅宜你爾妳汝	[31]耳餌擬	[52]義議蟻藝遇寓貳二禦毅誼					
h	[44]虛墟噓希稀稽奚兮嬉嘻熙	[22]	[31]起許喜	[52]氣系器棄去					
∅	[44]衣於迂於淤與以醫矣予禹宇伊依	[22]如茹餘舁移夷姨而兒儒寅	[31]雨倚椅綺	[52]譽預籲俞喻榆逾愉愈怡飴裕刈肄易					
#o									
p	[44]波坡玻坡菠煲褒	[22]	[31]	[52]播					
pʰ	[44]	[22]婆	[31]頗	[52]破					
m	[44]摸	[22]魔摩麼嫫饃無磨	[31]	[52]磨					
f	[44]	[22]和夥	[31]火夥	[52]貨禍					
v	[44]窩蝸媧倭	[22]禾	[31]㖞{~人：叫人}	[52]					
t	[44]多哆	[22]	[31]朵剁躲島搗跺	[52]					
tʰ	[44]拖	[22]砣舵馱陀駝	[31]妥	[52]唾惰墮橢					
n	[44]鐾	[22]捼{磨}挪	[31]	[52]糯懦					
l	[44]啰	[22]羅籮鑼蘿邏騾螺	[31]	[52]摞					
ts	[44]	[22]	[31]左佐	[52]做					
tsʰ	[44]坐	[22]挫	[31]	[52]痤座銼搓					
s	[44]唆梭蓑嗦	[22]傻	[31]所鎖瑣嗩	[52]					
