声母	韵母	调类	音节(IPA)	字
p	a	阴平	pa˥˥	巴 笆 𢻷(替) 包(替) 芭 𢼌
p	a	阴上	pa˥˩	把(文) 飽(白)
p	a	阴去	pa˩˩	霸 豹 抈
p	a	阳平	pa˩˧	耙(文) 爬(文) 爸(替)
p	a	阳去	pa˧˧	罷
pʰ	a	阴平	pʰa˥˥	拋(白) 葩(替) 脬(替) 抛
pʰ	a	阴去	pʰa˩˩	怕
pʰ	a	阳平	pʰa˩˧	爬(文)
pʰ	a	阳去	pʰa˧˧	疱(替)
b	a	阴平	ba˥˥	貓(替)
b	a	阳平	ba˩˧	貓(白)
b	a	阳去	ba˧˧	密
t	a	阴平	ta˥˥	礁 焦 大(替)
t	a	阴去	ta˩˩	罩 踔(替) 噠
tʰ	a	阴去	tʰa˩˩	挓(替)
l	a	阴平	la˥˥	拉
l	a	阴上	la˥˩	喇
l	a	阴去	la˩˩	啦
l	a	阳平	la˩˧	蜊(替) 鯪(替) 蟧(替) 儖(替) 膋(替)
l	a	阳去	la˧˧	鬧(白) 撈(替) 蕗(替) 臘
ts	a	阴平	tsa˥˥	查 楂 昨(替) 髒(替)
ts	a	阴上	tsa˥˩	早
ts	a	阴去	tsa˩˩	炸 詐 榨
ts	a	阳去	tsa˧˧	閘
tsʰ	a	阴平	tsʰa˥˥	差(文)
tsʰ	a	阴上	tsʰa˥˩	吵(白) 炒(白)
tsʰ	a	阳平	tsʰa˩˧	查 柴 茶(文)
s	a	阴平	sa˥˥	沙(文) 紗(文) 捎(替) 搓(替)
k	a	阴平	ka˥˥	咖 嘉 家(文) 加(文)(替) 茄(文) 鉸(白) 膠 傀(替) □(替) 胛 咳
k	a	阴上	ka˥˩	賈 絞 假(文)
k	a	阴去	ka˩˩	駕 架(文) 價(文) 嫁(文) 教(白) 漖
k	a	阳去	ka˧˧	咬(白) 共(替)
kʰ	a	阴平	kʰa˥˥	骹 茭 奇 尻(替)
kʰ	a	阴上	kʰa˥˩	巧
kʰ	a	阴去	kʰa˩˩	搉(替)
g	a	阴去	ga˩˩	瓦
g	a	阳平	ga˩˧	牙(文) 芽
h	a	阴平	ha˥˥	呵(替) 呴
h	a	阴去	ha˩˩	孝(白)
h	a	阳平	ha˩˧	霞 蝦(文) 繯(替) 擐
h	a	阳去	ha˧˧	下(文) 夏(文) 廈(文)
	a	阴平	a˥˥	鴉 阿 骯(替)
	a	阴上	a˥˩	仔 啞(文) 猶
	a	阴去	a˩˩	啞 亞 矣 㑃(替)
	a	阳去	a˧˧	抑(替)
p	ai	阴平	pai˥˥	俳(替)
p	ai	阴上	pai˥˩	跛 擺
p	ai	阴去	pai˩˩	拜
p	ai	阳平	pai˩˧	排 牌
p	ai	阳去	pai˧˧	敗
pʰ	ai	阴上	pʰai˥˩	痞(替)
pʰ	ai	阴去	pʰai˩˩	派 沛
b	ai	阴平	bai˥˥	腓(替) 屄
b	ai	阴上	bai˥˩	䆀(替)
b	ai	阳平	bai˩˧	埋 眉(白)
t	ai	阴平	tai˥˥	獃 鯉(白) 秮
t	ai	阴上	tai˥˩	滓(替)
t	ai	阴去	tai˩˩	戴(文) 帶(文) 搭
t	ai	阳平	tai˩˧	台 臺 𧉟(替) 埋(白)
t	ai	阳去	tai˧˧	玳 袋(文) 代(文) 大(文) 舵(替) 𩻸(替) 事
tʰ	ai	阴平	tʰai˥˥	篩 颱 胎(文)
tʰ	ai	阴上	tʰai˥˩	癩
tʰ	ai	阴去	tʰai˩˩	太 態 泰 呔(替)
tʰ	ai	阳平	tʰai˩˧	刣(替)
tʰ	ai	阳去	tʰai˧˧	待 態
l	ai	阴上	lai˥˩	癩(替)
l	ai	阳平	lai˩˧	來 梨(白)
l	ai	阳去	lai˧˧	荔 內 利(白)
ts	ai	阴平	tsai˥˥	栽 災 齋 知(白) 崽(白)
ts	ai	阴上	tsai˥˩	早
ts	ai	阴去	tsai˩˩	再 載
ts	ai	阳平	tsai˩˧	才 材 豺 財 臍(白)
ts	ai	阳去	tsai˧˧	在 再(替) □(替)
tsʰ	ai	阴平	tsʰai˥˥	猜 差 釵(文)
tsʰ	ai	阴上	tsʰai˥˩	彩
tsʰ	ai	阴去	tsʰai˩˩	菜 蔡(文)
tsʰ	ai	阳平	tsʰai˩˧	裁 柴(文)
tsʰ	ai	阳去	tsʰai˧˧	在
s	ai	阴平	sai˥˥	犀 西(文) 鰓(文) 私(白) 師(白) 揌(替) □ 獅
s	ai	阴上	sai˥˩	使(白) 駛(白) 屎(白)
s	ai	阴去	sai˩˩	賽 婿(白)
s	ai	阳去	sai˧˧	姒(白) 似(白) 侍
k	ai	阴平	kai˥˥	皆 階 該 街(文)
k	ai	阴上	kai˥˩	改(文) 解(文) 骸(替)
k	ai	阴去	kai˩˩	戒 概 丐 蓋(文) 界(文) 芥(文)
kʰ	ai	阴平	kʰai˥˥	開(文)
kʰ	ai	阴上	kʰai˥˩	凱 楷 揩
kʰ	ai	阴去	kʰai˩˩	概 慨
g	ai	阳平	gai˩˧	涯 崖 呆
g	ai	阳去	gai˧˧	礙 艾(文)
h	ai	阴平	hai˥˥	奒(替)
h	ai	阴上	hai˥˩	海
h	ai	阳平	hai˩˧	諧 孩 鞋(文)
h	ai	阳去	hai˧˧	械 駭 害 亥 蟹(文)
	ai	阴平	ai˥˥	哀 挨(文)
	ai	阴上	ai˥˩	藹 矮(文)
	ai	阴去	ai˩˩	愛 隘 𤻅(文)
p	au	阴平	pau˥˥	包 胞 鮑 苞
p	au	阴上	pau˥˩	飽(文)
p	au	阳平	pau˩˧	包(替)
pʰ	au	阴平	pʰau˥˥	拋(文) □
pʰ	au	阴上	pʰau˥˩	跑
pʰ	au	阴去	pʰau˩˩	泡 砲 袍 炮
pʰ	au	阳去	pʰau˧˧	抱(文)
b	au	阴上	bau˥˩	卯
t	au	阴平	tau˥˥	兜
t	au	阴上	tau˥˩	斗
t	au	阴去	tau˩˩	罩(文) 晝(白) 鬥(白)
t	au	阳平	tau˩˧	投 骰
t	au	阳去	tau˧˧	豆(白) 脰(替) 渡(替)
tʰ	au	阴平	tʰau˥˥	偷(白)
tʰ	au	阴上	tʰau˥˩	㪗(替)
tʰ	au	阴去	tʰau˩˩	透
tʰ	au	阳平	tʰau˩˧	頭(白)
tʰ	au	阳去	tʰau˧˧	毒(替)
l	au	阴上	lau˥˩	扭(替) 佬(替) □(替)
l	au	阴去	lau˩˩	落
l	au	阳平	lau˩˧	樓 流(白) 劉(白) 留(白)
l	au	阳去	lau˧˧	露 漏 鬧(文) 老(白)
ts	au	阴平	tsau˥˥	糟 蹧
ts	au	阴上	tsau˥˩	走(白) 蚤
ts	au	阴去	tsau˩˩	灶
ts	au	阳去	tsau˧˧	找
tsʰ	au	阴平	tsʰau˥˥	抄 操
tsʰ	au	阴上	tsʰau˥˩	吵(文) 炒(文) 草(白)
tsʰ	au	阴去	tsʰau˩˩	臭
s	au	阴平	sau˥˥	㷮(替) 踃(替)
s	au	阴去	sau˩˩	嗽 掃(白)
k	au	阴平	kau˥˥	交 郊 溝 膠(文) 鉸(文) 鉤
k	au	阴上	kau˥˩	九(白) 狗(白) 狡(替) 垢(替)
k	au	阴去	kau˩˩	夠 較 教(文) 到(替)
k	au	阳平	kau˩˧	猴
k	au	阳去	kau˧˧	厚(白)
kʰ	au	阴平	kʰau˥˥	鬮 摳(替) 薅(替) 敲
kʰ	au	阴上	kʰau˥˩	口
kʰ	au	阴去	kʰau˩˩	銬 扣 哭
g	au	阳平	gau˩˧	𠢕(替)
h	au	阴平	hau˥˥	呺(替) 膮(替) 嚆(替)
h	au	阴上	hau˥˩	號(替)
h	au	阴去	hau˩˩	哮 孝(文) 酵(文)
h	au	阳去	hau˧˧	鱟 校 候 瓦
	au	阴平	au˥˥	甌 歐 𤏶(替)
	au	阴上	au˥˩	毆 拗(替)
	au	阴去	au˩˩	□
	au	阳平	au˩˧	喉(白)
	au	阳去	au˧˧	後(白) 后(白)
b	am	阳去	bam˧˧	𩛎(替)
t	am	阴平	tam˥˥	嘗 擔(文)
t	am	阴上	tam˥˩	膽(文) 點(替)
t	am	阴去	tam˩˩	擔(文)
t	am	阳平	tam˩˧	㴷(替)
t	am	阳去	tam˧˧	淡(文) 啖
tʰ	am	阴去	tʰam˩˩	探
tʰ	am	阳平	tʰam˩˧	痰 潭 檀(文) 壇(文) 錟
l	am	阴平	lam˥˥	罨(替)
l	am	阴上	lam˥˩	覽 攬 荏(替) 𨈜(替)
l	am	阴去	lam˩˩	湳(替)
l	am	阳平	lam˩˧	籃(文) 藍(文) 淋(白) 南 腩 男
l	am	阳去	lam˧˧	艦 濫
ts	am	阴平	tsam˥˥	噆(替) 針
ts	am	阴上	tsam˥˩	斬(文)
ts	am	阴去	tsam˩˩	蹔(替)
ts	am	阳去	tsam˧˧	站 斬(白) 鏨(替)
tsʰ	am	阴平	tsʰam˥˥	摻(替) 參
tsʰ	am	阴上	tsʰam˥˩	慘
tsʰ	am	阴去	tsʰam˩˩	讖
tsʰ	am	阳平	tsʰam˩˧	蠶 鐕
s	am	阴平	sam˥˥	杉 三(文) 衫(文)
s	am	阴上	sam˥˩	糝 產
s	am	阳平	sam˩˧	儳(替)
s	am	阳去	sam˧˧	儳(替)
k	am	阴平	kam˥˥	甘 柑 魽
