#参考资料 《广德汤村话语音研究》
#调值 [1] 阴平53 [2] 阳平55 [3] 上声323 [5] 去声41

#ɿ
ts [1] 撕{~破}知支枝肢资咨姿之滋织汁蜘侄{~儿子} [2] 职殖植执直值质{体~} [3] 紫纸姊脂旨指子梓止滓 [5] 制智栀自致稚至字痔置治志翅{~膀}
tsʰ [1] 痴尺吃跐{—~多远：一下移动很远} [2] 池驰迟慈磁辞词祠持糍{~粑}治{~鱼：杀鱼}赤 [3] 雌此耻齿□{打~：打滑} [5] 滞{停~}赐刺疵次伺秩
s [1] 斯施私师狮尸失司丝思诗湿识厕{茅~} [2] 时释{解~}食石{~头}实室{教~}十 [3] 屎死使史驶始 [5] 世势逝是氏示视似士柿事市恃试式饰四

#i
p [1] 屄{女阴}逼必滗{挡住渣滓把液体倒出} [2] 鼻壁碧笔{铅~}毕{~业} [3] 比彼鄙{卑~} [5] 弊蔽毙陛篦□{—~子：一辈子}避弼匕痹{麻~}
pʰ [1] 批披丕劈□{~摇：形容容器被填满时的状态} [2] 皮脾啤疲匹□{~了：食物由酥脆变软了} [3] 裴{姓}痞鄙{卑~} [5] 屁庇痹{麻~}僻辟
m [1] 咪眯密蜜幂 [2] 谜迷弥
 [3] 米 [5] 秘泌
t [1] 低嫡滴{~水}敌 [2] 笛狄迪 [3] 底抵 [5] 弟递第帝地的
tʰ [1] 梯踢 [2] 蹄题提堤{~坝} [3] 体 [5] 替剃涕屉
l [1] 历力立粒笠栗沥埿{《韵会》：“年题切，丛音泥，涂也。”涂抹，如：把鞋在草里~下} [2] 泥犁黎厘尼梨狸璃妮倪篱蚁{蚂~子}匿{~明}信 [3] 礼李里理鲤拟 [5] 例厉利痢励腻离{~开}俐丽律俪荔郦
tɕ [1] 鸡肌饥□{~溜子：蝉基}机讥绩击激迹唧脊即鲫极疾及几{茶~}急级 [2] 籍节{誓~：地名}集{~体} [3] 挤几{~个}己济{~南：地名} [5] 剂计继系{~鞋带}技妓寄记忌纪既寂祭剂辑稽济{救~}
tɕʰ [1] 妻蛆欺期七漆柒 [2] 齐脐奇骑岐祁其棋旗 [3] 企启起杞祈乞 [5] 砌契器弃气汽戚泣
ɕ [1] 西犀溪牺熙希稀嬉{~皮笑脸}锡析惜昔□{：尖叫}熄犀 [2] 席夕习袭婿{女~}徐姓媳 [3] 洗喜囍玺 [5] 细戏系{~统}
Ø [1] 衣医一伊依揖{作~} [2] 移姨疑怡仪宜{~兴}译{翻~} [3] 椅以乙尾{~巴} [5] 艺易逸义意役异毅益忆亿抑

#u
p [1] 不 [2] □{~弄一声：形容声响；}荸{：~荠}□{~弄子：不通情理的人} [3] 补 [5] 部簿布怖步
pʰ [1] 铺{~设} [2] 仆菩脯□{鸡蛋蒸~了：鸡蛋蒸膨胀了，蒸老了}□{生~：腌菜坛子上生出的一层白色漂浮物} [3] 谱普浦捕{~鱼}甫卜{占~}哺朴 [5] 铺{店~}讣{~告}
m [1] 目木 [2] □{：寻找模~子} [3] 亩姆拇 [5] 暮慕墓穆牧募幕沐睦
f [1] 呼乎肤夫芙麸麦{~子}福□{：粘连上} [2] 胡狐壶符扶蝠{蝙~}伏核{桃~}糊湖瑚腹服 [3] 虎浒{水~传}府□{~一下：往旁边拨一下}腑釜抚腐辅 [5] 互护父付附妇负副富瓠{~子}
k [1] 姑孤菇咕谷骨 [3] 估{评~}股鼓牯{~牛：公牛}古 [5] 故固雇顾
kʰ [1] 枯箍哭窟 [2] 葫{~芦}跍{：蹲} [3] 苦 [5] 库裤酷
Ø [1] 乌污巫诬 [2] 吴蜈梧无 [3] 五伍午舞武侮鹉 [5] 误悟雾物屋焐{~手}

#ʮ
ts [1] 诸珠株朱拘 [2] 橘菊局焗{~油} [3] 举主 [5] 著巨剧柱注锯{~子}句具蛀俱矩居{~然}
tsʰ [1] 趋区出 [2] 除殊{特~}瞿屈厨{~子}蛐 [3] 娶□{~他：让他难堪}□{~个洞：戳个洞}取拄{~拐棍儿} [5] 趣去{~年}处{~长}
s [1] 书舒须嘘虚输{运~} [2] 徐= [3] 暑许薯鼠 [5] 序叙绪续{继~}树竖述
z [1] 输{~赢} [2] 虑驴鱼如于余盂娱瑜 [3] 女吕旅语雨宇羽禹 [5] 御预豫芋喻育玉狱钰煜=浴域郁

#a
p [1] 巴疤芭八□{~~儿：按钮}粑捌叭 [2] 爸拔 [3] □{~~：粪便，儿语}把{一~刀}靶 [5] 霸罢耙{~田：犁田}把{刀~}坝
pʰ [1] 把啪趴 [2] 爬筢{~子}耙{~子} [3] □{~着：形容人两脚张开} [5] 怕
m [1] 妈抹{~布}蚂{~蚱} [2] 麻嘛= [3] 马码玛□{老~子：老奶奶} [5] 骂□{~~儿：乳房}
f [1] 花哗发法{没的~} [2] 划滑罚乏筏华{中~} [3] 法砝{~码} [5] 化画话华{姓}
t [1] 瘩{疙~}□{~跟头：摔跤}搭答{~应} [2] 达□{~儿：爸爸}答{回~} [3] 打 [5] 大□{~下：碰一下}□{~东西：够东西}
tʰ [1] 他她它踏塔塌榻
l [1] 啦垃捺辣瘌纳拉腊蜡 [2] 拿 [3] 哪 [5] 那落{丢三~四}娜
ts [1] 扎□{~线：衣服线裂开了}渣查{姓} [2] 闸杂炸{油~}蔗{甘~} [3] □{辣椒~：由辣椒和面粉做成的一种菜品} [5] 诈榨乍蚱咤{哪~}楂{毛~子}炸{~个洞}
tsʰ [1] 差{~多少}擦插{~秧} [2] 茶搽茬查{调~} [3] □{~子：乐器的一种，一般与锣鼓相配合}□{在哪~：在哪里} [5] 岔□{：淋湿}萨{菩~}
s [1] 沙纱莎砂鲨痧刹□{~子：母牛羊}杀杉{~树}撒{~尿}□{搞~了：弄洒了} [2] □{：形容一个人精神状态不好} [3] 傻洒撒{~种} [5] □{~油菜：使油菜苗儿间的距离变大，便于油菜更好的生长}萨{菩~}
k [1] 胳{~肢窝}夹{头毛~子} [3] □{~~：肉，儿语} [5] □{~那：放那}□{~着：开始}
kʰ [1] 掐□{~鱼：杀小鱼} [2] □{：跨}咔{~嚓}咖{~啡} [3] 卡{~车} [5] 胯{~裆}
ŋ [1] 阿{~姨}啊{~一声} [2] 伢{：小孩} [5] □{~碎：剪碎}
x [1] □{~柴火：将柴草聚拢哈}□{~耙子：耙子} [2] □{~痒：挠痒} [5] □{~是的：全是的}
Ø [1] 阿{~姨}

#ia
p [1] □{拟声词：开枪声}□{：粘贴} [3] □{~淡：极淡}□{~了：瘪了}
pʰ [1] □{一~耳光：扇耳光}
t [2] □{浓~~：软软的} [3] 嗲
tʰ [3] □{~一脚：踩一脚}
l [3] □{小~子：小女孩}
tɕ [1] 家加嘉傢佳夹{~袄}甲胛□{：放牛时让牛前行} [2] □{~巴儿：能说会道的人} [3] 假{放~：假的}□{~眼睛：眨眼睛}贾 [5] 架驾嫁稼价
tɕʰ [3] 卡{发~} [5] 恰洽
ɕ [1] 虾瞎 [2] 霞瑕遐暇狭峡匣辖 [5] 厦{~门}夏下{~面}
