#i
p[45]碑卑俾婢[31]彼譬比[53]闭秘痹
pʰ[45]披疲被{棉～，～絮}被{～迫}[13]皮脾琵枇[31]毙鄙庇弊币[53]备屁鼻
m[45]美[13]迷谜糜[31]米[53]泌
t[45]知[53]帝
tʰ[13]堤题提蹄啼[31]体[53]蒂涕弟第递地
n[13]倪弥尼你
l[45]吕礼理鲤[13]离{～别}篱璃离{分～}厘狸[31]旅履李里{一～路，～弄，地名}里{～面，～外}荔[53]虑滤厉励丽隶莉利痢吏
ts[31]姐
tsʰ[45]趋聚妻淒凄雌[53]序叙
s[45]须{必～}须{胡～，锦旗下面垂的～}需西栖犀撕[31]死[53]四肆
tʃ[45]蜘支枝肢脂之芝妓[31]挤济纸姊指旨止址趾[53]剂祭际滞智致{导～，～敬}致{细～}至置峙痔志{～气，～愿}痣志{地方～}忌
tʃʰ[45]驰侈稚痴[13]脐池迟持[31]取娶徙耻治齿始[53]绪趣刺赐翅
ȵ[13]儿尔仪谊而疑宜[31]耳饵[53]义议二贰
ʃ[45]兮施{～肥，姓}施{布～}尸{～陈}尸{死～，分～}诗熙希稀牺嬉嘻[13]匙时[31]屎[53]誓逝是氏豉戏示视柿试市
k[45]居车{～馬炮}驹饥{～饿，饿}肌基箕机讥饥{～荒}几{～乎}[13]佢[31]举矩几{茶～}己杞几{～个}[53]锯句继寄纪记既
kʰ[45]拘渠拒距俱区驱躯岖具惧姬欺[13]奇{好～，～怪}骑岐奇{～数}祁棋旗其期祈[31]启企起禧喜岂[53]瞿技器弃气汽
∅[45]伊医衣依[13]移姨夷怡贻沂遗[31]徛椅倚拟以已[53]易{容～，～如反掌}意异

#u
p[31]补斧釜[53]布{一块～，～料}布{宣～，公～}怖埠
pʰ[45]谱铺{～开，～设，～张}普敷孵[13]葡脯{胸～}[31]浦蒲捕甫脯{明～（晒干的乌贼），杏～}辅[53]铺{店～，当～}部簿步
m[45]巫诬母拇[13]抚[31]舞[53]慕墓募务雾
f[45]呼互夫肤俘[13]芙胡{姓，二～}湖糊狐壶乎葫蝴胡{～须}符扶弗[31]虎浒府腑俯[53]户沪护付赋傅咐赴父腐附富副负妇
ʋ[45]芋侮[31]武鹉
t[45]都[31]堵赌肚{猪～（胃）}肚{～子，～脐}
tʰ[13]途屠徒涂图[31]土[53]吐{～痰}吐{呕～}兔杜度{～量}渡镀度{忖～}踱
n[13]奴努[53]怒
l[45]鲁橹虏[13]卢炉芦庐驴[31]卤[53]路赂露鹭
ts[45]租资姿咨兹滋淄[31]祖组阻紫子
tsʰ[45]粗[13]慈磁辞词[31]楚础此[53]醋措助次自伺似
s[45]苏酥斯厮私师狮蛳思{～想，～念}丝司思{意～}[31]史使驶[53]素诉嗉恕数{～目，分～}字祠祀寺饲士仕事恃侍嗽漱
tʃ[45]猪蛛朱硃珠[31]煮主[53]著拄驻注铸
tʃʰ[45]柱蛀[13]除储厨橱瓷[31]诸[53]处{～理}处{～所，～里（家里）}住
ʃ[45]书舒枢输{～赢}输{运～}[13]殊[31]鼠暑墅署薯数{动词，念珠怎么说}[53]竖树
j[13]如
k[45]姑孤辜[31]古牯股鼓[53]故固锢雇顾
kʰ[45]箍估枯麸[31]苦[53]库裤
∅[45]乌污坞[53]戊

#y
tʃʰ[45]蛆[13]徐
ȵ[45]语[13]愚[31]女寓
ʃ[45]墟虚[31]许[53]去
j[45]于{在～}[13]余{姓}余{多～}迂于{～是，姓}榆逾俞愈[31]屿予遇宇羽[53]誉预愉喻裕豫吁
k[53]据
∅[31]与雨

#a
p[45]巴芭疤笆爸[31]把{～握，一～刀，～脉，抓一～}把{刀～（柄）}[53]坝{平地}坝{大～，堤～}
pʰ[45]帕[13]爬琶杷[53]怕罢
m[45]马码[13]麻蟆[53]骂
f[45]花[13]华{中～}华{～山，姓}桦[53]化画
ʋ[45]娃蛙{青～，～跳，～泳}洼蛙{青～，～跳}[53]话
t[31]打
n[45]拿[31]哪那
l[45]拉
ts[45]渣抓[53]借
tsʰ[45]叉杈岔[13]搽斜邪[53]谢
s[45]沙纱痧砂些[31]洒写耍
tʃ[45]楂遮[31]者[53]蔗诈榨炸{轰～，～弹}乍炸{把食物放入汤或煮沸的油里弄熟}
tʃʰ[45]车{火～}赊奢[13]茶查[31]且扯
ʃ[53]泻
k[45]家加嘉[31]假{真～}贾假{放～，～期}[53]架驾嫁稼价
kʰ[45]夸{～奖，～张}夸{～大}垮
ŋ[13]牙芽衙伢蚜[31]雅瓦{名词，～片}瓦{动词，～砖}
h[45]虾{鱼～，～公}蛤[13]霞瑕虾{～蟆（青蛙、蛙类、蝌蚪）}[53]厦下{～面，乡～，上～}夏{姓}下{～降，～去，～流}夏{春～，立～}
∅[45]阿鸦丫桠亚[31]哑

#ia
ȵ[45]惹
ʃ[45]社[13]蛇[31]舍[53]射{发～，～箭}射{～箭，发～}
∅[45]椰也野[13]耶爷[53]夜

#ua
k[45]瓜[31]寡[53]挂卦褂
kʰ[53]跨

#e
pʰ[45]批
m[45]妈
t[45]爹低[31]底抵
tʰ[45]梯[53]替剃
n[13]泥[53]腻
l[13]黎梨[31]缕[53]例
s[45]筛{谷～，米～，～谷}[31]洗[53]细婿
tʃ[53]制
tʃʰ[13]齐
ʃ[45]筛{～酒，～子，～选}[53]世势
k[45]鸡[53]计
kʰ[45]溪[13]茄[53]契
ŋ[53]艺蚁毅
h[53]系{～鞋带，把鸡的两只脚捆起来便于携带}系{中文～，～统}系{连～}

#o
p[45]波菠玻褒[31]保宝堡[53]播报
pʰ[45]坡[13]婆菩[53]破
m[45]摩魔毛摸[13]磨{～刀，～墨}模{～型}模{～范}无[53]磨{石～，～豆腐}帽
f[13]和{我～你,～牌，～平}和{～面，唱～，～诗}[31]火伙{～计（店里打杂工的），合～}伙{～食}[53]货祸
ʋ[45]倭窝莴蜗[13]禾
t[45]多刀[31]朵躲倒{打～，～掉}岛祷捣倒{～着走，～车}[53]剁到
tʰ[45]拖[13]驼驮舵掏桃逃淘陶萄[31]妥椭讨导[53]套稻道盗
n[13]挪[31]脑恼[53]糯
l[45]啰[13]罗锣箩萝骡螺[31]老姥
ts[45]糟遭[31]左佐早枣灶[53]做
tsʰ[45]坐座初[13]锄曹槽皂[31]草[53]错{做～，～误，过～}糙造错{～杂}
s[45]梭唆靴梳疏{亲～，～密，～远}蔬疏{注～，经～}[31]锁琐所嫂[53]扫{～地，打～}扫{～帚}
ʃ[45]傻
k[45]歌哥高膏{牙～，～药}篙糕羔[31]裸果裹馃颗课稿[53]过{姓}过{～去（走～去，从前）}告
kʰ[45]戈科[31]可
ŋ[13]蛾鹅俄[53]饿卧
h[13]荷{薄～（有两种，做菜用、药用）}何河荷{～花}荷{挑担}毫豪壕[31]好{～坏}[53]贺耗号{～叫，～啕大哭}号{口～，～码}
∅[13]恶{可～，大便}[31]袄[53]懊{～恼}奥澳懊{～悔}

#ai
p[31]摆[53]拜
pʰ[13]排{并～，～队}排{竹～}牌[31]派[53]败
m[45]买[13]埋[53]卖迈
f[13]徊怀槐淮[53]坏
ʋ[45]歪煨
t[45]呆{书～子}呆{笨，发～，痴～}[53]戴带
tʰ[53]大{～夫，～黄，～蒜}大{～小，～学}太态泰
n[31]乃奶捺[53]耐奈
l[53]赖癞濑
ts[45]灾[31]宰[53]再
tsʰ[45]差{～别，时～，好的～的}差{～多少钱}猜差{出～}[13]柴[53]在寨
s[53]晒
tʃ[45]斋[53]债
tʃʰ[45]钗
k[45]皆阶佳街[31]解{讲～，～释}解{姓}解{知道，懂了}[53]个介界芥尬疥届戒械
kʰ[31]概溉凯慨丐揩楷
ŋ[13]我涯捱崖
h[13]孩鞋[31]蟹[53]谐
∅[45]埃[13]挨[31]矮[53]艾隘

#uai
p[53]背{后～}背{～书、～诵}
pʰ[45]坯[13]赔
m[13]梅媒煤[53]妹
f[45]恢诙灰
t[45]堆
tʰ[45]胎[13]台{天～，～州}台{平～，～湾}台{平～}苔抬[53]贷待怠代袋
l[13]来
ts[53]载{年～}载{～重}载{满～}
tsʰ[13]才{刚～，～来}才{人～，～气}材财裁[31]彩采踩睬[53]菜蔡
s[45]腮鳃摔[53]赛
tʃʰ[13]豺[53]揣
ʃ[53]睡税帅
k[45]该乖[31]改柺[53]盖怪
kʰ[53]块{一～布}刽块{一～布}快筷
ŋ[53]碍
h[45]开[31]海[53]亥害骇

#ei
m[45]某亩[13]谋[31]贸[53]牡茂
f[13]浮[31]否
ʋ[45]萎委微薇威[13]为{行～，～人}为{～人民服务}维惟唯围[31]卫讳违伟苇纬胃谓猬[53]喂位畏
t[45]兜[31]斗{十升为～}抖陡[53]斗{～争，批～}逗
tʰ[45]偷[13]头投[53]透豆痘
l[13]楼[31]搂[53]漏陋
ts[45]邹[31]走[53]奏凑
s[45]搜{～查，～身}馊搜{～集}[53]瘦
k[45]勾{～引，～芡，～心斗角}钩沟构购勾{～当}[31]狗[53]够{足～，～了}够{往上～}
kʰ[45]抠[53]叩扣寇
ŋ[31]藕偶{配～}偶{～然}
h[13]侯喉猴[31]口[53]后{皇～}厚后{前～，～来}候
∅[45]欧殴[31]呕[53]沤

#uei
p[45]杯胚悲[53]贝狈辈佩
pʰ[13]陪[31]培倍焙[53]配沛
m[45]每尾[13]枚玫莓眉楣霉帷[53]昧媚寐未味
f[45]盔飞非妃菲挥辉徽[13]回迴茴肥[31]悔毁匪翡[53]贿汇{～报}会{～计，财～}会{开～}会{～不～}绘废肺秽沸费卉汇{～总，～报，词～}
t[53]对队兑
tʰ[45]推[31]腿[53]唾退褪蜕
n[53]内
l[45]屡累{极困}累{连～，拖～}[13]雷擂[31]馁儡蕊垒[53]累{积～，～计}类泪
ts[53]最醉
tsʰ[45]催崔摧[13]髓随[53]罪脆悴粹翠
s[45]虽绥衰[53]碎岁
tʃ[45]追[53]缀嘴
tʃʰ[45]吹炊[13]垂锤槌[53]坠
ʃ[13]谁[31]水[53]瑞遂隧
k[45]瑰圭闺龟归[31]轨鬼[53]桂季柜贵
kʰ[45]规亏窥[13]魁傀奎携癸逵葵[31]诡跪[53]愧溃
ŋ[13]危[31]伪巍[53]魏

#iui
ȵ[45]锥[31]乳锐
j[53]惠慧穗慰

#au
p[45]包胞[31]饱[53]豹
pʰ[45]抛跑[13]袍刨{～子，瓜～}[31]抱刨{挖掘，～地}[53]暴爆泡{水～，～～}泡{～茶}炮鲍瀑曝
m[45]锚猫{花～}[13]茅矛[31]冒貌藐
tʰ[45]滔涛蹈
n[13]铙挠[31]闹
l[45]捞唠[13]劳牢痨涝[31]烙
ts[31]爪找
tsʰ[45]操钞[13]巢[31]吵[53]躁燥缲赵
s[45]骚梢稍[53]潲{猪食}潲{～雨}哨
tʃ[45]朝{早上，明～，三～}召昭招[53]照罩
tʃʰ[45]抄超[13]潮朝{动词，～代}[31]炒[53]兆
ʃ[45]烧嚣[13]韶绍[31]少{多～}[53]少{～爷，～年}邵
k[45]膏{～油，～车}交胶郊教{～书}茭[31]绞狡铰搞搅较校{～对，～手表}校{学～，～长}校{上～}饺[53]教{～育，～师}
kʰ[31]考烤拷巧[53]靠铐敲
ŋ[45]咬[13]熬淆肴[53]傲
h[45]浩酵[31]效[53]好{爱～}哮孝
∅[45]凹坳[53]拗

#iau
p[45]膘标彪[31]表{～面，～扬}表{手～}婊
pʰ[45]飘漂{～白}[13]瓢嫖[53]票漂{～亮}
m[45]猫{一种动物，大～（老虎）}[13]苗描[31]秒渺妙[53]庙
t[45]叨刁雕貂凋鸟[53]吊钓掉调{音～}
tʰ[45]挑[13]条调{～和，～整}调{～动，～查}[53]跳{～高，～起}跳{走。小孩不高兴跺脚的说法}。
n[53]尿
l[13]燎{～原}燎{火～眉毛}疗辽聊撩僚镣[31]了{～结}了{明～，～解}[53]廖{姓}料廖{姓}
ts[45]焦蕉椒醮[13]剿
s[45]悄宵霄硝销逍肖萧箫[31]小晓[53]笑
tʃʰ[45]锹[13]瞧[53]俏
ȵ[13]饶尧[31]扰绕{围～}绕{～线}
ʃ[45]消
k[45]骄娇[31]缴[53]矫叫
kʰ[13]樵侨桥乔[53]翘轿撬窍
∅[45]妖邀腰夭幺吆[13]摇谣姚窑遥[31]舀[53]要{～求}要{重～}耀

#iou
t[45]丢
n[31]纽扭
l[13]流留刘榴琉硫[31]柳馏[53]溜
ts[53]昼
s[45]羞休[53]秀绣锈
tʃ[45]揪周{姓}舟州洲周{一～，～年}鸠[31]酒[53]皱咒
tʃʰ[45]秋{～天，春～}秋{～千}鳅抽[13]囚绸稠筹愁酬[31]丑{地支名}丑{难看，～恶}[53]就袖宙臭兽嗅{～觉，闻}
ȵ[13]牛[53]嗅{闻}
ʃ[45]修收[13]仇{报～}仇{姓}[31]手首守[53]受寿授
k[31]九久韭[53]灸救究咎
kʰ[45]丘臼舅[13]求球[53]旧
∅[45]优有[13]柔揉忧尤邮由油游犹悠酉柚釉幽[31]朽[53]友又右佑诱幼

#am
f[13]凡[53]泛犯
t[45]耽担{挑，拿，～任}担{挑～，～子}[31]胆
tʰ[45]贪[13]潭谭谈痰坛{天～}坛{酒～}[31]毯淡[53]探
n[13]南男
l[13]蓝篮[53]览揽榄滥缆
ts[45]粘[31]斩[53]站{～立}蘸
s[45]三
tʃ[45]沾瞻[53]暂占{～卜}占{～领，～地方}
tʃʰ[45]参{～加，～军}搀[13]蚕[31]惨渗[53]站{车～}
ʃ[45]衫[13]嫌蝉[31]陕闪
