#参考资料	《彭泽方言语音研究》
#调值	[1]³³ [2]⁴⁴ [3]²¹ [5]²¹⁴ [6]²²
#ɿ	
ts	[1]兹滋资姿咨知蜘支枝肢之芝撕[3]紫纸指脂梓止趾址[5]职汁织指
tsʰ	[1]痴嗤[2]雌池驰瓷迟慈磁辞鼓词祠持治{~鱼}[3]此耻齿[5]尺赤[6]自字稚治刺痔赐翅次伺值直秩掷斥
s	[1]斯厮丝诗思施师狮司私嘶尸狮厕{茅~}[2]时匙[3]死屎使驶史始[5]四湿失识[6]誓是氏视寺事市侍实饲石食饲适
#i	
p	[1]屄[3]比彼鄙[5]笔逼壁毕
pʰ	[1]批丕[2]引皮疲脾琵枇匹[3]痞[6]必闭敝庇蔽币辟避屁僻
m	[1]咪眯[2]迷秘弥[5]秘密蜜[6]米
t	[1]低[3]底抵[5]滴敌蒂[6]递
tʰ	[1]梯[2]题提堤蹄啼[3]体[5]踢[6]替剃屉嚏第弟地笛帝
l	[2]犁璃梨离[3]旅礼李吕里理鲤屡[5]立力历[6]例厉励荔利痢吏虑律粒栗率笠
tɕ	[1]鸡肌几{~呼}基机饥稽即[3]挤几己嘴[5]及急吉即积脊籍集[6]祭际济剂计醉记寄季
tɕʰ	[1]蛆欺妻凄[2]其奇齐期骑棋旗脐歧渠{他}[3]取娶启起[5]七漆戚辑[6]去契器气汽技忌
ɕ	[1]夕西犀牺须希稀嘻嬉需溪[3]洗喜徙玺[5]袭媳习席吸戌锡昔恤惜[6]岁戏细系{~列}婿
ȵ	[2]泥倪疑仪呢宜尼[3]蚁[6]艺义议毅谊逆
Ø	[1]伊医衣依[2]姨移贻怡遗[3]椅己[5]一益液[6]意忆亿易逸异翼译
#u	
p	[3]补[6]布[5]不
pʰ	[1]铺捕扑[2]菩蒲葡甸[3]普谱[5]仆浦朴[6]铺部簿步埠
m	[2]模[3]母亩[5]木目穆[6]慕墓募幕
f	[1]夫肤[2]俘符扶[3]府腑斧抚腐辅[5]复福幅腹佛[6]付副傅富父附妇负服伏
t	[1]都嘟督[3]堵赌肚睹
tʰ	[2]屠图徒途涂[3]土[5]秃突凸[6]兔杜度渡独毒读妒嫉
k	[1]孤姑辜[3]古估[5]固顾雇
kʰ	[1]枯[3]苦[5]哭酷[6]库裤
x	[1]呼乎忽[2]蝴糊涂胡狐壶[3]虎唬火伙[6]瓠戽
Ø	[1]污诬侮[2]吴蜈无[3]五伍武午舞[5]屋[6]悟务雾戊
#y	
tɕ	[1]猪居车{～马炮}蜘蛛珠朱拘[3]煮举主矩[5]枯橘剧局菊
tɕʰ	[1]趋蛐区驱[2]除徐厨殊橱[3]处曲储鼠[5]出屈[6]著据句具巨距错住柱注蛀铸处{～长}
ɕ	[1]书舒虚墟嘘输[3]暑许[5]叔[6]恕术述树熟属束竖
l	[2]驴
ȵ	[2]鱼渔[3]女语
Ø	[1]淤迂[2]盂於于余馀愚娱虞愉愉如[3]与雨禹羽乳[6]御誉豫预寓芋喻裕狱愈遇玉[5]熨
#a	
p	[1]巴芭疤扒吧粑爸[3]靶把[5]八[6]霸坝
pʰ	[1]趴[2]爬耙扒[6]怕罢拔
m	[1]妈[2]麻[3]马蚂码[5]抹[6]骂
f	[6]罚乏伐[5]发法
t	[3]打[5]答搭
tʰ	[1]他[5]踏塌塔[6]达
l	[1]拉[2]拿[3]哪喇[6]辣那蜡蜡腊癞
ts	[1]渣查{姓}遮抓[5]杂眨闸铡扎[6]炸榨诈蔗
tsʰ	[1]叉杈差车[2]茶搽查[5]插察擦[6]岔
s	[1]纱沙衫莎砂赊裟奢[2]蛇余[3]洒舍[5]撒萨杀[6]社射舍厦
k	[1]家[5]夹[6]架驾嫁
kʰ	[2]跨蛤[3]卡[5]掐
ŋ	[1]丫[2]牙芽伢[3]哑[5]鸭押压[6]轧
x	[1]虾哈[3]傻[5]瞎[6]下
Ø	[1]啊阿
#ia	
t	[6]滴
l	[6]粒
tɕ	[1]家加[2]姐[3]假贾[5]甲[6]借
tɕʰ	[5]恰
ɕ	[2]霞斜辖[3]写[6]下夏厦{~门}
Ø	[1]衙爷{父亲}[3]也野[6]夜
#ua	
k	[1]瓜[3]寡剐[5]刮[6]挂卦掛
kʰ	[1]夸[3]侉垮[5]划[6]跨
x	[1]花[2]华划{~船}[5]猾滑[6]画
Ø	[1]蛙[3]瓦[5]挖袜[6]话
s	[3]耍
#ya	
tɕ	[1]抓[3]爪
tɕʰ	[2]茄
ɕ	[1]靴[5]摔刷
#æ	
p	[5]北百柏伯泊
pʰ	[5]迫拍魄[6]白
m	[5]墨默麦脉抹末
t	[5]得德
tʰ	[5]特脱
l	[5]勒
ts	[3]者[5]折浙褶摘蛰哲则责
tsʰ	[5]撤测侧册拆策彻[6]贼择
s	[5]色折{~本}涩设虱塞[6]舌赦涉摄
k	[5]革膈格隔嗝阁
kʰ	[5]刻咳克客
ŋ	[5]厄扼[6]额
x	[5]吓黑赫喝核颌劾阔
#uæ	
k	[5]国
kʰ	[5]括阔
x	[5]活或惑获合盒
Ø	[5]物
#yæ	
tɕ	[5]倔决诀崛掘
tɕʰ	[5]缺瘸
ɕ	[5]说血
Ø	[5]越[6]月
#æ	
Ø	[2]儿而[3]耳[6]二
#ie	
p	[5]鳖憋瘪瞥
pʰ	[5]撇[6]别
m	[5]灭蔑
t	[1]爹[5]叠碟蝶跌
tʰ	[5]铁贴帖
l	[5]列裂猎烈
tɕ	[5]接节结洁揭劫
tɕʰ	[2]钱[3]且[5]妾杰[6]绝
ɕ	[1]邪谐[3]写[5]些薛雪歇蝎屑泻[6]谢泄卸
ȵ	[5]捏镊孽业
k	[1]给
Ø	[1]椰耶[5]噎曳咽[6]叶页液
#o	
p	[1]波玻菠坡[3]跛[5]剥驳博拨勃薄
pʰ	[1]卜[2]婆鄱[5]泼[6]破
m	[1]摸[2]魔磨模[5]末沫[6]莫磨{石~}
t	[1]多哆[3]朵[5]堕沰[6]剁跺
tʰ	[1]拖[2]驼驮[3]妥椭[5]托脱[6]舵夺惰
l	[1]啰[2]罗锣螺萝捋[3]裸[5]诺乐[6]糯懦落洛
ts	[1]啄[3]左佐[5]捉桌撮琢[6]做
tsʰ	[1]搓[5]戳[6]锉坐座凿着昨作错绰
s	[1]蓑梭[3]所锁琐[5]唆塑索缩
k	[1]哥歌鸽葛[3]果裹[5]角郭搁[6]个
kʰ	[1]窠科柯棵[3]可[5]确敲壳渴磕廓扩各[6]课
ŋ	[2]鹅蛾讹俄[3]我[5]恶[6]饿
x	[2]何荷和禾[5]贺喝霍[6]货学荷
Ø	[1]窝莴[3]哦[5]握卧
#io	
l	[5]掠略
tɕ	[5]脚觉
tɕʰ	[5]角脚确[6]嚼
ɕ	[5]削[6]学
ȵ	[5]弱若虐
Ø	[5]跃岳约乐{音~}[6]药
#ai	
p	[3]摆[5]拜
pʰ	[2]牌排[5]派[6]败稗
m	[2]埋[3]买[6]卖迈
t	[1]呆[3]逮歹[5]带戴
tʰ	[1]胎[2]台苔[5]太泰态[6]大待代贷
l	[1]奶{祖母}[3]奶[6]赖耐奈
ts	[1]斋[3]宰载[5]再债寨
