"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"飢"	"ki1"	"ki44"	""	""	""	""	""	""	""
"几"	"ki1"	"ki44"	""	""	""	""	""	""	""
"几"	"ki3"	"ki53"	""	""	""	""	""	""	""
"冀"	"ki5"	"ki21"	""	""	""	""	""	""	""
"器"	"khi5"	"kʰi21"	""	""	""	""	""	""	""
"棄"	"khi5"	"kʰi21"	""	""	""	""	""	""	""
"祈"	"ki2"	"ki13"	""	""	""	""	""	""	""
"鰭"	"ki2"	"ki13"	""	""	""	""	""	""	""
"耆"	"ki2"	"ki13"	""	""	""	""	""	""	""
"伊"	"i1"	"i44"	""	""	""	""	""	""	""
"懿"	"i5"	"i21"	""	""	""	""	""	""	""
"夷"	"thai2"	"tʰai13"	"白"	""	""	""	""	""	""
"夷"	"i2"	"i13"	"文"	""	""	""	""	""	""
"姨"	"i2"	"i13"	""	""	""	""	""	""	""
"肄"	"i6"	"i22"	""	""	""	""	""	""	""
"你"	"ni3"	"ni53"	""	""	""	""	""	""	""
"厘"	"li2"	"li13"	""	""	""	""	""	""	""
"李"	"li3"	"li53"	""	""	""	""	""	""	""
"理"	"li3"	"li53"	""	""	""	""	""	""	""
"里"	"li3"	"li53"	""	""	""	""	""	""	""
"裏"	"lai6"	"lai22"	"白"	""	""	""	""	""	""
"裏"	"li3"	"li53"	"文"	""	""	""	""	""	""
"鯉"	"li3"	"li53"	""	""	""	""	""	""	""
"吏"	"li6"	"li22"	""	""	""	""	""	""	""
"兹"	"tsu1"	"tsu44"	""	""	""	""	""	""	""
"滋"	"tsu1"	"tsu44"	""	""	""	""	""	""	""
"子"	"tsu3"	"tsu53"	""	""	""	""	""	""	""
"梓"	"tsu3"	"tsu53"	""	""	""	""	""	""	""
"磁"	"tsu2"	"tsu13"	""	""	""	""	""	""	""
"慈"	"tsu2"	"tsu13"	""	""	""	""	""	""	""
"字"	"dzi6"	"dzi22"	"白"	""	""	""	""	""	""
"字"	"dzu6"	"dzu22"	"文"	""	""	""	""	""	""
"司"	"sai1"	"sai44"	"白"	""	""	""	""	""	""
"司"	"su1"	"su44"	"文"	""	""	""	""	""	""
"絲"	"si1"	"si44"	"白"	""	""	""	""	""	""
"絲"	"su1"	"su44"	"文"	""	""	""	""	""	""
"思"	"si1"	"si44"	"白"	""	""	""	""	""	""
"思"	"su1"	"su44"	"文"	""	""	""	""	""	""
"伺"	"su5"	"su21"	""	""	""	""	""	""	""
"伺"	"su6"	"su22"	""	""	""	""	""	""	""
"辭"	"si2"	"si13"	"白"	""	""	""	""	""	""
"辭"	"su2"	"su13"	"文"	""	""	""	""	""	""
"詞"	"su2"	"su13"	""	""	""	""	""	""	""
"祠"	"si2"	"si13"	"白"	""	""	""	""	""	""
"祠"	"su2"	"su13"	"文"	""	""	""	""	""	""
"巳"	"dzi6"	"dzi22"	""	""	""	""	""	""	""
"祀"	"su6"	"su22"	""	""	""	""	""	""	""
"似"	"su6"	"su22"	""	""	""	""	""	""	""
"寺"	"si6"	"si22"	"白"	""	""	""	""	""	""
"寺"	"su6"	"su22"	"文"	""	""	""	""	""	""
"嗣"	"su6"	"su22"	""	""	""	""	""	""	""
"飼"	"tshi6"	"tsʰi22"	"白"	""	""	""	""	""	""
"飼"	"su6"	"su22"	"文"	""	""	""	""	""	""
"置"	"ti5"	"ti21"	""	""	""	""	""	""	""
"痴"	"thi1"	"tʰi44"	""	""	""	""	""	""	""
"痴"	"tshi1"	"tsʰi44"	""	""	""	""	""	""	""
"耻"	"thi3"	"tʰi53"	""	""	""	""	""	""	""
"持"	"ti2"	"ti13"	"白"	""	""	""	""	""	""
"持"	"tshi2"	"tsʰi13"	"文"	""	""	""	""	""	""
"峙"	"ti6"	"ti22"	""	""	""	""	""	""	""
"峙"	"si6"	"si22"	""	""	""	""	""	""	""
"痔"	"ti6"	"ti22"	""	""	""	""	""	""	""
"治"	"thai2"	"tʰai13"	""	""	""	""	""	""	""
"治"	"ti6"	"ti22"	""	""	""	""	""	""	""
"輜"	"tsu1"	"tsu44"	""	""	""	""	""	""	""
"廁"	"tsheh7"	"tsʰeʔ32"	"白"	""	""	""	""	""	""
"廁"	"tshik7"	"tsʰik32"	"文"	""	""	""	""	""	""
"廁"	"tshee5"	"tsʰɛ21"	""	""	""	""	""	""	""
"俟"	"su6"	"su22"	""	""	""	""	""	""	""
"士"	"su6"	"su22"	""	""	""	""	""	""	""
"事"	"su6"	"su22"	""	""	""	""	""	""	""
"史"	"sai3"	"sai53"	"白"	""	""	""	""	""	""
"史"	"su3"	"su53"	"文"	""	""	""	""	""	""
"使"	"sai3"	"sai53"	"白"	""	""	""	""	""	""
"使"	"su3"	"su53"	"文"	""	""	""	""	""	""
"使"	"sai5"	"sai21"	"白"	""	""	""	""	""	""
"使"	"su5"	"su21"	"文"	""	""	""	""	""	""
"駛"	"sai3"	"sai53"	"白"	""	""	""	""	""	""
"駛"	"su3"	"su53"	"文"	""	""	""	""	""	""
"芝"	"tsi1"	"tsi44"	""	""	""	""	""	""	""
"之"	"tsi1"	"tsi44"	""	""	""	""	""	""	""
"址"	"tsi3"	"tsi53"	""	""	""	""	""	""	""
"止"	"tsi3"	"tsi53"	""	""	""	""	""	""	""
"趾"	"tsi3"	"tsi53"	""	""	""	""	""	""	""
"志"	"tsi5"	"tsi21"	""	""	""	""	""	""	""
"誌"	"tsi5"	"tsi21"	""	""	""	""	""	""	""
"痣"	"ki5"	"ki21"	"白"	""	""	""	""	""	""
"痣"	"tsi5"	"tsi21"	"文"	""	""	""	""	""	""
"嗤"	"tshi1"	"tsʰi44"	""	""	""	""	""	""	""
"齒"	"khi3"	"kʰi53"	"白"	""	""	""	""	""	""
"齒"	"tshi3"	"tsʰi53"	"文"	""	""	""	""	""	""
"詩"	"si1"	"si44"	""	""	""	""	""	""	""
"始"	"si3"	"si53"	""	""	""	""	""	""	""
"試"	"tshi5"	"tsʰi21"	"白"	""	""	""	""	""	""
"試"	"si5"	"si21"	"文"	""	""	""	""	""	""
"時"	"si2"	"si13"	""	""	""	""	""	""	""
"鰣"	"si2"	"si13"	""	""	""	""	""	""	""
"市"	"tshi6"	"tsʰi22"	"白"	""	""	""	""	""	""
"市"	"si6"	"si22"	"文"	""	""	""	""	""	""
"恃"	"si6"	"si22"	""	""	""	""	""	""	""
"侍"	"su6"	"su22"	"俗"	""	""	""	""	""	""
"侍"	"sai6"	"sai22"	"白"	""	""	""	""	""	""
"侍"	"si6"	"si22"	"文"	""	""	""	""	""	""
"而"	"dzi2"	"dzi13"	""	""	""	""	""	""	""
"耳"	"hi6"	"hi22"	"白"	""	""	""	""	""	""
"耳"	"dzinn3"	"dzĩ53"	"文"	""	""	""	""	""	""
"餌"	"dzi6"	"dzi22"	"白"	""	""	""	""	""	""
"餌"	"dzinn3"	"dzĩ53"	"文"	""	""	""	""	""	""
"基"	"ki1"	"ki44"	""	""	""	""	""	""	""
"姬"	"ki1"	"ki44"	""	""	""	""	""	""	""
"己"	"ki6"	"ki22"	"俗"	""	""	""	""	""	""
"己"	"ki3"	"ki53"	""	""	""	""	""	""	""
"紀"	"ki3"	"ki53"	""	""	""	""	""	""	""
"記"	"ki5"	"ki21"	""	""	""	""	""	""	""
"欺"	"khi1"	"kʰi44"	""	""	""	""	""	""	""
"起"	"khi3"	"kʰi53"	""	""	""	""	""	""	""
"杞"	"ki3"	"ki53"	""	""	""	""	""	""	""
"杞"	"khi3"	"kʰi53"	""	""	""	""	""	""	""
"棋"	"ki2"	"ki13"	""	""	""	""	""	""	""
"其"	"ki2"	"ki13"	""	""	""	""	""	""	""
"旗"	"ki2"	"ki13"	""	""	""	""	""	""	""
"期"	"ki2"	"ki13"	""	""	""	""	""	""	""
"忌"	"khi6"	"kʰi22"	""	""	""	""	""	""	""
"忌"	"ki6"	"ki22"	""	""	""	""	""	""	""
"疑"	"gi2"	"ɡi13"	""	""	""	""	""	""	""
"擬"	"gi3"	"ɡi53"	""	""	""	""	""	""	""
"嘻"	"hi1"	"hi44"	""	""	""	""	""	""	""
"嬉"	"hi1"	"hi44"	""	""	""	""	""	""	""
"禧"	"hi1"	"hi44"	""	""	""	""	""	""	""
"禧"	"hi3"	"hi53"	""	""	""	""	""	""	""
"熙"	"hi1"	"hi44"	""	""	""	""	""	""	""
"喜"	"hi3"	"hi53"	""	""	""	""	""	""	""
"醫"	"i1"	"i44"	""	""	""	""	""	""	""
"意"	"i5"	"i21"	""	""	""	""	""	""	""
"矣"	"i3"	"i53"	""	""	""	""	""	""	""
"矣"	"i5"	"i21"	""	""	""	""	""	""	""
"怡"	"i2"	"i13"	""	""	""	""	""	""	""
"貽"	"i2"	"i13"	""	""	""	""	""	""	""
"已"	"i3"	"i53"	""	""	""	""	""	""	""
"以"	"i3"	"i53"	""	""	""	""	""	""	""
"異"	"i6"	"i22"	""	""	""	""	""	""	""
"異"	"inn6"	"ĩ22"	""	""	""	""	""	""	""
"機"	"kui1"	"kui44"	"白"	""	""	""	""	""	""
"機"	"ki1"	"ki44"	"文"	""	""	""	""	""	""
"譏"	"ki1"	"ki44"	""	""	""	""	""	""	""
"饑"	"ki1"	"ki44"	""	""	""	""	""	""	""
"幾"	"kui3"	"kui53"	"白"	""	""	""	""	""	""
"幾"	"ki3"	"ki53"	"文"	""	""	""	""	""	""
"既"	"ki5"	"ki21"	""	""	""	""	""	""	""
"豈"	"khi3"	"kʰi53"	""	""	""	""	""	""	""
"氣"	"khui5"	"kʰui21"	"白"	""	""	""	""	""	""
"氣"	"khi5"	"kʰi21"	"文"	""	""	""	""	""	""
"汽"	"khi5"	"kʰi21"	""	""	""	""	""	""	""
"沂"	"gi2"	"ɡi13"	""	""	""	""	""	""	""
"毅"	"ge6"	"ɡe22"	""	""	""	""	""	""	""
"希"	"hi1"	"hi44"	""	""	""	""	""	""	""
"稀"	"hi1"	"hi44"	""	""	""	""	""	""	""
"依"	"i1"	"i44"	""	""	""	""	""	""	""
"衣"	"ui1"	"ui44"	"白"	""	""	""	""	""	""
"衣"	"i1"	"i44"	"文"	""	""	""	""	""	""
"累"	"lui3"	"lui53"	""	""	""	""	""	""	""
"累"	"lui6"	"lui22"	""	""	""	""	""	""	""
"嘴"	"tsui3"	"tsui53"	""	""	""	""	""	""	""
"髓"	"tshue3"	"tsʰue53"	"白"	""	""	""	""	""	""
"髓"	"sui3"	"sui53"	"文"	""	""	""	""	""	""
"隨"	"sui2"	"sui13"	""	""	""	""	""	""	""
"揣"	"tshue3"	"tsʰue53"	""	""	""	""	""	""	""
"吹"	"tshue1"	"tsʰue44"	"白"	""	""	""	""	""	""
"吹"	"tshui1"	"tsʰui44"	"文"	""	""	""	""	""	""
"炊"	"tshue1"	"tsʰue44"	"白"	""	""	""	""	""	""
"炊"	"tshui1"	"tsʰui44"	"文"	""	""	""	""	""	""
"垂"	"sue2"	"sue13"	"白"	""	""	""	""	""	""
"垂"	"sui2"	"sui13"	"文"	""	""	""	""	""	""
"睡"	"tsue6"	"tsue22"	"白"	""	""	""	""	""	""
"睡"	"sui5"	"sui21"	"文"	""	""	""	""	""	""
"瑞"	"sui6"	"sui22"	""	""	""	""	""	""	""
"蕊"	"lui3"	"lui53"	""	""	""	""	""	""	""
"規"	"kui1"	"kui44"	""	""	""	""	""	""	""
"詭"	"kui3"	"kui53"	""	""	""	""	""	""	""
"虧"	"khui1"	"kʰui44"	""	""	""	""	""	""	""
"窺"	"kui1"	"kui44"	""	""	""	""	""	""	""
"跪"	"kui6"	"kui22"	""	""	""	""	""	""	""
"危"	"ui2"	"ui13"	"俗"	""	""	""	""	""	""
"危"	"gui2"	"ɡui13"	""	""	""	""	""	""	""
"偽"	"ui6"	"ui22"	"俗"	""	""	""	""	""	""
"偽"	"gui6"	"ɡui22"	""	""	""	""	""	""	""
"麾"	"hui1"	"hui44"	""	""	""	""	""	""	""
"毁"	"hui3"	"hui53"	""	""	""	""	""	""	""
"委"	"ui3"	"ui53"	""	""	""	""	""	""	""
"喂"	"ui5"	"ui21"	""	""	""	""	""	""	""
"為"	"ui2"	"ui13"	""	""	""	""	""	""	""
"為"	"ui6"	"ui22"	""	""	""	""	""	""	""
"壘"	"lui3"	"lui53"	""	""	""	""	""	""	""
"類"	"lui6"	"lui22"	""	""	""	""	""	""	""
"淚"	"lui6"	"lui22"	""	""	""	""	""	""	""
"醉"	"tsui5"	"tsui21"	""	""	""	""	""	""	""
"翠"	"tshui5"	"tsʰui21"	""	""	""	""	""	""	""
"悴"	"tsui6"	"tsui22"	""	""	""	""	""	""	""
"綏"	"sui1"	"sui44"	""	""	""	""	""	""	""
"雖"	"sui1"	"sui44"	""	""	""	""	""	""	""
"粹"	"tshui5"	"tsʰui21"	""	""	""	""	""	""	""
"遂"	"sui6"	"sui22"	""	""	""	""	""	""	""
"隧"	"sui6"	"sui22"	""	""	""	""	""	""	""
"穗"	"sui6"	"sui22"	""	""	""	""	""	""	""
"追"	"tui1"	"tui44"	""	""	""	""	""	""	""
"槌"	"thui2"	"tʰui13"	""	""	""	""	""	""	""
"槌"	"tui2"	"tui13"	""	""	""	""	""	""	""
"錘"	"thui2"	"tʰui13"	""	""	""	""	""	""	""
"錘"	"tui2"	"tui13"	""	""	""	""	""	""	""
"墜"	"tui6"	"tui22"	""	""	""	""	""	""	""
"墜"	"thui6"	"tʰui22"	""	""	""	""	""	""	""
"衰"	"sue1"	"sue44"	""	""	""	""	""	""	""
"摔"	"suai1"	"suai44"	"俗"	""	""	""	""	""	""
"摔"	"siak7"	"siak32"	"白"	""	""	""	""	""	""
"摔"	"sut7"	"sut32"	"文"	""	""	""	""	""	""
"帥"	"sue5"	"sue21"	""	""	""	""	""	""	""
"率"	"suai5"	"suai21"	"俗"	""	""	""	""	""	""
"錐"	"tsui1"	"tsui44"	""	""	""	""	""	""	""
"水"	"tsui3"	"tsui53"	"白"	""	""	""	""	""	""
"水"	"sui3"	"sui53"	"文"	""	""	""	""	""	""
"誰"	"tsuah8"	"tsuaʔ121"	"俗"	""	""	""	""	""	""
"誰"	"sui2"	"sui13"	""	""	""	""	""	""	""
"龜"	"kui1"	"kui44"	""	""	""	""	""	""	""
"軌"	"khui3"	"kʰui53"	""	""	""	""	""	""	""
"軌"	"kui3"	"kui53"	""	""	""	""	""	""	""
"癸"	"kui3"	"kui53"	""	""	""	""	""	""	""
"晷"	"kui3"	"kui53"	""	""	""	""	""	""	""
"愧"	"khui5"	"kʰui21"	""	""	""	""	""	""	""
"季"	"kui5"	"kui21"	""	""	""	""	""	""	""
"葵"	"khue2"	"kʰue13"	"白"	""	""	""	""	""	""
"葵"	"kui2"	"kui13"	"文"	""	""	""	""	""	""
"逵"	"kui2"	"kui13"	""	""	""	""	""	""	""
"夔"	"kui2"	"kui13"	""	""	""	""	""	""	""
"櫃"	"kui6"	"kui22"	""	""	""	""	""	""	""
"帷"	"ui2"	"ui13"	""	""	""	""	""	""	""
"位"	"ui6"	"ui22"	""	""	""	""	""	""	""
"維"	"bi2"	"bi13"	"白"	""	""	""	""	""	""
"維"	"ui2"	"ui13"	"文"	""	""	""	""	""	""
"惟"	"ui2"	"ui13"	""	""	""	""	""	""	""
"遺"	"ui2"	"ui13"	"白"	""	""	""	""	""	""
"遺"	"i2"	"i13"	"文"	""	""	""	""	""	""
"唯"	"bi2"	"bi13"	"白"	""	""	""	""	""	""
"唯"	"ui2"	"ui13"	"文"	""	""	""	""	""	""
"飛"	"pue1"	"pue44"	"白"	""	""	""	""	""	""
"飛"	"hui1"	"hui44"	"文"	""	""	""	""	""	""
"非"	"hui1"	"hui44"	""	""	""	""	""	""	""
"匪"	"hui3"	"hui53"	""	""	""	""	""	""	""
"沸"	"pui5"	"pui21"	""	""	""	""	""	""	""
"痱"	"pui5"	"pui21"	"白"	""	""	""	""	""	""
"痱"	"hui5"	"hui21"	"文"	""	""	""	""	""	""
"妃"	"hui1"	"hui44"	""	""	""	""	""	""	""
"菲"	"hui1"	"hui44"	""	""	""	""	""	""	""
"費"	"pi5"	"pi21"	""	""	""	""	""	""	""
"費"	"hui5"	"hui21"	""	""	""	""	""	""	""
"肥"	"pui2"	"pui13"	"白"	""	""	""	""	""	""
"肥"	"hui2"	"hui13"	"文"	""	""	""	""	""	""
"薇"	"bi2"	"bi13"	""	""	""	""	""	""	""
"微"	"bi2"	"bi13"	""	""	""	""	""	""	""
"尾"	"bue3"	"bue53"	"白"	""	""	""	""	""	""
"尾"	"bi3"	"bi53"	"文"	""	""	""	""	""	""
"未"	"bue6"	"bue22"	"白"	""	""	""	""	""	""
"未"	"bi6"	"bi22"	"文"	""	""	""	""	""	""
"味"	"bi6"	"bi22"	""	""	""	""	""	""	""
"歸"	"kui1"	"kui44"	""	""	""	""	""	""	""
"鬼"	"kui3"	"kui53"	""	""	""	""	""	""	""
"貴"	"kui5"	"kui21"	""	""	""	""	""	""	""
"巍"	"gui2"	"ɡui13"	""	""	""	""	""	""	""
"魏"	"gui6"	"ɡui22"	""	""	""	""	""	""	""
"揮"	"hui1"	"hui44"	""	""	""	""	""	""	""
"輝"	"hui1"	"hui44"	""	""	""	""	""	""	""
"徽"	"hui1"	"hui44"	""	""	""	""	""	""	""
"諱"	"hui5"	"hui21"	""	""	""	""	""	""	""
"卉"	"hui5"	"hui21"	""	""	""	""	""	""	""
"威"	"ui1"	"ui44"	""	""	""	""	""	""	""
"畏"	"uinn5"	"uĩ21"	""	""	""	""	""	""	""
"慰"	"uinn5"	"uĩ21"	""	""	""	""	""	""	""
"尉"	"uinn5"	"uĩ21"	""	""	""	""	""	""	""
"違"	"ui2"	"ui13"	""	""	""	""	""	""	""
"圍"	"ui2"	"ui13"	""	""	""	""	""	""	""
"葦"	"ui3"	"ui53"	""	""	""	""	""	""	""
"偉"	"ui3"	"ui53"	""	""	""	""	""	""	""
"緯"	"ui3"	"ui53"	""	""	""	""	""	""	""
"胃"	"ui6"	"ui22"	""	""	""	""	""	""	""
"謂"	"ui6"	"ui22"	""	""	""	""	""	""	""
"猬"	"ui6"	"ui22"	""	""	""	""	""	""	""
"褒"	"po1"	"po44"	""	""	""	""	""	""	""
"保"	"po3"	"po53"	""	""	""	""	""	""	""
"堡"	"po3"	"po53"	""	""	""	""	""	""	""
"寶"	"po3"	"po53"	""	""	""	""	""	""	""
"報"	"po5"	"po21"	""	""	""	""	""	""	""
"袍"	"phau2"	"pʰau13"	"白"	""	""	""	""	""	""
"袍"	"poo2"	"pɔ13"	"文"	""	""	""	""	""	""
"抱"	"phau6"	"pʰau22"	"白"	""	""	""	""	""	""
"抱"	"pau6"	"pau22"	"白"	""	""	""	""	""	""
"抱"	"pho6"	"pʰo22"	"文"	""	""	""	""	""	""
"暴"	"po6"	"po22"	""	""	""	""	""	""	""
"暴"	"pook8"	"pɔk121"	""	""	""	""	""	""	""
"毛"	"moo1"	"mɔ44"	"白"	""	""	""	""	""	""
"毛"	"mau2"	"mau13"	"白"	""	""	""	""	""	""
"毛"	"moo2"	"mɔ13"	"文"	""	""	""	""	""	""
"冒"	"moo6"	"mɔ22"	""	""	""	""	""	""	""
"帽"	"bo6"	"bo22"	""	""	""	""	""	""	""
"帽"	"moo6"	"mɔ22"	""	""	""	""	""	""	""
"刀"	"to1"	"to44"	""	""	""	""	""	""	""
"叨"	"to1"	"to44"	""	""	""	""	""	""	""
"叨"	"tho1"	"tʰo44"	""	""	""	""	""	""	""
"叨"	"thau1"	"tʰau44"	""	""	""	""	""	""	""
"倒"	"tau3"	"tau53"	"白"	""	""	""	""	""	""
"倒"	"to3"	"to53"	"文"	""	""	""	""	""	""
"島"	"to3"	"to53"	""	""	""	""	""	""	""
"禱"	"to3"	"to53"	""	""	""	""	""	""	""
"到"	"to5"	"to21"	""	""	""	""	""	""	""
"到"	"kau5"	"kau21"	"训"	""	""	""	""	""	""
"倒"	"tau5"	"tau21"	"白"	""	""	""	""	""	""
"倒"	"to5"	"to21"	"文"	""	""	""	""	""	""
"掏"	"tho1"	"tʰo44"	""	""	""	""	""	""	""
"滔"	"tho1"	"tʰo44"	""	""	""	""	""	""	""
"討"	"tho3"	"tʰo53"	""	""	""	""	""	""	""
"套"	"tho5"	"tʰo21"	""	""	""	""	""	""	""
"桃"	"to2"	"to13"	""	""	""	""	""	""	""
"桃"	"tho2"	"tʰo13"	""	""	""	""	""	""	""
"逃"	"to2"	"to13"	""	""	""	""	""	""	""
"陶"	"to2"	"to13"	""	""	""	""	""	""	""
"萄"	"to2"	"to13"	""	""	""	""	""	""	""
"濤"	"to2"	"to13"	""	""	""	""	""	""	""
"稻"	"tiu6"	"tiu22"	"俗"	""	""	""	""	""	""
"稻"	"tau6"	"tau22"	"白"	""	""	""	""	""	""
"稻"	"to6"	"to22"	"文"	""	""	""	""	""	""
"道"	"to6"	"to22"	""	""	""	""	""	""	""
"導"	"to6"	"to22"	""	""	""	""	""	""	""
"盗"	"to6"	"to22"	""	""	""	""	""	""	""
"腦"	"nau3"	"nau53"	"白"	""	""	""	""	""	""
"腦"	"lo3"	"lo53"	"文"	""	""	""	""	""	""
"惱"	"nau3"	"nau53"	""	""	""	""	""	""	""
"勞"	"lo2"	"lo13"	""	""	""	""	""	""	""
"撈"	"lo2"	"lo13"	""	""	""	""	""	""	""
"嘮"	"lo2"	"lo13"	""	""	""	""	""	""	""
"牢"	"tiau2"	"tiau13"	"俗"	""	""	""	""	""	""
"牢"	"lau2"	"lau13"	"白"	""	""	""	""	""	""
"牢"	"lo2"	"lo13"	"文"	""	""	""	""	""	""
"老"	"lau3"	"lau53"	"白"	""	""	""	""	""	""
"老"	"lo3"	"lo53"	"文"	""	""	""	""	""	""
"老"	"lau6"	"lau22"	""	""	""	""	""	""	""
"遭"	"tsau1"	"tsau44"	"白"	""	""	""	""	""	""
"遭"	"tso1"	"tso44"	"文"	""	""	""	""	""	""
"糟"	"tsau1"	"tsau44"	"白"	""	""	""	""	""	""
"糟"	"tso1"	"tso44"	"文"	""	""	""	""	""	""
"早"	"tsa3"	"tsa53"	"白"	""	""	""	""	""	""
"早"	"tso3"	"tso53"	"文"	""	""	""	""	""	""
"棗"	"tso3"	"tso53"	""	""	""	""	""	""	""
"蚤"	"tsau3"	"tsau53"	"白"	""	""	""	""	""	""
"蚤"	"tso3"	"tso53"	"文"	""	""	""	""	""	""
"澡"	"tsau3"	"tsau53"	"白"	""	""	""	""	""	""
"澡"	"tso3"	"tso53"	"文"	""	""	""	""	""	""
"躁"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"灶"	"tsau5"	"tsau21"	"白"	""	""	""	""	""	""
"灶"	"tso5"	"tso21"	"文"	""	""	""	""	""	""
"操"	"tsho1"	"tsʰo44"	""	""	""	""	""	""	""
"操"	"tsho5"	"tsʰo21"	""	""	""	""	""	""	""
"造"	"tso6"	"tso22"	""	""	""	""	""	""	""
"草"	"tshau3"	"tsʰau53"	"白"	""	""	""	""	""	""
"草"	"tsho3"	"tsʰo53"	"文"	""	""	""	""	""	""
"曹"	"tso2"	"tso13"	""	""	""	""	""	""	""
"皂"	"tso6"	"tso22"	""	""	""	""	""	""	""
"騷"	"sau1"	"sau44"	"白"	""	""	""	""	""	""
"騷"	"so1"	"so44"	"文"	""	""	""	""	""	""
"臊"	"tsho1"	"tsʰo44"	"白"	""	""	""	""	""	""
"臊"	"so1"	"so44"	"文"	""	""	""	""	""	""
"掃"	"sau5"	"sau21"	"白"	""	""	""	""	""	""
"掃"	"so5"	"so21"	"文"	""	""	""	""	""	""
"嫂"	"so3"	"so53"	""	""	""	""	""	""	""
"高"	"kau1"	"kau44"	""	""	""	""	""	""	""
"高"	"ko1"	"ko44"	""	""	""	""	""	""	""
"膏"	"ko1"	"ko44"	""	""	""	""	""	""	""
"羔"	"ko1"	"ko44"	""	""	""	""	""	""	""
"糕"	"ko1"	"ko44"	""	""	""	""	""	""	""
"稿"	"ko3"	"ko53"	""	""	""	""	""	""	""
"告"	"ko5"	"ko21"	""	""	""	""	""	""	""
"考"	"kho3"	"kʰo53"	""	""	""	""	""	""	""
"烤"	"kho3"	"kʰo53"	""	""	""	""	""	""	""
"靠"	"kho5"	"kʰo21"	""	""	""	""	""	""	""
"犒"	"kho5"	"kʰo21"	""	""	""	""	""	""	""
"熬"	"ngau2"	"ŋau13"	"白"	""	""	""	""	""	""
"熬"	"go2"	"ɡo13"	"文"	""	""	""	""	""	""
"傲"	"go6"	"ɡo22"	""	""	""	""	""	""	""
"蒿"	"o1"	"o44"	"白"	""	""	""	""	""	""
"蒿"	"ho1"	"ho44"	"文"	""	""	""	""	""	""
"薅"	"ho1"	"ho44"	""	""	""	""	""	""	""
"好"	"ho3"	"ho53"	""	""	""	""	""	""	""
"好"	"hoonn3"	"hɔ̃53"	""	""	""	""	""	""	""
"好"	"hoonn5"	"hɔ̃21"	""	""	""	""	""	""	""
"耗"	"hau5"	"hau21"	"白"	""	""	""	""	""	""
"耗"	"hoonn5"	"hɔ̃21"	"文"	""	""	""	""	""	""
"豪"	"ho2"	"ho13"	""	""	""	""	""	""	""
"毫"	"ho2"	"ho13"	""	""	""	""	""	""	""
"號"	"au2"	"au13"	"白"	""	""	""	""	""	""
"號"	"ho2"	"ho13"	"文"	""	""	""	""	""	""
"號"	"ko6"	"ko22"	"白"	""	""	""	""	""	""
"號"	"ho6"	"ho22"	"文"	""	""	""	""	""	""
"浩"	"ho6"	"ho22"	""	""	""	""	""	""	""
"爊"	"o1"	"o44"	""	""	""	""	""	""	""
"襖"	"o3"	"o53"	""	""	""	""	""	""	""
"懊"	"au5"	"au21"	"白"	""	""	""	""	""	""
"懊"	"o5"	"o21"	"文"	""	""	""	""	""	""
"奥"	"o5"	"o21"	""	""	""	""	""	""	""
"包"	"pau1"	"pau44"	""	""	""	""	""	""	""
"包"	"pau2"	"pau13"	""	""	""	""	""	""	""
"胞"	"pau1"	"pau44"	""	""	""	""	""	""	""
"飽"	"pa3"	"pa53"	"白"	""	""	""	""	""	""
"飽"	"pau3"	"pau53"	"文"	""	""	""	""	""	""
"豹"	"pa5"	"pa21"	"白"	""	""	""	""	""	""
"豹"	"pau5"	"pau21"	"文"	""	""	""	""	""	""
"爆"	"pook8"	"pɔk121"	""	""	""	""	""	""	""
"泡"	"pha6"	"pʰa22"	"白"	""	""	""	""	""	""
"泡"	"phau5"	"pʰau21"	"文"	""	""	""	""	""	""
"泡"	"phau6"	"pʰau22"	"文"	""	""	""	""	""	""
"抛"	"phua1"	"pʰua44"	"白"	""	""	""	""	""	""
"抛"	"phau1"	"pʰau44"	"文"	""	""	""	""	""	""
"炮"	"phau5"	"pʰau21"	""	""	""	""	""	""	""
"跑"	"phau3"	"pʰau53"	""	""	""	""	""	""	""
"鮑"	"pau6"	"pau22"	""	""	""	""	""	""	""
"刨"	"phau2"	"pʰau13"	""	""	""	""	""	""	""
"刨"	"pau6"	"pau22"	""	""	""	""	""	""	""
"茅"	"hm2"	"hm13"	"白"	""	""	""	""	""	""
"茅"	"mau2"	"mau13"	"文"	""	""	""	""	""	""
"貓"	"niau1"	"niau44"	"白"	""	""	""	""	""	""
"貓"	"ba2"	"ba13"	"白"	""	""	""	""	""	""
"貓"	"bau2"	"bau13"	"文"	""	""	""	""	""	""
"卯"	"bau3"	"bau53"	""	""	""	""	""	""	""
"貌"	"mau6"	"mau22"	""	""	""	""	""	""	""
"鐃"	"lau2"	"lau13"	"文"	""	""	""	""	""	""
"撓"	"la6"	"la22"	"白"	""	""	""	""	""	""
"撓"	"nau6"	"nau22"	"文"	""	""	""	""	""	""
"撓"	"nau2"	"nau13"	"文"	""	""	""	""	""	""
"鬧"	"la6"	"la22"	"白"	""	""	""	""	""	""
"鬧"	"nau6"	"nau22"	"文"	""	""	""	""	""	""
