"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"唆"	"so1"	"so44"	""	""	""	""	""	""	""
"鎖"	"so3"	"so53"	""	""	""	""	""	""	""
"瑣"	"so3"	"so53"	""	""	""	""	""	""	""
"鍋"	"ue1"	"ue44"	"白"	""	""	""	""	""	""
"鍋"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"過"	"kua1"	"kua44"	"白"	""	""	""	""	""	""
"過"	"ko1"	"ko44"	"文"	""	""	""	""	""	""
"過"	"kua5"	"kua21"	"白"	""	""	""	""	""	""
"過"	"kue5"	"kue21"	"白"	""	""	""	""	""	""
"過"	"ko5"	"ko21"	"文"	""	""	""	""	""	""
"戈"	"ko1"	"ko44"	""	""	""	""	""	""	""
"果"	"kue3"	"kue53"	"白"	""	""	""	""	""	""
"果"	"ko3"	"ko53"	"文"	""	""	""	""	""	""
"裹"	"ko3"	"ko53"	""	""	""	""	""	""	""
"科"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"棵"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"窠"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"顆"	"kho1"	"kʰo44"	""	""	""	""	""	""	""
"課"	"khue5"	"kʰue21"	"白"	""	""	""	""	""	""
"課"	"kho5"	"kʰo21"	"文"	""	""	""	""	""	""
"訛"	"go2"	"ɡo13"	""	""	""	""	""	""	""
"臥"	"go6"	"ɡo22"	""	""	""	""	""	""	""
"火"	"hue3"	"hue53"	"白"	""	""	""	""	""	""
"火"	"hoonn3"	"hɔ̃53"	"文"	""	""	""	""	""	""
"夥"	"hue3"	"hue53"	"白"	""	""	""	""	""	""
"夥"	"hoonn3"	"hɔ̃53"	"文"	""	""	""	""	""	""
"貨"	"hue5"	"hue21"	"白"	""	""	""	""	""	""
"貨"	"hoonn5"	"hɔ̃21"	"文"	""	""	""	""	""	""
"禾"	"ho2"	"ho13"	""	""	""	""	""	""	""
"和"	"hue2"	"hue13"	"白"	""	""	""	""	""	""
"和"	"ho2"	"ho13"	"文"	""	""	""	""	""	""
"和"	"ho6"	"ho22"	""	""	""	""	""	""	""
"禍"	"ho6"	"ho22"	""	""	""	""	""	""	""
"倭"	"o1"	"o44"	""	""	""	""	""	""	""
"窩"	"o1"	"o44"	""	""	""	""	""	""	""
"涴"	"o5"	"o21"	""	""	""	""	""	""	""
"涴"	"uan1"	"uan44"	""	""	""	""	""	""	""
"瘸"	"khue2"	"kʰue13"	"白"	""	""	""	""	""	""
"瘸"	"kio2"	"kio13"	"文"	""	""	""	""	""	""
"靴"	"hia1"	"hia44"	"白"	""	""	""	""	""	""
"靴"	"hio1"	"hio44"	"文"	""	""	""	""	""	""
"巴"	"pa1"	"pa44"	""	""	""	""	""	""	""
"疤"	"pa1"	"pa44"	""	""	""	""	""	""	""
"芭"	"pa1"	"pa44"	""	""	""	""	""	""	""
"把"	"pee3"	"pɛ53"	"白"	""	""	""	""	""	""
"把"	"pa3"	"pa53"	"文"	""	""	""	""	""	""
"爸"	"pee6"	"pɛ22"	"白"	""	""	""	""	""	""
"爸"	"pa6"	"pa22"	"文"	""	""	""	""	""	""
"杷"	"pee2"	"pɛ13"	"白"	""	""	""	""	""	""
"杷"	"pa2"	"pa13"	"文"	""	""	""	""	""	""
"壩"	"pa5"	"pa21"	""	""	""	""	""	""	""
"垻"	"pa5"	"pa21"	""	""	""	""	""	""	""
"霸"	"pa5"	"pa21"	""	""	""	""	""	""	""
"怕"	"phann5"	"pʰã21"	""	""	""	""	""	""	""
"琶"	"pee2"	"pɛ13"	"白"	""	""	""	""	""	""
"琶"	"pa2"	"pa13"	"文"	""	""	""	""	""	""
"爬"	"pee2"	"pɛ13"	"白"	""	""	""	""	""	""
"爬"	"pa2"	"pa13"	"文"	""	""	""	""	""	""
"爬"	"pha2"	"pʰa13"	"文"	""	""	""	""	""	""
"麻"	"mua2"	"mua13"	"白"	""	""	""	""	""	""
"麻"	"ba2"	"ba13"	"文"	""	""	""	""	""	""
"麻"	"ma2"	"ma13"	"文"	""	""	""	""	""	""
"蟆"	"ma2"	"ma13"	""	""	""	""	""	""	""
"媽"	"ma1"	"ma44"	"俗"	""	""	""	""	""	""
"媽"	"ma3"	"ma53"	""	""	""	""	""	""	""
"馬"	"bee3"	"bɛ53"	"白"	""	""	""	""	""	""
"馬"	"ma3"	"ma53"	"文"	""	""	""	""	""	""
"碼"	"bee3"	"bɛ53"	"白"	""	""	""	""	""	""
"碼"	"ma3"	"ma53"	"文"	""	""	""	""	""	""
"罵"	"mee6"	"mɛ22"	"白"	""	""	""	""	""	""
"罵"	"ma6"	"ma22"	"文"	""	""	""	""	""	""
"拿"	"na3"	"na53"	"俗"	""	""	""	""	""	""
"拿"	"na2"	"na13"	""	""	""	""	""	""	""
"詫"	"tha5"	"tʰa21"	""	""	""	""	""	""	""
"茶"	"tee2"	"tɛ13"	"白"	""	""	""	""	""	""
"茶"	"ta2"	"ta13"	"文"	""	""	""	""	""	""
"茶"	"tsha2"	"tsʰa13"	"文"	""	""	""	""	""	""
"查"	"tsee2"	"tsɛ13"	"白"	""	""	""	""	""	""
"查"	"tsa2"	"tsa13"	"文"	""	""	""	""	""	""
"渣"	"tsee1"	"tsɛ44"	"白"	""	""	""	""	""	""
"渣"	"tsa1"	"tsa44"	"文"	""	""	""	""	""	""
"詐"	"tsee5"	"tsɛ21"	"白"	""	""	""	""	""	""
"詐"	"tsa5"	"tsa21"	"文"	""	""	""	""	""	""
"榨"	"tsee5"	"tsɛ21"	"白"	""	""	""	""	""	""
"榨"	"tsa5"	"tsa21"	"文"	""	""	""	""	""	""
"炸"	"tsee5"	"tsɛ21"	"白"	""	""	""	""	""	""
"炸"	"tsa6"	"tsa22"	"文"	""	""	""	""	""	""
