地点：浙江丽水龙泉龙渊 字表来源：《处州方言历史比较》《吴语处州方言的地理比较》 说明：部分字音补充自语保													
汉字	IPA	声调	备注								声调	调类	调值
多	təu	1									1	阴平	335
大	dəu	6									2	阳平	211
拖	tʰəu	1	～鞋								3	阴上	53
驼	dəu	2									5	阴去	45
驮	dəu	2	拿								6	阳去	13
罗	ləu	2									7	阴入	54
箩	la	2									8	阳入	23
攞	ləu	2									0	轻声	0
左	tsəu	3									1a	变调甲	22
搓	tsʰəu	1									1b	变调乙	33
歌	kəu	1									1c	变调丙	21
哥	kəu	1									7a	阴入变调	3
个	kəu	5	～体户								8a	阳入变调	2
个	ki	5	一～										
可	kʰəu	3											
鹅	ŋəu	2											
我	ŋo	3											
饿	ŋəu	6	文										
何	əu	2											
河	əu	2											
荷	əu	2											
茄	dʑio	2	～子										
波	pu	1											
菠	pu	1											
跛	pa	3											
簸	pa	5											
坡	pu	1											
玻	pu	1											
破	pʰa	5											
婆	bu	2											
磨	məu	2	动词										
磨	məu	6	名词										
朵	tu	3											
躲	təu	1											
剁	tɛiʔ	7											
椭	tʰəu	3											
糯	nəu	6											
螺	lɛ	2	田～										
螺	ləu	2	～蛳										
脶	lɛ	2											
啰	ləu	2											
锉	tsʰəu	5											
坐	səu	3											
座	zəu	6											
蓑	səu	1											
锁	səu	3											
锅	kəu	1											
戈	kəɯʔ	7											
果	kəu	3											
过	kəu	5											
科	kʰəu	1											
窠	kʰuə	1											
课	kʰəu	5											
卧	əu	6											
火	xui	3											
夥	ua	3	多										
伙	xəu	3											
货	xəu	5											
禾	əu	2											
和	əu	2											
祸	əu	3											
涴	u	5	大便										
靴	ɕyə	1											
巴	po	1											
疤	po	1											
芭	po	1											
把	pu	3											
坝	po	5											
怕	pʰa	5											
帕	pʰɔʔ	7											
爬	bu	2											
杷	bo	2											
钯	bo	2											
耙	bo	2											
麻	mu	2											
痳	mu	2											
蟆	mo	2											
马	mo	3											
骂	mo	6	文										
拿	no	2	文										
茶	dzo	2											
搽	dzo	2											
楂	tso	1											
渣	tso	1											
榨	tsɔʔ	7											
炸	tsɔʔ	7											
叉	tsʰo	1											
差	tsʰo	1	～别										
查	dzo	2											
沙	so	1											
纱	so	1											
家	ko	1											
加	ko	1											
假	ko	3	真～、放～										
价	ko	5											
架	ko	5											
驾	ko	5											
嫁	io	5											
揢	kʰo	5	拿，拿住										
牙	ŋo	2											
芽	ŋo	2											
虾	xo	1											
下	io	3											
夏	o	6											
厦	o	6											
鸦	o	1											
哑	u	3											
亚	o	5											
借	tɕio	5											
笡	tɕʰio	5											
写	ɕio	3											
邪	ʑio	2											
斜	ʑio	2											
谢	ʑio	6											
爹	ta	1	爸爸										
遮	tɕio	1											
蔗	tɕio	5											
车	tɕʰio	1											
蛇	ʑio	2											
射	ʑio	6											
赊	ɕio	1											
捨	ɕio	3	～得										
舍	ɕio	5	宿～										
社	ɕio	3											
爷	io	2											
野	io	3											
夜	io	6											
傻	sa	1											
瓜	kuə	1											
寡	kuə	3											
跨	kʰuə	5											
瓦	ŋuə	3											
花	xuə	1											
化	xuə	5											
华	uə	2	中～										
华	uə	6	姓										
蛙	o	1											
划	uə	2	～船										
补	pɤɯ	3											
谱	pʰɤɯ	3											
布	pɤɯ	5											
铺	pʰɤɯ	1	动词										
普	pʰɤɯ	3											
浦	pʰɤɯ	3											
铺	pʰɤɯ	5	名词										
菩	bu	2											
蒲	bɤɯ	2											
脯	bu	2											
部	pu	3											
簿	pɤɯ	3											
步	bɤɯ	6											
模	məu	2											
墓	mɤɯ	6											
都	tɤɯ	1	首～、～是										
赌	tɤɯ	3											
肚	tɤɯ	3	猪～										
妒	tɤɯ	5											
土	tʰɤɯ	3											
吐	tʰɤɯ	3	～痰										
吐	tʰɤɯ	5	呕～										
兔	tʰɤɯ	5											
途	dɤɯ	2											
涂	dɤɯ	2											
图	dɤɯ	2											
徒	dɤɯ	2											
肚	tɤɯ	3	文，～子										
杜	tɤɯ	3											
度	dɤɯ	6											
渡	dɤɯ	6											
镀	dɤɯ	6											
奴	nɤɯ	2											
努	nɤɯ	3											
怒	nɤɯ	6											
卢	lɤɯ	2											
炉	lɤɯ	2											
芦	lu	2	包～：玉米										
芦	lɤɯ	2	读字音										
鲁	lɤɯ	3											
虏	lɤɯ	3											
卤	lɤɯ	3											
露	lɤɯ	6											
路	lɤɯ	6											
租	tsɤɯ	1											
祖	tsɤɯ	3											
组	tsɤɯ	3											
做	tso	5											
粗	tsʰɤɯ	1											
醋	tsʰɤɯ	5											
错	tsʰəu	5											
苏	sɤɯ	1	～联										
素	sɤɯ	5											
塑	sɤɯ	5											
箍	kʰuɯ	1											
姑	kuɯ	1											
估	kuɯ	3											
古	kuɯ	3											
股	kuɯ	3											
鼓	kuɯ	3											
故	kuɯ	5											
固	kuɯ	5											
雇	kuɯ	5											
顾	kuɯ	5											
苦	kʰuɯ	3											
库	kʰuɯ	5											
裤	kʰuɯ	5											
吴	uɯ	2											
蜈	ŋɤɯ	2											
五	ŋəu	3											
午	ŋəu	3											
伍	ŋəu	3											
悟	uɯ	6											
误	uɯ	6											
虎	xuɯ	3											
浒	xuɯ	3											
戽	xuɯ	5	～田：耘田										
壶	uɯ	2											
瓠	uɯ	2	葫										
胡	uɯ	2	姓										
狐	uɯ	2											
湖	uɯ	2											
鬍	uɯ	2	胡须										
糊	uɯ	2											
户	uɯ	3											
互	uɯ	6											
护	uɯ	6											
乌	uɯ	1											
污	uɯ	1											
女	ȵy	3											
庐	lɤɯ	2											
吕	li	3											
旅	li	3											
虑	li	6											
徐	ʑy	2											
序	ɕy	3											
绪	ɕy	3											
猪	to	1											
𣥼	ti	5	盛，盛饭										
除	dʑy	2											
苎	tɕi	3											
着	tɛ	3	～火										
箸	dʑi	6											
阻	tsɤɯ	3											
初	tsʰɤɯ	1											
楚	tsʰɤɯ	3											
础	tsʰɤɯ	3											
锄	zo	2											
助	zɤɯ	6											
疏	so	1											
蔬	sɤɯ	1											
梳	sɤɯ	1											
所	sɤɯ	3											
诸	tɕy	1											
煮	i	3	～鸡蛋										
煮	tɕy	3	读字音										
处	tɕʰy	5	家、房子										
书	ɕy	1											
舒	ɕy	1											
鼠	tɕʰi	3											
暑	ɕy	3											
薯	dʑi	6											
如	ȵy	2											
车	tɕy	1	象棋										
举	tɕy	3											
锯	kɤɯ	5											
据	tɕy	5											
去	kʰɤɯ	5											
渠	gɤɯ	2	他										
距	tɕy	3											
鱼	ŋɤɯ	2											
语	ȵy	3											
□	yɛ	3	～牛：放牛。本字疑为“守”										
虚	ɕy	1											
许	ɕy	3											
余	y	2											
与	y	3											
誉	y	6											
预	y	6											
夫	fɤɯ	1											
肤	fɤɯ	1											
斧	fɤɯ	3											
府	fɤɯ	3											
傅	fɤɯ	5											
付	fɤɯ	5											
俘	fɤɯ	1											
麸	fɤɯ	1											
符	vɤɯ	2											
扶	vɤɯ	2											
芙	vɤɯ	2											
泭	vɔʔ	8	泡沫										
腐	fɤɯ	3											
父	fɤɯ	3											
巫	uɯ	2											
诬	uɯ	2											
无	muɯ	5											
舞	muɯ	3											
武	muɯ	3											
务	muɯ	6											
雾	muɯ	6											
取	tɕʰy	3											
娶	tɕʰy	3											
趣	tɕʰy	5											
聚	tɕy	3											
需	ɕy	1											
须	ɕy	1											
鬚	ɕy	1											
蛛	ty	1											
拄	ti	5											
厨	dʑy	2											
柱	tɕy	3											
住	dʑy	6											
数	ɕy	3	动词										
数	sɤɯ	5	名词										
珠	y	1	目～：眼睛										
珠	tɕy	1	珍～										
朱	tɕy	1											
主	tɕy	3											
注	tɕy	5											
蛀	tɕy	5											
输	ɕy	1											
殊	ʑy	2											
竖	ɕy	3											
树	dʑiɯ	6											
儒	nɤɯ	2											
拘	tɕy	1											
句	tɕy	5											
区	tɕʰy	1											
具	dʑy	6											
寓	y	6											
于	y	2											
雨	y	3											
芋	u	6											
愉	y	2											
裕	y	6											
戴	ta	5											
胎	tʰɛ	1											
台	tʰɛ	1	～州										
态	tʰɛ	5											
贷	dɛ	6											
臺	dɛ	2	～湾										
代	dɛ	6											
袋	dɛ	6											
耐	na	6											
来	li	2											
灾	tsɛ	1											
再	tsɛ	5											
猜	tsʰɛ	1											
彩	tsʰɛ	3											
菜	tsʰɛ	5											
材	zɛ	2											
才	zɛ	2											
裁	zɛ	2											
财	zɛ	2											
在	sɛ	3											
赛	sɛ	5											
该	kɛ	1											
改	kɛ	3											
概	kɛ	5											
开	kʰɛ	1											
咳	kʰɛiʔ	7											
呆	ŋɛ	2											
海	xɛ	3											
爱	ɛ	5											
贝	pɛ	5											
带	ta	5											
泰	tʰa	5											
太	tʰa	5											
赖	la	6											
癞	lɔʔ	8											
蔡	tsʰa	5											
盖	ka	5											
艾	ua	6											
害	ɛ	6											
拜	pa	5											
排	ba	2											
埋	ma	2											
介	ka	5											
阶	ka	1											
戒	ka	5											
芥	ka	5											
界	ka	5											
届	ka	5											
械	a	6											
摆	pa	3											
派	pʰa	5											
牌	ba	2											
买	ma	3											
卖	ma	6											
奶	na	3											
斋	tsa	1											
债	tsa	5											
钗	tsʰo	1											
差	tsʰo	1	出～										
柴	za	2	文										
洒	sa	3	～酒：斟酒										
晒	sa	5											
街	ka	1											
解	ka	3											
鞋	a	2											
蟹	xa	3											
矮	a	3											
败	ba	6											
寨	za	6											
蔽	pi	5											
毙	bi	6											
币	bi	6											
弊	bi	6											
厉	li	6											
例	li	6											
祭	tɕi	5											
际	tɕi	5											
制	tɕi	5											
势	ɕi	5											
世	ɕi	5											
誓	ʑi	6											
艺	ȵi	6											
闭	pi	5											
批	pʰi	1											
米	mi	3											
谜	mi	2											
堤	di	2											
低	ti	1											
底	ti	3											
抵	ti	3											
帝	ti	5											
梯	tʰɛ	1											
体	tʰi	3											
替	tʰi	5											
涕	tʰi	5	文										
剃	tʰi	5											
提	di	2											
題	di	2											
蹄	di	2											
屉	tʰi	5											
弟	ti	3											
第	di	6											
递	di	6											
泥	ȵi	2											
犁	li	2											
礼	li	3											
丽	li	6											
隶	di	6											
砌	tsʰɿ	5											
齐	ʑi	2											
脐	zɤɯ	2											
荠	ʑi	2											
西	ɕi	1											
洗	ɕi	3											
细	ɕi	5											
婿	ɕi	5											
鸡	i	1											
稽	tɕi	1											
计	tɕi	5	会～										
溪	tɕʰi	1											
启	tsʰɿ	3											
锲	tɕʰi	5	砍，砍柴										
系	i	5	关～										
杯	pɛ	1											
辈	pɛ	5											
背	pɛ	1	动词										
背	pɛ	5	名词										
背	pəʔ	7a	～脊										
配	pʰɛ	5											
培	bɛ	2											
陪	bɛ	2											
赔	bɛ	2											
倍	pɛ	3											
媒	mi	2											
煤	mi	2											
枚	mi	2											
梅	mi	2											
每	mi	3											
妹	mɛ	6											
堆	tɛ	1											
碓	tɛ	5											
对	tɛ	5											
推	tʰɛ	1											
腿	tʰɛ	3											
退	tʰɛ	5											
队	dɛ	6											
内	nɛ	6											
雷	lɛ	2											
㔣	li	6	滚动、丢失										
催	tsʰɛ	1											
崔	tsʰɛ	1											
罪	sɛ	3											
碎	sɛ	5											
盔	xui	1											
恢	xui	1											
块	kʰuɛ	5											
灰	xui	1											
悔	xui	3											
茴	uɛ	2											
回	uɛ	2											
汇	uɛ	6											
煨	uɛ	1											
最	tsɛ	5											
会	kui	5	～计										
会	uɛ	6	开～										
会	ui	6	不～										
外	a	6	～公										
外	ua	6	～面										
绘	kui	5											
怪	kua	5											
怀	ua	2	～表、～里										
坏	ka	3											
拐	kua	3											
挂	kuə	5											
卦	kuə	5											
歪	ua	1											
画	uə	6											
快	kʰua	5											
话	uə	6											
脆	tsʰui	5											
岁	ɕy	5											
税	ɕy	5											
卫	ui	6											
废	fi	5											
肺	fi	5											
吠	bi	6	狗叫										
桂	kui	5											
慧	ui	6											
惠	ui	6											
碑	pɛ	1											
臂	piʔ	7											
披	pʰi	1											
皮	bi	2											
脾	bi	2											
被	pi	3											
避	bi	6											
篱	li	2											
离	li	2											
璃	li	2											
荔	li	6											
紫	tsɿ	3											
雌	tsʰɿ	1											
此	tsʰɿ	3											
刺	tɕʰi	5											
斯	sɿ	1											
知	tsɿ	1											
蜘	ti	1	～～：蜘蛛										
筛	sɤɯ	1											
支	tɕi	1											
枝	tɕi	1											
栀	tɕy	1											
纸	tɕi	3											
施	ɕi	1											
匙	ʑi	2											
是	sɿ	3											
儿	ȵi	2											
寄	tsɿ	5											
企	tsʰɿ	3											
奇	dzɿ	2											
骑	dzɿ	2											
徛	kɛ	3	站立										
技	dʑi	6											
宜	ȵi	6											
蚁	ua	3	黄～儿：蚂蚁										
蚁	ŋɤɯ	3	白～										
义	ȵi	6											
仪	ȵi	6											
牺	sɿ	1											
戏	sɿ	5											
椅	y	3											
移	i	2											
易	i	6											
悲	pɛ	1											
比	pi	3											
庇	pʰi	5											
痹	pi	5											
屁	pʰi	5											
枇	bi	2											
备	bi	6											
鼻	biʔ	8											
篦	bi	6											
眉	mi	2											
美	mi	3											
地	di	6											
尼	ȵi	2											
腻	ȵi	6											
梨	li	2											
利	li	6											
资	tsɿ	1											
姊	tsɿ	3	姐姐										
次	tsʰɿ	5											
瓷	zɿ	2											
自	zɿ	6											
私	sɿ	1											
死	sɤɯ	3											
四	sɿ	5											
泗	ɕi	5	鼻涕										
迟	dzɿ	2											
师	sɤɯ	1											
狮	sɤɯ	1											
脂	tsɿ	1											
指	tsɿ	3											
旨	tsɿ	3											
至	tsɿ	5											
示	zɿ	6											
尸	sɿ	1											
视	zɿ	6											
二	ȵi	6											
肌	tsɿ	1											
飢	kɛ	1	腹～：饿										
几	tsɿ	1	茶～										
器	tsʰɿ	5											
姨	ɿ	3											
肄	ɿ	2											
你	ȵi	3											
李	li	3											
理	li	3											
里	li	3	一～										
裏	li	3	～外										
鲤	li	3											
