字	音	注			
□	taŋ[1]	（鳥）啄			
□	lɔ[6]	找			
□	lueˀ[8]	蟑螂			
□	taiŋ[1]	蘸			
□	wa[3]	窄。或認爲本字是“迫”			
□	tʰoˀ[8]	扎			
□	xa[6]	在			
□	lau[5]	遠			
□	siaŋ[2]	引誘，呼喚豬喫			
□	pau[2]	溢出			
□	tiaŋ[6]	硯～ŋaiŋ6 tiaŋ6：硯			
□	ŋaiŋ[6]	研磨			
□	luŋ[5]	溫暖			
□	noiŋ[6]	聽～hiaŋ1 noiŋ6：聽到			
□	ɣiŋ[2]	隨身攜帶			
□	neu[5]	樹根			
□	pʰo[5]	石～tsio8 pʰo5：巨大的石頭			
□	nɔ[2]	揉			
□	pʰuiˀ[8]	泡沫			
□	pie[7]	女陰			
□	le[2]	你～去noi9 le2 kʰɔ5：你如果去；如果			
□	nui[9]	男陰			
□	tsʰiŋ[7]	目～mo8 tsʰiŋ7：睡眠			
□	tsɔŋ[5]	門～muŋ2 tsɔŋ5：門閂			
□	lyeŋ[9]	門～muŋ2 lyeŋ9：門檻			
□	ko[2]	饅頭～maiŋ2 heu2 ko2：嬰兒			
□	leˀ[8]	目～mo8 le8：眼淚			
□	paŋ[1]	跨過			
□	waiŋ[3]	toi3 waiŋ3：衣服襯裏			
□	ɣaŋ[6]	角落～ko7 lo8 ɣaŋ6：角落			
□	tsiˀ[8]	肩～頭kaiŋ1 tsi8 heu2：肩膀			
□	loi[9]	雞～kai1 loi9：雞蝨；雞蝨			
□	kui[5]	雞～kai1 kui5：雞冠；髻			
□	ɣaiŋ[9]	含銜			
□	tso[3]	故～ko5 tso3：因此			
□	xa[5]	浮～水面上iu9 xa5 sy3 mieŋ6 tsioŋ6			
□	toiŋ[6]	燉			
□	kʰe[7]	翅膀			
□	tʰeu[3]	巢			
過	∅ue[9]	菜老			
□	tsʰioŋ[1]	菜～tʰe5 tsʰioŋ1：蔬菜園的高架床			
□	leŋ[9]	彩虹			
□	hue[7]	擦			
□	tsuiˀ[8]	擦			
□	tsʰi[7]	閉上（眼睛）			
□	nɔ[6]	笨			
□	le[3]	懊惱得～au3 nau3 te7 le3：懊惱得很			
□	tsaŋ[5]	按壓			
□	pʰaŋ[3]	～子pʰaŋ3 tsie3：毯子。校：毯讀音特殊			
□	niaˀ[8]	～子nia8 tsie3：辮子			
腎	ɣiŋ[5]	雞～子kai1 ɣiŋ5 tsie3：雞肫			
□	keu[3]	～蚤keu3 tseu3：跳蚤			
□	ho[7]	ho7 tsi8 tsia7 se8：被一個刺扎；刺入			
□	hie[6]	i7 tsi8 hie6 loi6：這塊土地；塊；山、錢的量詞			
□	so[1]	～像so1 sioŋ5：像			
□	nio[6]	～䘆nio6 xyeŋ3：蚯蚓			
□	liaŋ[5]	～下來liaŋ5 ha5 le2；倒塌			
□	kʰaŋ[3]	～頭kʰaŋ3 heu2：點頭；點（頭）			
□	keŋ[1]	～頭keŋ1 heu2：低頭；低（頭）			
□	ɣɔ[2]	～頭ɣɔ2 heu2：抬頭			
□	naiŋ[9]	否定詞，沒有，naiŋ9 si5：不是			
□	naˀ[8]	給；捉拿；拔			
□	∅au[1]	～起來au1 kʰe5 le2：凸起來；凸			
□	lue[2]	排泄，～尿lue2 nio6			
□	∅aiŋ[1]	～娘aiŋ1 nioŋ2：女人			
□	ko[7]	～你夥人ko7 noi9 xuo3 noiŋ2；與			
□	lɔŋ[9]	～米lɔŋ9 moi5：爲米去殼；用臼和杵去米殼			
□	naŋ[9]	睜			
□	∅ioŋ[7]	～角ioŋ7 ko7：這樣			
□	muŋ[9]	～間muŋ9 kaiŋ1：房間			
□	tsue[5]	～記tsue5 ki5：忘記			
□	∅iaˀ[8]	～手ia8 siu3：揮手；搧			
□	mɔ[7]	吻			
□	hiaŋ[1]	衫			
□	tseŋ[6]	穿（衣服）			
□	∅oŋ[3]	那樣。～o7 樣的合音			
□	∅ioŋ[3]	這樣。～i7 樣的合音			
□	poi[7]	～卦poi7 kua5：算卦			
□	na[7]	給，被			
□	na[7]	凹			
□	pʰieŋ[3]	～擔pʰieŋ3 taŋ1：撣（灰塵）			
□	∅o[7]	那，～隻o7 tsia7：那個			
□	∅i[7]	這，～隻i7 tsia7：這個			
□	tiaˀ[8]	tia8 ty5 tsie3：蜘蛛			
□	ty[5]	tia8 ty5 tsie3：蜘蛛			
□	moˀ[8]	mo8 ka7 tsie3：壁虎			
□	ka[7]	mo8 ka7 tsie3：壁虎；～蜢ka7 maŋ3：蚱蜢			
□	∅eu[3]	大～tue6 eu3：大叫；叫			
□	saŋ[1]	xue7 saŋ1：劃拳			
□	xue[7]	xue7 saŋ1：劃拳			
□	tye[6]	xo2 tye6：豪豬			
□	xo[2]	xo2 tye6：豪豬			
□	xaŋ[2]	xaŋ2 xui2：蜻蜓			
□	xui[2]	xaŋ2 xui2：蜻蜓			
□	xui[2]	～器xui2 kʰi5：陶器			
□	tsi[7]	tsi7 tsi7：奶，乳房			
□	po[2]	poi5 po2：蝙蝠			
□	poi[5]	poi5 po2：蝙蝠			
□	∅y[2]	ŋioŋ3 y2：楓樹的種子			
楓	ŋioŋ[3]	ŋioŋ3 y2：楓樹的種子			
□	haŋ[5]	nuŋ6 haŋ5：丟失了；動詞後表示完成			
□	nuŋ[6]	nuŋ6 haŋ5：丟失了；～下來			
