	注释：-白读，=文读
#a	
p	[1]巴芭疤笆爸□{～脊：背部}[3]把={1，～握}饱[4]罢[5]霸壩坝豹
pʰ	[1]脬葩{1，（一）朵（花儿），原文作“抛”}[5]怕
b	[5]□{～牙：龅牙}□{趴，～在桌上}
m	[1]妈[3]马={1，～上}□{奶奶}
t	[1]大{～家，丈夫的母亲}[3]打{～仗}[5]罩-{1，虻～}
tʰ	[1]他它[5]□{动词，使松散}
n	[2]挪[3]拿那哪[4]□{（火）蔓延}
l	[1]拉[2]朥□{～□tau55：仙人掌}[4]□{动词，搅动}□{形容词，够}[5]□{晾凉，～水}
ts	[1]渣楂昨{训}[3]早[5]诈榨炸乍窄
tsʰ	[1]搓差{～别；～错；参～}[2]柴[3]炒
s	[1]莎[2]傻[5]□{饵}
k	[1]家-{1，～己}胶茭铰□{～□tsuaʔ54：蟑螂}[3]绞搅-{1，～散}[4]咬[5]教校{～对}较酵窖□{稀，不稠}
kʰ	[1]□{～□tsʰiu41：喷嚏}[3]卡岂巧-{1，凑～}[5]扣{1，～钱}叩-{1，敲（门）}
h	[1]哈[5]孝-{1，戴～}
∅	[1]阿鸦桠亚[3]拗{①掰②折}[5]拗{辩解}
#ia	
t	[1]爹
ts	[1]遮[3]者姐={1，小～}[4]藉籍[5]蔗[6]谢-{1，姓}
tsʰ	[1]车-{1，驶～}奢赊[3]且
dz	[3]惹
s	[1]斜-{1，歪，不正}[2]邪斜={2，倾～}佘[3]写[4]社[5]泻卸捨赦舍[6]谢={2，感～}射麝
k	[1]加={1，～法}痂嘉佳[3]贾{姓}假{休～}[4]□{形容地势陡}[5]寄
kʰ	[1]奇{～数}[2]骑擎{1.拿。2.扛}[4]徛{站，立}
ɡ	[2]椰
ŋ	[3]雅
h	[1]靴桸{1.浇灌用的，有长柄。2.（舀水用的）瓢，柴～}[2]霞遐[4]下={1，～降}瓦-{1，～饼}蚁-{1，狗～}[6]艾-{1，～草}
∅	[1]丫也[2]爷[3]野[6]□{动词，撒}
#ua	
p	[5]簸播
pʰ	[2]婆{1，婶～}[5]破
b	[2]磨{动词，～刀}
m	[2]麻痲
t	[4]舵[5]带[6]大{1，～细：大小}
tʰ	[1]拖[6]汰{用清水漂洗衣服}
l	[2]箩[6]赖-{1，依～：倚靠，赖上}
ts	[1]抓[2]蛇[3]纸[6]誓-
tsʰ	[2]□{走路打横，不利索}[3]□{歪，不正}纸[5]蔡[6]娶
s	[1]沙[3]徙[5]□{轮流，紧跟，相～}
k	[1]歌瓜={1，～分}[3]寡[5]挂{1，～手表}
kʰ	[1]夸跨[3]垮[5]挂={2，牵～}
ɡ	[6]外
h	[1]华{～山}桦[2]华{中～}和{～气；～泥；声相应}铧[4]祸
∅	[1]蛙洼蛙挖[3]我倚{1，靠，～椅}
#o	
p	[1]波菠跛坡玻[2]婆={2，姨～}[3]宝[5]报
pʰ	[4]抱
b	[2]无[3]母拇[6]磨{名词，石～}帽
m	[2]魔摩模={1，～范}毛{1，头～}[4]暮墓募务雾幕[5]慕[6]望-{1，期～}
