汉字	注释	音标
多		to1
拖		tʰo1
驮		tʰo2b
舵		tʰo6
大		tʰai6
哪		la3
锣		lo2a
左		tso3
哥		ko1
个	~人	ko2a
个	一~	ko2a
个	我~	koʔ7
鹅		ŋo2a
饿		ŋo6
河		ho2b
贺		ho6
茄		tɕʰia2b
波		po1
婆		pʰo2b
磨	~刀	mo2a
磨	石~	mo6
剁		to2a
惰		tʰo6
糯		lo6
螺		lo2a
坐		tsʰo6
座		tsʰo6
锉		tsʰo3
蓑		so1
果		kuo3
过		kuo2a
课		kʰuo3
火		ɸo3
货		ɸo2a
禾		uo2a
祸		ɸo6
和	~气	ɸo2a
瘸		/
靴		ɕia1
疤		pa1
怕		pʰa3
霸		pa2a
爬		pʰa2b
麻		ma2a
马		ma3
骂		ma6
拿		la2a=/laʔ7-
茶		tsʰa2b
叉		tsʰa1
查		tsʰa2b
家		ka1
假	真~	ka3
假	放~	ka3
嫁		ka2a
牙		ŋa2a
虾	鱼~	ha1
下	底~	ka6
下	~来	ha6
下	~面	ha6
亚		ŋa3
爸		paʔ7
姐		tɕia3
借		tɕia2a
写		ɕia3
泻		ɕia2a
邪		ɕia2a
斜		ɕia2a
谢	姓~	ɕia6
谢	凋~	ɕia6
爹		tia1
遮		tsa1
蔗		tsaʔ8
车		tsʰa1
扯		tsʰa3
蛇		sa2a
射		sa6
舍		sa3
社		sa6
惹		ia3
爷		ia2a
也		ia3
野		ia3
夜		ia6
瓜		kua1
垮		kʰua3
瓦		ua3
花		ɸa1
化		ɸa2a
补		pu3
簿		pʰu6
部		pʰu6
步		pʰu6
模	~子	mu2a
墓		mu6
肚	腹	tu3
肚	鱼~	tu3
土		tʰu3
兔		tʰu3
度		tʰu6
炉		lu2a
卤		lu3
橹		lu3
路		lu6
露		lu6
租		tsu1
做		tsu2a
粗		tsʰu1
醋		tsʰu3
错		tsʰo3
鼓		ku3
苦	辛~	kʰu3
苦	~味	kʰu3
裤		kʰu3
吴		u2a
五		ŋ̍3
午		u3
胡		ɸu2a
户		ɸu6
乌		u1
女		ȵi3
吕		li3
蛆		tɕʰi1
徐		ɕi2a
绪		ɕi6
猪		tsɿ1
除		tsʰɿ2b
苎		tsu6
锄		tsʰu2b
助		tsʰu6
梳		su1
煮		tsɿ3
书		sɿ1
鼠		sɿ3
薯		sɿ2a
车	~马炮	tsʰa1
锯		kie2a
渠	他	tɕʰie3
去		tɕʰie3
鱼		ȵie2a
语		ȵi3
虚		ɕi1
许		ɕi3
余		i2a
夫		ɸu1
预		i6
斧		ɸu3
符		ɸu2a
甫		pʰu3
扶		ɸu2b
雾		u6
娶		tɕʰi3
须		ɕi2a
厨		tsʰɿ2b
柱		tsʰɿ6
住		tsʰɿ6
朱		tsɿ1
主		tsɿ3
输		sɿ1
树		sɿ6
乳		lu3
句		tɕi2a
区		tɕʰi1
雨		i3
芋		i6
戴		tai2a
台		tʰai2b
待		tʰai6
袋		tʰi6
来		lei2a
栽		tsai1
财		tsʰai2b
在		tsʰei6
该		kei1
改		kei3
开		hei1
海		hai3
哀		ŋai1
爱		ŋai2a
贝		pi2a
带		tai2a
太		tʰai3
蔡		tsʰai3
盖		kei2a
害		hei6
拜		pai2a
