"来源："	"乔全生陈丽1999《平遥话音档》；侯精一1999《现代晋语的研究》；Skanda & Sun 增补修订"
"说明："	"代表城关音系。主体为《音档》同音字表，并区分阴阳平，尽量保存原有字基础上采用OpenCC进行简繁转换。依《研究》等所做增补标绿，修订标黄；个人增补标蓝，修订及存疑标红。"
"#符号说明：-白=文*俗?待考"	""
"#调值"	"［1］22［2］22［3］512［5］24［7］22［8］512"
"#ɑ"	""
"p"	"［1］芭{～蕉}巴{～黎}疤{～子}趴-{～下}八{～叉：兩腿分開}粑{熰～～：鍋巴}笆扒吧{～檯=}［2］鈀琶杷爬-［3］把{～握}㞎{～屎}靶［5］霸壩把{刀～兒}耙罷爸"
"pʰ"	"［1］扒趴=葩［2］爬=［5］怕帕"
"m"	"［2］蟆麻{～繩-。～毬：女陰。}痲{～瘋病}［3］馬碼蕒{～苣菜：邊緣呈鋸齒狀的野菜，可食用。}瑪螞［5］罵没{～了}沒{～了}"
"t"	"［3］打［5］大=𡚻爹?"
"tʰ"	"［1］他{～房：他家}她它"
"n"	"［1］拿"
"l"	"［1］拉哪{～廂}垃［2］旯"
"ts"	"［1］臢{腌～}渣{～～：渣子}子{實際是“子家”的合音。媳婦～。}喳{圪～：愛出風頭}蹅{站。～到杌杌上}［2］茶-{～盅}搽咱［3］咋斬-［5］詐奓{～開}榨炸{～彈}站-{～馬道}挓柵乍{一驚一～}"
"tsʰ"	"［1］叉{～～}差{～不多-}［2］查楂茶={～盅}［3］拃镲衩［5］岔差{～錯}詫□{聲音嘶啞：嗓子～了}"
"s"	"［1］沙{～羅-：網眼最大的羅}紗{～廠}杈{～子}砂{～子}杉{～木}鯊{～魚}痧［2］茬{～子：麥子高粱等作物收割後留在地裏的根}［3］洒灑□{～子：鐵或陶製的粗盆}撒閃?{忽～底}［5］厦{歇～}廈{歇～}乍{～冷}□{～子：大盆}沙{挑揀}"
"tʂ"	"［1］爭-{～氣}"
"tʂʰ"	"［3］敞{～架開：攤開}"
"ɳ"	"［1］人{實際是“人家”的合音}"
"ʂ"	"［1］閃?{忽～：（燈）忽明忽暗}［3］傻"
"k"	"［1］哥{大-～：妻兄}痂{定-下～～了：結了痂了}［3］玍{～tsɑ24子：賴子}［5］□{～住：攔住無法進行}旮?{哪tei512～：哪裏}"
"kʰ"	"［3］卡"
"ŋ"	"［1］腌{～臢}［3］啞{～子}我{實際是“我家”的合音}"
"x"	"［1］哈［5］下夏-{～景天：夏天}嚇"
"#iɑ"	""
"pʰ"	"［3］□{～開腿：兩腿分開很大的距離}［5］澎?{～下一世界}"
"m"	"［1］們{實際是“們家”的合音}□{假～～：假裝}［2］□{細～兒兒：形容很細}［3］猛-{發～財：得了意外之財}"
"l"	"［1］□{撲～：撲棱}［3］兩-{幾斤幾～}了冷-{～的利害}□{跌～：撒嬌}［5］拉?{～開走了：扔下不管}"
"tɕ"	"［1］傢{～俱}家{～兒/ʐʌʔ/}加{～減}痂{～～}佳{～人}嘉［3］假{真～}賈{姓}家{孃～}解{介詞}［5］假{放～}架嫁駕稼價"
"tɕʰ"	"［1］抲{抱}［3］卡{～住}［5］揢?{用手卡住脖子}"
"ȵ"	"［1］娘{～～：祖母}［2］牙{～花子：牙齦，～羊-：公羊。}芽{～～：芽兒}衙{～門}［5］砑{～平}壓="
"ɕ"	"［1］蝦{～～，～米}［2］行-{～人：厲害人}霞遐{～角（村名）}□{擺/pʰæ/～：擺佈（人）}［5］夏={姓}厦{～門}廈{～門}卸?{～下來}□{～掛：收拾}"
"Ø"	"［1］鴉丫{～鬟}［3］亞雅"
"#uɑ"	""
"ts"	"［1］抓［3］爪"
"tsʰ"	"［1］欻{水流得～～底}"
"s"	"［1］□{～咧：指責他人做無意義的事情}［3］耍"
"k"	"［1］刮{～鬍子}瓜{～兒/ʐʌʔ/}［3］寡剮［5］挂=掛=卦褂"
"kʰ"	"［1］夸{～撇：炫耀}誇{～撇：炫耀}［3］垮胯{腿～}［5］跨挂-{～幌-子：比喻事情還沒做就已經顯露}掛-{～幌-子：比喻事情還沒做就已經顯露}"
"x"	"［1］花{～～：花兒}［2］華{～僑}鏵{～子}划{～船}劃{～了兩道}哗譁［5］化華{～山}樺{～樹}画畫話劃{計～}"
"Ø"	"［1］挖蛙洼窪蝸{～牛}［2］娃［3］瓦{（名詞）}搲{～上圪搭肉}［5］瓦{（動詞）～瓦：蓋瓦}□{沉：沙糖～到碗底子兒啦}"
"#yɑ"	""
"tɕ"	"［3］獷-{～巴巴底：喻人生硬}"
"tɕʰ"	"［1］□{擬聲詞，形容咳嗽時的聲音。咳嗽得～～底。}"
"ɕ"	"［1］誰{實際是“誰家”的合音}"
"Ø"	"［1］曰{孔子～}［3］噦"
"#ʅᴇ"	""
"tʂ"	"［1］睜-遮{～瞞：掩蓋}［3］□{～子：藉口}"
"tʂʰ"	"［1］車{～子：自行車}［1］蛇{～皮=}［3］扯［5］撤"
"ʂ"	"［1］賒生-{～日}甥-{外～子}車-{扇～，紡～}［3］捨{～不得}［5］社舍{宿～}射"
"ʐ"	"［3］惹喏{上～：作揖}"
"#iᴇ"	""
"p"	"［1］編鞭{～子}邊{～～：邊兒}棚-{～～}绷{縫。～被子}繃{縫。～被子}［3］貶扁{～桃=腺}匾别{腰兒～的口攮子}別{腰兒～的口攮子}煸{乾～}［5］變辨辯便{方～}辮遍迸-{～開}"
"pʰ"	"［1］偏{～廈}翩［2］便{～宜}［3］篇苤{～藍}偏{～西}諞{誇～}撇{～轉：撇開}片{～子：名片}［5］片{女陰}騙劈{～柴}"
"m"	"［2］棉{～花}綿{～～底，～羊-}［3］免勉冕［5］面{～相}麪{～飯}緬"
"t"	"［1］爹{～～}掂{～量}顛{～倒}奠［2］甜-{～茶：帶糖的油炒麪，～瓜}田-{～家鋪（村名）}填-{～平}［3］踮點典碘［5］電殿佃墊殿淀澱甸"
"tʰ"	"［1］天{～～：每天}添{～買}［2］田=［3］舔腆"
"l"	"［2］怜憐連{～接}蓮{～花}镰{～刀}鐮{～刀}帘{～子}簾{～子}廉{～潔}［3］臉［5］殮链鏈斂"
"tɕ"	"［1］兼皆階耕-{～地}尖{～～}堅{～強}煎{～餅}秸{（麥）～～：麥秸}街{～兒/ʐʌʔ/：街裏}羹-{拌～、剔～}［2］錢-{～兒/ʐʌʔ/}前-{～頭}茄-{～子}趼-{皮～子：腳掌死肉}鉗-{～子，～工}［3］檢儉繭姐剪解{講～}戒［5］漸薦見件犍鍵箭濺餞踐借藉芥介界疥届屆劍左-械-建健賤"
"tɕʰ"	"［1］迁遷鍁揩{～抹}殲{～滅}签籤{～～：籤兒}簽{～字}牽{～扯}千{～兒八百}搓{～魚兒}［2］鉗=錢=虔前=乾{～坤}［3］且潜潛淺遣［5］欠=坑-{干～（村名）}錯?{～開}㯠{～兒：前檐下的扁橫木}笡{頭倒置引起的不適之感}"
"ȵ"	"［1］掂{～起：撿起}你{實際是“你些”的合音}［2］研言年{～～：每年，～時：去年；～成=：年景}嚴{～格}崖［3］攆{豬（羊）交配}［5］釅硯-念唸硬-{～黃米：黏米的一種}彦=彥="
"ɕ"	"［1］仙{～女/ȵy/}鮮{～薑}先{～生}些{這～～：這些}挲{pʌʔ～：輕輕按撫}［2］斜{～紋布}賢{～能}嫌{～疑}邪{～氣}諧［3］險顯寫［5］瀉謝卸線杏{～核}宪憲献獻現縣腺灺{火～了：火熄滅了}"
"k"	"［1］哥{父親，限外人之間稱述}"
"kʰ"	"［1］可{～（滿）街上亂說}［3］可{病的～（略輕、略少）些兒啦。～惡：形容人強勢霸道。}［5］可{～意}"
"ŋ"	"［1］屙{～下}［2］訛{～騙}蛾-{～～花：一種紙或絹製的小花兒}鵝-{～雁：大雁}峨硪{石～：夯土用多人石具}［3］我-［5］餓"
"Ø"	"［1］淹=閹醃燕{姓}烟菸{～草}煙{～突：煙囪}蔫{～的}［2］檐爺{～～}鹽{～酸}閻{～王爺}延{～長}沿{～～：邊沿}胭{～脂}緣{～分}芫{～荽}岩=［3］野也掩黶{黑～：黑痣}演焉靨{笑～～：酒窩}［5］夜厭驗筵堰燕{～子}宴兖兗液炎焰咽硯=赝?贗?豔艳諺{新派}"
"#yᴇ"	""
"l"	"［2］聯-{～營}圙{圐～：“圈”的分音字}［3］□{擰、掐}［5］練𥽸{米湯～：米湯稠}炼煉鍊{～鐵}恋戀"
"tɕ"	"［1］捐鵑□{將細線等拉斷}［2］拳-{～頭-}泉-鬈{～子：髮旋}［3］捲{～～：花捲}□{罵}［5］坐-座-卷絹眷倦圈{豬～}娟"
"tɕʰ"	"［1］圈{～～：圓圈}［2］拳=權泉=全{～民}顴{～骨}［3］犬圈{～住：關在一定的空間裏。～棗：一種拿罈子裝白酒浸泡的棗。}［5］勸"
"ɕ"	"［1］喧宣{～傳}梭-{～子}靴{～～}眩楦暄［2］懸旋玄{～中寺}横-{～的}橫-{～的}［3］鎖-選［5］楦旋{～風}炫□{～架：慫恿煽動}"
"Ø"	"［1］淵冤{～屈}鴛{～鴦}［2］員袁圓{～辯：開脫}轅{～門斬子}園{～子：菜園}援{～軍}元{～朝}原{～樣=}源{～泉=}猿{～猴}［3］遠［5］怨院願"
"#uǝ"	""
"t"	"［1］當-{～中}襠-{～～，褲子～}［3］舵躲=［5］度?{等～：衡量}剁="
"tʰ"	"［1］湯-{～～：湯}拖=［3］橢妥倘-躺-［5］燙-{～下塊泡}"
"l"	"［2］凉-{～咧}涼-{～咧}量-{～長短}粮-{～食}糧-{～食}梁-{～坡：地名}騾=良-{閻～莊（地名）}羅=郎-{二～灘（村名）。貨～。}狼-{鼠～兒/ʐʌʔ/：一種比貓小，喫老鼠的野生動物。}［3］裸=［5］亮-{明～～}涼-{～～：涼一涼}晾{～拍：晾}浪-{波-～}"
"ts"	"［1］張-{～口}裝-{～穿：給死人穿戴}莊-{～子}妝-{～扮}［2］腸-{～子}場-{～子：場院}長-{～的，～柴-：高粱秸}［3］長-{～子}漲-{河～}左=［5］丈-{～人}脹-{肚～}坐=座=杖-{擀～}"
"tsʰ"	"［1］雙-{量詞}［5］雙-{～生生：雙生}錯措"
"nz"	"［3］□{推}"
"s"	"［1］窗-{～子}商-{～量-}蓑={～衣}瘡-{～兒//}［2］裳-{衣～}牀-{～～：小板凳}常-{～村：地名}尝-嚐-［3］瑣唆{羅～}晌{～午}［5］尚-{和～}上-{～車}"
"z"	"［2］瓤-{～～：瓤子}"
"k"	"［1］光-{～棍。～油油：光光的}桄{窗-～}［3］廣-{豐～：充足}戈=果={蘋～}"
"kʰ"	"［1］糠-{～瘡：疹子}科課［5］炕-闊{～氣}"
"x"	"［1］方-{四～}［2］禾=防-{免不擋～：未曾料到}黃-{～兒：發糕}房-{～檐}和={～道：和氣}行-{～家}惶-{恓～：可憐}妨-{～殺道草：指給旁人帶來霉運。}［3］晃-慌-紡-坊-{油～堡（村名）}幌-［5］放-巷-"
"Ø"	"［2］王-{～子：蜂王}芒-{～～：麥芒兒}［3］往-{～南}仿-{～兒：拓寫的字帖}輞{木輪四周的框子，有九塊拱形木組成。}［5］忘-旺-{～火火}望-{指～}"
"#yǝ"	""
"tɕ"	"［1］繮-{～繩-}將-{～～}豇-{～豆}［2］藏-{～拍：隨意藏起來}强-{～盜}強-{～盜}牆-{～～}［5］醬-匠-虹-犟-漿-{～～：洗浣用語}"
"tɕʰ"	"［1］羌-{～城（村名）}倉-{～～：用磚圈起放置煤、燒柴、髒土一類東西的地方}槍-{土銃}［3］搶-{①爭搶。②用力搓：～脊背。}［5］嗆-"
"ȵ"	"［2］娘-{～～廟}"
"ɕ"	"［1］相-{～～：看一看。～～新媳婦子}桑-{～葚樹：桑樹}廂-{～房-}［3］想-{～喫}［5］像-{廝～：相像}項-{活～：收入}"
"Ø"	"［1］秧-{～兒/ʐʌʔ/}［2］羊-{～子}揚-{～～，～拍：宣揚。}［3］養-{～下}［5］樣-{～～：樣子}"
"#æ"	""
"p"	"［1］揹{動詞，～棍：春節時的文娛活動}碑-{～樓子}敗{～興}［2］陪-{～隨：陪嫁}賠-{～錢}埋-{～人}牌-{～～：圍嘴兒}白={～菜}裴-{見於長者姓}［3］摆擺襬婆*{～～：外祖母}背{見於“～後”}［5］倍佩背焙拜敗"
"pʰ"	"［1］胚坯［2］排{～場}陪={～襯：陪伴}裴=賠=牌=［3］排{～隊}擺{鋪～下：攤下}［5］配佩"
"m"	"［2］埋=梅{～花}媒{～人}煤{～糕}枚{～～：謎語}霉黴［3］買每［5］妹昧賣"
"t"	"［1］呆［2］臺-{圪～～：臺階}擡-{～：藏}［3］歹［5］戴貸待怠殆代袋大{～夫}帶"
"tʰ"	"［1］胎{～兒/ʐʌʔ/}［2］台颱檯臺={～灣}擡={～筐}［5］太泰態"
"n"	"［2］捱{～打}□{雲～～底：形容（果蔬）因時間長變軟的樣子}［3］乃奶□{～上：扛、拿}［5］耐奈內"
"l"	"［2］來{～開：開始來往}［3］那{～時間：那個時候。實際是“那塊”的合音。}□{卜～：“擺”的分音詞，擺動。}［5］賴癩"
"ts"	"［1］栽斋齋［2］材-{棺～}纔-{剛～}裁-{～縫}灾{～情}災{～情}［3］宰載{三年五～}這{這個。實際是“這塊”的合音}跩{行走左右搖擺的樣子}［5］再在寨債"
"tsʰ"	"［1］猜差{出～}釵［2］裁材=才{～能}財豺{～狼}［3］采採彩綵睬揣-{～到懷懷兒}［5］菜蔡"
"s"	"［1］鰓腮{～牙}篩{～～：篩子}［2］柴{～火：燒柴的竈（燒煤的竈叫煤火）}［3］篩?{輕輕搖晃}［5］塞{～子：釘合卯榫用的木塞}賽曬"
"tʂ"	"［3］者"
"k"	"［1］該{～來}［3］改［5］概溉丐盖蓋"
"kʰ"	"［1］開{～車}［3］凱慨"
"ŋ"	"［1］挨哀埃呆{～板}［3］矮藹［5］愛艾"
"x"	"［1］鞋{～幫-子}［2］孩嫌核={舊文讀，～武器}［3］海亥㧡?{碰，多指動作會對人造成妨礙，含責備義。你就要～我咧，～得米湯也扣了。}［5］害解-懈澥"
"#uæ"	""
"t"	"［1］堆{一～～：一堆}［5］對兌隊"
"tʰ"	"［1］推{～車：獨輪車。～刨-：刨子}［3］腿［5］退蛻煺{～雞毛}褪"
"n"	"［1］□{～～底：形容閉嘴嚼食物}"
"l"	"［2］雷［5］□{往火上添煤的動作}"
"ts"	"［1］□{喫，有貶意}［3］□{黏～底：形容很黏}［5］拽罪"
"tsʰ"	"［1］衰{年老動作遲緩。～佬：無能的人}崔催{～促}搋{～麪：用手掌壓、揉，使面和勻。}［5］□{扛的東西往下滑溜}"
"s"	"［1］摔=衰{～弱}［3］甩揣{摸～：摸}［5］帥碎"
"k"	"［1］□{～～：刀鈍了}乖［3］拐［5］怪"
"kʰ"	"［1］盔{～～：口大肚小的陶瓷器}［2］魁{～首}［3］塊傀?蒯□{～哄：引誘哄騙}［5］快會{～計}"
"x"	"［1］灰{～渣：垃圾}［2］懷槐{～花}淮{～河=}茴{～香}回{～～：遍數}迴{～旋}蛔{～蟲-}［3］恢悔晦塊{量詞：一～東西}［5］惠慧穢檜會繪汇匯{～聚}彙{詞～}賄壞燴潰{發～：化膿}"
"Ø"	"［1］歪□{～挪：坐着挪動}［3］□{壓}兀{指示詞“那裏”，實際是“兀塊”的合音。}［5］外"
"#ɔ"	""
"p"	"［1］波{新派}包{～裹}梆-{～骨碌：梆子}幫-{鞋～子}播玻胞{新派}［2］刨-雹{～子}龐-{～莊（村名）}鉋［3］保寶飽膀-{翅～}綁-{～人：衣服小導致行動不便。用於被成片的布料束縛的情況。}［5］抱=報暴棒-{～～：小棍兒}"
"pʰ"	"［1］波{老派。～浪-}坡=胞{老派}［2］袍{～子}婆=［3］跑［5］炮泡抛拋破="
"m"	"［1］猫貓眊{從縫隙中往外看}［2］茅{～子：廁所}忙魔毛={～衣}［3］卯{～力}□{一～～：一次}毛{僅用於錢的量詞。幾～錢，～～錢。}［5］帽貌冒茂"
"t"	"［1］叨刀{～～：小刀兒}□{錯～了：拏錯了}［2］桃-{～兒/ʐʌʔ/}陶-{～屯-（村名）}［3］島搗倒{打～}禱道{～讗，指聊天}［5］盜導道到"
"tʰ"	"［1］滔掏濤［2］逃淘陶=萄=［3］討稻［5］套䵚{～黍：高粱}"
