#ɿ
s[7]雪

#i
p[2]皮脾枇[3]比[5]被备[7]鳖憋匹逼
pʰ[5]屁[7]劈
m[2]迷猫[6]密
t[6]地[7]接节结
tʰ[3]体[5]刺[7]帖贴铁切踢
n[2]厘[3]吕[5]礼莉你李理[6]滤厉利
ʧ[1]知支枝[2]餈[3]纸只{～有}指几[5]至[7]着只{一～}
ʧʰ[3]齿
ʃ[1]私[2]匙迟时[3]砌启屎[5]是戏四试[6]徐豉自字舌糍失石[7]席锡吃
k[1]饥基季[2]翅棋期旗[5]计寄痣记[7]涩脚
x[1]稀[3]起喜[5]契气
∅[1]衣[2]移姨[3]椅[5]以[6]遇芋易叶热孽药

#u
p[2]菩脯葡浮[3]补[5]布{一块～}布{宣～}部簿傅妇[6]腐[7]拨
pʰ[3]谱浦堡[5]铺{店～}[7]泼
f[1]夫肤麸[3]苦府斧阔[5]裤戽户付附富副负[7]喝
t[1]租[2]徒屠图[3]堵赌肚{猪～}祖[5]肚{～子}[6]镀箸
tʰ[1]粗蛆[3]土吐[5]兔醋
n[2]卢炉[3]卤[6]怒路露鹭
ʦ[1]猪著朱[3]组阻煮主[5]蛀
ʦʰ[3]取
s[1]酥书薯须输[2]除厨[3]暑鼠[5]素诉举竖[6]柱住树
k[1]锅姑[3]箍古股鼓[5]固[7]鸽
x[5]护
∅[2]胡{姓}壶胡{～须}糊葫符[6]雾

#a
p[2]排牌簰[3]摆[6]拜罢败
pʰ[5]派
m[2]埋[6]卖
f[5]块快
t[6]大
n[5]奶[6]赖癞
ʦ[1]斋[5]债
ʦʰ[1]差[3]彩采踩
s[1]鳃赛筛[2]柴[3]洒刷[5]晒[6]寨杉
k[1]街[3]改解[5]盖界芥戒
ŋ[2]捱[3]矮[5]爱[6]艾
x[1]开[2]鞋[3]海[6]害

#ua
s[6]帅
k[1]乖[3]柺[5]怪挂
∅[6]坏画话划

#ɑ
p[1]巴疤笆[2]杷钯[3]把八[5]霸欛坝[6]罚[7]北
pʰ[5]怕
m[1]蛙[2]麻痲[5]马码[6]骂袜墨[7]抹
f[3]法发
t[3]搭打[7]得
tʰ[1]他[3]擦
n[3]拉[6]腊蜡
ʦ[1]渣[5]榨炸[6]杂[7]眨扎织窄
ʦʰ[1]叉杈[3]插
s[1]沙纱痧砂[2]茶搽查[3]傻撒杀[6]煠蛰贼直值食[7]塞息色
k[1]家加[3]假{真～}夹甲[5]假{放～}架嫁价跨[7]角格
kʰ[7]刻
ŋ[1]丫[2]牙芽衙[3]哑鸭押压
x[2]虾𨉣[3]瞎[5]下{～面}下{～降}夏[6]学[7]壳黑

#iɑ
p[1]扳
ʃ[7]削
