漢字	假名	聲母	韻母	聲調
八	パ	幫	山開二黠	入
撥	パ	幫	山合一末	入
飽	ハ◦ウ	幫	效開二巧	上
胞	バ◦ウ	幫	效開二肴	平
包	パ◦ウ	幫	效開二肴	平
保	パ◦ウ	幫	效開一皓	上
寶	パ◦ウ	幫	效開一皓	上
豹	パ◦ウ	幫	效開二效	去
報	パ◦ウ	幫	效開一號	去
爆	パ◦ウ	幫	效開二效	去
霸	ハアヽ	幫	假開二祃	去
巴	パアヽ	幫	假開二麻	平
芭	パアヽ	幫	假開二麻	平
拜	パイ	幫	蟹開二怪	去
班	パン	幫	山開二刪	平
般	パン	幫	山合一桓	平
版	パン	幫	山開二潸	上
半	パン	幫	山合一換	去
扮	パン	幫	山開二襇	去
絆	パン	幫	山合一換	去
榜	パン	幫	宕開一蕩	上
謗	パン	幫	宕開一宕	去
板	パン/ハン	幫	山開二潸	上
幫	パン/ハン	幫	宕開一唐	平
筆	ピ	幫	臻開三質	入
畢	ピ	幫	臻開三質	入
碧	ピ	幫	梗開三陌	入
蔽	ピ	幫	蟹開三祭	去
壁	ピ	幫	梗開四錫	入
必	ピ/ヒ	幫	臻開三質	入
庇	ピイ	幫	止開三至	去
閉	ピイ	幫	蟹開四霽	去
秘	ピイ	幫	止開三至	去
轡	ピイ	幫	止開三至	去
標	ピヤ◦ウ	幫	效開三宵	平
表	ピヤ◦ウ/ヒヤ◦ウ	幫	效開三小	上
兵	ピン	幫	梗開三庚	平
秉	ピン	幫	梗開三梗	上
柄	ピン	幫	梗開三映	去
賓	ビン/ピン	幫	臻開三真	平
餅	ピン/ヒン	幫	梗開三靜	上
蔔	ブウ	幫	通合一屋	入
補	プウ	幫	遇合一姥	上
布	プウ/フウ	幫	遇合一暮	去
百	べ	幫	梗開二陌	入
伯	ペ	幫	梗開二陌	入
奔	ペヱン	幫	臻合一魂	平
本	ペヱン/ベヱン/ヘヱン	幫	臻合一混	上
蝙	ペン	幫	山開四先	平
鞭	ペン	幫	山開三仙	平
邊	ペン	幫	山開四先	平
扁	ペン	幫	山開四銑	上
匾	ペン	幫	山開四銑	上
變	ペン	幫	山開三線	去
博	ポ	幫	宕開一鐸	入
悲	ポイ	幫	止開三脂	平
貝	ポイ	幫	蟹開一泰	去
背	ポイ	幫	蟹合一隊	去
輩	ポイ	幫	蟹合一隊	去
波	ポウ	幫	果合一戈	平
棚	ポン	幫	梗開二耕	平
叭	パ	幫	山開二黠	入
苞	パ◦ウ	幫	效開二肴	平
褓	パ◦ウ	幫	效開一皓	上
笆	パアヽ	幫	假開二麻	平
粑	パアヽ	幫	假開二麻	平
把	パアヽ	幫	假開二祃/假開二馬	上/去
搬	パン	幫	山合一桓	平
鮅	ピ	幫	臻開三質	入
鸊	ピ	幫	梗開四錫	入
鼈	ピ	幫	山開三薛	入
比	ピイ/ヒイ	幫	止開三旨	上
氷	ヒン	幫	曾開三蒸	平
併	ピン	幫	梗開三清	去
不	プ/フ	幫	臻合一沒	入
栢	ペ/ペヱ	幫	梗開二陌	入
檗	ペヱ	幫	梗開二麥	入
㤓	ベヱン	幫	臻合一魂	上
萹	へン	幫	山開三仙	平
遍	ペン	幫	山開四霰	去
鉢	ポ	幫	山合一末	入
卜	ポ	幫	通合一屋	入
盃	ポイ	幫	蟹合一灰	平
菠	ポウ	幫	果合一戈	平
扳	パン	幫/滂	山開二刪	平
拔	バ	並	山開二黠	入
鈸	パ	並	山合一末	入
袍	バ◦ウ	並	效開一豪	平
跑	バ◦ウ	並	效開二肴	平
抱	バ◦ウ/ハ◦ウ	並	效開一皓	上
暴	バ◦ウ/ハ◦ウ	並	效開一號	去
罷	バアヽ	並	蟹開二蟹	上
爬	バアヽ	並	假開二麻	平
盤	バアン/バワン/ハアン/バワン	並	山合一桓	平
牌	バイ	並	蟹開二佳	平
排	パイ	並	蟹開二皆	平
敗	ハイ/バイ	並	蟹開二夬	去
伴	ハン	並	山合一緩	上
傍	バン	並	宕開一宕	去
旁	バン	並	宕開一唐	平
棒	バン/パン/ハン	並	江開二講	上
鼻	ビイ	並	止開三至	去
皮	ビイ	並	止開三支	平
疲	ビイ	並	止開三支	平
稗	ピイ	並	蟹開二卦	去
避	ビイ/ヒイ	並	止開三寘	去
鰾	ビヤ◦ウ	並	效開三小	上
瓢	ビヤ◦ウ	並	效開三宵	平
並	ビン	並	梗開四迥	上
貧	ビン	並	臻開三真	平
瓶	ビン	並	梗開四青	平
