cid	character	initial	final	tone	note
1	多	t	uə	214	
2	拖	th	uə	214	
3	大	t	ɑ	31	
4	锣	l	uə	53	
5	左	ts	uə	31	
6	歌	k	uə	214	
7	个	k	uə	31	
8	可	kh	uə	55	
9	鹅	∅	uə	53	
10	饿	∅	uə	31	
11	河	x	uə	53	
12	茄	tɕh	iə	53	
13	破	ph	ə	31	
14	婆	ph	ə	53	
15	磨	m	ə	53	
16	磨	m	ə	31	
17	躲	t	uə	55	
18	螺	l	uə	53	
19	坐	ts	uə	31	
20	锁	s	uə	55	
21	果	k	uə	55	
22	过	k	uə	31	
23	课	kh	uə	31	
24	火	x	uə	55	
25	货	x	uə	31	
26	祸	x	uə	31	
27	靴	ɕ	yə	214	
28	把	p	ɑ	55	
29	爬	ph	ɑ	53	
30	马	m	ɑ	55	
31	骂	m	ɑ	31	
32	茶	tʂh	ɑ	53	
33	沙	ʂ	ɑ	214	
34	假	tɕ	iɑ	55	
35	嫁	tɕ	iɑ	31	
36	牙	∅	iɑ	53	
37	虾	ɕ	iɑ	214	
38	下	ɕ	iɑ	31	
39	夏	ɕ	iɑ	31	
40	哑	∅	iɑ	214	
41	姐	tɕ	iə	55	
42	借	tɕ	iə	31	
43	写	ɕ	iə	55	
44	斜	ɕ	iə	53	
45	谢	ɕ	iə	31	
46	车	tʂh	ə	214	
47	蛇	ʂ	ɑ	53	
48	射	ʂ	ə	31	
49	爷	∅	iə	214	
50	野	∅	iə	55	
51	夜	∅	iə	31	
52	瓜	k	uɑ	214	
53	瓦	∅	uɑ	55	
54	花	x	uɑ	214	
55	化	x	uɑ	31	
56	华	x	uɑ	53	
57	谱	ph	u	55	
58	布	p	u	31	
59	铺	ph	u	214	
60	簿	p	ə	31	
61	步	p	u	31	
62	赌	t	u	55	
63	土	th	u	55	
64	图	th	u	53	
65	杜	t	u	31	
66	奴	n	u	53	
67	路	l	u	31	
68	租	ts	u	214	
69	做	ts	ɤɯ	31	又
69	做	ts	uə	31	又
70	错	tsh	uə	31	
71	箍	k	u	214	
72	古	k	u	55	
73	苦	kh	u	55	
74	裤	kh	u	31	
75	吴	∅	u	53	
76	五	∅	u	55	
77	虎	x	u	55	
78	壶	x	u	53	
79	户	x	u	31	
80	乌	∅	u	214	
81	女	ȵ	y	55	
82	吕	l	y	55	
83	徐	ɕ	y	53	
84	猪	tʂ	u	214	
85	除	tʂh	u	53	
86	初	tʂh	u	214	
87	锄	tʂh	u	53	
88	所	ʂ	uə	55	
89	书	ʂ	u	214	
90	鼠	ʂ	u	55	
91	如	ʐ	u	53	
92	举	tɕ	y	214	
93	锯	tɕ	y	31	
94	去	tɕh	y	31	
95	渠	tɕh	y	214	
96	鱼	∅	y	53	
97	许	ɕ	y	55	
98	余	∅	y	53	
99	府	f	u	55	
100	付	f	u	31	
101	父	f	u	31	
102	武	∅	u	55	
103	雾	∅	u	31	
104	取	tɕh	y	214	
105	柱	tʂ	u	31	
106	住	tʂ	u	31	
107	数	ʂ	u	55	
108	数	ʂ	u	31	
109	主	tʂ	u	55	
110	输	ʂ	u	214	
111	竖	ʂ	u	31	
112	树	ʂ	u	31	
113	句	tɕ	y	31	
114	区	tɕh	y	214	
115	遇	∅	y	31	
116	雨	∅	y	55	
117	芋	∅	y	31	
118	裕	∅	y	31	
119	胎	th	ɛ	214	
120	台	th	ɛ	53	
121	袋	t	ɛ	31	
122	来	l	ɛ	53	
123	菜	tsh	ɛ	31	
124	财	tsh	ɛ	53	
125	该	k	ɛ	214	
126	改	k	ɛ	55	
127	开	kh	ɛ	214	
128	海	x	ɛ	55	
129	爱	ŋ	ɛ	31	
130	贝	p	ei	55	
131	带	t	ɛ	31	
132	盖	k	ɛ	31	
133	害	x	ɛ	31	
134	拜	p	ɛ	31	
135	排	ph	ɛ	53	
136	埋	m	ɛ	53	
137	戒	tɕ	iɛ	31	
138	摆	p	ɛ	55	
139	派	ph	ɛ	31	
140	牌	ph	ɛ	53	
141	买	m	ɛ	55	
142	卖	m	ɛ	31	
143	柴	tʂh	ɛ	53	
144	晒	ʂ	ɛ	31	
145	街	tɕ	iɛ	214	
146	解	tɕ	iɛ	55	
147	鞋	ɕ	iɛ	53	
148	蟹	ɕ	iɛ	31	
149	矮	∅	iɛ	55	
150	败	p	ɛ	31	
151	币	p	i	31	
152	制	tʂ	ʅ	31	
153	世	ʂ	ʅ	31	
154	艺	∅	i	31	
155	米	m	i	55	
156	低	t	i	214	
157	梯	th	i	214	
158	剃	th	i	31	
159	弟	t	i	31	
160	递	t	i	31	
161	泥	m	i	53	
162	犁	l	i	53	
163	西	ɕ	i	214	
164	洗	ɕ	i	55	
165	鸡	tɕ	i	214	
166	溪	ɕ	i	53	
167	契	tɕh	i	31	
168	系	ɕ	i	31	
169	杯	p	ei	214	
170	配	ph	ei	31	
