#a
f[5]罚伐筏发{膨发}乏法发{颁发}泛
k[1]家{家具}加家佳嘉[5]胛{肩胛}甲□{淹没；没}□{遮住不让别人看见}隔格夹[3]贾{姓}假{真假}[2]价稼架{车辕}假{放假}嫁架{架子、衣架}
kʰ[1]掐[5]客[3]卡{发卡}
l[5]鑞捺痢蜡辣烂癞腊[3]拿
m[1]抹□{盖住}[5]袜抹迈{跨；迈过去}脉麦[3]码{密码}马[2]骂麻痲
n[5]纳[3]拿[2]黏沾粘
ŋ[5]碾轧额[3]瓦{动词}瓦[2]芽衙牙砑{砑平（压）}
p[1]芭爸疤巴[5]百柏伯八[3]罢把{把握；把手}把{门把儿}[2]坝{坝子；山间平地}把{手柄；把子}坝{堤坝}堰霸
pʰ[5]钹白泼拍魄[2]怕琶{琵琶}耙{耙地}帕爬{登山}爬杷{枇杷}
s[1]杉余赊莎{莎草}沙纱奢[5]杀{宰}杀{做形容词，狠心：这个人很杀}濽{溅到汁水}麝{麝香}石射[3]赦萨舍[2]蛇
t[5]搭达□{~扣：一种扣子}答[3]打打{揭开；打开}打{打拐杖}
tʰ[5]溺{湿溺溺；渐渐地被弄湿；一直是湿的状态，干不了}榻獭踏沓{一沓纸}塔
ts[1]渣楂{山楂}滓遮握遮{用手盖住}[5]札只眨摘铡扎闸[2]栅诈蔗乍炸{炸弹}榨{榨油}诈{讹诈}炸
tsʰ[1]叉差{出差}差{差别；差不多}钗{钗子；钗头发}车{车马炮}车[5]赤{赤膊；红色}尺插杂斥差{参差}拆酽{不能确定是否本字，腌制的一种方式：用稻草封住瓶口，瓶里装风干的蔬菜，如大叶菜、青菜等：腌制出的咸菜叫酽菜}炙[3]□{从墙上撕}扯拽{拉}[2]岔{岔路口、枢纽口}查{调查}茶车{粜米}茬
v[1]挖[5]话话{作动词用，谈；说}
x[1]虾{鱼虾}蛤{蛤蜊}哈{哈腰}[5]下{下降}厦{大厦}峡吓{吓一跳}厦{厦门}辖瞎吓赫夏{夏天}狭夏{姓}下{底下}
∅[1]桠{桠杈；树杈}阿杈{树杈}丫{丫头}[2]□{茶水、饮用水，一般是儿童用语：~~}[5]鸭[3]哑

#ai
k[1]皆该阶街[3]改解{解开；讲解}解{姓}解{通晓}[2]械尬{尴尬}介界芥个{个人；一个}届丐{乞丐}疥戒盖{做名词，盖子}
kʰ[1]楷{擦；擦干净}开{开车}揩担[3]蟹楷溉凯概慨{感慨}
l[5]赖耐□{很烫，烫到手}[2]□{困倦，累：~so⁵、~kua⁵ʔ}
m[1]买[5]卖迈[2]埋{埋葬}□{不、不会：我~去}
n[1]乃[5]奈[3]哪{哪个}奶奶{乳房；乳汁}那{文读}
ŋ[5]吾我[2]艾
p[3]摆[2]拜
pʰ[5]败[3]派[2]牌排簰{簰阀}
s[1]腮洒筛{筛子}[5]钐{一种做木工的工具}[2]晒帅赛□{形容人很色、很饥渴的样子；吃相不好，狼吞虎咽：~so⁵}
t[1]呆[2]带戴带{携带；捐带}
tʰ[5]大[3]态[2]太泰大{大夫}
ts[1]斋{素食}斋灾[3]载{三年五载}载{满载}[2]债再
tsʰ[1]猜[5]寨搓[3]采棌{橡树}踏彩睬[2]柴裁蔡材才
v[5]外
x[2]害孩还鞋
∅[1]埃{尘埃}挨{挨近}哀[3]矮[2]隘捱{捱（挨）打}碍蔼{和蔼}爱

#an
f[1]番翻藩[5]犯范[3]反[2]帆矾繁烦贩饭凡
k[1]奸尴间{中间}柑橄甘[3]鉴柬榈简减碱敢感[2]杆干{干涉：干我做事，即干涉我做事的意思}间{房间}竿
kʰ[1]刊勘{勘探；勘误}[3]砍坎款[2]堪
l[1]攋冷{寒冷，冬天：~天}懒冷{动词，冷却}[5]烂{溃；溃脓}烂{破烂}芮{姓}滥[3]揽缆览[2]篮兰拦冉栏榄蓝□{小母鸡：鸡~}
m[1]瞒□{饭、一般用于儿童用语：~~}[5]慢馒[3]满{白读}[2]莽蟒蛮{南方少数民族蔑称}蛮{忒；很}□{最小的儿子：~仔}
n[5]难□{身上长的脓包：~子}[2]南难男
ŋ[1]□{磕头、撞墙壁、用额头去顶}□{指人很瘦小、瘦弱、没营养}[5]硬岸[3]眼{窟窿；洞}眼[2]伢{子；小孩}颜
p[1]□{揪、揪住；揪小辫}□{拉住}薅{拔草}搬掰班拔斑般[5]办[3]扳版板[2]□{大的水缸，用来装生活用水或者酿酒，陶制品}
pʰ[1]攀[5]叛拌判扮袢[2]庞稗藩秕{秕子}盘潘彭钯{钯子}
s[1]裳衫三珊删疝[3]陕省散伞[2]城{白读}成{白读}散掸
t[1]单丹担{负担、担子}担{挑、担水：挑水}耽[5]但[3]诞旦胆焯{把菜放滚水里过一下}
tʰ[1]摊滩贪淡[5]蛋弹[3]毯坦[2]潭檀炭坛弹痰谭叹探{试探；侦探}
ts[1]争正□{脚后跟：脚~}[3]斩{剁肉}盏斩肘[2]赞簪
tsʰ[1]参餐[5]暂郑赚[3]铲产[2]灿掺谗蝉{文读}蚕缠撑惨□{划；划船}禅残惭馋□{照着，照射}
v[1]湾弯□{鲫鱼}[5]万[3]碗豌腕[2]还横
x[5]焊[2]憾吼汉韩函咸翰含闲
∅[1]□{缸、瓮、罐子，一切中型大小的瓶罐}鞍庵按案安[2]晏{中午}晏

#ɔ
k[1]焦郊蒿{船蒿}糕膏高交{上交；上缴}羔膏{膏油}胶教{教书}交蒿{蓬蒿；蒿子}[3]铰搅稿搞搞{玩耍}[2]窖酵较告觉{睡觉}教{教育}
kʰ[3]考烤[2]靠
l[1]捞尧崂{崂叨}涝{旱涝}饶[5]□{和；和面}[3]脑[2]撩{撩起来}扰牢劳
m[1]锚毛[5]貌冒帽藐[3]卯[2]茅矛{戟}无没矛
n[5]闹[3]老恼[2]饶绕{围绕}绕{绕线；绕圈}
ŋ[1]咬{啃}[3]咬[2]歪仰熬昂
p[1]褒{褒奖；褒贬}泡胞包[5]爆[3]饱鲍{鲍鱼}堡宝保[2]璺豹狍报
pʰ[5]瀑曝暴[2]袍刨{刨子锛}炮{大炮}泡{泡在水里}鉋
s[1]骚{膻；羊膻}□{牛鞦；鞭子}烧骚{指人品性不好}臊{臊气}悄{静悄悄}烧{燃烧}烧{面条糗了；菜糊了}[5]绍[3]扫{扫帚}少{多少}少{少年}嫂扫{扫地}[2]韶邵
t[1]叨{崂叨}刀[3]铸祷倒{倒水}倒{垮；坍塌}岛倒{打倒}[2]到
tʰ[1]涛[5]导道稻[3]讨{乞讨}讨{娶}[2]淘{淘米}缉套滔逃陶桃萄
ts[1]遭燥{干枯}糟召昭招[3]蚤爪{爪子；爪牙}枣早澡[2]灶兆躁沼{沼泽；沼气}
tsʰ[1]抄{抄写}超操{操作；操练}抄[5]赵造{建造}淋[3]騲吵{喧闹；吵闹}吵炒草[2]潮曹朝{朝代}糙{粗糙；糙米}诏朝{今朝}照潲{猪食}萎{气萎；买卖萎了}
x[5]号{号码}□{吁气；哈气}孝号{号叫}效浩[3]好{好坏}郝好{爱好}[2]豪耗壕亳
∅[3]袄折懊{懊恼}[2]奥懊{懊悔}傲坳{山坳}

#ɛ
f[2]靡
k[5]革阁
kʰ[5]刻克咳{咳嗽}
l[5] □{小刺、荆条}[2]来
m[5]默墨□{表示想，预测、推测，主观性比较强}[2]妹媚寐梅煤枚媒霉[3]□{放在嘴里含着}
ŋ[1]□{表否定；不是}
p[1]□{蹲的动作}[5]泊北迫[3]□{劣、坏的、不好的}[2]杯贝辈背{运气坏的}
pʰ[1]胚{胚胎}[5]吠{狗叫}焙{焙干}倍[2]裴坯{土坯}陪赔配背{背诵；背后}沛佩培
s[1]舐{舔}[5]色啬塞[3]洗[2]小□{雏；小的；稚嫩的}
t[5]德得
tʰ[5]特
ts[5]绉褶职哲择织浙侧折册执塞策责质泽鲇折{折衣服}[3]者
tsʰ[1]在[5]殖测贼撤彻则侄值蛰厕{厕所}秩直[3]□{按下去}揿
v[5]会{会不会}
x[5]骇{骇人听闻；惊骇}亥是核{核心、核电}
m[2]霉{食物上长的白毛}

#ɛn
f[1]分芬纷[5]份奋[3]粉[2]粪
k[1]粳庚更跟羹{调羹}耕[3]塍□{罩住；盖住}梗埂耿垦哽{噎着}[2]更
kʰ[3]恳{盖住：~稳}
l[5]论伦[2]轮能仑
m[1]蚊[5]闷[2]问门
n[5]嫩
p[1]奔崩□{喂猪}饮[3]本[2]依笨傍奔
pʰ[1]喷[2]盆
s[1]参笙牲森生[3]省{省城}闪[2]渗善蝉{白读}膳扇
t[1]敦灯□{阉割动物}筝{风~}扽[5]盾[3]等[2]凳瞪顿遁噇
tʰ[1]吞[5]饨邓钝[2]豚澄腾藤{藤蔓}屯藤臀眷
ts[1]赠曾斟尊遵增睁□{捕捉；拿住}[3]展[2]□{喊；大声喊}蹭占战
tsʰ[1]村[2]症澄衬曾存{攒，攒钱；留存；存在的概念不具有}橙醇寸层
v[1]瘟温[3]稳[2]文纹
x[1]亨[5]恨[3]很肯[2]痕恒衔衡鹐
∅[1]恩嗯{语气词，表回应和肯定}

#eŋ
f[1]俸风疯峰枫蜂丰锋封[5]缝[3]讽[2]逢凤奉冯
k[1]弓攻宫工公功恭[5]贡[3]拱巩[2]供
kʰ[1]空[5]共空供[3]孔恐[2]控
l[1]拢{聚拢}聋笼[5]弄{作动词；弄堂}[3]攮{捅，用手指或棍子捅破}[2]陇扔隆仍垅□{宠爱；溺爱}龙
m[1]蒙掩[5]木{木头；傻；蠢；愚笨；呆；拙}梦[3]懵孟猛[2]盟萌
n[2]浓{粘稠；浓稠}脓浓农{农村}
p[1]蚌[5]迸[3]捧抱[2]棚
pʰ[2]朋篷蓬
s[1]松嵩[5]盛宋颂诵讼[2]送
t[1]东冬[3]董懂[2]冻栋
tʰ[1]通熥{火熥}[5]动囱洞[3]捅桶统[2]铜桐同瞳桐疼筒童痛筒{靴靿}
ts[1]终棕钟踪盅征中忠锤综宗纵鬃□{快速地逃离：起~}[3]种肿总[2]众中粽仲
tsʰ[1]聪趁葱沉匆充冲[5]重[3]宠惩□{推，推下、推搡}[2]丞丛拯铳虫承松呈从崇怂重纵程
x[1]烘哄{哄出去，赶出去}[3]哄{欺骗、哄骗，侧重于骗}轰[2]弘洪红鸿宏

#i
ɕ[1]栖嬉奚昔希西溪兮熙稀犀[5]系席食吃饮[3]喜玺[2]去{来去、来往；去皮}系{联系}系细
f[1]辉妃挥飞非[3]匪榧翡费[2]肥废肺
l[5]力{文读}滤
m[1]迷□{树梢}麾[5]尾[3]美米[2]泌弥糜{糜烂；粥}秘谜
n[2]尼倪泥凝拟疑
p[1]篦鄙卑蓖{蓖麻}碑[5]毕毙逼璧必笔[3]□{肉类总称}比{比较}臂譬{譬喻；譬如}[2]痹{麻痹}背
pʰ[1]丕批疵{吹毛求疵}劈{削皮、劈柴、剔}[5]被{被子}涕{鼻涕}币敝被{被迫}辟颇弊碧箅{篦子}僻[3]脾[2]披皮琵{琵琶}俾备彼鼻屁避婢疲庇枇{枇杷}
t[1]鲤低[5]历厉痢{痢疾、疟疾}丽{美丽}隶励利[3]李底理礼里履抵[2]离{离开}离{离别}璃{玻璃}黎狸{野猫；狐狸}厘梨篱犁
tɕ[1]肌欺讥稽鸡既机基饥{饥荒}[5]绩寂□{疟疾}他佢{他}即积脊辑{编辑}[3]几{茶几}几{几乎}几{几个}姐己挤[2]际计楝季寄沂{沂水；沂蒙山}继记冀迹济纪{纪律；年纪}祈穄{穄子}系{系鞋带}祭忌
tʰ[5]地{坟；冢}地帝弟的[3]体[2]递蹄替堤题啼剃第
tɕʰ[1]骑妻岐[5]技倚{立、站立}[3]杞启企起[2]汽齐戏旗岂脐器其气祁期{时期}鳍骑{骑自行车}妓奇棋荠契{契约；地契}
v[1]危微威[5]纬谓味畏魏位胃卫昧喂[3]伟委为{作为；行为}慰伪苇[2]维围违惟为{为什么}桅{桅杆}唯
∅[1]瞖{目瞖}衣牺医姨夷伊缢[5]翼益肄{肄业}易{容易}亦艺仪易议谊义抑饴{饴糖；高梁饴}亿[3]椅以倚意已[2]异毅遗宜矣

#ia
ɕ[1]些[5]谢{了；花谢}锡[3]写写{撰写}丑[2]邪霞斜蛤{蛤蟆}瑕遐
m[1]摸
n[5]逆腻[3]惹演
pʰ[5]劈壁
t[1]爹{爷爷}爹[2]拈提掂拎
tɕ[2]借藉{借故}
tʰ[5]踢籴
tɕʰ[5]籍褯{尿褯子}藉恰洽谢{姓谢}[3]且
∅[1]野崖{山崖}[5]夜{很晚：太夜了；晚上}压押也{也是}液[3]抓挠雅[2]亚涯{天涯}爷{父亲：爷佬}

#ian
ɕ[1]□{汤：粥太稀}虔鲜先仙[5]苋现限[3]宪显险[2]羡癣献弦陉线嫌唇鲜贤沿
m[5]面[3]免渑缅勉娩[2]绵面{脸、靥}棉
n[1]研捏捻[5]那{白读}验念[3]染[2]严磑{磨；研}俨岩年
p[1]边鞭编边{花瓣；花边}蝙[5]遍[3]扁□{蘸酱；舔，舔一下，抿一口}贬匾[2]变
p[1]篇偏[5]辩辨便辫[2]便骗
t[1]颠[5]练炼[3]点{点头；叩头}辆典点[2]□{缝补}恋连怜店殿佃莲廉镰联奠帘
tɕ[1]艰兼歼肩尖坚监煎[3]剪拣检趼俭茧践笕[2]剑锏舰建腱键涧荐健敛砚笺键谏箭栈见
tʰ[1]天添[5]电[2]田填甜
